▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社きらやか銀行／本店,990-0047,山形県,山形市,旅篭町3丁目2-3,023-631-0001,N.A.,http://www.kirayaka.co.jp/,金融・郵貯・貸金,
株式会社近江建設／フィアスホーム山形店,990-0810,山形県,山形市,馬見ケ崎1丁目12-19,023-612-0003,023-612-0004,http://www.lh-oumi.co.jp/,不動産,
長田広告株式会社,990-0071,山形県,山形市,流通センター2丁目11-1,023-624-0003,023-624-0039,http://www.ad-nagata.com/,広告・マーケティング,
ジョイランチ山形,990-2473,山形県,山形市,松栄2丁目2-41,023-643-0006,023-643-0576,http://joy-lunch.co.jp/,弁当・宅配,
阿部蒲鉾／山形蔵王インター店,990-0023,山形県,山形市,松波3丁目8-28,023-625-0008,N.A.,http://www.abekama.biz/,食料品,
株式会社カネックス,990-0031,山形県,山形市,十日町二丁目5-3,023-633-0008,023-633-0004,http://www.sxl-kanex.jp/,建設業・工務店,
auショップ山形上町,990-2483,山形県,山形市,上町3丁目5-14,023-647-0009,023-647-0003,https://www.au.com/,電話・通信,
ネッツトヨタ山形株式会社／東青田店,990-2423,山形県,山形市,東青田5丁目1-1,023-623-0010,023-632-1718,http://netzyamagata.jp/,車検・整備・修理,
ネッツトヨタ山形株式会社／北町店,990-0821,山形県,山形市,北町2丁目6-40,023-681-0010,023-684-1211,http://netzyamagata.jp/,車検・整備・修理,
株式会社十一屋／桜田アベニュー店,990-2323,山形県,山形市,桜田東2丁目13-22,023-633-0011,023-689-0012,http://www.juichiya.jp/,お菓子・スイーツ,
積水ハウス株式会社／山形支店,990-2445,山形県,山形市,南栄町2丁目16-6,023-635-0011,023-642-8030,http://www.sekisuihouse.co.jp/,総合・職別工事業,
無添加住宅山形,990-2401,山形県,山形市,平清水1丁目1-66,023-631-0011,023-631-0024,http://www.homesweethome.co.jp/,不動産,
山形スワローレンタサービス株式会社,990-2481,山形県,山形市,あかねヶ丘1-12-1,023-644-0014,023-643-4452,http://yswallow.jp/,賃貸・レンタル,
山形市役所／福祉推進部／大曽根さわやか荘,990-2386,山形県,山形市,並柳47,023-644-0016,023-645-5277,http://www.city.yamagata-yamagata.lg.jp/,市区町村機関,
南館歯科クリニック,990-2461,山形県,山形市,南館3丁目21-1,023-644-0018,023-644-0028,http://www.minamidate-dental.com/,歯科系,
木の実町診療所,990-0044,山形県,山形市,木の実町9-52木の実マンション205,023-615-0018,023-615-0028,http://www17.plala.or.jp/,医院・診療所・療養所,
山形市役所／山形市消防本部／山形市消防署／天神町白川出張所,990-0801,山形県,山形市,天神町53,023-684-0019,023-641-2535,http://www.city.yamagata-yamagata.lg.jp/,消防・警察,
株式会社カスカワスポーツ／本店,990-2413,山形県,山形市,南原町2丁目11-1,023-642-0020,023-642-0024,http://www.kasukawa.jp/,スポーツ用品,
源川医科器械株式会社山形支店,990-2447,山形県,山形市,元木2丁目10-46,023-633-0020,023-633-0105,http://www.minagawa-ika.com/,製造・加工（医療・薬関連）,
ウイクリー・マンスリー七日町予約センター,990-0042,山形県,山形市,七日町2丁目3-33,023-641-0022,N.A.,http://www.ytbldg.com/,不動産,
株式会社カスカワスポーツ,990-2413,山形県,山形市,南原町2-11-1,023-642-0022,023-642-0037,http://www.kasukawa.jp/,販売・卸（その他）,
瑞宝閣,990-0031,山形県,山形市,十日町4丁目2-3,023-623-0024,023-623-0023,http://www.notoya-yamagata.com/,和食,
ゴルフパートナー山形南原店,990-2413,山形県,山形市,南原町2丁目11-1,023-642-0027,023-642-0028,http://www.golfpartner.co.jp/,ゴルフ,
つる福,990-2445,山形県,山形市,南栄町3丁目9-25,023-674-0029,023-674-0028,http://www.yway.jp/,そば・うどん,
株式会社江東微生物研究所,990-0052,山形県,山形市,円応寺町7-8,023-615-0031,023-615-0032,http://www.koutou-biken.co.jp/,その他サービス,
家庭教師協会山形事務局,990-0039,山形県,山形市,香澄町2丁目2-41,023-635-0033,N.A.,http://www.katekyo.co.jp/,塾・予備校,
マツダオートザム山形西,990-0892,山形県,山形市,大字中野155-4,023-681-0036,N.A.,http://www.mazda.co.jp/,自動車販売,
株式会社カスカワ,990-2413,山形県,山形市,南原町2-11-1,023-642-0036,N.A.,http://www.kasukawa.jp/,販売・卸（その他）,
株式会社コロンブスジャパン,N.A.,山形県,山形市,七日町1-4-24フリーランドビル2F,023-631-0039,090-2367-5354,http://www.gogo-net.com/,商社・貿易,
株式会社シベール／しべーるプラスカフェ,990-0043,山形県,山形市,本町1丁目7-30,023-634-0039,023-689-1133,http://www.cybele.co.jp/,食料品,
天然温泉湯の郷くろさわ,990-2311,山形県,山形市,大字黒沢547-67,023-674-0039,023-674-0038,http://www.yuuai-kai.or.jp/,介護・福祉,
信和印刷所,990-0825,山形県,山形市,城北町2丁目1-1,023-644-0040,023-644-2767,http://shinwa.biz/,印刷・出版,
株式会社NIPPOコーポレーション／山形出張所,990-0066,山形県,山形市,印役町5丁目2-13,023-641-0041,011-842-8869,http://www.nippo-c.co.jp/,総合・職別工事業,
四山楼,990-0042,山形県,山形市,七日町2丁目6-4,023-622-0043,023-622-0048,http://www.shisanro.jp/,和食,
株式会社イーデーエムワークス,990-2322,山形県,山形市,桜田南2-57,023-625-0044,023-625-0029,http://www.edm-w.jp/,製造・加工（工作機械・一般機械器具）,
セブンイレブン／山形富の中店,990-2463,山形県,山形市,富の中1丁目13-5,023-645-0046,023-645-8058,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
照井写真館,990-0042,山形県,山形市,七日町3丁目3-15,023-622-0049,023-622-0549,http://www2.jan.ne.jp/,写真館・現像,
山形地方森林組合,990-0000,山形県,山形市,替所14-2,023-644-0053,023-644-0061,http://www13.plala.or.jp/,組合・団体,
そば屋惣右エ門,990-0003,山形県,山形市,早乙女1,023-633-0055,023-633-0052,http://www.sobaya-souemon.jp/,そば・うどん,
株式会社丸七製作所,990-0057,山形県,山形市,宮町3-4-5,023-632-0055,023-632-0057,http://www.maru-7.co.jp/,製造・加工（工作機械・一般機械器具）,
山形県PTA連合会,990-0031,山形県,山形市,十日町1丁目6-6,023-631-0055,023-635-4359,http://www.ymgt-pta.jp/,組合・団体,
山形親子療育支援ネットワーク（NPO法人）／成人日中活動アイアイ,990-0025,山形県,山形市,あこや町3丁目11-7,023-625-0055,N.A.,http://www.ryouikushien.net/,介護・福祉,
マルヤマ醤油味噌,990-0034,山形県,山形市,東原町1丁目6-2,023-623-0061,023-623-0062,http://www.pipi.org/,食料品,
ウェブジングル,990-0825,山形県,山形市,城北町2丁目1-1,023-644-0065,023-644-2767,https://webjingle.com/,IT・情報通信,
愛和建設株式会社,990-0821,山形県,山形市,北町3丁目9-15,023-664-0068,023-664-0018,http://www.aiwakk.co.jp/,総合・職別工事業,
セレモニーホール白山,990-2446,山形県,山形市,白山1丁目12-10,023-625-0070,023-625-2002,http://www.heian-tenrei.com/,葬儀,
愛犬美容学院,990-0044,山形県,山形市,木の実町5-15,023-633-0070,022-302-3203,http://aiken.bz/,ペット美容室,
