▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
くずまき高原牧場,028-5402,岩手県,岩手郡葛巻町,葛巻第40地割57-125,0195-66-0211,0195-66-0755,http://kuzumaki.jp/,農業,
くずまき交流館プラトー,028-5102,岩手県,岩手郡葛巻町,葛巻第40地割57-176,0195-66-0555,0195-66-0511,http://www.rnac.ne.jp/,アウトソーシング,
葛巻町役場／産直ハウスほすなある,028-5402,岩手県,岩手郡葛巻町,葛巻第39地割159-3,0195-66-0711,0195-67-8001,http://www.thr.mlit.go.jp/,市区町村機関,
介護老人保健施設アットホームくずまき,028-5403,岩手県,岩手郡葛巻町,江刈第5地割155-7,0195-67-1117,0195-67-1118,http://www.athome-kuzumaki.or.jp/,介護・福祉,
小倉商店,028-5401,岩手県,岩手郡葛巻町,田部字下冬部27,0195-66-1304,0195-66-1306,http://kokuou.com/,販売・卸（食料品）,
コメリハード&グリーン葛巻店,028-5402,岩手県,岩手郡葛巻町,葛巻第7地割82-1,0195-67-1611,N.A.,http://www.komeri.bit.or.jp/,生活用品,
郵便局株式会社,028-5401,岩手県,岩手郡葛巻町,田部市部内88,0195-66-1830,N.A.,http://map.japanpost.jp/,その他サービス,
特別養護老人ホーム高砂荘,028-5402,岩手県,岩手郡葛巻町,葛巻第7地割104-2,0195-66-2100,0195-66-2168,http://seishinseii-sw.or.jp/,介護・福祉,
葛巻町役場,028-5402,岩手県,岩手郡葛巻町,葛巻第16地割1-1,0195-66-2111,0195-66-2101,http://www.town.kuzumaki.iwate.jp/,市区町村機関,
株式会社岩手銀行,N.A.,岩手県,岩手郡葛巻町,葛巻第12地割29番地2,0195-66-2211,N.A.,http://www.iwatebank.co.jp/,金融・郵貯・貸金,
有限会社石のヤマカタ,028-5402,岩手県,岩手郡葛巻町,葛巻8-6-16,0195-66-2292,N.A.,http://www.ohaka-yamakata.com/,製造・加工（窯業・土石）,
仲町生花店,028-5402,岩手県,岩手郡葛巻町,葛巻第13地割45-1,0195-66-2319,0195-66-2319,http://nakamati-hana.ftw.jp/,ガーデニング,
森のこだま館,028-5403,岩手県,岩手郡葛巻町,江刈第1地割95-55,0195-66-2320,0195-66-2320,http://www.morinokodamakan.in/,レストラン,
高梨乳業株式会社岩手工場,028-5403,岩手県,岩手郡葛巻町,江刈第14地割218-1,0195-68-2341,0195-68-2343,http://www.takanashi-milk.co.jp/,食料品,
有限会社コンケイ,028-5402,岩手県,岩手郡葛巻町,葛巻第13地割52,0195-66-2432,0195-66-4268,http://www.bestdenki.ne.jp/,家電,
JA新いわて／葛巻中央支所,028-5402,岩手県,岩手郡葛巻町,葛巻第9地割35-7,0195-66-2444,0195-66-2692,http://www.jaiwate.or.jp/,組合・団体,
守山乳業株式会社,028-5402,岩手県,岩手郡葛巻町,葛巻8-46,0195-66-2511,0195-66-2512,http://www.fujimilk.co.jp/,食料品,
有限会社上遠野工務店,028-5403,岩手県,岩手郡葛巻町,江刈34地割123,0195-68-2526,0195-68-2242,http://www.kadono-k.com/,リフォーム,
葛巻町森林組合,028-5402,岩手県,岩手郡葛巻町,葛巻第14地割37,0195-66-2533,0195-66-2530,http://www.kuzumaki.org/,組合・団体,
岩手県立葛巻高等学校／事務室,028-5402,岩手県,岩手郡葛巻町,葛巻第5地割178-1,0195-66-2624,0195-66-2735,http://www2.iwate-ed.jp/,小・中・高・大学等,
前野モータース,028-5403,岩手県,岩手郡葛巻町,江刈第14地割100-13,0195-68-2634,0195-68-2634,http://maenomotor.exblog.jp/,車検・整備・修理,
葛巻町商工会,028-5402,岩手県,岩手郡葛巻町,葛巻第13地割7-28,0195-66-2658,0195-66-2815,http://www.shokokai.com/,組合・団体,
有限会社高吟製材所,028-5402,岩手県,岩手郡葛巻町,葛巻第5地割152-13,0195-66-2941,N.A.,http://tews-takagin.com/,製造・加工（木製品・紙・パルプ関連）,
グリーンテージ,028-5402,岩手県,岩手郡葛巻町,葛巻第5地割170-2,0195-66-3000,0195-66-3011,http://greentage.com/,ホテル・ペンション,
くずまきワイン,028-5403,岩手県,岩手郡葛巻町,江刈第1地割95-55,0195-66-3111,0195-66-3112,http://www.kuzumakiwine.com/,酒・飲料品,
葛巻町社会体育館,028-5402,岩手県,岩手郡葛巻町,葛巻第8地割33-2,0195-66-3607,0195-66-3607,http://kuzumaki-taikyo.org/,スポーツ施設,
ローソン岩手葛巻店,028-5402,岩手県,岩手郡葛巻町,葛巻第8地割6-9,0195-66-4082,N.A.,http://www.lawson.co.jp/,コンビニ・スーパー・デパート,
株式会社薬王堂岩手葛巻店,028-5402,岩手県,岩手郡葛巻町,葛巻第9地割12-2,0195-66-4599,N.A.,http://www.yakuodo.co.jp/,薬,
くずまきジェラートクローバー畑,028-5402,岩手県,岩手郡葛巻町,葛巻第6地割11-3,0195-68-7571,0195-68-7572,http://clover-batake.com/,お菓子・スイーツ,
