▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
雫石砂利工業株式会社,020-0534,岩手県,岩手郡雫石町,川原22-1,019-692-0011,019-692-0466,http://coroc.jp/,製造・加工（その他）,
JA新いわて／雫石中央支所,020-0543,岩手県,岩手郡雫石町,高前田152,019-692-0111,019-692-1216,http://www.jaiwate.or.jp/,組合・団体,
岩手大崎電気株式会社,020-0552,岩手県,岩手郡雫石町,下平90-2,019-692-0130,019-692-4747,https://www.osaki.co.jp/ja/index.html,製造・加工（電子・精密機械器具）,
大崎電気工業株式会社,020-0552,岩手県,岩手郡雫石町,下平90番地2,019-692-0132,019-692-4520,https://www.osaki.co.jp/ja/index.html,製造・加工（電子・精密機械器具）,
東北紙器株式会社,020-0572,岩手県,岩手郡雫石町,西安庭10地割31-1,019-692-0333,019-692-5321,http://akazawa-group.com/,製造・加工（木製品・紙・パルプ関連）,
雫石町立／七ツ森小学校,020-0503,岩手県,岩手郡雫石町,七ツ森16-240,019-692-0571,N.A.,http://www.edu-shizukuishi.jp/,小・中・高・大学等,
トントゥーのもり・オーガニックカフェ,020-0572,岩手県,岩手郡雫石町,西安庭第38地割47-41,019-692-0592,019-692-0592,http://tontoo.jp/,喫茶店・カフェ,
雫石ゴルフ練習場,020-0505,岩手県,岩手郡雫石町,中黒沢川186-2,019-692-0707,N.A.,http://www.golf-p.net/,ゴルフ,
株式会社大丸薬品,020-0541,岩手県,岩手郡雫石町,千刈田16-2,019-692-0760,019-692-0760,http://daimaru-d.com/,薬,
ホテル花の湯,020-0572,岩手県,岩手郡雫石町,西安庭第27地割4-1,019-692-1050,019-692-1077,http://onsen-hananoyu.com/,ホテル・ペンション,
株式会社中村建設,020-0553,岩手県,岩手郡雫石町,下曽根田69,019-691-1100,019-691-1102,http://www.nakamura-kensetu.com/,総合・職別工事業,
株式会社北研東北営業所,020-0535,岩手県,岩手郡雫石町,小日谷地36-3,019-692-1100,N.A.,http://www.hokken.co.jp/,販売・卸（食料品）,
雫石ゴルフ場36H,020-0584,岩手県,岩手郡雫石町,西根栗木平152,019-693-1111,019-693-2336,http://www.princehotels.co.jp/,ゴルフ,
有限会社みちのく典礼雫石店,020-0527,岩手県,岩手郡雫石町,中町5-3,019-692-1111,019-697-6521,http://www.ginga.or.jp/,仏壇・仏具・神具,
有限会社東北オイルサービス,N.A.,岩手県,岩手郡雫石町,西安庭第15地割54番地6,019-692-1125,019-692-1119,http://www.touhoku-oil-s.jp/,その他サービス,
有限会社ヒカリオート,020-0544,岩手県,岩手郡雫石町,柿木94-7,019-692-1145,019-692-1104,http://www.hikari-auto.com/,バイク用品,
岩井建設株式会社,N.A.,岩手県,岩手郡雫石町,大字繋第5地割字塩ヶ森175-7,019-692-1181,N.A.,http://iwai-kensetsu.co.jp/,建設業・工務店,
小岩井乳業株式会社／小岩井工場,020-0507,岩手県,岩手郡雫石町,丸谷地36-1,019-692-1211,019-692-1215,http://www.koiwaimilk.com/,酒・飲料品,
雫石町福祉作業所かし和の郷,020-0541,岩手県,岩手郡雫石町,千刈田76-3,019-691-1230,019-691-1231,http://www.iwate-selp.net/,介護・福祉,
オートライフCANCREW,020-0502,岩手県,岩手郡雫石町,板橋30-51,019-681-1235,019-681-1235,http://cancrew.ldblog.jp/,中古車・買取,
十割そばしんざん,020-0585,岩手県,岩手郡雫石町,長山極楽野155-6,019-693-1291,N.A.,http://www.juwarisoba.com/,そば・うどん,
コメリハード&グリーン雫石店,020-0541,岩手県,岩手郡雫石町,千刈田93-3,019-691-1571,0197-35-7980,http://www.komeri.bit.or.jp/,生活用品,
財団法人雫石町体育協会,020-0543,岩手県,岩手郡雫石町,高前田104,019-692-1644,019-692-1644,http://www.zai-shizuku-taikyo.or.jp/,組合・団体,
レフィルスピード,020-0502,岩手県,岩手郡雫石町,板橋78-4,019-691-1661,019-691-1662,http://refilspeed.blog11.fc2.com/,車検・整備・修理,
有限会社まるみハウジング,N.A.,岩手県,岩手郡雫石町,源大堂107,019-692-1749,N.A.,http://marumi-ie.com/,建設業・工務店,
クレソン,020-0585,岩手県,岩手郡雫石町,長山盆花平126-19,019-693-1755,019-693-1755,http://www.cresson.gr.jp/,ホテル・ペンション,
有限会社松原工業,020-0504,岩手県,岩手郡雫石町,中沼118,019-692-1998,019-692-1995,http://matsubarakogyo.sakura.ne.jp/,総合・職別工事業,
ホテルルナパーク,020-0502,岩手県,岩手郡雫石町,板橋79-3,019-691-2001,N.A.,http://www.lunapark-group.com/,モーテル・ラブホテル,
株式会社ジョイス雫石店,020-0541,岩手県,岩手郡雫石町,千刈田95-1,019-691-2011,019-622-0470,http://www.arcs-g.co.jp/,コンビニ・スーパー・デパート,
有限会社上野旅館,020-0527,岩手県,岩手郡雫石町,中町7-2,019-692-2033,N.A.,http://www.iwatetabi.jp/,旅館・民宿,
業務スーパー雫石店,020-0541,岩手県,岩手郡雫石町,千刈田78-4,019-691-2050,019-691-2008,http://www.super-maruichi.co.jp/,コンビニ・スーパー・デパート,
