▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
共和アルミニウム工業株式会社,989-2424,宮城県,岩沼市,早股字前川1-20,0223-22-0012,0223-22-1189,http://www.kyowa-aluminum.co.jp/,製造・加工（金属製品）,
株式会社興隆運輸,989-2424,宮城県,岩沼市,早股字土手添75,0223-24-0083,0223-22-5904,http://www.kouryuunyu.com/,運送・貨物・倉庫,
株式会社トヨタレンタリース宮城仙台空港店,989-2421,宮城県,岩沼市,下野郷字新拓335-1,0223-22-0100,0223-22-0126,http://www.trl-miyagi.co.jp/,リース・レンタル,
引地精工株式会社,989-2436,宮城県,岩沼市,吹上1丁目14-37,0223-24-0291,0223-29-0251,http://www.hikichiseiko.com/,製造・加工（工作機械・一般機械器具）,
株式会社エヌジェイアイ,989-2426,宮城県,岩沼市,末広2丁目4-5,0223-25-0322,0223-25-0323,http://www.nji.co.jp/,製造・加工（医療・薬関連）,
株式会社シマキュウ岩沼営業所,989-2421,宮城県,岩沼市,下野郷字新南長沼87-5,0223-22-0322,0258-24-2589,http://www.shimakyu.com/,製造・加工（その他）,
三菱文具株式会社,989-2422,宮城県,岩沼市,空港南5-2-6,0223-25-0361,0223-25-0335,http://www.mitsub.co.jp/,本,
カーチェックサービス株式会社,989-2436,宮城県,岩沼市,吹上1丁目13-1,0223-22-0362,0223-22-0363,http://ccsrs.web.fc2.com/,その他サービス,
渡部容器株式会社,989-2421,宮城県,岩沼市,下野郷字新南長沼27番5号,0223-24-0520,0223-24-0750,http://www.watabeyouki.com/,製造・加工（鉄鋼製品）,
株式会社佐藤建設,989-2421,宮城県,岩沼市,下野郷字出雲屋敷80,0223-24-0545,0223-24-0544,http://www.sato-kensetsu.co.jp/,リフォーム,
トラブル救急隊24,989-2431,宮城県,岩沼市,相の原2丁目9-5,0223-31-0656,N.A.,http://toire-tsumari-iwanuma.on.omisenomikata.jp/,防犯・防火,
あおぞら動物医院,989-2459,宮城県,岩沼市,たけくま1丁目18-9,0223-24-0672,0223-24-0637,http://aozora-vc.com/,動物病院・獣医師,
セブンイレブン／仙台空港店,989-2421,宮城県,岩沼市,下野郷字新田2-2,0223-22-0902,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
有限会社アルファクリーンシステム,989-2423,宮城県,岩沼市,押分字奥山43,0223-22-0912,0223-22-0913,http://www.alpha-clean-system.com/,住まいのクリーニング,
イエローハット岩沼店,989-2426,宮城県,岩沼市,末広1丁目3-22,0223-25-1003,N.A.,http://www.yellowhat.jp/,車検・整備・修理,
株式会社トーモク／仙台工場,989-2421,宮城県,岩沼市,下野郷字新田180,0223-22-1021,N.A.,https://www.tomoku.co.jp/,製造・加工（木製品・紙・パルプ関連）,
日本製紙総合開発株式会社,989-2492,宮城県,岩沼市,大昭和1-1,0223-25-1107,0223-22-1034,http://www.npd.jp/,観光・温泉・銭湯,
株式会社ヰセキ東北,989-2421,宮城県,岩沼市,下野郷字新南長沼1-2,0223-24-1111,0223-24-2240,http://www.iseki-touhoku.co.jp/,製造・加工（工作機械・一般機械器具）,
岩沼市役所,989-2433,宮城県,岩沼市,桜1丁目6-20,0223-22-1111,0223-24-0897,http://www.city.iwanuma.miyagi.jp/,市区町村機関,
株式会社イーストコア岩沼事務所,989-2421,宮城県,岩沼市,下野郷字新南長沼27-6,0223-25-1158,022-797-1157,http://east-core.co.jp/,総合・職別工事業,
株式会社ヒロセ,989-2421,宮城県,岩沼市,下野郷字新田5番地,0223-22-1161,0223-24-2567,http://www.hirose-net.com/,その他サービス,
田中鉄鋼販売株式会社東北支店,989-2421,宮城県,岩沼市,下野郷字中野馬場12-4,0223-24-1161,0223-24-1178,http://www.tanaka-th.co.jp/,製造・加工（鉄鋼製品）,
宮城スバル自動車株式会社岩沼店,989-2433,宮城県,岩沼市,桜2丁目10-31,0223-24-1173,0223-24-1175,http://www.miyagi-subaru.co.jp/,車検・整備・修理,
住友建機株式会社,989-2421,宮城県,岩沼市,下野郷字新南長沼1-1,0223-24-1192,0223-22-6751,http://www.sumitomokenki.co.jp/,製造・加工（工作機械・一般機械器具）,
ハリマ化成株式会社仙台工場,989-2426,宮城県,岩沼市,末広1丁目2-1,0223-22-1201,0223-24-2790,https://www.harima.co.jp/,製造・加工（化学・プラスチック）,
ベーテル病院,989-2455,宮城県,岩沼市,北長谷字畑向山南27-2,0223-24-1211,0223-24-2265,http://www.bethel-japan.com/,医院・診療所・療養所,
株式会社エムオーテック仙台工場,989-2421,宮城県,岩沼市,下野郷字新相野谷地7,0223-22-1231,N.A.,https://ssl.motec-co.jp/,製造・加工（鉄鋼製品）,
株式会社ウチダ仙台工場,989-2421,宮城県,岩沼市,下野郷字中野馬場1-1,0223-24-1234,0223-24-1233,http://uchida-sendai.co.jp/,製造・加工（工作機械・一般機械器具）,
岩沼市／陸上競技場,989-2427,宮城県,岩沼市,里の杜1丁目1-42,0223-24-1242,0223-24-0897,http://www.city.iwanuma.miyagi.jp/,スポーツ施設,
ひよこ会（特定非営利活動法人）,989-2432,宮城県,岩沼市,中央3丁目2-3-3F,0223-23-1256,0223-23-1265,http://hiyoko-kai.com/,介護・福祉,
仙台螺子株式会社岩沼,989-2436,宮城県,岩沼市,吹上2丁目4-2,0223-24-1261,022-236-9870,http://www.neji-seneco.co.jp/,販売・卸（建設資材）,
大衡運送株式会社,989-2422,宮城県,岩沼市,空港南2丁目1-3,0223-24-1264,0223-24-1964,http://ohhira-unsou.co.jp/,運送・貨物・倉庫,
有限会社酒のコサイ,989-2434,宮城県,岩沼市,藤浪1丁目3-24,0223-25-1301,0223-36-9010,http://sakenokosai.cart.fc2.com/,酒・飲料品,
よしけんの家,989-2424,宮城県,岩沼市,早股字土手添198-1,0223-24-1385,0223-24-1395,http://www.yosiken.com/,エクステリア,
みなみはまクリニック,989-2441,宮城県,岩沼市,館下1丁目3-17,0223-24-1431,0223-24-1432,http://www.minamihama.or.jp/,精神科・心療内科,
デイサービスセンターくろまつ荘,989-2423,宮城県,岩沼市,押分字新田東109-2,0223-24-1500,0223-23-1547,http://www.akaikoh.or.jp/,介護・福祉,
大昭和ユニボード株式会社／営業部,989-2437,宮城県,岩沼市,字吹上西111,0223-22-1521,0223-22-1631,http://www.uniboard.jp/,製造・加工（木製品・紙・パルプ関連）,
丸藤シートパイル株式会社,989-2421,宮城県,岩沼市,下野郷字新拓254番地,0223-22-1535,N.A.,http://www.mrfj.co.jp/,製造・加工（建築資材）,
株式会社飯田運送仙台営業所,989-2422,宮城県,岩沼市,空港南5丁目3-1,0223-22-1551,0223-22-1552,http://www.iida-express.com/,運送・貨物・倉庫,
フジ運輸株式会社,989-2421,宮城県,岩沼市,下野郷字新拓254,0223-24-1561,0223-24-1566,http://www.mrfj.co.jp/,運送・貨物・倉庫,
ライト工業株式会社仙台機材センター,989-2421,宮城県,岩沼市,下野郷字新拓143,0223-22-1561,03-3265-0879,http://www.raito.co.jp/,リフォーム,
有限会社庄司コーポレーション,N.A.,宮城県,岩沼市,中央一丁目2番19号コマビル1F-b,0223-24-1590,0223-24-4594,http://shojicor.jp/,不動産,
東北鉄骨橋梁株式会社,989-2421,宮城県,岩沼市,下野郷字新関迎230,0223-22-1611,0223-24-0009,http://www.t-sb.co.jp/,製造・加工（鉄鋼製品）,
株式会社カワチ薬品岩沼店,989-2459,宮城県,岩沼市,たけくま2丁目3-57,0223-22-1615,N.A.,http://www.cawachi.co.jp/,薬,
株式会社コイケ,989-2422,宮城県,岩沼市,空港南2-1-2,0223-24-1617,0223-25-8521,http://www.koike.co.jp/,製造・加工（建築資材）,
株式会社トークス,N.A.,宮城県,岩沼市,梶橋1番37号,0223-22-1640,N.A.,http://www.tohcs.com/,建設業・工務店,
株式会社キタセキ,989-2431,宮城県,岩沼市,相の原3-1-6,0223-24-1661,0223-24-1581,http://www.kitaseki.co.jp/,ガソリンスタンド,
亘理名取共立衛生処理組合,989-2425,宮城県,岩沼市,寺島字川向45-53,0223-22-1717,0223-22-2793,http://www.watanakyouei.jp/,ゴミ収集・資源回収,
アイン薬局岩沼店,989-2432,宮城県,岩沼市,中央1丁目3,0223-23-1733,0223-25-2252,http://www.ainj.co.jp/,薬,
ファミリーマート／岩沼吹上一丁目店,989-2436,宮城県,岩沼市,吹上1丁目15-50,0223-25-1735,N.A.,http://www.family.co.jp/,コンビニ・スーパー・デパート,
株式会社仙南測量設計,989-2431,宮城県,岩沼市,相の原3-3-18,0223-24-1746,0223-24-4561,http://www.sennan-ss.co.jp/,相談・調査,
そば処萬乃助岩沼店,989-2471,宮城県,岩沼市,小川字神田町22,0223-23-1770,N.A.,http://www.sobaman.jp/,そば・うどん,
南浜中央病院（特定医療法人）,989-2425,宮城県,岩沼市,寺島字北新田111,0223-24-1861,0223-24-1892,http://www.minamihama.or.jp/,歯科系,
