▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社コーンズ・エージー／標茶支店,088-2304,北海道,川上郡標茶町,平和9丁目3,015-485-1170,0123-32-7052,http://www.cornesag.com/,農業,
株式会社コーンズ・エージー／標茶支店／緊急対応,088-2304,北海道,川上郡標茶町,平和9丁目3,015-485-1395,015-485-1396,http://www.cornesag.com/,農業,
北海道釧路総合振興局保健環境部標茶地域保健支所・北海道釧路保健所標茶支所／エイズ相談窓口,088-2313,北海道,川上郡標茶町,常盤8丁目1,015-485-1415,N.A.,http://www.pref.hokkaido.jp/,都道府県機関,
東部ダイハツ株式会社,088-2313,北海道,川上郡標茶町,常盤3丁目12,015-485-1516,015-485-3975,http://www.ju946.com/,車検・整備・修理,
株式会社日東製網,088-2304,北海道,川上郡標茶町,平和9丁目9,015-485-1671,015-485-1283,http://www.nittoseimo.co.jp/,水産業,
標茶高校／事務室,088-2313,北海道,川上郡標茶町,常盤10丁目1,015-485-2001,015-485-2067,http://www.shibecha-h.ed.jp/,小・中・高・大学等,
北海道新聞／徳倉新聞店,088-2261,北海道,川上郡標茶町,字塘路,015-487-2007,N.A.,http://www.hokkaido-np.co.jp/,映画・放送・新聞,
株式会社ホクレン商事しべちゃ店,088-2311,北海道,川上郡標茶町,開運9丁目6,015-485-2022,015-485-3393,http://hokurenshoji.co.jp/,食料品,
ホテルテレーノ気仙,088-2303,北海道,川上郡標茶町,桜8丁目38,015-485-2030,015-485-2240,http://hotel-terreno.com/,ホテル・ペンション,
赤坂建設株式会社,088-3145,北海道,川上郡標茶町,熊牛原野15線西3,015-486-2109,015-486-2100,http://www.akasaka-kensetsu.com/,総合・職別工事業,
株式会社北洋銀行標茶支店,088-2301,北海道,川上郡標茶町,旭2丁目1-3,015-485-2121,N.A.,http://www.hokuyobank.co.jp/,金融・郵貯・貸金,
憩の家かや沼,088-2266,北海道,川上郡標茶町,字コッタロ原野茅沼,015-487-2121,015-487-2353,http://www.kayanuma.jp/,旅館・民宿,
ログキャビン,088-2300,北海道,川上郡標茶町,字シラルトロエトロ,015-487-2126,N.A.,http://logcabin.sakura.ne.jp/,道の駅,
大地みらい信用金庫標茶支店,088-2302,北海道,川上郡標茶町,富士4丁目12,015-485-2128,N.A.,http://www.daichimirai.co.jp/,金融・郵貯・貸金,
風牧場,088-3145,北海道,川上郡標茶町,字熊牛原野十線東5-9,015-486-2131,015-486-2132,http://www.kazebokujyo.jp/,食料品,
標茶町農協／虹別セルフスタンド,088-2461,北海道,川上郡標茶町,字虹別市街4-22-1,015-488-2133,015-488-2336,http://www.hokuren-ss.jp/,ガソリンスタンド,
標茶町立病院,088-2314,北海道,川上郡標茶町,開運4-1,015-485-2135,N.A.,http://www.sip.or.jp/,医院・診療所・療養所,
木下自工株式会社,088-2311,北海道,川上郡標茶町,開運1-36-1,015-485-2145,015-485-2342,http://www.kinoshita-jikou.jp/,自動車販売,
北海道釧路総合振興局保健環境部標茶地域保健支所・北海道釧路保健所標茶支所,088-2313,北海道,川上郡標茶町,常盤8丁目1,015-485-2155,015-485-2156,http://www.pref.hokkaido.jp/,都道府県機関,
ピルカ・トウロ,088-2264,北海道,川上郡標茶町,字塘路原野北八線58-9,015-487-2200,015-487-2207,http://www.sip.or.jp/,ホテル・ペンション,
株式会社サトケン不動産部,088-2301,北海道,川上郡標茶町,旭1丁目3-19,015-485-2218,015-485-2809,http://www.fp-satoken.com/,不動産・賃貸,
ペンション未知標,088-2266,北海道,川上郡標茶町,茅沼,015-487-2269,015-487-2269,http://www15.plala.or.jp/,ホテル・ペンション,
ロッジシラルトロ,088-2265,北海道,川上郡標茶町,字塘路32-383,015-487-2325,015-487-2388,http://www.sirarutoro.in/,旅館・民宿,
株式会社不二木材,088-2311,北海道,川上郡標茶町,開運8-61,015-485-2367,015-485-2444,http://www.sip.or.jp/,販売・卸（建設資材）,
ひとつぶの麦,088-2301,北海道,川上郡標茶町,旭1丁目3-7,015-485-2383,N.A.,http://mochimochi3179.blog99.fc2.com/,食料品,
有限会社すずき,088-2311,北海道,川上郡標茶町,開運2丁目30,015-485-2388,01548-5-3663,http://www.fujitv-flower.net/,葬儀,
丸越運輸株式会社,088-2313,北海道,川上郡標茶町,常盤3-16,015-485-2405,015-485-1444,http://marukoshi.co.jp/,運送・貨物・倉庫,
釧路湿原とうろユースホステル,088-2261,北海道,川上郡標茶町,字塘路7,015-487-2510,015-487-2510,http://www.sip.or.jp/,公共宿泊施設,
竹田豆腐店,088-2301,北海道,川上郡標茶町,旭1丁目4-8,015-485-2531,015-485-3811,http://www.takedaya.biz/,食料品,
日本ニューホランド株式会社標茶営業所,088-2304,北海道,川上郡標茶町,平和9丁目1,015-485-2545,N.A.,http://www.nh-hft.co.jp/,農業,
標茶町役場／虹別オートキャンプ場,088-2462,北海道,川上郡標茶町,字虹別690-32,015-488-2550,015-488-2550,http://www.sip.or.jp/,キャンプ,
標茶町農協／本部セルフスタンド,088-2311,北海道,川上郡標茶町,開運10丁目48,015-485-2627,015-485-2126,http://www.hokuren-ss.jp/,ガソリンスタンド,
あすなろ道路株式会社道東営業所,088-2311,北海道,川上郡標茶町,開運9丁目11,015-485-2649,011-221-8984,http://www.asunaro-douro.jp/,総合・職別工事業,
ジンギスカン専門店のざき,088-2312,北海道,川上郡標茶町,川上2丁目6,015-485-2777,015-485-2868,http://www.nikuya.com/,食料品,
標茶町役場／グリーンヒル多和キャンプ場,088-2314,北海道,川上郡標茶町,字標茶798-1,015-486-2806,N.A.,http://www.sip.or.jp/,キャンプ,
株式会社北海道クボタ標茶営業所,088-2313,北海道,川上郡標茶町,常盤4丁目8,015-485-2872,011-665-2359,http://www.hokkaido-kubota.co.jp/,農業,
藤井養蜂場,088-2304,北海道,川上郡標茶町,平和1丁目,015-485-2882,0946-52-3364,http://fujiiyouhou.co.jp/,農業,
