▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
丸富青果,099-1361,北海道,常呂郡置戸町,字境野455-1,0157-55-2128,N.A.,http://www.marutomi-seika.co.jp/,販売・卸（食料品）,
工房優木,099-1123,北海道,常呂郡置戸町,字拓殖34-1,0157-53-2131,0157-53-2131,http://www15.plala.or.jp/,製造・加工（木製品・紙・パルプ関連）,
おけと勝山温泉ゆうゆ,099-1254,北海道,常呂郡置戸町,字常元1-5,0157-54-2211,0157-54-2472,http://oketo-yuuyu.com/,観光・温泉・銭湯,
特定非営利活動法人環境保全型農業を推進する会,099-1361,北海道,常呂郡置戸町,境野354-3,0157-55-2500,N.A.,http://volunteer.lantecweb.net/,組合・団体,
置戸中学校,099-1123,北海道,常呂郡置戸町,字拓殖47-1,0157-52-3100,0157-52-3107,http://www.oketo-e.ed.jp/,小・中・高・大学等,
北見地区消防組合／消防署置戸支署,099-1100,北海道,常呂郡置戸町,字置戸192,0157-52-3103,0157-52-3293,http://www.city.kitami.hokkaido.jp/,消防・警察,
きたみらい農協置戸地区事務所,099-1100,北海道,常呂郡置戸町,字置戸46,0157-52-3111,0157-52-3521,http://www.jakitamirai.or.jp/,組合・団体,
株式会社ホクレン商事エーコープおけと店,099-1100,北海道,常呂郡置戸町,字置戸42,0157-52-3122,0157-52-3116,http://hokurenshoji.co.jp/,食料品,
北見信用金庫置戸支店,099-1100,北海道,常呂郡置戸町,字置戸144-1,0157-52-3131,N.A.,http://www.shinkin.co.jp/,金融・郵貯・貸金,
株式会社置戸地区卸売市場,099-1100,北海道,常呂郡置戸町,置戸458-4,0157-52-3236,0157-52-3239,http://oketo-ichiba.com/,販売・卸（食料品）,
置戸赤十字病院,099-1131,北海道,常呂郡置戸町,字置戸77,0157-52-3321,N.A.,http://www.hokkaido.jrc.or.jp/,医院・診療所・療養所,
株式会社共立,099-1100,北海道,常呂郡置戸町,字置戸,0157-52-3331,0157-52-3331,http://www.kyoritz.co.jp/,建材,
フォトスタジオ山口,099-1100,北海道,常呂郡置戸町,字置戸113,0157-52-3453,0157-53-2753,http://www.yamasta.com/,写真・ビデオ・スライド,
置戸神社,099-1100,北海道,常呂郡置戸町,字置戸284,0157-52-3566,0157-52-3565,http://oketo-kami.jimdo.com/,宗教,
置戸小学校,099-1100,北海道,常呂郡置戸町,字置戸258-1,0157-52-3850,0157-52-3856,http://www.oketo-e.ed.jp/,小・中・高・大学等,
きたみらい農協置戸給油所,099-1100,北海道,常呂郡置戸町,字置戸42-1,0157-52-3869,N.A.,http://www.hokuren-ss.jp/,ガソリンスタンド,
郵便局株式会社,099-1364,北海道,常呂郡置戸町,秋田281-19,0157-67-5778,N.A.,http://map.japanpost.jp/,その他サービス,
