▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
常陸太田市立／水府小学校,313-0212,茨城県,常陸太田市,中染町2522,0294-85-0006,0294-85-1939,http://www.city.hitachiota.ibaraki.jp/,小・中・高・大学等,
常陸太田市／天下野公民館／事務室,313-0351,茨城県,常陸太田市,天下野町4689,0294-87-0016,0294-87-0016,http://www.city.hitachiota.ibaraki.jp/,市区町村機関,
有限会社井上商事,313-0353,茨城県,常陸太田市,上高倉町2292,0294-87-0025,0294-87-0638,http://inoue-shoji.com/,食料品,
常陸太田市立／水府幼稚園,313-0213,茨城県,常陸太田市,町田町88,0294-85-0029,N.A.,http://www.city.hitachiota.ibaraki.jp/,幼稚園・保育施設,
銚子屋旅館,313-0056,茨城県,常陸太田市,西一町2339,0294-72-0030,0294-72-8830,http://www.jsdi.or.jp/,旅館・民宿,
石川治療院,313-0016,茨城県,常陸太田市,金井町2885-4-B,0294-73-0031,0294-73-0031,http://www16.plala.or.jp/,あん摩・はり・きゅう,
根本工務所,311-0311,茨城県,常陸太田市,町屋町1947,0294-78-0036,0294-78-0037,http://www.mezasechiikino1.jp/,総合・職別工事業,
常陸太田市／太田市民ふれあいセンター,313-0015,茨城県,常陸太田市,木崎一町1981-3,0294-73-0050,N.A.,http://www.city.hitachiota.ibaraki.jp/,市区町村機関,
全日食チェーン金砂郷久米店,313-0123,茨城県,常陸太田市,久米町213,0294-76-0058,03-5691-2122,http://www.zchain.co.jp/,コンビニ・スーパー・デパート,
川又薬局,313-0051,茨城県,常陸太田市,東一町2290,0294-72-0106,0294-73-1060,http://www.kawamata.co.jp/,薬,
立川醤油店,313-0055,茨城県,常陸太田市,西二町2177,0294-72-0108,0294-72-4490,http://www.mangoku-soy.com/,塾・予備校,
茨城県警察本部／太田警察署,313-0014,茨城県,常陸太田市,木崎二町1727-7,0294-73-0110,N.A.,http://www.pref.ibaraki.jp/,消防・警察,
日立高鈴ゴルフ倶楽部,311-0324,茨城県,常陸太田市,白羽町1730,0294-78-0111,0294-78-0081,http://www.yc21.co.jp/,ゴルフ,
常陸太田市消防本部,313-0013,茨城県,常陸太田市,山下町1693,0294-73-0119,0294-72-3713,http://www.city.hitachiota.ibaraki.jp/,消防・警察,
常陸太田市消防本部／北消防署,313-0212,茨城県,常陸太田市,中染町2818-1,0294-85-0119,N.A.,http://www.city.hitachiota.ibaraki.jp/,消防・警察,
常陸太田市立／幸久小学校,313-0046,茨城県,常陸太田市,上河合町2,0294-73-0120,0294-72-7055,http://www.city.hitachiota.ibaraki.jp/,小・中・高・大学等,
有限会社栗原農園,313-0121,茨城県,常陸太田市,芦間町2050,0294-76-0120,0294-76-0259,http://kurifarm.net/,観光・温泉・銭湯,
高田金物株式会社,N.A.,茨城県,常陸太田市,栄町108-3,0294-72-0123,0294-72-1361,http://www.hitachiota.jp/,建設業・工務店,
密蔵院,313-0222,茨城県,常陸太田市,松平町1466,0294-85-0134,0294-85-0181,http://www.choshoji-ota.com/,宗教,
常陸太田市／染和田公民館,313-0213,茨城県,常陸太田市,町田町163-1,0294-85-0144,N.A.,http://www.city.hitachiota.ibaraki.jp/,市区町村機関,
常陸太田市商工会／水府支所,313-0213,茨城県,常陸太田市,町田町103,0294-85-0146,0294-85-1159,http://www.ootasyoko.or.jp/,組合・団体,
常陸太田市立／すいふ保育園,313-0221,茨城県,常陸太田市,国安町663,0294-85-0162,0294-85-0162,http://www.city.hitachiota.ibaraki.jp/,幼稚園・保育施設,
常陸太田市／誉田公民館,313-0007,茨城県,常陸太田市,新宿町1283,0294-73-0184,N.A.,http://www.city.hitachiota.ibaraki.jp/,市区町村機関,
株式会社明治商会常陸太田支店,311-0321,茨城県,常陸太田市,春友町332,0294-78-0225,0294-78-0412,http://www.meiji-trading.co.jp/,水道・ガス・電力,
常陸太田市立／木崎保育園,313-0015,茨城県,常陸太田市,木崎一町708-3,0294-72-0229,0294-72-0487,http://www.city.hitachiota.ibaraki.jp/,幼稚園・保育施設,
株式会社エス・キャビネット常陸太田営業所,313-0063,茨城県,常陸太田市,内堀町2355-1,0294-73-0233,029-295-2387,http://www.bunguya.co.jp/,OA機器,
茨城新聞／立川新聞店,313-0055,茨城県,常陸太田市,西二町2171-1,0294-72-0235,029-301-0362,http://ibarakinews.jp/top.php,映画・放送・新聞,
株式会社堀江林業,313-0352,茨城県,常陸太田市,下高倉町2075,0294-87-0258,0294-33-7031,http://horieringyo.com/,林業,
薄井歯科医院,313-0055,茨城県,常陸太田市,西二町2204-1,0294-72-0271,N.A.,http://www.kyousei-hanarabi.jp/,歯科系,
常陸太田市立／太田進徳幼稚園,313-0063,茨城県,常陸太田市,内堀町256,0294-72-0317,N.A.,http://www.city.hitachiota.ibaraki.jp/,幼稚園・保育施設,
いづみや／本店,313-0004,茨城県,常陸太田市,馬場町508,0294-73-0342,0294-72-5655,http://www.izumiya.hitachiota.jp/,そば・うどん,
日座薬局,313-0005,茨城県,常陸太田市,栄町2474-3,0294-72-0351,N.A.,http://www.kanpo-hiza.com/,薬,
常陸太田市立／誉田小学校,313-0008,茨城県,常陸太田市,増井町1303,0294-72-0352,0294-73-2703,http://www.city.hitachiota.ibaraki.jp/,小・中・高・大学等,
常陸太田市／高倉公民館／事務室,313-0352,茨城県,常陸太田市,下高倉町50-1,0294-87-0360,0294-87-0360,http://www.city.hitachiota.ibaraki.jp/,市区町村機関,
水府村物産センター,313-0351,茨城県,常陸太田市,天下野町2133-6,0294-87-0375,0294-87-0160,http://ohtsuribashi.ryujinkyo.jp/,レストラン,
アンドウ車いす販売修理,313-0056,茨城県,常陸太田市,西一町2317,0294-72-0423,0294-73-0745,http://www.shokokai.or.jp/,介護・福祉,
茨城新聞／大橋新聞店,313-0012,茨城県,常陸太田市,三才町26-3,0294-72-0429,029-301-0362,http://ibarakinews.jp/top.php,映画・放送・新聞,
常陸太田市社会福祉協議会／水府支所,313-0213,茨城県,常陸太田市,町田町163-1,0294-85-0433,0294-85-0931,http://www.ibaraki-welfare.or.jp/,組合・団体,
北沢ニジマスセンター,311-0311,茨城県,常陸太田市,町屋町2397,0294-78-0524,N.A.,http://yamabikoworld.web.fc2.com/,水産業,
橘利,313-0013,茨城県,常陸太田市,山下町1243-1,0294-72-0542,0294-72-0545,http://www.tatibana-motors.com/,車検・整備・修理,
ナーサリー,313-0006,茨城県,常陸太田市,宮本町301,0294-72-0567,N.A.,http://www.nursery-mito.com/,ベビー・子ども用品,
有限会社石橋土木,313-0003,茨城県,常陸太田市,瑞龍町724,0294-73-0567,0294-73-0896,http://www.ishi-do.jp/,総合・職別工事業,
茨城新聞／渡辺新聞店,313-0041,茨城県,常陸太田市,稲木町895-3,0294-72-0571,029-301-0362,http://ibarakinews.jp/top.php,映画・放送・新聞,
檜山酒造株式会社,311-0311,茨城県,常陸太田市,町屋町1359,0294-78-0611,0294-78-0612,http://www.hiyama.co.jp/,製造・加工（食料品）,
有限会社ロイヤルオート,313-0061,茨城県,常陸太田市,中城町3375,0294-73-0633,0294-73-0657,http://www.royalauto.hitachiota.jp/,自動車販売,
ケアサポート太田,313-0043,茨城県,常陸太田市,谷河原町1179-1,0294-72-0637,0294-33-6040,http://trust-caresupport.com/,介護・福祉,
常陸太田市／佐都公民館,311-0322,茨城県,常陸太田市,常福地町141-2,0294-78-0675,N.A.,http://www.city.hitachiota.ibaraki.jp/,市区町村機関,
クローバー音楽院／中城町教室,313-0061,茨城県,常陸太田市,中城町4499,0294-72-0703,N.A.,http://www.jsdi.or.jp/,音楽,
常陸太田市／河内公民館,311-0311,茨城県,常陸太田市,町屋町1289,0294-78-0742,N.A.,http://www.city.hitachiota.ibaraki.jp/,市区町村機関,
北関東防災工業株式会社／県北営業所,313-0131,茨城県,常陸太田市,花房町2304-1,0294-76-0755,0294-37-2621,http://www.kitakantobo.co.jp/,防犯・防火,
株式会社ライジングプレナー,313-0106,茨城県,常陸太田市,下利員町914,0294-76-0814,0294-76-0864,http://www.rising-preneur.co.jp/,コレクション,
福田動物病院,313-0015,茨城県,常陸太田市,木崎一町4079-3,0294-72-0826,0294-72-0826,http://hospital.ugpet.com/,動物病院・獣医師,
常陸太田市／西河内市民ふれあいセンター,311-0314,茨城県,常陸太田市,西河内上町1435,0294-78-0842,N.A.,http://www.city.hitachiota.ibaraki.jp/,市区町村機関,
若宮八幡宮社務所,313-0006,茨城県,常陸太田市,宮本町2344,0294-72-0868,0294-72-8003,http://wakamiya-hachimangu.org/,宗教,
野内商事株式会社,N.A.,茨城県,常陸太田市,木崎一町779,0294-73-0875,0294-73-0670,http://www.yanai-shoji.com/,建設業・工務店,
野内商事株式会社,N.A.,茨城県,常陸太田市,東三町2159,0294-72-0875,0294-72-0765,http://www.yanai-shoji.com/,建設業・工務店,
有限会社石川電気,313-0215,茨城県,常陸太田市,西染町681,0294-85-0877,0294-85-1846,http://www.ishikawa-denki.net/,建設業・工務店,
常陸太田市／高倉公民館,313-0352,茨城県,常陸太田市,下高倉町50-1,0294-87-0921,N.A.,http://www.city.hitachiota.ibaraki.jp/,市区町村機関,
常陸太田市／天下野公民館,313-0351,茨城県,常陸太田市,天下野町4689,0294-87-0922,N.A.,http://www.city.hitachiota.ibaraki.jp/,市区町村機関,
本多ぶどう園,313-0004,茨城県,常陸太田市,馬場町792,0294-72-0947,0294-72-1116,http://www.budouya.net/,観光・温泉・銭湯,
JA祭典西山ホール,313-0124,茨城県,常陸太田市,大平町548-1,0294-76-0983,0294-70-3350,http://i-ks.jp/,葬儀,
常陸太田市／市営斎場,313-0007,茨城県,常陸太田市,新宿町1603,0294-72-0998,0294-72-0998,http://www.city.hitachiota.ibaraki.jp/,葬儀,
常陸太田市社会福祉協議会／金砂郷支所,313-0113,茨城県,常陸太田市,高柿町257-3,0294-76-1002,0294-70-3501,http://www.ibaraki-welfare.or.jp/,組合・団体,
常陸太田市／河内公民館／事務室,311-0311,茨城県,常陸太田市,町屋町1289,0294-78-1007,0294-78-1007,http://www.city.hitachiota.ibaraki.jp/,市区町村機関,
セイコーマートまいづる店,313-0004,茨城県,常陸太田市,馬場町90-6,0294-72-1062,N.A.,http://map.seicomart.co.jp/,コンビニ・スーパー・デパート,
塩原精工所,313-0016,茨城県,常陸太田市,金井町2884-2,0294-72-1083,0294-72-4763,http://business2.plala.or.jp/,製造・加工（金属製品）,
川崎病院,313-0014,茨城県,常陸太田市,木崎二町2040,0294-72-1111,0294-72-7056,http://kawasaki-hos.or.jp/,外科系,
常陸太田市立／太田中学校,313-0007,茨城県,常陸太田市,新宿町466,0294-72-1120,0294-72-1129,http://www.city.hitachiota.ibaraki.jp/,小・中・高・大学等,
株式会社トビタ技研,313-0123,茨城県,常陸太田市,久米町233,0294-76-1125,0294-76-1126,http://tobitagiken.co.jp/,相談・調査,
岩倉鉱泉,313-0351,茨城県,常陸太田市,天下野町5788,0294-85-1126,0294-85-1126,https://www.shokokai.or.jp/,旅館・民宿,
茨城交通株式会社太田営業所／高速バス予約専用,313-0013,茨城県,常陸太田市,山下町1162-3,0294-72-1127,029-253-1613,http://www.ibako.co.jp/,交通機関,
でか木の家永和工務店,313-0037,茨城県,常陸太田市,内田町3274,0294-74-1139,0294-74-5502,http://dekamoku.com/,総合・職別工事業,
株式会社かわねや／フェスタ店,313-0016,茨城県,常陸太田市,金井町2918,0294-70-1141,N.A.,http://www.kawaneya.co.jp/,コンビニ・スーパー・デパート,
株式会社かわねや／本部,313-0014,茨城県,常陸太田市,木崎二町874,0294-72-1141,N.A.,http://www.kawaneya.co.jp/,コンビニ・スーパー・デパート,
