▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
ウインカー,036-0145,青森県,平川市,岩館長田1-1,0172-44-0001,0172-44-0002,http://www.carsaloon-vic.com/,中古車・買取,
ピザ・テン・フォー平賀店,036-0103,青森県,平川市,本町平野18-15,0172-44-0014,N.A.,http://www.hotweb.or.jp/,弁当・宅配,
株式会社タカシン柏木工場,036-0104,青森県,平川市,柏木町東田103,0172-43-0016,N.A.,http://www.takasin.jp/,製造・加工（電子・精密機械器具）,
ラーメン錦弘前店,036-0145,青森県,平川市,岩館山の井127-3,0172-44-0039,0172-44-0039,http://nishiki-diner.com/,ラーメン,
株式会社光城精工／電源事業部,036-0164,青森県,平川市,松崎西田43-4,0172-43-0050,0172-43-0056,http://kojo-seiko.co.jp/,製造・加工（電子・精密機械器具）,
株式会社日本マイクロニクス／青森松崎工場,036-0164,青森県,平川市,松崎西田41-1,0172-43-0060,0172-44-1811,http://www.mjc.co.jp/,製造・加工（電子・精密機械器具）,
ヒラカワ土地,036-0103,青森県,平川市,本町平野24-1,0172-55-0087,0172-55-0871,http://hirakawatochi.aomori.jp/,不動産,
ロイヤルネットワーク株式会社,N.A.,青森県,平川市,小和森上松岡193-1,0172-40-0172,N.A.,http://www.usachan.co.jp/,その他サービス,
おおゆ石材,036-0145,青森県,平川市,岩館山の井127-3,0172-44-0181,0172-44-0027,http://www.os-net.jp/,アクセサリー,
津軽おのえ温泉日帰り宿福家,036-0213,青森県,平川市,新屋町道ノ下35-2,0172-55-0200,0172-55-0198,http://www.fukuya-spa.com/,観光・温泉・銭湯,
津軽みらい農業協同組合／車輌センター,036-0111,青森県,平川市,小和森上松岡211-1,0172-44-0200,N.A.,http://www.ja-tsugaru-mirai.or.jp/,組合・団体,
津軽みらい農業協同組合／平賀基幹グリーンセンター／車輌燃料課,036-0111,青森県,平川市,小和森上松岡211-1,0172-44-0201,N.A.,http://www.ja-tsugaru-mirai.or.jp/,組合・団体,
東洋計器株式会社,036-0103,青森県,平川市,本町北柳田50-1,0172-55-0225,0172-55-0226,http://br.toyo-keiki.co.jp/,製造・加工（電子・精密機械器具）,
株式会社光城精工／松崎工場,036-0164,青森県,平川市,松崎西田43-4,0172-43-0252,0172-43-0253,http://kojo-seiko.co.jp/,製造・加工（電子・精密機械器具）,
平川市役所／光城コミュニティセンター,036-0102,青森県,平川市,光城6丁目8,0172-44-0252,0172-44-8619,http://www.city.hirakawa.lg.jp/,市区町村機関,
ホーマックスーパーデポ平賀店,036-0111,青森県,平川市,小和森上松岡182-1,0172-43-0261,N.A.,http://www.homac.co.jp/,生活用品,
あずまデンタルクリニック,036-0104,青森県,平川市,柏木町東田313-8,0172-44-0648,N.A.,http://www.azuma-dc.com/,医院・診療所・療養所,
デイリーヤマザキ平賀松崎店,036-0162,青森県,平川市,館山前田12-8,0172-44-0737,0172-44-0737,http://www.daily-yamazaki.jp/,コンビニ・スーパー・デパート,
ファミリーマート津軽サービスエリア店,036-0141,青森県,平川市,沖館比山館32-1,0172-43-1075,0172-43-1075,http://www.family.co.jp/,コンビニ・スーパー・デパート,
ヒラカワ松崎リサイクル,036-0165,青森県,平川市,松館浅井2-11,0172-44-1100,N.A.,http://hirosaki-juki.jp/,廃棄物処理,
環境保全株式会社,036-0164,青森県,平川市,松崎西田41番地10,0172-43-1100,0172-43-1166,http://www.takeei.co.jp/,ビルメンテナンス,
平川市役所,036-0104,青森県,平川市,柏木町藤山25-6,0172-44-1111,0172-44-8619,http://www.city.hirakawa.lg.jp/,市区町村機関,
