▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
ホテル清さと,099-4401,北海道,斜里郡清里町,字上斜里815,0152-25-2001,0152-25-4001,http://hotel-kiyosato.com/,ホテル・ペンション,
斜里地区消防組合消防署清里分署,099-4405,北海道,斜里郡清里町,羽衣町13,0152-25-2110,0152-25-3999,http://www.sharifd.jp/,消防・警察,
北海道オホーツク総合振興局網走農業改良普及センター清里支所,099-4405,北海道,斜里郡清里町,羽衣町39,0152-25-2124,0152-25-3796,http://www.okhotsk.pref.hokkaido.lg.jp/,都道府県機関,
清里町役場,099-4405,北海道,斜里郡清里町,羽衣町13,0152-25-2131,0152-25-3571,http://www.town.kiyosato.hokkaido.jp/,市区町村機関,
セブンイレブン／清里羽衣店,099-4405,北海道,斜里郡清里町,羽衣町42-31,0152-25-2160,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
札鶴ベニヤ株式会社,099-4521,北海道,斜里郡清里町,札弦町40,0152-26-2211,0152-26-2739,http://www.sattsuru.com/,製造・加工（木製品・紙・パルプ関連）,
清里町農協／管理課,099-4405,北海道,斜里郡清里町,羽衣町2,0152-25-2211,0152-25-2941,http://ja-kiyosato.jp/,組合・団体,
清里町役場／焼酎事業所,099-4405,北海道,斜里郡清里町,羽衣町62-1,0152-25-2227,0152-25-3969,http://www.kiyosato-shochu.com/,市区町村機関,
パパスランドさっつる,099-4522,北海道,斜里郡清里町,字神威1071-4,0152-26-2288,0152-26-2288,http://www.hokkaido-michinoeki.jp/,道の駅,
網走信用金庫清里支店,099-4406,北海道,斜里郡清里町,水元町16,0152-25-2311,N.A.,http://www.abashin.co.jp/,金融・郵貯・貸金,
株式会社知床ツーリスト,099-4403,北海道,斜里郡清里町,字向陽282,0152-25-2642,0152-25-2643,http://shiretoko-t.com/,旅行業・代理店,
清里麦香房,099-4405,北海道,斜里郡清里町,羽衣町18-11,0152-25-2888,N.A.,http://www.mugikobo.com/,食料品,
クリニック清里,099-4405,北海道,斜里郡清里町,羽衣町35-35,0152-25-3005,0152-25-3008,http://www.clinic-kiyosato.jp/,医院・診療所・療養所,
ロッジ風景画,099-4403,北海道,斜里郡清里町,字向陽785-6,0152-25-3330,0152-25-3330,http://www.fuukeiga.net/,ホテル・ペンション,
毘和吉,099-4405,北海道,斜里郡清里町,羽衣町24,0152-25-3810,0152-26-7501,http://www12.plala.or.jp/,レストラン,
ベストカタヤマ清里店,099-4406,北海道,斜里郡清里町,水元町11-6,0152-25-3818,0152-25-3960,http://www.bestdenki.ne.jp/,家電,
清里イーハトーヴユースホステル,099-4403,北海道,斜里郡清里町,字向陽282,0152-25-3995,0152-25-2643,http://www.vc-net.ne.jp/,公共宿泊施設,
きよさと観光協会,099-4406,北海道,斜里郡清里町,水元町12,0152-25-4111,0152-26-7508,http://www.kiyosatokankou.com/,観光・温泉・銭湯,
有限会社しんこう,099-4406,北海道,斜里郡清里町,水元町28-8,0152-25-4200,0152-25-4201,http://shari-shinkou.com/,総合・職別工事業,
住留,099-4525,北海道,斜里郡清里町,緑町71-45,0152-26-7860,0152-26-7860,http://www.ju-ru.com/,旅館・民宿,
