▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
新島観光協会,100-0400,東京都,新島村,黒根2-1,04992-5-0001,04992-5-0946,http://www.kanko-kyokai-niijima.net/,観光・温泉・銭湯,
式根島漁協,100-0511,東京都,新島村,式根島935,04992-7-0006,04992-7-0179,http://shikigyo.web.fc2.com/,組合・団体,
新島小学校,100-0402,東京都,新島村,本村2丁目1-1,04992-5-0009,04992-5-0948,http://www.niijima.com/,小・中・高・大学等,
新島村立式根島小学校,100-0511,東京都,新島村,式根島244,04992-7-0009,04992-7-0578,http://www.shikinejima.com/,小・中・高・大学等,
株式会社宮原,100-0402,東京都,新島村,本村1丁目1-5,04992-5-0016,04992-5-1248,http://shimajiman.com/,酒・飲料品,
新島村立式根島中学校,100-0511,東京都,新島村,式根島166,04992-7-0017,04992-7-0579,http://www.shikinejima.com/,小・中・高・大学等,
美松屋,100-0511,東京都,新島村,式根島291-2,04992-7-0037,04992-7-0037,http://www.mimatu.net/,旅館・民宿,
みや藤,100-0402,東京都,新島村,本村6丁目4-14,04992-5-0053,04992-5-0079,http://www.miyatou.com/,製造・加工（食料品）,
池太商店,100-0402,東京都,新島村,本村6丁目3-3,04992-5-0118,04992-5-0388,http://www.iketa.com/,製造・加工（食料品）,
大阪屋,100-0511,東京都,新島村,式根島778,04992-7-0163,04992-7-0827,http://www.niigata-osakaya.com/,旅館・民宿,
松原荘,100-0511,東京都,新島村,式根島242,04992-7-0176,04992-7-0527,http://www.shikinejima.net/,総合・職別工事業,
新中央航空株式会社,100-0400,東京都,新島村,川原,04992-5-0180,0162-32-5113,http://www.central-air.co.jp/,交通機関,
東京電力株式会社,100-0402,東京都,新島村,本村6-8-10,04992-5-0183,N.A.,http://www.tepco.co.jp/index-j.html,水道・ガス・電力,
東海汽船株式会社新島営業所,100-0400,東京都,新島村,クロネ,04992-5-0187,N.A.,http://www.tokaikisen.co.jp/,運送・貨物・倉庫,
マルマン,100-0402,東京都,新島村,本村5丁目5-10,04992-5-0222,03-3366-6681,https://www.majesty-golf.com/jp/,食料品,
新島物産株式会社／海運黒根営業所,100-0400,東京都,新島村,クロネ,04992-5-0234,04992-5-0176,http://www.niijima.co.jp/,運送・貨物・倉庫,
新島村役場,100-0402,東京都,新島村,本村1丁目1-1,04992-5-0240,04992-5-1304,http://www.niijima.com/,市区町村機関,
ラメールSHIKINE,100-0511,東京都,新島村,式根島127-2,04992-7-0240,04992-7-0036,http://www.shikine.com/,ホテル・ペンション,
新島物産株式会社／本社,100-0402,東京都,新島村,本村1丁目7-1,04992-5-0250,04992-5-0246,http://www.niijima.co.jp/,造園,
キデー,100-0402,東京都,新島村,本村4丁目5-15,04992-5-0258,N.A.,http://kidey.seesaa.net/,旅館・民宿,
東京都／産業労働局／島しょ農林水産総合センター／大島事業所／新島分室,100-0402,東京都,新島村,本村6丁目4-24,04992-5-0281,04992-5-0287,http://www.soumu.metro.tokyo.jp/,都道府県機関,
かねやま,100-0511,東京都,新島村,式根島22-2,04992-7-0303,04992-7-0376,http://shikinejima.net/,旅館・民宿,
