▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
ソフトバンク新庄イオンタウン,996-0001,山形県,新庄市,五日町字清水川1311-1,0233-28-0008,0233-29-4256,http://www.softbank.jp/,電話・通信,
ネッツトヨタ山形株式会社／新庄店,996-0041,山形県,新庄市,大字鳥越702-8,0233-22-0010,0233-22-6272,http://netzyamagata.jp/,車検・整備・修理,
しみずの湯,996-0001,山形県,新庄市,五日町1284-35,0233-28-0020,0233-23-5830,http://www.unionsocialsystem.com/,観光・温泉・銭湯,
ボンテラン工法研究会事務局,996-0071,山形県,新庄市,小田島町7-36,0233-32-0022,0233-22-0932,http://bonterrain.jp/,組合・団体,
柿崎マルカハウジング,996-0025,山形県,新庄市,若葉町5-5,0233-28-0022,0233-22-8034,http://www.kaki-zaki.co.jp/,総合・職別工事業,
はなの舞新庄店,996-0023,山形県,新庄市,沖の町5-7,0233-28-0031,0233-28-0041,http://www.chimney.co.jp/,飲み屋,
家庭教師協会新庄事務局,996-0023,山形県,新庄市,沖の町4-33-2F,0233-22-0033,N.A.,http://www.katekyo.co.jp/,塾・予備校,
NECフィールディング株式会社新庄地区センター,996-0025,山形県,新庄市,若葉町9-11-1F,0233-23-0052,N.A.,http://www.fielding.co.jp/,電話・通信,
株式会社トヨタレンタリース山形新庄駅前店,996-0023,山形県,新庄市,沖の町1-4,0233-23-0100,0233-23-0103,http://www.rent-toyota.co.jp/,リース・レンタル,
株式会社バイタルネット新庄支店,996-0053,山形県,新庄市,大字福田711-194,0233-28-0122,022-384-1156,https://www.vitalnet.jp/,販売・卸（医薬・化粧品）,
株式会社酒のやまや新庄店,996-0041,山形県,新庄市,大字鳥越490,0233-28-0128,N.A.,http://www.yamaya.jp/,酒・飲料品,
HAIRSALON・LOG,996-0022,山形県,新庄市,住吉町8-15-1F,0233-32-0132,N.A.,http://www.hairsalon-log.com/,美容院・理容店・毛髪業,
有限会社ジェイピィディ山形,996-0041,山形県,新庄市,鳥越497-5,0233-28-0134,0233-28-0135,http://www.jpd-yamagata.com/,OA機器,
幸楽苑新庄店,996-0002,山形県,新庄市,金沢1129-1,0233-28-0136,0233-28-0136,http://www.kourakuen.co.jp/,ラーメン,
太陽生命保険株式会社新庄支社,996-0023,山形県,新庄市,沖の町2-4-3F,0233-28-0155,0233-29-4331,http://www.taiyo-seimei.co.jp/,証券・保険・商品先物,
ほっともっと新庄バイパス店,996-0002,山形県,新庄市,金沢1804-4,0233-28-0165,0233-28-0166,http://www.hottomotto.com/,弁当・宅配,
グラッシーデザイン,996-0031,山形県,新庄市,末広町14-2,0233-32-0196,0233-32-0197,http://webglassy.jp/,IT・情報通信,
新庄市役所／わくわく新庄,996-0033,山形県,新庄市,下金沢町15-11,0233-23-0197,0233-23-0297,http://www.city.shinjo.yamagata.jp/,市区町村機関,
かっぱ寿司新庄店,996-0002,山形県,新庄市,金沢1803-10,0233-28-0227,045-224-7401,http://www.kappa-create.co.jp/,中華・中国料理,
株式会社ヨコタ東北／第二工場,996-0053,山形県,新庄市,大字福田711-141,0233-32-0236,0233-32-0237,http://www.yokota-co.co.jp/,製造・加工（化学・プラスチック）,
国土交通省新庄河川事務所／経理課,996-0071,山形県,新庄市,小田島町5-55,0233-22-0252,0233-23-2894,http://www.thr.mlit.go.jp/,官公署,
国土交通省新庄河川事務所／工務第二課,996-0071,山形県,新庄市,小田島町5-55,0233-22-0256,0233-23-7350,http://www.thr.mlit.go.jp/,官公署,
株式会社ダイユー,996-0053,山形県,新庄市,大字福田福田山711-170,050-3775-0262,0233-29-2410,http://www.daiyu-seat.co.jp/,製造・加工（衣料関連）,
医療法人光仁会新庄クリニック,996-0031,山形県,新庄市,末広町8-23,0233-28-0277,0233-23-8810,http://www.kojin-kai.or.jp/,泌尿器科,
アド・デザイン（AD）,996-0002,山形県,新庄市,金沢1593-2,0233-23-0302,0233-23-0428,http://www.shinjo.co.jp/,IT・情報通信,
福田茶舗,996-0027,山形県,新庄市,本町3-3,0233-22-0323,0233-28-8587,http://www.fukudaen.jp/,酒・飲料品,
新庄市社会福祉協議会／地域包括支援センター,996-0001,山形県,新庄市,五日町240-2,0233-28-0330,0233-28-0331,https://www.ymgt-shakyo.or.jp/,組合・団体,
富樫米肥店,996-0028,山形県,新庄市,万場町5-10,0233-22-0335,0233-22-8765,http://www.togashi-kome.com/,食料品,
こらっせ新庄,996-0027,山形県,新庄市,本町4-33,0233-23-0345,0233-23-0346,http://www.colasse.jp/,コンビニ・スーパー・デパート,
株式会社ヨークベニマル／新庄下田店,996-0002,山形県,新庄市,金沢2243-1,0233-28-0345,0233-28-0346,http://www.fujiya-peko.co.jp/,コンビニ・スーパー・デパート,
株式会社高橋履物店ハッシュパピーS・S新庄店（HUSHPUPPIES）,996-0023,山形県,新庄市,沖の町4-43,0233-22-0348,0233-22-6310,http://www.hushpuppies.co.jp/,靴・かばん・小物,
HAIR-ATELIER-garden,996-0088,山形県,新庄市,桧町16-7,0233-32-0355,N.A.,http://hairatelier-garden.jp/,美容院・理容店・毛髪業,
フェリスはり灸院,996-0002,山形県,新庄市,金沢1572-11,0233-32-0370,N.A.,http://feliz-harikyu.com/,あん摩・はり・きゅう,
司法書士柴田事務所,996-0076,山形県,新庄市,城西町3-36-N-2A,0233-32-0396,0233-32-0397,http://office-shibata.jp/,士業・コンサルタント,
円満寺,996-0001,山形県,新庄市,五日町5914,0233-22-0433,N.A.,http://www.yenmanji.jp/,宗教,
つたや本店,996-0021,山形県,新庄市,常葉町3-25,0233-22-0434,0233-23-3188,http://www.kappo-tutaya.co.jp/,魚料理,
昭和食堂,996-0071,山形県,新庄市,小田島町4-7,0233-22-0447,N.A.,http://www.kaihan.co.jp/,レストラン,
弁護士法人リーガルスピリット新庄法律事務所,996-0027,山形県,新庄市,本町4-33-5F,0233-32-0461,0233-32-0462,http://www.obara-law.jp/,士業・コンサルタント,
株式会社トークス／新庄営業所,996-0084,山形県,新庄市,大手町1-20,0233-22-0463,N.A.,http://www.tohcs.com/,家電,
駅レンタカー新庄営業所,996-0024,山形県,新庄市,多門町1-1,0233-23-0526,0233-23-0526,http://www.jrerl.co.jp/,リース・レンタル,
吉田カメラ新庄店,996-0022,山形県,新庄市,住吉町2-8,0233-22-0553,0233-22-0553,http://www.yoshidacamera-shinjo.com/,生活用品,
新庄市役所／中央学童保育所,996-0085,山形県,新庄市,堀端町7-40,0233-23-0600,0233-23-0600,http://www.city.shinjo.yamagata.jp/,幼稚園・保育施設,
パリス文化服装専門学校,996-0023,山形県,新庄市,沖の町2-15,0233-22-0604,0233-22-0604,http://www.paris.ac.jp/,専修学校,
株式会社NIPPOコーポレーション新庄出張所,996-0041,山形県,新庄市,大字鳥越1501-19,0233-23-0611,0233-22-1957,http://www.nippo-c.co.jp/,総合・職別工事業,
株式会社スズキ自販青森,996-0025,山形県,新庄市,若葉町16-14,0233-22-0635,0233-22-0635,http://www.suzuki.co.jp/,その他サービス,
やすらぎトウメキ,996-0001,山形県,新庄市,五日町1086-15,0233-32-0638,0233-32-0639,http://yasuragi-fukushi.co.jp/,介護・福祉,
鳥越八幡宮,996-0041,山形県,新庄市,大字鳥越1224,0233-22-0646,N.A.,http://www.torigoehachiman.org/,宗教,
株式会社オーシャンレンタカー,996-0021,山形県,新庄市,常葉町1-30,0233-22-0672,0233-22-0699,http://www.ocean-r.com/,リース・レンタル,
新庄市体育館,996-0002,山形県,新庄市,金沢3072-2,0233-22-0681,0233-22-0691,http://www.city.shinjo.yamagata.jp/,スポーツ施設,
アサイボデー,996-0041,山形県,新庄市,大字鳥越71-11,0233-23-0723,0233-23-0733,http://www2.plala.or.jp/bodyasai/,車検・整備・修理,
ユニバーサル・ツール,996-0053,山形県,新庄市,大字福田711-84,0233-32-0728,0233-32-0729,http://universaltool.co.jp/,製造・加工（金属製品）,
整体なごみ,996-0031,山形県,新庄市,末広町8-29,0233-32-0753,0233-32-0753,http://ir753.com/,整体等各種療術,
みちのく政宗デンタルクリニック新庄診療所,996-0001,山形県,新庄市,五日町字清水川1292-1,0233-32-0755,0233-32-0755,http://www.michinoku-masamune-shinjo.com/,歯科系,
株式会社新庄・鈴木・柴田組,996-0091,山形県,新庄市,十日町2760-1,0233-32-0770,0233-23-0458,http://www.sssconst.com/,総合・職別工事業,
マルハン新庄店,996-0021,山形県,新庄市,常葉町1-15,0233-28-0777,0233-28-0712,http://www.maruhan.co.jp/,屋内遊戯,
大手町デイサービス,996-0084,山形県,新庄市,大手町2-83,0233-32-0811,0233-32-0801,http://www.ootemachi.jp/,介護・福祉,
株式会社森環境技術研究所,996-0071,山形県,新庄市,小田島町7-36,0233-22-0832,0233-22-0932,http://mori-kankyo.co.jp/,環境,
グループホーム大手町和心,996-0084,山形県,新庄市,大手町1-25,0233-32-0866,0233-23-6130,http://www.ootemachi.jp/,介護・福祉,
株式会社双葉建設コンサルタント,996-0002,山形県,新庄市,金沢字谷地田1399-11,0233-22-0891,0233-22-0200,http://www.futaba-c.co.jp/,印刷・出版,
おんみょうじ歯科医院,996-0027,山形県,新庄市,本町4-43,0233-22-0893,0233-22-5233,http://ommyoji-sika.com/,歯科系,
株式会社マルミツ観光,996-0053,山形県,新庄市,福田字福田山771-162,0233-22-0896,0233-23-3355,http://www.marumitsu-sangyo.co.jp/,不動産・賃貸,
住友生命保険相互会社山形支社新庄支部,996-0025,山形県,新庄市,若葉町7-8,0233-22-0984,0233-22-6625,http://www.sumitomolife.co.jp/,証券・保険・商品先物,
株式会社ヒラタ住工設備,996-0079,山形県,新庄市,千門町5番1号,0233-23-0990,0233-23-0999,http://www.hiratajk.com/,建設業・工務店,
山形スバル株式会社,996-0041,山形県,新庄市,鳥越2844-2,0233-23-1001,0233-23-3494,http://www.yamagatasubaru.com/,製造・加工（輸送機械器具）,
東京海上日動火災保険株式会社新庄支社,996-0025,山形県,新庄市,若葉町9-43,0233-23-1010,0233-23-1037,http://www.tokiomarine-nichido.co.jp/,証券・保険・商品先物,
アークベル新庄営業所,996-0041,山形県,新庄市,鳥越玉ノ木1899-9,0233-23-1032,0233-22-9947,http://www.arkbell.net/,貸衣裳,
英智学館／新庄本校,996-0035,山形県,新庄市,鉄砲町1-23,0233-28-1044,0233-28-1044,http://eichikan.co.jp/,塾・予備校,
