▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社荘内銀行／金山支店,999-5402,山形県,最上郡金山町,大字金山406,0233-52-2005,0233-52-2007,http://www.shonai.co.jp/,金融・郵貯・貸金,
有限会社匠まさの,999-5402,山形県,最上郡金山町,金山637,0233-52-2015,0233-52-2016,http://www.masano-group.co.jp/,製造・加工（木製品・紙・パルプ関連）,
金山町立／金山小学校,999-5402,山形県,最上郡金山町,大字金山108-2,0233-52-2069,0233-52-2885,http://academic3.plala.or.jp/,小・中・高・大学等,
金山町社会福祉協議会,999-5402,山形県,最上郡金山町,大字金山561,0233-52-2099,023-622-5866,https://www.ymgt-shakyo.or.jp/,組合・団体,
金山ケミテック株式会社,N.A.,山形県,最上郡金山町,大字朴山914,0233-52-2101,N.A.,http://mono-yamagata.jp/,製造・加工（鉄鋼製品）,
金山町役場,999-5402,山形県,最上郡金山町,大字金山324-1,0233-52-2111,0233-52-2004,http://www.town.kaneyama.yamagata.jp/,市区町村機関,
有限会社カイセイカンパニー,N.A.,山形県,最上郡金山町,364,0233-52-2119,0233-52-2119,http://www.kaisei-company.com/,介護・福祉,
有限会社たくみまさの,999-5402,山形県,最上郡金山町,大字金山637-4,0233-52-2126,0233-52-2016,http://www.masano-group.co.jp/,総合・職別工事業,
株式会社佐藤渡辺金山営業所,999-5406,山形県,最上郡金山町,大字山崎802,0233-52-2131,0233-52-3853,http://www.watanabesato.co.jp/,総合・職別工事業,
かねほ食堂,999-5402,山形県,最上郡金山町,大字金山410,0233-52-2138,N.A.,http://samidare.jp/,レストラン,
阿部建築研究室,999-5406,山形県,最上郡金山町,大字山崎327,0233-52-2318,0233-52-2098,http://www.aads.info/,リフォーム,
認定こども園めごたま,999-5402,山形県,最上郡金山町,大字金山2277,0233-52-2355,0233-52-2034,http://www.megotama.or.jp/,幼稚園・保育施設,
有限会社青柳工務店,999-5402,山形県,最上郡金山町,金山496,0233-52-2358,0233-23-2397,http://www.kaneyamasugi.co.jp/,リフォーム,
金山町森林組合,999-5406,山形県,最上郡金山町,山崎34-5,0233-52-2840,0233-52-2740,http://kaneyamasugi.com/,組合・団体,
ロイヤルネットワーク株式会社,N.A.,山形県,最上郡金山町,大字金山280-18,0233-52-2843,N.A.,http://www.usachan.co.jp/,その他サービス,
山形県立／金山高等学校,999-5402,山形県,最上郡金山町,大字金山248-2,0233-52-2887,0233-52-3575,http://www.kaneyama-h.ed.jp/,小・中・高・大学等,
金山農業協組／営農部,999-5402,山形県,最上郡金山町,大字金山456-30,0233-52-2892,0233-52-2233,http://www.ja-kaneyama.jp/,組合・団体,
公文式金山教室,999-5402,山形県,最上郡金山町,大字金山514-2,0233-52-7639,0233-29-5522,http://www.kumon.ne.jp/,塾・予備校,
セブンイレブン／山形金山町店,999-5406,山形県,最上郡金山町,大字山崎345-1,0233-52-7673,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
シェーネスハイム金山,999-5401,山形県,最上郡金山町,大字有屋1400,0233-52-7761,0233-52-7781,http://www.shenesuhaimu.ecnet.jp/,公共宿泊施設,
