▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
ささはら総合診療科,986-0763,宮城県,本吉郡南三陸町,志津川字汐見町23,0226-47-1066,N.A.,http://www.s-sasahara.jp/,医院・診療所・療養所,
株式会社エムズ志津川物流センター・東北営業所,986-0725,宮城県,本吉郡南三陸町,志津川字沼田150-148,0226-47-1135,0226-47-1136,http://ms-uni.com/,運送・貨物・倉庫,
アルファーダイヤモンド工業株式会社,986-0725,宮城県,本吉郡南三陸町,志津川字沼田150-88,0226-47-1155,0226-47-1122,http://www.alpha-dia.co.jp/,製造・加工（工作機械・一般機械器具）,
ダイビングサービスグラントスカルピン（GruntSculpin）,986-0743,宮城県,本吉郡南三陸町,志津川字南町31,0226-47-1510,0226-47-1517,http://www.gruntsculpin.com/,スポーツ用品,
株式会社ヤマウチ／IT通販事業部,986-0754,宮城県,本吉郡南三陸町,志津川字助作56-3,0226-47-1533,0226-46-6665,http://www.yamauchi-f.com/,食料品,
株式会社モトキ,986-0729,宮城県,本吉郡南三陸町,志津川字天王前3-3,0226-47-1755,0226-47-1756,http://motoki.co.jp/,製造・加工（工作機械・一般機械器具）,
特別養護老人ホームいこいの海・あらと,986-0714,宮城県,本吉郡南三陸町,志津川字蒲の沢190-1,0226-46-1820,0226-46-1821,http://www.mirakukai.com/,介護・福祉,
宮城県漁業協同組合／歌津支所,988-0451,宮城県,本吉郡南三陸町,歌津字管の浜64-1,0226-36-2002,0226-36-2344,http://www.jf-miyagi.com/,組合・団体,
株式会社仙台銀行／歌津支店,988-0453,宮城県,本吉郡南三陸町,歌津字伊里前89-3,0226-36-2006,0226-42-2616,http://www.sendaibank.co.jp/,金融・郵貯・貸金,
宮城県漁業協同組合／歌津支所／名足出張所,988-0431,宮城県,本吉郡南三陸町,歌津字名足81-2,0226-36-2028,0226-36-2338,http://www.jf-miyagi.com/,組合・団体,
株式会社及善商店,986-0768,宮城県,本吉郡南三陸町,志津川字御前下59-1-B-12,0226-46-2048,0226-46-2038,http://www.oizen.co.jp/,食料品,
山庄建設株式会社,N.A.,宮城県,本吉郡南三陸町,歌津字伊里前244-7,0226-36-2077,0226-36-2065,http://www.yamasyou-kensetu.co.jp/,建設業・工務店,
阿部明久,986-0754,宮城県,本吉郡南三陸町,志津川字助作1-1-15-5,0226-46-2112,N.A.,http://www.ikyu.com/,レストラン,
丸栄水産工業株式会社,988-0442,宮城県,本吉郡南三陸町,歌津番所72-1,0226-36-2115,0226-36-2374,http://www.utatsu.com/,販売・卸（食料品）,
有限会社大清,986-0782,宮城県,本吉郡南三陸町,入谷字桜沢225-1,0226-46-2131,0226-47-1023,http://www.rakuten.co.jp/,食料品,
有限会社佐武商店,986-0741,宮城県,本吉郡南三陸町,志津川十日町24-2,0226-46-2154,0226-46-2157,http://satakes.net/,販売・卸（その他）,
渡辺海苔店,986-0708,宮城県,本吉郡南三陸町,志津川字松井田43-4,0226-46-2172,0226-46-3045,http://watanabenori.jp/,食料品,
有限会社遠幸,986-0766,宮城県,本吉郡南三陸町,志津川黒崎76-15,0226-46-2368,0226-46-5081,http://www12.plala.or.jp/,水産業,
南三陸清観荘,988-0441,宮城県,本吉郡南三陸町,歌津字田の頭105-2,0226-36-2414,0226-36-3320,http://www.seikanso.com/,旅館・民宿,
ホテル観洋,986-0766,宮城県,本吉郡南三陸町,志津川字黒崎99-17,0226-46-2442,0226-46-6200,https://www.mkanyo.jp/,旅館・民宿,
ファミリーマート志津川廻館店,986-0768,宮城県,本吉郡南三陸町,志津川字御前下42-1,0226-47-2526,0226-47-2526,http://www.family.co.jp/,コンビニ・スーパー・デパート,
南三陸町観光協会,986-0768,宮城県,本吉郡南三陸町,志津川字御前下59-1,0226-47-2550,0226-46-3080,http://www.m-kankou.jp/,観光・温泉・銭湯,
ファミリーマート志津川清水浜店,986-0709,宮城県,本吉郡南三陸町,志津川字内井田16-2,0226-47-2585,N.A.,http://www.family.co.jp/,コンビニ・スーパー・デパート,
南三陸町役場,986-0725,宮城県,本吉郡南三陸町,志津川字沼田56-2,0226-46-2600,0226-46-5348,http://www.town.minamisanriku.miyagi.jp/,市区町村機関,
ローソン／南三陸小森店,986-0774,宮城県,本吉郡南三陸町,志津川字小森32-1,0226-46-2629,N.A.,https://www.e-map.ne.jp/p/lawson/,コンビニ・スーパー・デパート,
株式会社七十七銀行志津川支店,986-0725,宮城県,本吉郡南三陸町,志津川字沼田150-34,0226-46-2633,0220-22-5097,http://www.77bank.co.jp/,金融・郵貯・貸金,
南三陸町立／入谷小学校,986-0782,宮城県,本吉郡南三陸町,入谷字童子下193-2,0226-46-2655,0226-46-2654,http://academic4.plala.or.jp/,小・中・高・大学等,
宮城県漁業協同組合／志津川支所／製氷工場,986-0733,宮城県,本吉郡南三陸町,志津川字旭ケ浦8,0226-46-2662,0225-21-5640,http://www.jf-miyagi.com/,組合・団体,
宮城県漁業協同組合／志津川支所,986-0717,宮城県,本吉郡南三陸町,志津川字袖浜45-1,0226-46-2800,0226-46-6672,http://www.m-kankou.jp/,組合・団体,
みなさん館,988-0451,宮城県,本吉郡南三陸町,歌津字管の浜57-1,0226-36-2816,0226-25-9277,http://minasankan.com/,食料品,
宮城県漁業協同組合／志津川支所／魚市場,986-0733,宮城県,本吉郡南三陸町,志津川字旭ケ浦8,0226-46-2869,0226-46-2868,http://www.jf-miyagi.com/,組合・団体,
佐藤工業,986-0713,宮城県,本吉郡南三陸町,志津川字平貝187,0226-46-2887,046-270-3093,http://www.satokogyo.co.jp/,製造・加工（その他）,
株式会社仙台銀行,N.A.,宮城県,本吉郡南三陸町,歌津字管の浜194,0226-36-3090,N.A.,http://www.sendaibank.co.jp/,金融・郵貯・貸金,
郵便局株式会社,988-0431,宮城県,本吉郡南三陸町,歌津名足46-1,0226-36-3114,N.A.,http://map.japanpost.jp/,その他サービス,
株式会社さかなのみうら,986-0764,宮城県,本吉郡南三陸町,志津川字大久保170-4,0226-46-3126,0226-46-3675,http://www.sakananomiura.com/,食料品,
南三陸警察署,986-0725,宮城県,本吉郡南三陸町,志津川字沼田150-118,0226-46-3131,0226-46-3654,http://www.police.pref.miyagi.jp/,消防・警察,
株式会社丸荒及川商店,988-0444,宮城県,本吉郡南三陸町,歌津字泊浜22,0226-36-3228,0226-36-3102,http://www.maruara.jp/,食料品,
釣船清重丸,988-0442,宮城県,本吉郡南三陸町,歌津字番所83,0226-36-3257,0226-36-3180,http://www.seijyumaru.com/,釣り,
株式会社ニュー泊崎荘,988-0442,宮城県,本吉郡南三陸町,歌津字番所34,0226-36-3315,0226-36-2345,http://tomarizakisou.jp/,旅館・民宿,
旭洋設備工業株式会社,986-0728,宮城県,本吉郡南三陸町,志津川字天王山135-5,0226-46-3412,0226-46-5319,http://www.kyokuyo-co.co.jp/,建設業・工務店,
株式会社行場商店,986-0733,宮城県,本吉郡南三陸町,志津川旭ヶ浦13,0226-46-3520,0226-46-5516,http://www.gyouba.co.jp/,販売・卸（食料品）,
宮城県志津川高等学校,986-0775,宮城県,本吉郡南三陸町,志津川字廻館92-2,0226-46-3643,0226-46-3648,https://sizugawa-hs.myswan.ed.jp/,小・中・高・大学等,
南三陸町立／志津川小学校,986-0753,宮城県,本吉郡南三陸町,志津川字城場41,0226-46-3645,0226-46-5743,http://academic4.plala.or.jp/,小・中・高・大学等,
