▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
カートピアジャンボ株式会社,004-0811,北海道,札幌市清田区,美しが丘1条8丁目1-1,011-884-0000,011-884-2858,http://www.cartopianet.co.jp/,中古車・買取,
オフ・ハウス（OFF・HOUSE）／平岡店,004-0876,北海道,札幌市清田区,平岡6条1丁目1-15,011-886-0001,011-886-0251,http://www.hardoff.co.jp/,リサイクルショップ,
七田チャイルドアカデミー／札幌清田教室,004-0862,北海道,札幌市清田区,北野2条3丁目2-1-2,011-883-0001,011-883-0001,https://www.eqwel.jp/,幼児教室,
公文式平岡南教室,004-0871,北海道,札幌市清田区,平岡1条6丁目1-26,011-885-0004,N.A.,http://www.kumon.ne.jp/,塾・予備校,
清田中央整骨院,004-0834,北海道,札幌市清田区,真栄4条2丁目20-10,011-886-0007,011-884-8756,http://清田中央整骨院.com/,整体等各種療術,
らーめんてつや／平岡店,004-0875,北海道,札幌市清田区,平岡5条1丁目2-1,011-882-0008,N.A.,http://tetsuya-noodles.com/,ラーメン,
株式会社ユニ商会,004-0801,北海道,札幌市清田区,里塚1条4-1-5,011-886-0010,011-886-0030,http://www.yunishoukai.co.jp/,設備工事業,
北海道三菱自動車販売株式会社／里塚店,004-0801,北海道,札幌市清田区,里塚1条4丁目15-1,011-882-0011,011-882-0018,http://www.hokkaido-mitsubishi.com/,車検・整備・修理,
日本原料株式会社,004-0814,北海道,札幌市清田区,美しが丘4条8丁目1番20号,011-884-0024,N.A.,http://www.genryo.co.jp/,製造・加工（工作機械・一般機械器具）,
札幌ヨシダネーム,004-0848,北海道,札幌市清田区,清田8条3-1-7,011-883-0026,N.A.,http://usy.sakura.ne.jp/,販売・卸（日用品）,
株式会社青木石材店,004-0801,北海道,札幌市清田区,里塚1条4丁目13-2,011-881-0055,011-881-0047,http://www.aokisekizaiten.co.jp/,葬儀,
泰和石油株式会社／ジョイア北野店,004-0863,北海道,札幌市清田区,北野3条5丁目26-12,011-881-0061,011-881-0041,http://www.2525r.com/,ガソリンスタンド,
札幌トヨペット株式会社／里塚店,004-0801,北海道,札幌市清田区,里塚1条4丁目2-12,011-883-0066,011-883-0066,http://www.sapporo-toyopet.jp/,車検・整備・修理,
レスポアール,004-0843,北海道,札幌市清田区,清田3条2丁目12-13,011-882-0068,011-885-1789,http://www.l-espoir.co.jp/,貸衣裳,
有限会社古林ロードサービス,004-0862,北海道,札幌市清田区,北野2条2-14-18,011-882-0080,N.A.,http://www.furubayashi-rs.com/,その他サービス,
産業健診センター,004-0841,北海道,札幌市清田区,清田1条1丁目1-36,011-884-0090,011-884-0091,http://www.s-sanken.com/,人間ドック,
北雄ラッキー株式会社／北野店,004-0867,北海道,札幌市清田区,北野7条5丁目12-20,011-883-0101,011-883-1614,http://www.hokuyu-lucky.co.jp/,コンビニ・スーパー・デパート,
マルハン美しが丘店,004-0811,北海道,札幌市清田区,美しが丘1条5丁目2-25,011-886-0105,011-886-4664,http://www.maruhan.co.jp/,屋内遊戯,
札幌東急リフォーム株式会社平岡店,004-0877,北海道,札幌市清田区,平岡7条2丁目2-30,011-886-0109,011-886-8109,http://www.s-tokyu-rf.jp/,総合・職別工事業,
釜寅羊ヶ丘店,004-0842,北海道,札幌市清田区,清田2条1丁目3-16,011-888-0111,N.A.,http://www.kamatora.jp/,弁当・宅配,
札幌ひいらぎクリニック,004-0811,北海道,札幌市清田区,美しが丘1条6丁目2-1,011-885-0111,N.A.,http://www.sapporo-hiiragi.com/,精神科・心療内科,
株式会社パスカル,004-0865,北海道,札幌市清田区,北野5条3丁目12番地8号,011-883-0115,011-883-0323,http://www.pascal-co-ltd.co.jp/,製造・加工（工作機械・一般機械器具）,
札幌緑愛病院,004-0861,北海道,札幌市清田区,北野1条1丁目6-30,011-883-0121,011-883-7261,http://www.ryokuai.com/,医院・診療所・療養所,
日本衛生株式会社,004-0871,北海道,札幌市清田区,平岡1条1-1-40,011-888-0122,011-888-0414,http://www.nihoneisei.jp/,販売・卸（建設資材）,
アートコーポレーション株式会社,004-0871,北海道,札幌市清田区,平岡1条6-2-50,011-889-0123,N.A.,http://www.the0123.com/,運送・貨物・倉庫,
高齢者弁当宅配クックワン・ツゥ・スリー札幌中央店,004-0803,北海道,札幌市清田区,里塚3条2丁目5,011-882-0123,03-5427-3982,http://www.takuhaicook123.jp/,弁当・宅配,
特別養護老人ホーム緑愛園,004-0861,北海道,札幌市清田区,北野1条1丁目6-28,011-884-0123,011-884-8751,http://www.hokurou.or.jp/,介護・福祉,
北海道医療（生協）,004-0861,北海道,札幌市清田区,北野1条1-6-30,011-883-0170,011-883-5510,http://www.ryokuai.com/,医院・診療所・療養所,
アンサポート株式会社,004-0873,北海道,札幌市清田区,平岡3条4丁目14-14,011-375-0175,011-375-0173,http://www.ansupport87.com/,水道・ガス・電力,
