▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
ほっともっと矢本大曲店,981-0502,宮城県,東松島市,大曲字筒場48-26,0225-84-1010,0225-84-1011,http://www.hottomotto.com/,弁当・宅配,
社会福祉法人やすらぎ会グループホームやすらぎ,981-0301,宮城県,東松島市,牛網字駅前2丁目29-12,0225-86-1030,0225-87-4811,http://yasuragikai.or.jp/,介護・福祉,
ツルハドラッグ／矢本関の内店,981-0503,宮城県,東松島市,矢本字関の内53,0225-84-1077,N.A.,http://www.tsuruha.co.jp/,薬,
東松島市シルバー人材センター（公益社団法人）,981-0303,宮城県,東松島市,小野字新宮前5,0225-86-1097,0225-86-1277,http://www.higasimatsusima-sjc.biz-web.jp/,求人,
有限会社晴,981-0501,宮城県,東松島市,赤井字中浦8-3,0225-84-1103,0225-84-1104,http://www.haru-co.jp/,総合・職別工事業,
東松島市役所,981-0503,宮城県,東松島市,矢本字上河戸36-1,0225-82-1111,0225-82-8143,http://www.city.higashimatsushima.miyagi.jp/,市区町村機関,
ファッションセンターしまむら矢本店,981-0502,宮城県,東松島市,大曲字堰の内南108,0225-84-1112,N.A.,http://www.shimamura.gr.jp/,洋服,
株式会社伊澤製作所宮城工場,981-0304,宮城県,東松島市,川下字内響132-13,0225-86-1123,0225-86-1152,http://www.izawa-ss.co.jp/,製造・加工（化学・プラスチック）,
ほっともっと矢本インター店,981-0503,宮城県,東松島市,矢本字上河戸286-4,0225-84-1131,0225-84-1132,http://www.hottomotto.com/,弁当・宅配,
株式会社上東五和,981-0413,宮城県,東松島市,新東名3-4-14,0225-86-1131,0225-88-3154,http://jotoitsuwa.com/,造園,
クラフトハートトーカイ・矢本店,981-0502,宮城県,東松島市,大曲字堰の内南144-3,0225-84-1141,N.A.,http://www.fujikyu-corp.co.jp/,裁縫・手芸,
サンクス矢本インター前店,981-0503,宮城県,東松島市,矢本字上河戸286-10,0225-84-1171,0225-84-1171,http://www.circleksunkus.jp/,コンビニ・スーパー・デパート,
東松島市／矢本東市民センター,981-0503,宮城県,東松島市,矢本字町浦154,0225-82-1180,0225-98-9333,http://www.city.higashimatsushima.miyagi.jp/,市区町村機関,
東松島市／矢本西市民センター,981-0503,宮城県,東松島市,矢本字上河戸292-6,0225-82-1181,0225-82-1181,http://www.city.higashimatsushima.miyagi.jp/,市区町村機関,
ヤナギモト・インシュアランス・オフィス,981-0501,宮城県,東松島市,赤井字新川前40-5,0225-84-1188,N.A.,http://www.dairitenhp.com/,電話・通信,
有限会社海馬工苑,981-0415,宮城県,東松島市,浅井字下館58-2,0225-86-1215,0225-86-1216,http://kaima-kouen.co.jp/,農業,
有限会社スペイン書房,981-0501,宮城県,東松島市,赤井字南栄町5-4,0225-84-1280,0225-84-1283,http://www.spainshobo.com/catalog/index.php,販売・卸（その他）,
仙台ペインクリニック石巻分院,981-0501,宮城県,東松島市,赤井字八反谷地99-1,0225-82-1310,0225-82-1315,http://www.itamitoru.jp/,医院・診療所・療養所,
マルスギ株式会社,981-0501,宮城県,東松島市,赤井字寺48,0225-82-1344,N.A.,http://www.marusugi.co.jp/,製造・加工（その他）,
泉新機械工業株式会社,981-0504,宮城県,東松島市,小松字上塚田,0225-84-1351,0225-82-1381,http://www.senshin-kk.co.jp/,リース・レンタル,
トイザらス石巻矢本店,981-0504,宮城県,東松島市,小松字上浮足43,0225-83-1363,N.A.,http://www2.toysrus.co.jp/,おもちゃ・キャラクタ,
株式会社奥松島公社,981-0303,宮城県,東松島市,小野字新宮前5,0225-86-1511,0225-86-1545,http://www.okumatsusima.jp/,観光・温泉・銭湯,
ファミリーマート矢本航空自衛隊前店,981-0503,宮城県,東松島市,矢本字南浦202,0225-84-1512,N.A.,http://www.family.co.jp/,コンビニ・スーパー・デパート,
株式会社アムスエンジニアリング,981-0304,宮城県,東松島市,川下字内響132-23,0225-86-1521,0225-87-3510,http://www.ams-eco.co.jp/,設備工事業,
株式会社アムスエンジニアリング,981-0304,宮城県,東松島市,川下字内響132-13,0225-86-1531,0225-87-3510,http://www.ams-eco.co.jp/,空調,
ぱんぷきん株式会社,N.A.,宮城県,東松島市,小野新宮前15番地1,0225-86-1533,0225-86-1534,http://care-net.biz/,介護・福祉,
株式会社木村土建本社／エコランドキムラ,981-0505,宮城県,東松島市,大塩字五台23-2,0225-82-1543,0225-83-4143,http://www.kimuradoken.jp/,廃棄物処理,
バリュー・ザ・ホテル矢本,981-0504,宮城県,東松島市,小松字谷地183-1,0225-84-1567,0225-84-1568,http://www.valuethehotel.jp/,ホテル・ペンション,
WaiWaiPET矢本店,981-0504,宮城県,東松島市,小松字谷地222,0225-84-1577,0225-82-8145,http://www.waiwai-pet.com/,ペットショップ,
株式会社電動舎石巻営業所,981-0501,宮城県,東松島市,赤井字寺119-6,0225-84-1590,045-501-1633,http://www.dendousya.co.jp/,リース・レンタル,
有限会社フジヤ,N.A.,宮城県,東松島市,小松字上浮足43,0225-84-1601,0225-84-1602,http://www.fujiya-m.co.jp/,洋服,
社会福祉法人やすらぎ会,981-0301,宮城県,東松島市,牛網字駅前2丁目29-10,0225-86-1611,0225-87-4811,http://yasuragikai.or.jp/,介護・福祉,
有限会社テイスティ伊藤,981-0501,宮城県,東松島市,赤井字南三242-1,0225-84-1630,0225-83-2821,http://www.teisuthi.co.jp/,販売・卸（食料品）,
かっぱ寿司石巻店,981-0501,宮城県,東松島市,赤井字鷲塚6,0225-84-1646,045-224-7401,http://www.kappa-create.co.jp/,中華・中国料理,
デイサービスセンター百合の里・ショートステイ百合の里,981-0309,宮城県,東松島市,根古字今泉13-6,0225-86-1671,0225-86-1672,http://care-net.biz/,介護・福祉,
セントケア宮城株式会社石巻矢本営業所,981-0503,宮城県,東松島市,矢本字上河戸95-5,0225-84-1751,0225-84-1752,http://www.saint-care.com/,介護・福祉,
東松島市役所／矢本ひと・まち交流館,981-0503,宮城県,東松島市,矢本字北浦25,0225-84-1770,0225-82-8143,http://www.city.higashimatsushima.miyagi.jp/,市区町村機関,
宮城県漁業協同組合／矢本支所,981-0502,宮城県,東松島市,大曲字沼尻14-2,0225-82-2006,0225-82-3022,http://www.jf-miyagi.com/,組合・団体,
東松島市立／鳴瀬桜華小学校,981-0303,宮城県,東松島市,小野字裏丁39,0225-87-2014,0225-87-2921,http://www.pref.miyagi.jp/,N.A.,
東松島市立／鳴瀬未来中学校,981-0303,宮城県,東松島市,小野字裏丁1,0225-87-2018,0225-87-2860,http://www.city.higashimatsushima.miyagi.jp/,N.A.,
東松島市商工会／鳴瀬支所,981-0303,宮城県,東松島市,小野字中央21-1,0225-87-2026,0225-87-3195,http://www.higamatu.miyagi-fsci.or.jp/,組合・団体,
