▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
外ヶ浜町役場,030-1303,青森県,東津軽郡外ヶ浜町,字蟹田高銅屋44-2,0174-31-1111,0174-31-1215,http://www.town.sotogahama.lg.jp/,市区町村機関,
株式会社カナモト,030-1303,青森県,東津軽郡外ヶ浜町,字蟹田内黒山12-48,0174-31-1880,0174-31-1881,http://www.kanamoto.co.jp/,リース・レンタル,
外ヶ浜町役場三厩支所,030-1733,青森県,東津軽郡外ヶ浜町,字三厩新町18-1,0174-37-2001,0174-37-2540,http://www.town.sotogahama.lg.jp/,市区町村機関,
青森農業協同組合／蟹田統括支店／蟹田営農支援センター,030-1303,青森県,東津軽郡外ヶ浜町,字蟹田111,0174-22-2004,0174-22-3260,http://www.jaaomori.or.jp/,N.A.,
ホテル竜飛,030-1711,青森県,東津軽郡外ヶ浜町,字三厩龍浜54-274,0174-38-2011,0174-38-2105,http://www.hoteltappi.co.jp/,ホテル・ペンション,
義経寺,030-1732,青森県,東津軽郡外ヶ浜町,字三厩家ノ上76,0174-37-2045,0174-37-2498,http://jodo.jp/,宗教,
株式会社木戸食品／ご注文受付,030-1308,青森県,東津軽郡外ヶ浜町,字下蟹田29-1,0174-22-2051,0174-22-2612,http://www.kidofood.co.jp/,弁当・宅配,
青森県信用組合三厩支店,030-1731,青森県,東津軽郡外ヶ浜町,字三厩本町54,0174-37-2117,N.A.,http://www.aomoriken.shinkumi.co.jp/,金融・郵貯・貸金,
浜乃食堂,030-1411,青森県,東津軽郡外ヶ浜町,字平舘根岸山居38-1,0174-25-2125,N.A.,http://hamanoshokudou.blog.fc2.com/,レストラン,
外ヶ浜警察署,030-1302,青森県,東津軽郡外ヶ浜町,字蟹田中師苗代沢3,0174-22-2211,N.A.,http://www.police.pref.aomori.jp/,消防・警察,
社会福祉法人外ヶ浜町社会福祉協議会／蟹田支所,030-1303,青森県,東津軽郡外ヶ浜町,字蟹田60,0174-22-2250,0174-22-3927,http://www.s-syakyo.jp/,組合・団体,
財団法人青函トンネル記念館,030-1711,青森県,東津軽郡外ヶ浜町,三厩龍浜99,0174-38-2301,0174-38-2303,http://seikan-tunnel-museum.jp/,不動産・賃貸,
北星レジン工業株式会社,030-1303,青森県,東津軽郡外ヶ浜町,蟹田姥ケ沢25-26,0174-22-2335,0174-22-3065,http://hokuseirezin.com/,製造・加工（化学・プラスチック）,
新光電気,030-1733,青森県,東津軽郡外ヶ浜町,字三厩新町20-2,0174-37-2481,0174-37-2482,http://www.shinko.co.jp/,家電,
ヤマキ木浪海産,030-1416,青森県,東津軽郡外ヶ浜町,字平舘磯山25,0174-25-2649,0174-25-2425,http://www.aomorishokoren.or.jp/,食料品,
龍飛旅館,030-1728,青森県,東津軽郡外ヶ浜町,字三厩中浜110,0174-37-2666,0174-37-2667,http://www.tappi-kankou.com/,旅館・民宿,
社会福祉法人外ヶ浜町社会福祉協議会,030-1412,青森県,東津軽郡外ヶ浜町,平舘野田鳴川208,0174-25-2780,0174-25-2781,http://www.s-syakyo.jp/,介護・福祉,
津軽海峡亭民宿・食堂,030-1711,青森県,東津軽郡外ヶ浜町,字三厩龍浜50,0174-38-2855,0174-38-2855,https://kaikyotei.tumblr.com/#_=_,旅館・民宿,
株式会社マエダ,030-1302,青森県,東津軽郡外ヶ浜町,字蟹田中師火箱沢29-35,0174-22-2900,N.A.,http://www.i-maeda.co.jp/,コンビニ・スーパー・デパート,
蟹田保育園,030-1305,青森県,東津軽郡外ヶ浜町,字蟹田小国岩井291-1,0174-22-2910,0174-22-2910,http://www.kanitahoikuen.jp/,幼稚園・保育施設,
外ヶ浜町総合福祉センター,030-1308,青森県,東津軽郡外ヶ浜町,字下蟹田43-2,0174-22-2941,0174-31-1060,http://www.kanitamachi.jp/,介護・福祉,
むつ湾フェリー株式会社,030-1302,青森県,東津軽郡外ヶ浜町,蟹田中師宮本160,0174-22-3020,0174-22-2593,http://www.mutsuwan-ferry.jp/,運送・貨物・倉庫,
有限会社北福海産,030-1411,青森県,東津軽郡外ヶ浜町,平舘根岸湯の沢1-5,0174-25-3067,0174-25-2526,http://kitafuku-kaisan.jp/,製造・加工（食料品）,
パチンコ・ザ・ビッグ8,030-1309,青森県,東津軽郡外ヶ浜町,字上蟹田56-1,0174-22-3166,0172-35-0365,http://gaghh.googletr.org/,屋内遊戯,
有限会社丸章工務店／作業所,030-1305,青森県,東津軽郡外ヶ浜町,字蟹田小国坂元200-3,0174-22-3825,0174-22-3840,http://www.marushokoumuten.co.jp/,総合・職別工事業,
特別養護老人ホームあじさい,030-1733,青森県,東津軽郡外ヶ浜町,字三厩新町8,0174-31-7000,0174-31-7007,http://www.ajisaikai.or.jp/,介護・福祉,
