▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社ツルハ調剤薬局ツルハドラッグ平内店,039-3321,青森県,東津軽郡平内町,大字小湊字外ノ沢40,017-758-1041,017-758-1041,http://www.tsuruha.co.jp/,薬,
株式会社亀田商店,039-3332,青森県,東津軽郡平内町,清水川大川添76,017-756-2007,017-756-2424,http://www.kabu-kameda.com/,製造・加工（食料品）,
辻村酒店,039-3321,青森県,東津軽郡平内町,小湊字小湊73-2,017-755-2024,017-755-3791,http://www.sake-tsujimura.com/,販売・卸（食料品）,
サンデー平内店,039-3321,青森県,東津軽郡平内町,大字小湊字外ノ沢40,017-755-2030,N.A.,http://www.sunday.co.jp/,生活用品,
青い森鉄道小湊駅,039-3321,青森県,東津軽郡平内町,大字小湊字下タ田12-1,017-755-2034,N.A.,http://aoimorirailway.com/,交通機関,
株式会社大水石油商会,039-3321,青森県,東津軽郡平内町,小湊字小湊195-1,017-755-2037,017-755-2533,http://www.showa-shell.co.jp/,ガソリンスタンド,
株式会社ハケタ水産,039-3332,青森県,東津軽郡平内町,清水川和山52-8,017-756-2100,017-755-2392,http://www.haketa-suisan.co.jp/,製造・加工（食料品）,
社会福祉法人三康福祉会,039-3332,青森県,東津軽郡平内町,清水川和山71,017-756-2109,017-756-2109,http://aozoramidorigaoka.web.fc2.com/,幼稚園・保育施設,
平内町役場／総務課,039-3321,青森県,東津軽郡平内町,大字小湊字小湊63,017-755-2111,017-755-2145,http://www.town.hiranai.aomori.jp/,市区町村機関,
みちのく銀行小湊支店,039-3321,青森県,東津軽郡平内町,大字小湊字小湊193-1,017-755-2151,N.A.,http://www.michinokubank.co.jp/,金融・郵貯・貸金,
青森県産業技術センター／水産総合研究所,039-3381,青森県,東津軽郡平内町,大字茂浦字月泊10,017-755-2155,017-755-2156,http://www.aomori-itc.or.jp/,組合・団体,
夏泊ゴルフリンクス,039-3301,青森県,東津軽郡平内町,大字東田沢10-230,017-759-2211,017-759-2212,http://www.natsudomari-gl.co.jp/,ゴルフ,
青森農業協同組合／平内統括支店,039-3321,青森県,東津軽郡平内町,大字小湊字愛宕7-1,017-755-2211,017-755-2264,http://www.jaaomori.or.jp/,組合・団体,
