▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社ひさげ運輸,999-7781,山形県,東田川郡庄内町,余目字月屋敷219-1,0234-42-0202,0234-42-0698,http://hisageunyu.net/,運送・貨物・倉庫,
ホテル泉,999-7781,山形県,東田川郡庄内町,余目字町204-6,0234-45-0210,0234-42-1011,http://murakara.shokokai.or.jp/,旅館・民宿,
有限会社米シスト庄内／物流センター,999-7766,山形県,東田川郡庄内町,久田字寺前8-1,0234-45-0328,0234-45-0338,http://www.beisist.co.jp/,食料品,
オイルケミカルサービス株式会社,999-7762,山形県,東田川郡庄内町,家根合字中荒田33-2,0234-45-0331,0234-42-1877,http://www.e-ocs.jp/,廃棄物処理,
眞華院,999-7781,山形県,東田川郡庄内町,余目字下梵天塚57-10,0234-42-0346,0234-42-0346,http://www.shingein.jp/,宗教,
全国農業協同組合連合会庄内本部畜産部畜産販売課,999-7762,山形県,東田川郡庄内町,家根合字中荒田21-2,0234-45-0455,0234-45-0525,https://www.zennoh.or.jp/,組合・団体,
サンクス荘内余目店,999-7707,山形県,東田川郡庄内町,廿六木字苧漬沼36-1,0234-45-0521,N.A.,http://www.circleksunkus.jp/,コンビニ・スーパー・デパート,
有限会社小野工務店,999-7781,山形県,東田川郡庄内町,余目字館之内41-3,0234-43-0565,0234-21-7322,http://www.onoaaru.com/,不動産,
株式会社アロマ,999-7781,山形県,東田川郡庄内町,余目字六人塚132-1,0234-42-0655,0234-42-0589,http://business4.plala.or.jp/,製造・加工（装置・設備）,
株式会社グローバルマシーン庄内工場,999-7781,山形県,東田川郡庄内町,余目字大塚25,0234-42-0707,0234-42-1276,http://g-machine.co.jp/,製造・加工（工作機械・一般機械器具）,
山形ソリューションビジネス株式会社,999-7781,山形県,東田川郡庄内町,余目字沢田108-1,0234-43-0728,0234-43-0738,http://www.ysbkk.com/,ソフトウェア,
有限会社ジョイントサービス,999-7725,山形県,東田川郡庄内町,沢新田字矢之羽5-2,0234-45-0735,0234-42-1567,http://www.syukakubijin.com/,農業,
余目町農業協同組合／エコマット製造施設,999-7781,山形県,東田川郡庄内町,余目字六人塚151-1,0234-42-0750,0234-42-1266,http://www.ja-amarume.or.jp/,組合・団体,
株式会社アクティオ,999-7781,山形県,東田川郡庄内町,余目字月屋敷108-5,0234-42-0771,0234-42-0766,http://www.aktio.co.jp/,リース・レンタル,
出光リテール販売株式会社東北カンパニー余目バイパス営業所,999-7781,山形県,東田川郡庄内町,余目字土堤下26-2,0234-42-1001,0234-42-1004,http://www.idemitsu-rh.co.jp/,ガソリンスタンド,
株式会社大商金山牧場／酒田本店,999-7762,山形県,東田川郡庄内町,家根合字中荒田21-2,0234-45-1029,0234-45-1035,http://www.taisho-meat.co.jp/,販売・卸（食料品）,
医療法人徳洲会老人保健施設あかね,999-6603,山形県,東田川郡庄内町,添津字家ノ下97,0234-51-1100,0234-56-2236,http://www2.plala.or.jp/,介護・福祉,
有限会社米シスト庄内,999-7767,山形県,東田川郡庄内町,深川字新田31,0234-42-1181,0234-42-1214,http://www.beisist.co.jp/,販売・卸（食料品）,
株式会社日本アビリチーズ社,N.A.,山形県,東田川郡庄内町,払田3-2,0234-42-1185,0234-42-1213,http://www.abili.co.jp/,その他サービス,
セレモニーホール庄内,999-7781,山形県,東田川郡庄内町,余目字土堤下37-1,0234-45-1211,0234-42-2011,http://www.arkbell-ceremony.com/,葬儀,
アクア庄内,999-7781,山形県,東田川郡庄内町,余目字土堤下36-1,0234-42-1212,0234-42-1955,http://www.exeamarume.co.jp/,スポーツ施設,
イグゼ便利便,999-7781,山形県,東田川郡庄内町,余目字土堤下36-1-3F,0234-45-1225,N.A.,http://www.exeamarume.co.jp/,代行・支援サービス,
マックスバリュ東北株式会社／余目店,999-7781,山形県,東田川郡庄内町,余目字滑石57-1,0234-45-1265,0234-42-2120,http://www.mv-tohoku.co.jp/,コンビニ・スーパー・デパート,
株式会社NIPPO,999-7713,山形県,東田川郡庄内町,常万字臂曲16-1,0234-45-1271,0234-42-1216,http://www.nippo-c.co.jp/,建設業・工務店,
兵六玉,999-7781,山形県,東田川郡庄内町,余目字土堤下26-15,0234-42-1285,N.A.,http://www.hyourokudama.co.jp/indexmain.html,飲み屋,
庄内すこやか薬局,999-7781,山形県,東田川郡庄内町,余目字猿田91-1,0234-45-1311,0234-45-1312,http://www.sukoyaka-21.co.jp/,薬,
ファッションセンターしまむら余目店,999-7781,山形県,東田川郡庄内町,余目字滑石59-1,0234-45-1322,N.A.,http://www.shimamura.gr.jp/,洋服,
ホームセンターチャンピオン余目店,999-7781,山形県,東田川郡庄内町,余目字滑石56-1,0234-42-1333,0234-42-2510,http://www.champion.co.jp/,コンビニ・スーパー・デパート,
石井範子行政書士事務所,999-7707,山形県,東田川郡庄内町,廿六木字三百地45-17,0234-45-1362,0234-45-1374,http://www3.ic-net.or.jp/,士業・コンサルタント,
余目町農業協同組合／自動車S・C,999-7781,山形県,東田川郡庄内町,余目字滑石54-3,0234-45-1455,0234-42-1266,http://www.ja-amarume.or.jp/,車検・整備・修理,
余目町農業協同組合／総務部,999-7781,山形県,東田川郡庄内町,余目字三人谷地172,0234-45-1500,0234-42-1266,http://www.ja-amarume.or.jp/,組合・団体,
余目町農業協同組合／信用部／貯金係,999-7781,山形県,東田川郡庄内町,余目字三人谷地172,0234-45-1501,0234-42-1266,http://www.ja-amarume.or.jp/,組合・団体,
余目町農業協同組合／信用部／共済係,999-7781,山形県,東田川郡庄内町,余目字三人谷地172,0234-45-1502,0234-42-1266,http://www.ja-amarume.or.jp/,組合・団体,
余目町農業協同組合／信用部／相談係,999-7781,山形県,東田川郡庄内町,余目字三人谷地172,0234-45-1503,0234-42-1266,http://www.ja-amarume.or.jp/,組合・団体,
余目町農業協同組合／営農部／畜産係,999-7781,山形県,東田川郡庄内町,余目字三人谷地172,0234-45-1504,0234-42-1266,http://www.ja-amarume.or.jp/,組合・団体,
余目町農業協同組合／営農部／米穀係,999-7781,山形県,東田川郡庄内町,余目字三人谷地172,0234-45-1505,0234-42-1266,http://www.ja-amarume.or.jp/,組合・団体,
余目町農業協同組合／営農部／園芸特産係,999-7781,山形県,東田川郡庄内町,余目字三人谷地172,0234-45-1506,0234-42-1266,http://www.ja-amarume.or.jp/,組合・団体,
余目町農業協同組合／営農部／生産資材,999-7781,山形県,東田川郡庄内町,余目字三人谷地172,0234-45-1507,0234-42-1266,http://www.ja-amarume.or.jp/,組合・団体,
余目町農業協同組合／Aコープあまるめ,999-7781,山形県,東田川郡庄内町,余目字三人谷地172,0234-45-1508,0234-42-1266,http://www.ja-amarume.or.jp/,組合・団体,
余目町農業協同組合／生活センター／和室,999-7781,山形県,東田川郡庄内町,余目字三人谷地172,0234-45-1509,0234-42-1266,http://www.ja-amarume.or.jp/,組合・団体,
余目町農業協同組合／生活センター／憧夢苑,999-7781,山形県,東田川郡庄内町,余目字三人谷地172,0234-45-1510,0234-42-1266,http://www.ja-amarume.or.jp/,組合・団体,
前田製管株式会社／新材料事業部,999-7781,山形県,東田川郡庄内町,余目字沢田15,0234-42-1551,0234-42-1488,http://www.maeta.co.jp/,製造・加工（建築資材）,
ほっともっと余目町店,999-7781,山形県,東田川郡庄内町,余目字上朝丸98-1,0234-45-1606,0234-45-1607,http://www.hottomotto.com/,弁当・宅配,
やくけっちゃーの,999-7781,山形県,東田川郡庄内町,余目字沢田108-1,0234-42-1666,0234-42-1667,http://yakuke.exeamarume.co.jp/,レストラン,
なんでもバザールあっでば,999-7781,山形県,東田川郡庄内町,余目字沢田108-1,0234-42-1777,0234-42-1777,http://addeba.n-da.jp/,食料品,
株式会社ダイユーエイト庄内余目店,999-7781,山形県,東田川郡庄内町,余目字滑石64-1,0234-42-1801,0234-42-180,http://www.daiyu8.co.jp/,生活用品,
JR東日本狩川駅,999-6601,山形県,東田川郡庄内町,狩川字今岡,0234-56-2019,N.A.,http://www.jreast-timetable.jp/,交通機関,
株式会社エーコープ庄内,N.A.,山形県,東田川郡庄内町,狩川字楯下98-1,0234-56-2029,0234-22-3555,http://www.acoop-shonai.co.jp/,コンビニ・スーパー・デパート,
成澤医院,999-6606,山形県,東田川郡庄内町,清川字腹巻野45-1,0234-57-2030,0234-57-2753,http://narisawaiin.com/,内科系,
国土交通省新庄河川事務所立谷沢川砂防出張所,999-6601,山形県,東田川郡庄内町,狩川字堅田20-23,0234-56-2050,0234-56-2081,http://www.thr.mlit.go.jp/,官公署,
郵便局株式会社,999-7781,山形県,東田川郡庄内町,余目矢口47,0234-42-2117,0234-42-2117,http://map.japanpost.jp/,その他サービス,
小林鉄工所,999-7781,山形県,東田川郡庄内町,余目字谷地田21-3,0234-42-2127,N.A.,http://www.chuck.co.jp/,総合・職別工事業,
