▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
鮫川村図書館,963-8401,福島県,東白川郡鮫川村,大字赤坂中野字新宿64-2,0247-29-1150,0247-29-1150,http://www.vill.samegawa.fukushima.jp/,図書館,
鮫川たんぽぽの家,963-8407,福島県,東白川郡鮫川村,大字赤坂西野字岡田59-1,0247-49-2022,0247-49-2099,http://samegawa-tanpopo.vis.ne.jp/,介護・福祉,
福島県立修明高等学校鮫川校,963-8401,福島県,東白川郡鮫川村,大字赤坂中野字宿ノ入83,0247-49-2029,0247-49-3109,https://shumei-h-samegawa.fcs.ed.jp/,小・中・高・大学等,
郵便局株式会社,963-8405,福島県,東白川郡鮫川村,渡瀬上耕地153,0247-48-2166,N.A.,http://map.japanpost.jp/,その他サービス,
有限会社花月庭園,963-8407,福島県,東白川郡鮫川村,赤坂西野字萩ノ沢22,0247-49-2397,0247-49-2677,http://kagetsu-teien.com/,総合・職別工事業,
ほっとはうす・さめがわ,963-8403,福島県,東白川郡鮫川村,大字赤坂東野字葉貫71,0247-48-2555,0247-48-2555,http://www.hothouse-samegawa.com/,市区町村機関,
鮫川村役場／農産物加工直売所手・まめ・館,963-8401,福島県,東白川郡鮫川村,大字赤坂中野字巡ヶ作116,0247-49-2556,0247-49-2445,http://www.samegawa-temamekan.com/,市区町村機関,
有限会社藤精螺,963-8408,福島県,東白川郡鮫川村,西山字発地岡,0247-49-2559,N.A.,http://www.fuji-seira.co.jp/,製造・加工（鉄鋼製品）,
鮫川村役場／総務課,963-8401,福島県,東白川郡鮫川村,大字赤坂中野字新宿39-5,0247-49-3111,0247-49-2651,http://www.vill.samegawa.fukushima.jp/,市区町村機関,
鮫川村役場／農林課,963-8401,福島県,東白川郡鮫川村,大字赤坂中野字新宿39-5,0247-49-3114,0247-49-2112,http://www.vill.samegawa.fukushima.jp/,市区町村機関,
鮫川村役場／企画調整課,963-8401,福島県,東白川郡鮫川村,大字赤坂中野字新宿39-5,0247-49-3115,0247-49-3363,http://www.vill.samegawa.fukushima.jp/,市区町村機関,
鮫川村役場／地域整備課／建設,963-8401,福島県,東白川郡鮫川村,大字赤坂中野字新宿39-5,0247-49-3116,0247-49-3363,http://www.vill.samegawa.fukushima.jp/,市区町村機関,
鮫川村役場／教育委員会,963-8401,福島県,東白川郡鮫川村,大字赤坂中野字巡ヶ作128,0247-49-3151,0247-49-3152,http://www.vill.samegawa.fukushima.jp/,市区町村機関,
中井住宅木販株式会社,N.A.,福島県,東白川郡鮫川村,大字,0247-49-3161,0247-49-3162,http://www.njm-precut.co.jp/,製造・加工（その他）,
鮫川村役場／農業委員会,963-8401,福島県,東白川郡鮫川村,大字赤坂中野字新宿39-5,0247-49-3197,0247-49-2112,http://www.vill.samegawa.fukushima.jp/,市区町村機関,
鮫川村役場／議会事務局,963-8401,福島県,東白川郡鮫川村,大字赤坂中野字新宿39-5,0247-49-3198,0247-49-3363,http://www.vill.samegawa.fukushima.jp/,市区町村機関,
特産さめがわ（合同会社）,963-8406,福島県,東白川郡鮫川村,大字富田字彦次郎213,0247-49-3977,N.A.,http://samegawa-egoma.com/,靴・かばん・小物,
