▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
きじまキッズクリニック,999-0121,山形県,東置賜郡川西町,大字上小松915-5,0238-54-0135,0238-46-3360,http://website2.infomity.net/,小児科系,
ファミリーマート川西上小松店,999-0121,山形県,東置賜郡川西町,大字上小松3349-8,0238-54-0330,N.A.,http://www.family.co.jp/,コンビニ・スーパー・デパート,
川西町観光協会,999-0121,山形県,東置賜郡川西町,大字上小松1567,0238-54-1515,0238-54-1516,http://kawanishi-kanko.info/,観光・温泉・銭湯,
協同薬品工業株式会社,992-0601,山形県,東置賜郡川西町,大字西大塚930,0238-46-2001,0238-46-3805,http://www.kyoyaku.co.jp/,製造・加工（医療・薬関連）,
カネジュウニ味噌醤油製造所,999-0122,山形県,東置賜郡川西町,大字中小松2855,0238-42-2008,0238-42-3342,http://www.chuokai-yamagata.or.jp/,製造・加工（食料品）,
株式会社奥田製作所,999-0211,山形県,東置賜郡川西町,洲島5836-1,0238-44-2022,0238-44-2014,http://okudass.co.jp/,印刷・出版,
ゲストハウスとこしえ,992-0601,山形県,東置賜郡川西町,大字西大塚2315,0238-54-2030,0238-54-2032,http://www.riverhill.jp/,不動産,
有限会社酢屋吉正,999-0121,山形県,東置賜郡川西町,大字上小松2540-1,0238-42-2052,0238-42-4575,http://www.suyakissyo.com/,製造・加工（食料品）,
郵便局株式会社,999-0361,山形県,東置賜郡川西町,玉庭3537,0238-48-2058,N.A.,http://map.japanpost.jp/,その他サービス,
川西町役場／東沢活性化センター,999-0151,山形県,東置賜郡川西町,大字大舟910,0238-48-2079,0238-48-2078,http://www.zawa21.net/,市区町村機関,
医療法人川西湖山病院,999-0145,山形県,東置賜郡川西町,大字下奥田3796-20,0238-54-2100,0238-54-2101,http://www.ryokuaikai.com/,医院・診療所・療養所,
山形県立置賜農業高等学校,999-0121,山形県,東置賜郡川西町,大字上小松3723,0238-42-2101,0238-42-2103,http://www.okitama-ah.ed.jp/,小・中・高・大学等,
川西町役場,999-0121,山形県,東置賜郡川西町,大字上小松1567,0238-42-2111,0238-42-2724,http://www.town.kawanishi.yamagata.jp/,市区町村機関,
