▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
東金植木流通センター,N.A.,千葉県,東金市,家之子501-2,0475-53-0001,N.A.,http://park6.wakwak.com/,ガーデニング,
コスモ石油・セルフピュア東金求名SS,283-0002,千葉県,東金市,求名48-1,0475-58-0002,N.A.,http://www.cosmo-oil.co.jp/,ガソリンスタンド,
有限会社高橋屋根工事,N.A.,千葉県,東金市,道庭483-12,0475-54-0004,0475-53-1835,http://www.takahashi-yane.co.jp/,建設業・工務店,
千葉県電気工事工業組合東金支部,N.A.,千葉県,東金市,東岩崎1-5,0475-52-0020,0475-53-0034,http://www.chidenko.jp/,組合・団体,
東金法人会事務局,283-0068,千葉県,東金市,東岩崎1-5,0475-52-0022,0475-52-4397,http://www.togane-hojinkai.or.jp/,組合・団体,
ボビーズフローリストジャパン,N.A.,千葉県,東金市,台方804,0475-50-0025,0475-50-0028,http://bobbys.jp/,ガーデニング,
ヘアー・トランス,N.A.,千葉県,東金市,道庭985-1-102,0475-53-0045,N.A.,http://www.h-trance.com/,美容院・理容店・毛髪業,
プレステージ・コンサルティング株式会社,283-0064,千葉県,東金市,川場1087,0475-52-0052,0475-52-0053,http://www.purestige.co.jp/,士業・コンサルタント,
マルヤマエクセル株式会社,N.A.,千葉県,東金市,小沼田1554-3,0475-52-0066,0475-52-5999,http://www.maruyamaexcell.co.jp/,製造・加工（工作機械・一般機械器具）,
JA山武郡市／東金経済センター,283-0802,千葉県,東金市,東金783,0475-54-0086,0475-54-1701,http://www.ja-sambugunshi.or.jp/,組合・団体,
千葉県／警察本部／東金警察署,N.A.,千葉県,東金市,北之幸谷10-12,0475-54-0110,043-227-9271,http://www.police.pref.chiba.jp/,消防・警察,
山武郡市広域行政組合／消防本部／指令課,283-0062,千葉県,東金市,家徳384-2,0475-55-0119,0475-50-2501,http://www.sanbukouiki-chiba.jp/,消防・警察,
銚子商工信用組合／東金支店,N.A.,千葉県,東金市,東金1059,0475-54-0123,N.A.,http://www.choshi-shoko.co.jp/,金融・郵貯・貸金,
株式会社丸山製作所／物流センター,N.A.,千葉県,東金市,小沼田1554-3,0475-52-0131,0475-54-3574,http://www.maruyama.co.jp/,農業,
株式会社日産サティオ千葉／東金店,283-0005,千葉県,東金市,田間981-1,0475-54-0132,0475-54-0556,https://ns-chiba.nissan-dealer.jp/,自動車販売,
かのと亭／東金店,N.A.,千葉県,東金市,東新宿20-7,0475-50-0151,0475-50-0151,http://www.taiyounosato.co.jp/,レストラン,
仲田タクシー,283-0802,千葉県,東金市,東金1250,0475-54-0181,043-248-6306,http://www.taxi-chiba.jp/,タクシー,
東金市役所／建設経済部／浄化センター,N.A.,千葉県,東金市,家徳256-1,0475-52-0203,0475-52-0204,http://www.city.togane.chiba.jp/,市区町村機関,
タクボエンジニアリング株式会社,N.A.,千葉県,東金市,丘山台2-7,0475-50-0211,0475-50-0231,https://www.takubo.co.jp/j/,製造・加工（工作機械・一般機械器具）,
ヘアーオフ東金店,283-0005,千葉県,東金市,田間587-1,0475-52-0230,0436-43-3387,http://www.toxjapan.co.jp/,美容院・理容店・毛髪業,
ほっともっと東金田間店,N.A.,千葉県,東金市,田間101-24,0475-50-0233,0475-50-0235,http://www.hottomotto.com/,弁当・宅配,
山武郡市広域行政組合／総務課／職員係,283-0068,千葉県,東金市,東岩崎1-17,0475-54-0250,0475-52-1652,http://www.sanbukouiki-chiba.jp/,市区町村機関,
山武郡市広域行政組合／総務課／行政係,N.A.,千葉県,東金市,東岩崎1-17,0475-54-0251,N.A.,http://www.sanbukouiki-chiba.jp/,市区町村機関,
山武郡市広域行政組合／企画財政課／財政係・契約管財係,N.A.,千葉県,東金市,東岩崎1-17,0475-54-0252,0475-52-1652,http://www.sanbukouiki-chiba.jp/,市区町村機関,
山武郡市広域行政組合／企画財政課／企画係,283-0068,千葉県,東金市,東岩崎1-17,0475-54-0253,N.A.,http://www.sanbukouiki-chiba.jp/,市区町村機関,
山武郡市広域行政組合／山武郡市視聴覚教材センター,N.A.,千葉県,東金市,東岩崎1-17,0475-54-0254,0475-52-1652,http://www.sanbukouiki-chiba.jp/,市区町村機関,
玉龍寺,N.A.,千葉県,東金市,北之幸谷164-43,0475-50-0266,045-322-3419,http://www.myoshinji.jp/,宗教,
ウエルシア薬局東金押堀店,283-0065,千葉県,東金市,押堀11-1,0475-50-0271,0475-50-0272,http://www.welcia-yakkyoku.co.jp/,薬,
鴇嶺の家,N.A.,千葉県,東金市,東金421,0475-50-0285,0475-50-0286,http://www.chibasha.com/,介護・福祉,
スターツピタットハウス株式会社ピタットハウス東金店,N.A.,千葉県,東金市,台方475-2,0475-53-0290,0475-53-1937,http://www.starts-ph.co.jp/,不動産・賃貸,
株式会社ジャストウェーブ,N.A.,千葉県,東金市,田間244-2,0475-54-0309,0475-54-0987,http://justwave.net/,販売・卸（その他）,
新日本アルク工業株式会社,N.A.,千葉県,東金市,丘山台3-9-5千葉東テクノグリーンパーク,0475-50-0325,0475-50-0326,http://www.alc-jp.com/,製造・加工（化学・プラスチック）,
税理士高山友二事務所,283-0802,千葉県,東金市,東金720番地,0475-52-0333,N.A.,http://www.tkcnf.com/,アウトソーシング,
サンビコーポレーション株式会社,N.A.,千葉県,東金市,下武射田2356-2,0475-58-0343,0475-58-0373,http://www.sambi.co.jp/,イベント,
くるまやラーメン東金店,N.A.,千葉県,東金市,台方362-1,0475-52-0365,N.A.,http://www.kurumayaramen.co.jp/,中華・中国料理,
山武郡市広域行政組合／教育委員会教育相談センター,283-0068,千葉県,東金市,東岩崎1-17,0475-54-0367,0475-82-2107,http://www.sanbukouiki-chiba.jp/,消防・警察,
コートダジュール東金店,N.A.,千葉県,東金市,田間748-3,0475-50-0388,0475-50-0488,http://www.cotedazur.jp/,プレイスポット,
山武郡市広域行政組合／中央消防署／火災の問い合わせ,283-0062,千葉県,東金市,家徳384-2,0475-52-0404,0475-55-0131,http://www.sanbukouiki-chiba.jp/,消防・警察,
東金デンタルクリニック,N.A.,千葉県,東金市,東金1146,0475-52-0418,N.A.,http://www.shiyuhkai.com/,歯科系,
有限会社櫻田工務店,N.A.,千葉県,東金市,上谷3055,0475-52-0433,0475-52-0433,http://www.sakurada-koumuten.com/,総合・職別工事業,
オーミ株式会社,283-0056,千葉県,東金市,砂古瀬334-3,0475-52-0443,0475-52-0443,http://www.omiomi.com/,販売・卸（工作機械・一般機械器具）,
株式会社サンピアスポーツ,N.A.,千葉県,東金市,東岩崎8-10,0475-52-0450,0475-52-0451,http://www.sunpia-net.com/,その他,
新千葉カントリー倶楽部／予約専用,283-0001,千葉県,東金市,家之子2177,0475-54-0500,0475-52-434,http://www.shinchiba-cc.co.jp/,ゴルフ,
メンズショップ二葉屋,N.A.,千葉県,東金市,東岩崎11-18,0475-55-0510,N.A.,http://www.futabaya288.com/,洋服,
日吉台クリニック,N.A.,千葉県,東金市,日吉台4丁目3-2,0475-53-0510,0475-53-0510,http://www.hiyoshidai-cl.com/,小児科系,
沼沢なつ子バレエスクール,283-0066,千葉県,東金市,南上宿3-24-3,0475-55-0522,0475-55-0522,http://www.numasawa-ballet.com/,ダンス・おどり,
山武郡市広域行政組合／環境衛生課／料金係,N.A.,千葉県,東金市,家徳335-1,0475-54-0531,0475-54-0514,http://www.sanbukouiki-chiba.jp/,市区町村機関,
株式会社スリーヴイ,N.A.,千葉県,東金市,田間155-5東海東金ビル2F,0475-50-0555,0475-50-0666,http://www.three-v.co.jp/,建設業・工務店,
植堀造園,283-0061,千葉県,東金市,北之幸谷1097,0475-55-0572,0475-55-7731,http://www.garden-uehori.com/,建設業・工務店,
山武健康福祉センター,N.A.,千葉県,東金市,東金907-1,0475-54-0611,0475-52-0274,http://www.pref.chiba.lg.jp/,保健所・税務署,
中峰秀雄ギター教室,N.A.,千葉県,東金市,日吉台2丁目8-5,0475-55-0616,N.A.,http://www.nakamineguitar.com/,音楽,
