▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
日本海チケット横手店,013-0055,秋田県,横手市,朝日が丘2丁目5-24,0182-36-0005,0182-36-0006,http://www.nihonkai-ticket.com/,チケット,
東海林整骨院,013-0101,秋田県,横手市,平鹿町上吉田字真角12-1,0182-24-0017,0182-24-1767,http://www.healthyapple.jp/,整体等各種療術,
小川歯科医院,013-0021,秋田県,横手市,大町7-19,0182-32-0019,0182-32-0029,http://www.ogawa-shikaiin.jp/,歯科系,
株式会社薬王堂横手店,013-0060,秋田県,横手市,条里2丁目4-12,0182-36-0020,0182-35-5611,http://www.yakuodo.co.jp/,薬,
横手市／浅舞公民館／蛭野分館,013-0105,秋田県,横手市,平鹿町浅舞字釜池175,0182-24-0027,0182-35-2221,http://www.city.yokote.lg.jp/,市区町村機関,
北都銀行／横手駅前支店,013-0036,秋田県,横手市,駅前町1-15,0182-32-0030,N.A.,http://www.hokutobank.co.jp/,金融・郵貯・貸金,
北都銀行／十文字支店,019-0524,秋田県,横手市,十文字町字本町13-3,0182-42-0044,0182-42-0046,http://www.hokutobank.co.jp/,金融・郵貯・貸金,
アースサポート横手,013-0037,秋田県,横手市,前郷二番町8-33,0182-33-0050,0182-33-0051,http://www.earthsupport.co.jp/,介護・福祉,
井田内科胃腸科医院,019-0529,秋田県,横手市,十文字町字海道下121-4,0182-42-0066,0182-42-3117,http://yokote-ishikai.sakura.ne.jp/,医院・診療所・療養所,
若林栄広堂,013-0024,秋田県,横手市,田中町10-18,0182-32-0077,N.A.,http://www.eikodo.net/,その他修理,
横手市／浅舞公民館／樽見内分館,013-0104,秋田県,横手市,平鹿町樽見内字扇田83,0182-24-0078,0182-35-2221,http://www.city.yokote.lg.jp/,市区町村機関,
秋田銀行十文字支店,019-0524,秋田県,横手市,十文字町字本町9-2,0182-42-0081,N.A.,http://www.akita-bank.co.jp/,金融・郵貯・貸金,
ヒワタシTG株式会社,019-0508,秋田県,横手市,十文字町十五野新田字岡見141,0182-42-0092,0182-42-3481,http://hiwatashi-tg.com/,製造・加工（窯業・土石）,
株式会社富士薬品横手営業所,013-0062,秋田県,横手市,駅南1丁目4-16,0182-32-0098,0182-32-8827,http://www.fujiyakuhin.co.jp/,薬,
村さ来十文字店,019-0509,秋田県,横手市,十文字町梨木字羽場下14-26,0182-42-0099,0182-42-0099,http://www.g-taste.co.jp/,飲み屋,
株式会社フカサワ,013-0104,秋田県,横手市,平鹿町樽見内字扇田126,0182-24-0100,0182-24-2999,http://www.silkpork.com/,農業,
創和技術株式会社横手事務所,013-0102,秋田県,横手市,平鹿町醍醐字釜ノ川105,0182-56-0105,018-863-4658,http://www.sowa-g.co.jp/,士業・コンサルタント,
湯沢河川国道事務所十文字出張所,019-0522,秋田県,横手市,十文字町字西上38,0182-42-0109,0182-42-2881,http://www.thr.mlit.go.jp/,官公署,
エステ&ネイルBeautySalonクレール,013-0031,秋田県,横手市,鍛冶町2-45,0182-36-0120,N.A.,http://claire-csm.jp/,美容・コスメ,
阿櫻酒造株式会社,013-0041,秋田県,横手市,大沢字西野67-2,0182-32-0126,0182-32-3448,http://www.azakura.co.jp/,製造・加工（食料品）,
ダイニングクォード・ボンディーヌ,013-0043,秋田県,横手市,安田字堰端52-1,0182-35-0141,N.A.,http://food.4inn.jp/,レストラン,
有限会社小松百治商店,013-0106,秋田県,横手市,平鹿町中吉田字上藤根92,0182-24-0153,0182-24-3608,http://www.yamahyaku.co.jp/,製造・加工（食料品）,
田畑製材所,013-0042,秋田県,横手市,前郷字上在家56-2,0182-32-0165,0182-32-0167,http://www9.plala.or.jp/,製造・加工（建築資材）,
高橋写真館,013-0101,秋田県,横手市,平鹿町上吉田字川原崎8-1,0182-24-0167,0182-24-0167,http://takahashi-ps.com/,写真館・現像,
株式会社デイライン秋田物流センター,013-0102,秋田県,横手市,平鹿町醍醐字当面町18,0182-56-0170,04-2955-3575,http://www.dayline.co.jp/,運送・貨物・倉庫,
横手やきそば館・ゆう,013-0024,秋田県,横手市,田中町1-16,0182-36-0181,0182-42-5555,http://yakisoba.info/,レストラン,
秋田ふるさと農業協同組合／平鹿総合支店／深間内倉庫,013-0101,秋田県,横手市,平鹿町上吉田字反見24,0182-24-0185,0182-35-2701,http://www.akita-furusato.or.jp/,組合・団体,
蕗月堂,019-0503,秋田県,横手市,十文字町西原一番町74,0182-42-0206,0182-42-0553,http://www.rogetsudo.com/,販売・卸（食料品）,
十文字鉄工株式会社,N.A.,秋田県,横手市,十文字町西原二番町9,0182-42-0214,0182-42-2236,http://www.j-ksk.com/,製造・加工（鉄鋼製品）,
株式会社ツルタック,N.A.,秋田県,横手市,清川町10番4号,0182-32-0220,0182-32-0224,http://www.tsuruta.co.jp/,製造・加工（工作機械・一般機械器具）,
有限会社ボディーショップ仁井田,N.A.,秋田県,横手市,増田町増田字伊勢堂西99-1,0182-45-221,N.A.,http://bs-niida.ftw.jp/,その他サービス,
横手セントラルホテル婚礼宴会予約,013-0035,秋田県,横手市,平和町9-10,0182-32-0234,0182-33-1555,http://www.y-central-hotel.co.jp/,賃貸・レンタル,
太平熔材株式会社日野営業所,019-0524,秋田県,横手市,十文字町字本町17-1,0182-42-0245,0182-42-1516,http://www.taihei-y.co.jp/,燃料,
ホシザキ東北株式会社横手営業所,013-0045,秋田県,横手市,南町10-24,0182-32-0261,N.A.,http://www.hoshizaki.co.jp/,製造・加工（工作機械・一般機械器具）,
東部液化石油株式会社,013-0035,秋田県,横手市,平和町5-51,0182-32-0282,0182-32-0280,http://www.tobuekika.jp/,水道・ガス・電力,
有限会社秋田かまくらミート,013-0044,秋田県,横手市,横山町3-16,0182-33-0291,0182-33-3236,http://www.akitakamakura-meat.com/,販売・卸（食料品）,
