▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
北門信用金庫浦臼支店,061-0600,北海道,樺戸郡浦臼町,字浦臼内172-223,0125-68-2011,N.A.,http://www.shinkin.co.jp/,金融・郵貯・貸金,
砂川警察署／晩生内駐在所,061-0600,北海道,樺戸郡浦臼町,字晩生内228-661,0125-68-2020,N.A.,http://www.sunagawa-syo.police.pref.hokkaido.lg.jp/,消防・警察,
ピンネ農協／浦臼支所,061-0600,北海道,樺戸郡浦臼町,字浦臼内172-6,0125-68-2211,0125-68-2960,http://www.japinne.or.jp/,組合・団体,
株式会社白元浦臼工場,061-0600,北海道,樺戸郡浦臼町,字浦臼内183-324,0125-68-2241,N.A.,http://www.hakugen.co.jp/,製造・加工（化学・プラスチック）,
ホクトヤンマー株式会社,061-0611,北海道,樺戸郡浦臼町,字浦臼内185-5,0125-68-2331,0125-68-2333,https://www.yanmar.com/jp/,製造・加工（工作機械・一般機械器具）,
織田菓子舗,061-0600,北海道,樺戸郡浦臼町,字浦臼内172-58,0125-68-2621,N.A.,http://www.andersen.co.jp/,製造・加工（食料品）,
有限会社鶴沼ワイナリー,061-0600,北海道,樺戸郡浦臼町,字於札内428-17,0125-68-2646,0125-68-2086,http://hokkaido-winetourism.org/,観光・温泉・銭湯,
特別養護老人ホームゆうあいの郷,061-0600,北海道,樺戸郡浦臼町,字キナウスナイ188-70,0125-68-2711,0125-67-3117,http://www.yuuainosato.com/,介護・福祉,
三雄建設株式会社,061-0600,北海道,樺戸郡浦臼町,字浦臼内181-26,0125-68-2871,0125-68-2712,http://sanyuukensetu.jimdo.com/,リフォーム,
有限会社神内ファーム二十一,061-0600,北海道,樺戸郡浦臼町,オサツナイ315-131,0125-67-3301,0125-67-3550,http://www.jinnaifarm21.co.jp/,販売・卸（食料品）,
有限会社甲角産業,061-0600,北海道,樺戸郡浦臼町,晩生内571-24,0126-25-3444,0126-25-3444,http://www.tkcnf.com/,総合・職別工事業,
株式会社北海道アグリマート,061-0600,北海道,樺戸郡浦臼町,於札内381-10,0125-67-3777,0125-67-3767,http://www.kitaiti.com/,食料品,
