▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
介護老人保健施設もえぎ野,355-0153,埼玉県,比企郡吉見町,大字久米田859-1,0493-54-0021,0493-54-0434,http://www.moegino.or.jp/,介護・福祉,
吉見幼稚園,355-0151,埼玉県,比企郡吉見町,大字御所146,0493-54-0028,0493-54-2512,http://www.youchien.ed.jp/,宗教,
吉見学園,355-0167,埼玉県,比企郡吉見町,大字田甲789,0493-54-0055,0493-54-6993,http://tokiwafukushikai.jp/,介護・福祉,
イーストベアー・スポーツ,355-0134,埼玉県,比企郡吉見町,大字大串2550-1,0493-53-0090,0493-54-5088,http://www.east-bear.co.jp/,車検・整備・修理,
ドラッグストアセキ吉見店,355-0137,埼玉県,比企郡吉見町,大字久保田1758-1,0493-53-0200,0493-53-0200,http://www.sekiyakuhin.co.jp/,薬,
有限会社アジア工研,355-0167,埼玉県,比企郡吉見町,大字田甲16-116,0493-53-0381,0493-53-0382,http://www.asiakouken.co.jp/,製造・加工（金属製品）,
伊田テクノス株式会社,355-0155,埼玉県,比企郡吉見町,北吉見2767-5,0493-54-0618,N.A.,http://www.idatechnos.co.jp/,建設業・工務店,
埼玉中部環境センター,355-0134,埼玉県,比企郡吉見町,大字大串2808,0493-54-0666,04-7155-3561,http://www.tyuubu-kankyo.jp/,廃棄物処理,
東上ガス株式会社吉見支店,355-0155,埼玉県,比企郡吉見町,大字北吉見2570-1,0493-54-0691,0493-54-4774,http://www.tojogas.co.jp/,水道・ガス・電力,
吉見町商工会,355-0118,埼玉県,比企郡吉見町,大字下細谷1210,0493-54-0701,0493-54-0743,http://www.yoshimi.or.jp/,組合・団体,
千葉金属工業株式会社東松山工場,355-0156,埼玉県,比企郡吉見町,大字長谷1960,0493-53-0801,03-3965-1913,http://www.chiba-kin.co.jp/,製造・加工（金属製品）,
きみえセレモニーサービス,355-0133,埼玉県,比企郡吉見町,大字江和井1593-1,0493-54-0833,0493-59-8233,http://www.kimie-s.com/,葬儀,
