▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社角星,988-0013,宮城県,気仙沼市,魚町2-1-9,0226-22-0001,0226-23-8978,http://kakuboshi.co.jp/,販売・卸（食料品）,
株式会社角星／小売部,988-0822,宮城県,気仙沼市,切通78,0226-22-0007,0226-22-0007,http://kakuboshi.co.jp/,販売・卸（食料品）,
パーフェクトリバティー教団気仙沼教会,988-0015,宮城県,気仙沼市,浜見山2-5,0226-22-0010,N.A.,http://www.perfect-liberty.or.jp/,組合・団体,
斎勝商店,988-0045,宮城県,気仙沼市,田谷12-7-102,0226-22-0017,0226-22-0084,http://marutei.net/,販売・卸（食料品）,
マルタク株式会社,988-0076,宮城県,気仙沼市,舘山1-1-15,0226-22-0023,0226-22-0042,http://marutaku.co.jp/,販売・卸（電気機械器具）,
臼福商事株式会社,988-0013,宮城県,気仙沼市,魚町2-4-11,0226-22-0052,0226-23-8360,http://www.usufuku.jp/,燃料,
高橋台蔵税理士事務所,N.A.,宮城県,気仙沼市,幸町二丁目4番26号,0226-22-0063,0226-23-5739,http://www.tkcnf.com/,アウトソーシング,
株式会社パルポー,N.A.,宮城県,気仙沼市,神山6-1,0226-23-0066,N.A.,http://www.palpaw.co.jp/,食料品,
平野本店／松川工場,988-0852,宮城県,気仙沼市,松川73-1,0226-24-0069,0226-24-0069,http://hiranohonten.com/,食料品,
うちクリニック,988-0066,宮城県,気仙沼市,東新城1-6-13,0226-23-0087,N.A.,http://www.uchiclinic.jp/,医院・診療所・療養所,
株式会社トヨタレンタリース宮城気仙沼店,988-0053,宮城県,気仙沼市,田中前4丁目1-5,0226-22-0100,0226-23-7135,http://www.trl-miyagi.co.jp/,リース・レンタル,
綜合警備保障株式会社,988-0066,宮城県,気仙沼市,東新城2-10-72F,0226-24-0110,0226-24-2245,http://www.alsok.co.jp/,ビルメンテナンス,
気仙沼漁業協同組合／魚市場内入札場,988-0037,宮城県,気仙沼市,魚市場前590-2,0226-22-0114,0226-23-3406,http://www.kesennuma-gyokyou.or.jp/,組合・団体,
気仙沼中央自動車学校,988-0156,宮城県,気仙沼市,松崎下金取61,0226-22-0124,0226-22-2337,http://www.kesennuma-ds.co.jp/,資格,
社会福祉法人旭が丘学園,988-0076,宮城県,気仙沼市,舘山2-2-32,0226-22-0135,0226-24-8835,http://asahigaoka-gakuen.or.jp/,介護・福祉,
フィレスタ販売株式会社,988-0811,宮城県,気仙沼市,東八幡前120-1,0226-24-0161,0226-24-7849,http://suisankikai.com/,製造・加工（工作機械・一般機械器具）,
横田屋本店,988-0084,宮城県,気仙沼市,八日町1丁目4-8,0226-22-0175,0226-24-1276,http://yokotayahonten.com/,食料品,
大鍋屋本館,988-0013,宮城県,気仙沼市,魚町1丁目3-14,0226-22-0200,0226-22-1724,http://www.onabeya-kesennuma.jp/,旅館・民宿,
株式会社角萬,988-0132,宮城県,気仙沼市,松崎馬場12-1,0226-23-0232,0226-23-6797,http://www.onoman.co.jp/,販売・卸（食料品）,
宮城県漁業協同組合／気仙沼地区支所／鹿折出張所,988-0008,宮城県,気仙沼市,魚浜町11-2,0226-22-0258,0226-22-1641,http://www.jf-miyagi.com/,組合・団体,
福よし,988-0013,宮城県,気仙沼市,魚町2丁目5-7,0226-24-0284,0226-23-1012,http://www.fukuyoshi.tv/,レストラン,
茂木建設株式会社,N.A.,宮城県,気仙沼市,田谷10-15,0226-22-0331,0226-22-8776,http://www.mogiken.co.jp/,建設業・工務店,
パッケージプラザみうら,988-0181,宮城県,気仙沼市,赤岩杉ノ沢73,0226-22-0351,0226-22-5514,https://shimojima.jp/shop/pages/info_package_plaza.aspx,製造・加工（その他）,
株式会社アールテックホーム,988-0124,宮城県,気仙沼市,東新城2丁目10-7,0226-24-0369,0226-24-0258,http://www.rt-home.co.jp/,建設業・工務店,
東邦薬品株式会社気仙沼営業所,988-0053,宮城県,気仙沼市,田中前3丁目2-18,0226-22-0373,0226-22-5787,https://www.tohoyk.co.jp/,販売・卸（医薬・化粧品）,
昭栄庵,988-0181,宮城県,気仙沼市,赤岩杉ノ沢73,0226-23-0378,N.A.,http://wkesennumateamblog.blog.fc2.com/,ラーメン,
三八五流通株式会社／気仙沼引越センター,988-0853,宮城県,気仙沼市,松川前160-1,0226-23-0385,N.A.,http://www.miyago.co.jp/,運送・貨物・倉庫,
村芳特殊水産株式会社,988-0031,宮城県,気仙沼市,潮見町2丁目49,0226-22-0403,0226-22-1887,http://www.murayoshi.jp/,製造・加工（食料品）,
近物レックス株式会社気仙沼営業所,988-0132,宮城県,気仙沼市,松崎馬場13-1,0226-22-0425,0226-24-2644,http://www.kinbutsurex.co.jp/,運送・貨物・倉庫,
丸桂商店,988-0021,宮城県,気仙沼市,港町506-1,0226-22-0433,0226-24-5963,http://sake-marukei.com/,酒・飲料品,
甲州屋,988-0085,宮城県,気仙沼市,三日町3丁目1-24,0226-22-0435,N.A.,http://www.k-macs.ne.jp/,洋服,
株式会社小野徳,988-0085,宮城県,気仙沼市,三日町1丁目2-15,0226-22-0482,0226-24-4300,http://onotoku.com/,食料品,
株式会社萩野谷塗装店,988-0056,宮城県,気仙沼市,上田中1丁目10-6,0226-23-0486,0226-24-3414,http://www.epaint.jp/,リフォーム,
宝屋旅館,988-0077,宮城県,気仙沼市,古町1丁目4-6,0226-22-0487,0599-37-2847,http://www.takaraya-ryo.gr.jp/,旅館・民宿,
カメイ株式会社気仙沼支店／気仙沼油槽所,988-0814,宮城県,気仙沼市,大浦272,0226-22-0491,0226-22-9622,http://www.kamei.co.jp/,販売・卸（日用品）,
みなみまち青空市,988-0017,宮城県,気仙沼市,南町2丁目2-28,0226-22-0502,0226-22-2701,http://www.blueskym.jp/,洋服,
気仙沼カトリック幼稚園,988-0017,宮城県,気仙沼市,南町1丁目1-1,0226-24-0511,0226-24-0511,http://www.tohoku-catholic.ac.jp/,幼稚園・保育施設,
宮城トヨタ自動車株式会社／気仙沼店,988-0042,宮城県,気仙沼市,本郷10-9,0226-22-0528,0226-23-8370,http://www.miyagi-toyota.co.jp/,車検・整備・修理,
モードさいと,988-0053,宮城県,気仙沼市,田中前1-5-11,0226-24-0569,N.A.,http://www.modesaito.com/,洋服,
まるまつ気仙沼店,988-0053,宮城県,気仙沼市,田中前4丁目3-3,0226-24-0580,0226-24-0580,http://re-marumatu.co.jp/,レストラン,
葦の芽幼稚園,988-0077,宮城県,気仙沼市,古町3丁目5-8,0226-24-0583,N.A.,http://www.ashinome.ac.jp/,幼稚園・保育施設,
株式会社千葉喜商店,988-0025,宮城県,気仙沼市,内の脇3-96-1,0226-22-0607,0226-23-9176,http://chibaki-shoten.com/,製造・加工（食料品）,
株式会社八葉水産／冷蔵工場,988-0132,宮城県,気仙沼市,松崎馬場50-1,0226-24-0611,0226-24-2129,http://www.hachiyousuisan.jp/,製造・加工（食料品）,
株式会社斉吉商店本店・工場,988-0042,宮城県,気仙沼市,本郷6-11,0226-22-0669,0226-23-2253,http://www.saikichi-pro.jp/,製造・加工（食料品）,
北野神社,988-0071,宮城県,気仙沼市,新町8-6,0226-22-0694,N.A.,http://kitanojinjya.jp/,宗教,
気仙沼工房,988-0033,宮城県,気仙沼市,川口町2丁目50,0226-22-0731,0226-24-2666,http://kesennuma-koubou.jp/,製造・加工（窯業・土石）,
