▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
ホテルグリーンベル高勘,029-2311,岩手県,気仙郡住田町,世田米字川向36-2,0192-49-1020,0192-49-1022,http://gb-takakan.ftw.jp/,結婚・宴会,
三協フロンテア株式会社住田店,029-2311,岩手県,気仙郡住田町,世田米字赤畑9-10,0192-49-1050,0192-49-1051,http://www.sankyofrontier.com/,リフォーム,
三陸木材高次加工協同組合,029-2311,岩手県,気仙郡住田町,世田米字田谷14-2,0192-49-1088,0192-49-1087,http://www.ginga.or.jp/,販売・卸（建設資材）,
株式会社サキヤマ住田営業所,029-2311,岩手県,気仙郡住田町,世田米字小府金27-11,0192-49-1122,0192-49-1122,http://sakiyama.oofunatowan.com/,弁当・宅配,
けせんホーム,029-2311,岩手県,気仙郡住田町,世田米字田谷27-2,0192-49-1155,0192-49-1156,http://www.ginga.or.jp/,総合・職別工事業,
住田町役場,029-2311,岩手県,気仙郡住田町,世田米字川向96-1,0192-46-2111,0192-46-3515,http://www.town.sumita.iwate.jp/,市区町村機関,
有限会社森谷材木店,029-2311,岩手県,気仙郡住田町,世田米字大崎52,0192-46-2120,0192-46-2459,http://www.iwatenoki.jp/,製造・加工（木製品・紙・パルプ関連）,
住田フーズ株式会社,029-2311,岩手県,気仙郡住田町,世田米字火石5-1,0192-46-2275,0192-46-3671,http://www.ja-zcf.co.jp/,食料品,
有限会社住田食品加工センター,029-2501,岩手県,気仙郡住田町,上有住字船作47-3,0192-48-2285,0192-48-2298,http://www.sumita-skc.com/,販売・卸（食料品）,
有限会社ありす畜産直売所,029-2311,岩手県,気仙郡住田町,世田米字向川口98-3,0192-46-2286,0192-48-2031,http://www.arice-pork.co.jp/,食料品,
社会福祉法人住田町社会福祉協議会,029-2311,岩手県,気仙郡住田町,世田米字川向96-5,0192-46-2300,0192-46-2321,http://sumita-shakyo.jp/,組合・団体,
株式会社住田観光開発,029-2311,岩手県,気仙郡住田町,世田米字世田米駅33,0192-46-2311,0192-46-3631,http://www.shokokai.com/,旅行業・代理店,
有限会社坂井建設,029-2501,岩手県,気仙郡住田町,上有住字上寒倉127,0192-48-2337,0192-48-2337,http://www.sakai-kensetsu-2337.com/,リフォーム,
有限会社ハーネット,029-2311,岩手県,気仙郡住田町,世田米字川向12-1,0192-46-2363,0192-49-1015,http://www.a-hanet.co.jp/,家電,
山一建設株式会社,029-2311,岩手県,気仙郡住田町,世田米字小口洞52-1,0192-46-2430,0192-46-3171,http://yamaiti.ftw.jp/,建設業・工務店,
住田住宅産業株式会社,029-2311,岩手県,気仙郡住田町,世田米日向61-1,0192-46-2465,0192-46-3154,http://www.joho-iwate.or.jp/,リフォーム,
けせんプレカット事業協同組合,029-2311,岩手県,気仙郡住田町,世田米字田谷27-2,0192-46-2757,0192-46-2882,http://www.ginga.or.jp/,製造・加工（木製品・紙・パルプ関連）,
高橋旅館,029-2311,岩手県,気仙郡住田町,世田米字世田米駅68,0192-46-3018,0192-46-3751,http://gb-takakan.ftw.jp/,旅館・民宿,
株式会社岩手銀行／世田米支店,029-2311,岩手県,気仙郡住田町,世田米字世田米駅18,0192-46-3131,0192-46-3474,http://www.iwatebank.co.jp/,金融・郵貯・貸金,
岩手県立住田高等学校,029-2311,岩手県,気仙郡住田町,世田米字川口12-1,0192-46-3141,0192-46-3144,http://www2.iwate-ed.jp/,小・中・高・大学等,
東海精密工業株式会社岩手事業所,029-2311,岩手県,気仙郡住田町,世田米字川向101-1,0192-47-3182,0192-47-3187,http://www.tokai-seimitsu.co.jp/,住まいのクリーニング,
株式会社いわて清流ファーム,029-2501,岩手県,気仙郡住田町,上有住字新田94-143,0192-48-3251,0192-48-3010,http://www.seiryufarm.co.jp/,農業,
気仙川漁業協同組合,029-2311,岩手県,気仙郡住田町,世田米字世田米駅33,0192-46-3841,0192-46-3841,http://www.kesengawa-gyokyo.com/,組合・団体,
カトレア会（NPO法人）,029-2501,岩手県,気仙郡住田町,上有住字長者洞67-1,0192-47-4456,0192-47-4456,http://katorea.jimdo.com/,組合・団体,
