▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
京成百貨店メガネサロン,310-0026,茨城県,水戸市,泉町1丁目6-1,029-227-0001,N.A.,http://www.aimegane.com/,生活用品,
株式会社エスアールエル,311-4141,茨城県,水戸市,赤塚1-2067-3,029-251-0004,N.A.,http://www.srl-group.co.jp/,医院・診療所・療養所,
株式会社タクト・マシン・サービス,310-0803,茨城県,水戸市,城南1-6-10越川ビル2階,029-302-0006,029-302-0016,http://www.tkt.co.jp/,製造・加工（電子・精密機械器具）,
サンクス水戸駅南口店,310-0015,茨城県,水戸市,宮町1丁目7-44-310,029-300-0007,N.A.,http://www.circleksunkus.jp/,コンビニ・スーパー・デパート,
常磐大学・常磐短期大学／アドミッションセンター,310-0911,茨城県,水戸市,見和1丁目430-1,029-232-0007,029-232-2743,http://www.tokiwa.ac.jp/,小・中・高・大学等,
ホテルシーズン,310-0801,茨城県,水戸市,桜川1丁目9-6,029-227-0008,029-227-0188,http://www.55-hotels.com/,中華・中国料理,
常磐大学・常磐短期大学／ブックセンター,310-0911,茨城県,水戸市,見和1丁目430-1,029-232-0008,029-232-0116,http://www.tokiwa.ac.jp/,小・中・高・大学等,
あいのて治療院,310-0054,茨城県,水戸市,愛宕町2255-2,029-232-0010,029-232-0010,http://ainote-chiryo.com/,整体等各種療術,
ネッツトヨタ茨城株式会社／マイネ平須,310-0853,茨城県,水戸市,平須町1828-35,029-244-0010,029-243-004,http://www.netzibaraki.co.jp/,自動車販売,
医療法人三枝整形外科医院,310-0853,茨城県,水戸市,平須町1840-1,029-244-0011,029-244-0012,http://www.mito-med.or.jp/,医院・診療所・療養所,
茨城県学校給食会（公益財団法人）,319-0323,茨城県,水戸市,鯉淵町2508-52,029-259-0011,029-259-7721,http://www.igk.jp/,教育,
結核予防会茨城県支部,310-0852,茨城県,水戸市,笠原町489-5,029-241-0011,03-3266-8767,http://www.yobouigaku-chuo.or.jp/,組合・団体,
StyleHouse,310-0852,茨城県,水戸市,笠原町1199-1,029-305-0015,N.A.,http://www.stylehouse-nh.jp/,不動産,
株式会社茨城日商,310-0836,茨城県,水戸市,元吉田町1311,029-247-0015,029-247-1881,http://www.ibnisyo.jp/,アウトソーシング,
株式会社新星コンサルタント水戸営業所,310-0853,茨城県,水戸市,平須町158-156,029-243-0015,0297-42-3334,http://www.nsc30th.co.jp/,士業・コンサルタント,
ワカマツ,310-0851,茨城県,水戸市,千波町1988-3,029-241-0018,029-241-0043,http://www.wakamatsu.jp/,イタリアン・フレンチ,
ミナト防災通信工業株式会社,311-4153,茨城県,水戸市,河和田町4863,029-255-0020,029-252-4110,http://www.minatobousai.co.jp/,製造・加工（工作機械・一般機械器具）,
もちの木作業所,319-0301,茨城県,水戸市,田島町133,029-257-0020,029-257-0021,http://www.mokusei-grp.jp/,介護・福祉,
センチュリー21エムズ・エステート,310-0021,茨城県,水戸市,南町3丁目4-20,029-303-0021,029-231-0221,http://www.century21.jp/,不動産,
センチュリー21水戸,310-0803,茨城県,水戸市,城南2丁目8-38,029-222-0021,029-222-0752,http://www.century21golden.co.jp/,不動産,
ウェディングセレクトショップ水戸,310-0836,茨城県,水戸市,元吉田町313-1,029-304-0023,029-304-0024,http://wss-mito.com/,結婚・宴会,
ふじ,310-0836,茨城県,水戸市,元吉田町1563,029-246-0024,029-246-0024,http://www.w-fuji.jp/,和食,
茨城県立あすなろの郷／地域生活支援センター,319-0306,茨城県,水戸市,杉崎町1460,029-259-0024,029-259-0031,http://business2.plala.or.jp/,介護・福祉,
株式会社茨城エヤコン,310-0836,茨城県,水戸市,元吉田町1042-3,029-240-0024,029-240-0025,http://ururu.or.tv/,設備工事業,
国際警備保障株式会社,310-0851,茨城県,水戸市,千波町1829-23,029-244-0029,029-241-2480,http://www.kokusaikeibi.com/,ビルメンテナンス,
聴覚障害者福祉センターやすらぎ,310-0844,茨城県,水戸市,住吉町349-1,029-248-0029,029-247-1369,http://www.center-yasuragi.or.jp/,介護・福祉,
メルセデス・ベンツ水戸,310-0851,茨城県,水戸市,千波町1987,029-241-0031,029-243-7795,http://www.iba-yanase.com/,自動車販売,
ローソン／水戸笠原町店,310-0852,茨城県,水戸市,笠原町600-25,029-244-0031,N.A.,http://www.lawson.co.jp/,コンビニ・スーパー・デパート,
水戸赤十字病院,310-0011,茨城県,水戸市,三の丸3丁目12-48,029-233-0033,029-227-0819,http://www.mito.jrc.or.jp/,総合病院,
有限会社アーク・オフィス,N.A.,茨城県,水戸市,元吉田町1564-1,029-240-0033,029-240-0034,http://www.ark-office.com/,不動産,
グローリー株式会社水戸営業所／営業代表,310-0836,茨城県,水戸市,元吉田町621-8,029-248-0034,N.A.,http://www.glory.co.jp/,ビルメンテナンス,
株式会社大林組茨城営業所,310-0805,茨城県,水戸市,中央1丁目2-19,029-224-0037,N.A.,http://www.obayashi.co.jp/,総合・職別工事業,
