▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
セブンイレブン／坂下インター店,969-6586,福島県,河沼郡会津坂下町,大字坂本字窪甲571,0242-83-0007,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
マルト建設株式会社,N.A.,福島県,河沼郡会津坂下町,大字牛川字砂田565番地,0242-83-0010,0242-83-0023,http://www.maruto-aizu.com/,建設業・工務店,
マルト建設株式会社／輸送部,969-6576,福島県,河沼郡会津坂下町,大字牛川字砂田565,0242-83-0022,0242-83-0023,http://www.maruto-aizu.com/,運送・貨物・倉庫,
株式会社佐藤電設／工事部,969-6551,福島県,河沼郡会津坂下町,字舘ノ下103-1,0242-83-0043,0242-83-0096,http://sato-densetsu.co.jp/,家電,
有限会社猪俣徳一商店牛沢営業所,969-6576,福島県,河沼郡会津坂下町,大字牛川字砂田609-1,0242-83-0057,0242-83-0057,http://www.co1091.com/,ガーデニング,
元気寿司坂下店,969-6551,福島県,河沼郡会津坂下町,字舘ノ下56-3,0242-83-0121,N.A.,http://www.genkisushi.co.jp/,中華・中国料理,
グループホーム杵が森,969-6566,福島県,河沼郡会津坂下町,字稲荷塚127,0242-83-0222,0241-22-0105,http://care-net.biz/,介護・福祉,
会津坂下青年会議所,969-6571,福島県,河沼郡会津坂下町,大字白狐字土堰甲1020,0242-83-0233,0242-83-0233,http://jc.aizubange.jp/,組合・団体,
太郎庵／坂下店,969-6547,福島県,河沼郡会津坂下町,字市中三番甲3690,0242-83-0236,0242-83-0236,http://www.taroan.co.jp/,お菓子・スイーツ,
若松ガス株式会社,969-6505,福島県,河沼郡会津坂下町,新舘字大西578,0242-83-0255,0242-83-0256,http://www.wakagas.co.jp/,水道・ガス・電力,
明光義塾会津坂下教室,969-6543,福島県,河沼郡会津坂下町,字市中二番甲3653,0242-83-0404,0242-58-3835,http://www.meikogijuku.jp/,塾・予備校,
幸楽苑会津坂下店,969-6551,福島県,河沼郡会津坂下町,字舘ノ下229-2,0242-83-0481,0242-83-3592,http://www.kourakuen.co.jp/,レストラン,
蔵王リース株式会社会津坂下インター営業所,969-6586,福島県,河沼郡会津坂下町,大字坂本字窪甲646,0242-83-0485,N.A.,http://www.zaolease.co.jp/,リース・レンタル,
ポケット,969-6543,福島県,河沼郡会津坂下町,字市中二番甲3651,0242-83-0503,0242-83-0503,http://pocket1115.blog84.fc2.com/,貸衣裳,
みとみ学園／坂下教室,969-6553,福島県,河沼郡会津坂下町,字石田1525-2,0242-83-0525,03-5269-8182,http://www.soroban.com/,塾・予備校,
セブンイレブン／会津坂下松ノ目店,969-6554,福島県,河沼郡会津坂下町,字松ノ目1573-1,0242-83-0724,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
相良農場,969-6514,福島県,河沼郡会津坂下町,大字五香字道上5,0242-83-0883,0242-82-2095,http://fruitfarmsagara.jimdo.com/,観光・温泉・銭湯,
会津乗合自動車株式会社坂下営業所,969-6561,福島県,河沼郡会津坂下町,字大道2408,0242-83-0979,0242-83-0759,https://www.aizubus.com/,交通機関,
ファッションセンターしまむら会津坂下店,969-6500,福島県,河沼郡会津坂下町,字福原前甲4070-1,0242-84-1006,N.A.,http://www.shimamura.gr.jp/,洋服,
株式会社ダイユーエイト会津坂下店,969-6551,福島県,河沼郡会津坂下町,字舘ノ下70,0242-84-1043,N.A.,http://www.daiyu8.co.jp/,生活用品,
会津平和自動車学校,969-6527,福島県,河沼郡会津坂下町,大字福原字長泥8,0242-83-1111,0242-83-1112,http://www.heiwa-ds.com/,資格,
株式会社ヤマト光学,969-6511,福島県,河沼郡会津坂下町,青木字青木18,0242-83-1122,0242-83-4577,http://www.yamato-optical.co.jp/,製造・加工（電子・精密機械器具）,
会津坂下町役場／糸桜里の湯ばんげ,969-6506,福島県,河沼郡会津坂下町,大字見明字堤帰2115,0242-83-1151,0242-83-1344,http://www.shiorinoyu.jp/,観光・温泉・銭湯,
会津ゴルフガーデン株式会社,969-6500,福島県,河沼郡会津坂下町,字福原前甲4062,0242-83-1200,0242-83-3600,http://aizugolf.on.omisenomikata.jp/,ゴルフ,
ドコモショップ会津坂下店,969-6551,福島県,河沼郡会津坂下町,字舘ノ下214-1,0242-84-1240,0242-84-1250,https://www.nttdocomo.co.jp/,電話・通信,
二瓶義久司法書士事務所,969-6543,福島県,河沼郡会津坂下町,字市中二番甲3608-2,0242-83-1280,0242-83-1359,http://www.nihei-shihoshoshi.com/,士業・コンサルタント,
株式会社ファンタス,969-6518,福島県,河沼郡会津坂下町,大字青津宇馬喰丁110番地,0242-24-1286,0242-32-0702,http://www.fantus.co.jp/,ビルメンテナンス,
株式会社シモン／会津工場,969-6584,福島県,河沼郡会津坂下町,大字塔寺字松原2724,0242-83-1317,0242-83-0321,http://www.simon.co.jp/,製造・加工（工作機械・一般機械器具）,
マイム／介護センターばんげ,969-6533,福島県,河沼郡会津坂下町,字台ノ下745,0242-84-1366,0242-83-1195,http://www.aizu-jp.net/maimu/,介護・福祉,
会津坂下町社会福祉協議会,969-6531,福島県,河沼郡会津坂下町,字上口470-1,0242-83-1368,0242-83-1368,http://www.fukushimakenshakyo.or.jp/,組合・団体,
ネッツトヨタ福島株式会社坂下店,969-6551,福島県,河沼郡会津坂下町,字舘ノ下91-2,0242-83-1400,0242-83-4904,http://netzfukushima.com/,自動車販売,
