▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
風の丘,969-7201,福島県,河沼郡柳津町,安久津乙60,0241-41-1002,0241-41-1002,http://www.aizu2001.jp/,観光・温泉・銭湯,
有限会社河内屋商店宅配部,969-7201,福島県,河沼郡柳津町,大字柳津字下平乙254,0241-41-1020,0241-41-1021,http://www.kawachiya-gr.jp/,弁当・宅配,
憩の館ほっとinやないづ,969-7201,福島県,河沼郡柳津町,大字柳津字下平乙151-1,0241-41-1077,0241-41-1078,http://yume-yanaizu.com/,道の駅,
株式会社シモン,969-7209,福島県,河沼郡柳津町,大字細八字鴇巣甲210,0241-41-1503,0241-42-3623,http://www.simon.co.jp/,製造・加工（その他）,
柳津町役場／総務課／総務班・企画財政班,969-7201,福島県,河沼郡柳津町,大字柳津字下平乙234,0241-42-2112,0241-42-3470,http://www.town.yanaizu.fukushima.jp/,市区町村機関,
有限会社河内屋商店,969-7201,福島県,河沼郡柳津町,柳津字寺家町甲160,0241-42-2215,0241-42-2317,http://www.kawachiya-gr.jp/,販売・卸（その他）,
あづまや,969-7201,福島県,河沼郡柳津町,大字柳津字寺家町甲173,0241-42-2240,0241-42-2240,http://www.aizu-azumaya.com/,旅館・民宿,
柳津森林公園キャンプ場,969-7201,福島県,河沼郡柳津町,大字柳津字堂森山甲2440,0241-42-2248,N.A.,http://yanaizu-kousya.info/,アウトドア,
あづまや旅館,969-7201,福島県,河沼郡柳津町,大字柳津字寺家町甲173,0241-42-2250,0241-42-2240,http://www.aizu-azumaya.com/,旅館・民宿,
つきみが丘町民センター,969-7201,福島県,河沼郡柳津町,大字柳津字諏訪町甲61,0241-42-2302,0241-42-3405,http://akabeko.info/,旅館・民宿,
滝の湯旅館,969-7321,福島県,河沼郡柳津町,大字砂子原字長坂829,0241-43-2311,0241-43-2311,http://www.takinoyu.info/,旅館・民宿,
柳津町観光物産館清柳苑,969-7201,福島県,河沼郡柳津町,大字柳津字下平乙179,0241-42-2324,0241-42-2243,http://yanaizu-kousya.info/,おみやげ,
有限会社月見亭,969-7207,福島県,河沼郡柳津町,小椿字瑞光寺甲2771-4,0241-42-2348,0241-42-3420,http://www.tsukimitei.com/,旅館・民宿,
そば処ふなき,969-7201,福島県,河沼郡柳津町,大字柳津字龍蔵庵丙535,0241-42-2385,0241-42-2385,http://soba-funaki.com/,そば・うどん,
かねか柳津店,969-7201,福島県,河沼郡柳津町,大字柳津字下平乙213-3,0241-42-2400,0241-42-2317,http://www.kawachiya-gr.jp/,コンビニ・スーパー・デパート,
中の湯,969-7321,福島県,河沼郡柳津町,大字砂子原字長窪884,0241-43-2424,0241-43-2754,http://nakanoyu.jp/,旅館・民宿,
株式会社坂内セメント工業所,969-7209,福島県,河沼郡柳津町,細八字鴇ノ巣甲300,0241-42-2520,0241-42-2521,http://www.bannai-cement.co.jp/,製造・加工（金属製品）,
柳津町商工会,969-7201,福島県,河沼郡柳津町,大字柳津字中在家甲1182-1,0241-42-2552,N.A.,http://www.yanaidu.com/,組合・団体,
有限会社小池菓子舗,969-7201,福島県,河沼郡柳津町,大字柳津字岩坂町甲206,0241-42-2554,0241-42-3432,http://koike-manjyu.com/,お菓子・スイーツ,
栗原建材産業株式会社会津営業所,969-7209,福島県,河沼郡柳津町,大字細八字鴇巣甲304-3,0241-42-2621,0547-38-3732,http://www.kurihara-kenzai.co.jp/,エクステリア,
西山温泉山村公園せいざん荘,969-7321,福島県,河沼郡柳津町,大字砂子原字長窪921,0241-43-2727,0241-43-2728,http://yanaizu-kousya.info/,その他宿泊施設,
株式会社シモン,969-7209,福島県,河沼郡柳津町,大字細八字鴇巣甲210,0241-42-2881,0241-42-2887,http://www.simon.co.jp/,製造・加工（その他）,
株式会社あいづダストセンター,969-7208,福島県,河沼郡柳津町,大字藤字鶴ヶ峯4330-23,0241-42-2890,0241-42-2891,http://www.adust.jp/,その他サービス,
とらや,969-7201,福島県,河沼郡柳津町,大字柳津字堂林甲816,0241-42-2969,0120-77-3250,http://www.toraya-group.co.jp/,レストラン,
柳津測量設計株式会社,969-7209,福島県,河沼郡柳津町,細八字下平22,0241-42-3387,0241-42-3430,http://yanasoku.co.jp/,相談・調査,
柳津町社会福祉協議会,969-7201,福島県,河沼郡柳津町,大字柳津字下荒町甲1111,0241-42-3418,024-523-4477,http://www.fukushimakenshakyo.or.jp/,組合・団体,
