▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
会津農業共済組合,969-3545,福島県,河沼郡湯川村,大字桜町字森台77,0241-28-1111,0241-28-1133,http://www.fukushima-nosainet.jp/,組合・団体,
マルコウ醸造株式会社,969-3541,福島県,河沼郡湯川村,大字浜崎字浜崎1-7,0241-28-1212,0241-28-1213,http://www.aizumiso.jp/,食料品,
福島観光自動車株式会社,969-3500,福島県,河沼郡湯川村,大字田川字作園乙52,0241-27-2126,0241-27-2354,http://www.fukushimakanko.co.jp/,運送・貨物・倉庫,
共和電機製作所,969-3545,福島県,河沼郡湯川村,大字桜町字柳町149,0241-27-2177,0241-27-2177,http://www.kyouwa-denki.jp/,製造・加工（電子・精密機械器具）,
日東ユメックス株式会社会津工場,969-3541,福島県,河沼郡湯川村,大字浜崎浜崎1-40,0241-27-2700,0241-27-2799,http://www.nittoyumex.com/,製造・加工（工作機械・一般機械器具）,
湯川村役場／保健センター,969-3544,福島県,河沼郡湯川村,大字清水田字川入9,0241-27-3110,0241-28-1055,http://www.vill.yugawa.fukushima.jp/,市区町村機関,
湯川村保育所,969-3543,福島県,河沼郡湯川村,大字笈川字殿田10,0241-27-3113,0241-27-3760,http://www.vill.yugawa.fukushima.jp/,幼稚園・保育施設,
湯川村商工会,969-3556,福島県,河沼郡湯川村,大字勝常字堂後830,0241-27-3957,0241-27-3992,http://www.yugawa.net/,組合・団体,
湯川村公民館,969-3544,福島県,河沼郡湯川村,大字清水田字長瀞17,0241-27-4107,0241-27-4107,http://www.vill.yugawa.fukushima.jp/,市区町村機関,
会津湯川の里,969-3556,福島県,河沼郡湯川村,大字勝常字堂後830,0241-27-5660,0241-27-5660,http://www.yugawanosato.com/,食料品,
遠藤工業有限会社,969-3541,福島県,河沼郡湯川村,大字浜崎字室町734-2,0241-27-7960,0241-27-7965,http://www.endou-kougyou.jp/,製造・加工（工作機械・一般機械器具）,
株式会社ヰセキ東北,N.A.,福島県,河沼郡湯川村,大字清水田字村前375,0241-27-8331,0241-27-8080,http://www.iseki-touhoku.co.jp/,製造・加工（工作機械・一般機械器具）,
有限会社佐野園芸,969-3555,福島県,河沼郡湯川村,佐野目字宮ノ内18,0241-27-8398,0241-27-8034,http://sanoengei.com/,ガーデニング,
湯川村役場／総務課,969-3543,福島県,河沼郡湯川村,大字笈川字長瀞甲875-5,0241-27-8800,0241-27-3760,http://www.vill.yugawa.fukushima.jp/,市区町村機関,
株式会社不二コントロールズ,969-3541,福島県,河沼郡湯川村,浜崎字東殿町3-1,0241-27-8811,0241-27-8815,http://www.fujicontrols.co.jp/,製造・加工（工作機械・一般機械器具）,
セブンイレブン／会津湯川浜崎店,969-3541,福島県,河沼郡湯川村,大字浜崎字水上1413-2,0241-27-8817,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
湯川村社会福祉協議会,969-3544,福島県,河沼郡湯川村,大字清水田字川入8,0241-27-8890,024-523-4477,http://www.fukushimakenshakyo.or.jp/,組合・団体,
みとみ学園勝常教室,969-3556,福島県,河沼郡湯川村,大字勝常字堂後841,0241-27-8899,03-5269-8182,http://www.soroban.com/,塾・予備校,
