▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
東京中央木材市場株式会社,279-0032,千葉県,浦安市,千鳥13,047-355-0001,047-355-1313,http://www.sumai-ru-chance.net/,販売・卸（建設資材）,
浦安市／堀江公民館,N.A.,千葉県,浦安市,富士見2丁目2-1,047-353-0002,047-353-0002,http://www.city.urayasu.lg.jp/,市区町村機関,
キンダーナーサリー浦安園,N.A.,千葉県,浦安市,北栄3丁目33-10,047-350-0008,047-350-0008,http://www.kidslink.jp/,相談・調査,
浦安市／中央図書館／美浜分館,279-0011,千葉県,浦安市,美浜5丁目13-1,047-354-0009,N.A.,http://library.city.urayasu.chiba.jp/,図書館,
千葉日石株式会社メテオ舞浜リゾート,N.A.,千葉県,浦安市,舞浜35-3,047-354-0010,N.A.,http://www.chiba-nisseki.jp/,ガソリンスタンド,
炭火焼鳥大好き,N.A.,千葉県,浦安市,北栄3丁目25-28-101,047-304-0011,047-355-1191,http://yakitoridaisuki.com/,肉料理,
浦安市／運動公園屋内水泳プール,279-0031,千葉県,浦安市,舞浜2-27,047-304-0030,047-304-0032,http://www.urayasu-kousha.or.jp/,スポーツ施設,
牧野クリニック,N.A.,千葉県,浦安市,当代島1丁目3-29,047-355-0030,043-227-1393,http://makino-clinic-urayasu.com/,内科系,
株式会社鳴島重機工事,N.A.,千葉県,浦安市,富士見4-10-35,047-328-0031,047-328-0030,http://www.narushimajk.co.jp/,建設業・工務店,
オリエント歯科クリニック,279-0011,千葉県,浦安市,美浜3-26-11,047-352-0036,N.A.,http://dr-honma.net/,医院・診療所・療養所,
スリムビューティハウス／浦安店,N.A.,千葉県,浦安市,入船1丁目4-1,047-354-0036,N.A.,http://www.slim.co.jp/,美容・コスメ,
Libero,279-0001,千葉県,浦安市,当代島1丁目17-22,047-305-0050,047-305-0050,http://daily-kingdom.net/,イタリアン・フレンチ,
有限会社フロッグ,N.A.,千葉県,浦安市,猫実5-18-17村山ビル5102,047-381-0052,047-381-0135,http://www.frog-ltd.com/,販売・卸（その他）,
セントラル眼科今川内,279-0022,千葉県,浦安市,今川1-1-43,047-305-0055,N.A.,http://www.centralganka.com/,医院・診療所・療養所,
株式会社日本ネットワークサポート,N.A.,千葉県,浦安市,鉄鋼通り3丁目3番8号,047-381-0061,047-381-0235,http://www.nnets.co.jp/,製造・加工（鉄鋼製品）,
エステティックサロンビベラ,N.A.,千葉県,浦安市,当代島1丁目17-19,047-353-0066,N.A.,http://www.ethete-vivela.com/,美容・コスメ,
特定非営利活動法人タオ,279-0022,千葉県,浦安市,今川1-12-22,047-720-0069,047-720-0069,http://npo-tao.com/,介護・福祉,
夢海の街団地管理組合,N.A.,千葉県,浦安市,明海1丁目3-1,047-382-0070,047-382-0021,http://www.yumeminomachi.jp/,組合・団体,
株式会社スノウチ,N.A.,千葉県,浦安市,港46,047-354-0081,047-353-5381,http://www.sunouchi.co.jp/,製造・加工（金属製品）,
千寿司／浦安店,N.A.,千葉県,浦安市,北栄1丁目1-15,047-354-0094,047-353-8745,http://www.sen-zushi.com/,魚料理,
株式会社テクノ・アイ,N.A.,千葉県,浦安市,猫実2-6-22,047-354-0107,047-354-4818,http://www.techno-i.com/,印刷・出版,
千葉県／警察本部／浦安警察署,279-0011,千葉県,浦安市,美浜5丁目13-2,047-350-0110,043-227-9271,http://www.police.pref.chiba.jp/,消防・警察,
浦安市立／舞浜小学校,N.A.,千葉県,浦安市,舞浜2丁目1-1,047-353-0111,047-380-4314,http://www.city-urayasu.ed.jp/,小・中・高・大学等,
株式会社ワイズマート,N.A.,千葉県,浦安市,当代島1-2-25,047-352-0111,047-355-0550,http://www.ysmart.co.jp/,コンビニ・スーパー・デパート,
郵便局株式会社,279-0014,千葉県,浦安市,明海4-2-1,047-382-0111,047-382-0655,http://map.japanpost.jp/,その他サービス,
ワイズマート／浦安北口店,N.A.,千葉県,浦安市,当代島1丁目2-25,047-352-0115,047-355-2058,http://www.ysmart.co.jp/,コンビニ・スーパー・デパート,
私立保育園ピコロチャイルドケアアンドアカデミー浦安園,N.A.,千葉県,浦安市,北栄4丁目4-3,047-352-0116,N.A.,http://www.kinder-nursery.com/,幼稚園・保育施設,
株式会社ディープライフ,N.A.,千葉県,浦安市,北栄1丁目16-3,047-354-0121,047-355-3260,http://www.dprife.co.jp/,ビルメンテナンス,
朝日新聞浦安南部店,N.A.,千葉県,浦安市,今川3丁目8-15,047-353-0123,047-355-8544,http://urayasu-asa.com/,映画・放送・新聞,
有限会社ダイニチホテルアメニティ,N.A.,千葉県,浦安市,北栄1-16-3,047-354-0123,N.A.,http://www.dainichi.co.jp/,不動産,
トータルビューティーCANA,N.A.,千葉県,浦安市,入船4丁目33-6-A,047-355-0129,N.A.,http://www.cana.co.jp/,美容・コスメ,
有限会社エイト流通サービス,N.A.,千葉県,浦安市,富士見3丁目11-1-207,047-381-0142,047-381-0142,http://www.eight-ds.co.jp/,家電,
株式会社GYD,N.A.,千葉県,浦安市,猫実4-5-13金子リバーサイドビル4C,047-352-0147,047-720-2147,https://www.gyd.co.jp/,ソフトウェア,
明光義塾／浦安教室,279-0004,千葉県,浦安市,猫実4丁目19-16,047-381-0151,N.A.,http://www.meikogijuku.jp/,塾・予備校,
株式会社ママショップ加納／今川店,N.A.,千葉県,浦安市,今川4丁目2-7,047-353-0166,N.A.,http://www.mamashop.co.jp/,クリーニング,
ホテルドリームゲート舞浜,N.A.,千葉県,浦安市,舞浜26-5,047-351-0180,047-351-6888,http://www.hdgm.jp/,ホテル・ペンション,
くすりの福太郎／浦安駅前店,279-0002,千葉県,浦安市,北栄1丁目3-34,047-390-0201,N.A.,http://www.kusurinofukutaro.co.jp/,薬,
デイリーヤマザキ浦安千鳥店,N.A.,千葉県,浦安市,千鳥12-7,047-305-0204,N.A.,http://www.daily-yamazaki.jp/,コンビニ・スーパー・デパート,
メガネドラッグ／浦安店,N.A.,千葉県,浦安市,当代島1丁目3-29,047-355-0206,N.A.,http://www.meganedrug.com/,生活用品,
カレーハウスCoCo壱番屋／ショッパーズプラザ新浦安店,279-0012,千葉県,浦安市,入船1丁目4-1,047-381-0211,047-381-0211,http://www.ichibanya.co.jp/,カレー,
株式会社富士屋商事,N.A.,千葉県,浦安市,猫実5-18-18,047-353-0211,047-354-0324,http://fujiya.ubig24.com/,不動産,
和信産業株式会社,N.A.,千葉県,浦安市,港77-2,047-350-0221,047-351-9367,http://www.washin-s.co.jp/,製造・加工（建築資材）,
大塚倉庫株式会社,279-0032,千葉県,浦安市,千鳥11-1,047-703-0250,047-352-7981,http://www.otsukawh.co.jp/,引越,
司法書士いちやま法務事務所,N.A.,千葉県,浦安市,海楽1丁目10-35-105,047-711-0270,047-711-0280,http://awrship.or.jp/,士業・コンサルタント,
アイセイ薬局美浜店,N.A.,千葉県,浦安市,美浜3丁目25-15,047-351-0281,047-351-2417,http://www.aisei.co.jp/,薬,
田辺薬局株式会社,N.A.,千葉県,浦安市,高洲3-1-25,047-382-0293,047-382-0296,http://www.tnb.co.jp/,製造・加工（医療・薬関連）,
南歯科医院,N.A.,千葉県,浦安市,堀江4丁目19-18,047-380-0300,N.A.,http://www.minamishikaiin.jp/,歯科系,
さくら動物病院,N.A.,千葉県,浦安市,猫実3丁目28-28,047-382-0303,047-382-0303,http://www.sakura-pethp.com/,動物病院・獣医師,
第一セントラル設備株式会社,279-0041,千葉県,浦安市,当代島2-14-47,047-381-0309,N.A.,http://www.dcsk.co.jp/,建設業・工務店,
浦安市／高洲公民館,N.A.,千葉県,浦安市,高洲5丁目3-2,047-304-0313,047-304-0323,http://www.city.urayasu.lg.jp/,市区町村機関,
ベンテンクリーニング猫実五丁目店,N.A.,千葉県,浦安市,猫実5丁目1-2,047-380-0334,N.A.,http://3banze.com/,住まいのクリーニング,
レーヌ,279-0001,千葉県,浦安市,当代島1丁目11-1-103,047-316-0344,N.A.,http://www.nail-reine.com/,美容・コスメ,
株式会社平和ライフケアサービス,N.A.,千葉県,浦安市,当代島1丁目5-1,047-353-0363,047-353-0396,http://www.nakayama-group.co.jp/,代行・支援サービス,
遊月堂,N.A.,千葉県,浦安市,海楽1丁目9-1,047-380-0375,N.A.,http://www.yutsukido.jp/,美術・工芸,
高山書店,279-0043,千葉県,浦安市,富士見1丁目15-28,047-352-0376,047-352-0518,http://takayama.hp.gogo.jp/,本,
ミューズ新浦安店,N.A.,千葉県,浦安市,明海4丁目1-1,047-390-0393,N.A.,http://www.hm-muse.com/,美容・コスメ,
有限会社アイケーケー,N.A.,千葉県,浦安市,猫実2-32-8,047-350-0405,047-350-0405,http://ikk-reform.com/,総合・職別工事業,
中島歯科医院,279-0004,千葉県,浦安市,猫実3丁目15-7,047-350-0418,047-350-0418,http://www.nakajima418.com/,歯科系,
菱重コールドチェーン株式会社東京サービスセンター,N.A.,千葉県,浦安市,千鳥15-13,047-304-0440,047-304-0443,http://www.rccc.co.jp/,製造・加工（工作機械・一般機械器具）,
セブンイレブン／浦安富士見4丁目店,N.A.,千葉県,浦安市,富士見4丁目3-21,047-355-0448,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
株式会社ハイクインターナショナル,279-0043,千葉県,浦安市,富士見5丁目9-3-106,047-355-0471,047-355-0472,http://www.hiku.co.jp/,自動車卸,
美浜歯科診療所,N.A.,千葉県,浦安市,美浜4丁目1-4,047-354-0506,N.A.,http://mihamashika.jp/,歯科系,
新浦安しんもり整骨院,279-0022,千葉県,浦安市,今川1丁目13-31,047-316-0510,047-397-0325,http://www.shinmori-seikotsuin.com/,整体等各種療術,
株式会社有隣堂,N.A.,千葉県,浦安市,入船1-1-1,047-305-0511,047-305-0611,https://www.yurindo.co.jp/storeguide/,本,
ひのき進学教室浦安入船教室,N.A.,千葉県,浦安市,入船4丁目8-13,047-350-0513,03-3469-1592,http://www.hinoki-net.com/,塾・予備校,
東京ゼミナール／堀江教室,N.A.,千葉県,浦安市,堀江1丁目3-7,047-354-0518,N.A.,http://www.tokyo-seminal.com/,塾・予備校,
株式会社クレール,N.A.,千葉県,浦安市,舞浜1番地8ホテルオークラ東京ベイ内,047-353-0525,N.A.,http://www.claire-jp.com/,洋服,
ローソン舞浜店,279-0043,千葉県,浦安市,富士見3丁目23-5,047-381-0530,N.A.,https://www.e-map.ne.jp/p/lawson/,クリーニング,
都市再生機構（独立行政法人）／浦安ME21海園の街管理サービス事務所,N.A.,千葉県,浦安市,明海3丁目2-6,047-305-0530,N.A.,http://www.ur-net.go.jp/,公庫・公社・事業団,
株式会社浦安清運／選別事務所,N.A.,千葉県,浦安市,千鳥15-2,047-350-0540,N.A.,http://www.urayasuseiun.com/,住まいのクリーニング,
仙人接骨院,N.A.,千葉県,浦安市,富士見2丁目1-3,047-354-0553,N.A.,http://sennin-s.com/,整体等各種療術,
マリオンクレープ新浦安店,N.A.,千葉県,浦安市,入船1丁目5-1,047-305-0565,047-381-2516,http://www.e-mona.jp/,スイーツ,
株式会社誠和企画,N.A.,千葉県,浦安市,猫実4丁目18-27-401,047-380-0567,N.A.,http://seiwakikaku.com/,広告・マーケティング,
カラダファクトリー・ショッパーズプラザ新浦安店,N.A.,千葉県,浦安市,入船1丁目4-1,047-316-0580,N.A.,http://www.karada39.com/,整体等各種療術,
ビューテータナカ浦安店,279-0043,千葉県,浦安市,富士見1丁目2-24,047-354-0584,N.A.,http://www.beauty-tanaka.com/,美容院・理容店・毛髪業,
株式会社トーセン,N.A.,千葉県,浦安市,港77-1,047-355-0601,047-355-0625,http://www.tohsen.co.jp/,製造・加工（建築資材）,
浦安市／中央図書館／日の出分館,N.A.,千葉県,浦安市,日の出4丁目1-1,047-390-0606,N.A.,http://library.city.urayasu.chiba.jp/,図書館,
