▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
清瀬博済堂クリニック,204-0023,東京都,清瀬市,竹丘2丁目15-15,042-410-0001,042-410-0000,http://www.hakusaido.jp/,内科系,
株式会社東葬祭／清瀬店,204-0022,東京都,清瀬市,松山2丁目14-10,042-492-0001,0422-49-0002,http://www.azuma-group.co.jp/,貸衣裳,
カフェギャラリー縁,204-0004,東京都,清瀬市,野塩1丁目300-5,042-493-0002,042-493-0217,http://cafegallery-en.jp/,喫茶店・カフェ,
有限会社ササキピアノ,204-0004,東京都,清瀬市,野塩2丁目387-8,042-492-0005,042-492-0005,http://sasakipiano.jimdo.com/,音楽,
舶用電球株式会社／工場,204-0003,東京都,清瀬市,中里5丁目18,042-492-0025,042-493-7118,http://www.hakuyolamp.co.jp/,製造・加工（電気機械器具）,
ササハラスポーツ,204-0022,東京都,清瀬市,松山2-19-7,042-493-0027,042-493-0027,http://www.sasahara-wax.com/,販売・卸（その他）,
株式会社三愛メモリアル東京店,204-0021,東京都,清瀬市,元町1丁目7-5,042-492-0044,049-271-5774,http://www.san-i-plaza.com/,イベント,
特定非営利活動法人情報労連東京福祉センター,204-0021,東京都,清瀬市,元町2-28-6NTT清瀬ビル1F,042-495-0050,042-495-0112,http://www.tokyo-fukushi.or.jp/,組合・団体,
春香庵,204-0004,東京都,清瀬市,野塩1丁目337-1,042-491-0052,N.A.,http://www.shunkouan.com/,酒・飲料品,
ファミリーマート／清瀬駅前店,204-0021,東京都,清瀬市,元町1丁目2-7,042-496-0062,N.A.,http://www.family.co.jp/,コンビニ・スーパー・デパート,
カイセイ調剤薬局／清瀬店,204-0022,東京都,清瀬市,松山1丁目5-5,042-495-0065,042-495-0066,http://www.kaiseipharmacy.jp/,薬,
医療法人社団宇都宮病院,204-0021,東京都,清瀬市,元町1-4-41,042-491-0103,N.A.,http://www.utsunomiya.or.jp/,医院・診療所・療養所,
カトリック／清瀬教会,204-0022,東京都,清瀬市,松山1丁目21-12,042-491-0104,042-491-1744,http://catholic-kiyose.com/,宗教,
東都自動車交通株式会社清瀬営業所,204-0011,東京都,清瀬市,下清戸2丁目600-1,042-491-0117,011-373-5406,http://www.toto-motors.co.jp/,タクシー,
東京消防庁／清瀬消防署,204-0012,東京都,清瀬市,中清戸2丁目850-1,042-491-0119,N.A.,http://www.tfd.metro.tokyo.jp/,消防・警察,
清雅苑,204-0003,東京都,清瀬市,中里5丁目91-2,042-493-0120,042-493-7023,http://www.seirouin.or.jp/,介護・福祉,
ビデオ工房トパーズ,204-0022,東京都,清瀬市,松山1丁目13-26,042-491-0122,042-491-0122,http://www.video-koubou-topaz.jp/,広告・マーケティング,
高齢者在宅サービスセンター清雅,204-0003,東京都,清瀬市,中里5丁目91-2,042-493-0122,042-493-7023,http://www.seirouin.or.jp/,介護・福祉,
清瀬市高齢者在宅介護支援センター清雅,204-0003,東京都,清瀬市,中里5丁目91-2,042-493-0133,042-493-2250,http://www.seirouin.or.jp/,市区町村機関,
野菜ソムリエのいる八百屋やおたけ,204-0022,東京都,清瀬市,松山2丁目15-12,042-491-0149,N.A.,http://www.yasaisomurie.com/,食料品,
五十嵐歯科医院,204-0021,東京都,清瀬市,元町1丁目8-23,042-491-0166,03-5428-0650,http://www.idec-jp.com/,歯科系,
梅園薬局,204-0024,東京都,清瀬市,梅園3丁目4-26,042-496-0181,042-496-0181,http://www.seibuyaku.jp/,薬,
はなの舞清瀬南口店,204-0022,東京都,清瀬市,松山1丁目11-12,042-496-0253,042-496-0253,http://www.chimney.co.jp/,飲み屋,
有限会社荒田葬儀社,204-0004,東京都,清瀬市,野塩4丁目79,042-491-0266,042-491-5242,http://aratasougisya.com/,葬儀,
有限会社坂田雅光堂,204-0022,東京都,清瀬市,松山2-13-15,042-491-0267,042-493-3415,http://sakatagakoudou.com/,販売・卸（その他）,
オール東京ガスエネフィット田中住宅設備,204-0013,東京都,清瀬市,上清戸1丁目8-4,042-493-0268,042-491-4854,http://www.tanaj.co.jp/,水道・ガス・電力,
メガネパインビレッジ,204-0003,東京都,清瀬市,中里2丁目1392,042-496-0310,042-496-0310,http://www.pinevillage.jp/,生活用品,
医療法人清瀬富士見病院,204-0012,東京都,清瀬市,中清戸5丁目27,042-492-0311,042-493-5312,http://www.kouzenkai.com/,介護・福祉,
ひらつか洋品店,204-0021,東京都,清瀬市,元町1-10-1,042-491-0322,042-493-0322,http://www.hiratsukayouhinten.com/,洋服,
ザ・ダイソー清瀬店,204-0013,東京都,清瀬市,上清戸1丁目14-56,042-496-0370,N.A.,http://www.daiso-sangyo.co.jp/,生活用品,
株式会社アミカル,204-0012,東京都,清瀬市,中清戸1-606-48,042-492-0378,042-492-0377,http://www.amical.jp/,その他サービス,
中川歯科医院,204-0021,東京都,清瀬市,元町1丁目8-2,042-492-0380,N.A.,http://www.nakagawa8841.or.jp/,歯科系,
株式会社広進,204-0012,東京都,清瀬市,中清戸1-610-8,042-492-0410,042-492-0411,http://www.kosin-r.co.jp/,販売・卸（電気機械器具）,
株式会社KUM建築設計工房,204-0021,東京都,清瀬市,元町1丁目9-3-401,042-495-0422,042-495-0442,http://kum-archi.com/,リフォーム,
ベスト個別指導塾／清瀬教室,204-0022,東京都,清瀬市,松山1丁目27-1,042-493-0440,N.A.,http://www.bestkobetsu.com/,塾・予備校,
瀬戸輝一ギター教室,204-0003,東京都,清瀬市,中里1丁目1627-15,042-494-0455,N.A.,http://setoterukazu.com/,音楽,
東光院,204-0003,東京都,清瀬市,中里2丁目1383,042-491-0503,06-6843-3876,http://www.haginotera.or.jp/,宗教,
ドミノ・ピザ清瀬店,204-0022,東京都,清瀬市,松山1丁目46-2,042-492-0505,042-492-0137,http://www.dominos.jp/,弁当・宅配,
すみれ保育園,204-0003,東京都,清瀬市,中里3丁目1731-8,042-493-0509,042-493-5661,http://www.sumire2002.jp/,幼稚園・保育施設,
三和不動産株式会社,204-0021,東京都,清瀬市,元町1丁目8-4,042-491-0510,03-3964-3800,http://www.sanwafudosan.co.jp/,不動産,
日本瓦斯株式会社／清瀬営業所,204-0022,東京都,清瀬市,松山1丁目27-12,042-491-0537,N.A.,http://www.nichigas.co.jp/,製造・加工（その他）,
アミュゼ,204-0004,東京都,清瀬市,野塩5丁目298-5,042-491-0539,N.A.,http://www.xn--pckhtyr3f0e1k.jp/,マンガ・ネットカフェ,
くら寿司清瀬店,204-0004,東京都,清瀬市,野塩4丁目81-10,042-496-0610,N.A.,http://www.kura-corpo.co.jp/,中華・中国料理,
日本BCG研究所,204-0022,東京都,清瀬市,松山3丁目1-5,042-491-0611,03-5395-5580,http://www.bcg.gr.jp/,製造・加工（医療・薬関連）,
上清戸薬局,204-0013,東京都,清瀬市,上清戸2丁目1-2,042-494-0622,042-494-0653,http://www.eight-life.co.jp/,薬,
福祉保育労清瀬希望園分会,204-0023,東京都,清瀬市,竹丘3丁目1-72,042-495-0631,N.A.,http://www.fukuho-tokyo.jp/,組合・団体,
泉幸治税理士事務所,204-0021,東京都,清瀬市,元町1丁目1-20-205,042-495-0696,042-495-0697,http://www.kaikei-home.com/,士業・コンサルタント,
山本病院,204-0004,東京都,清瀬市,野塩1丁目328,042-491-0706,042-491-8679,http://www.yamamoto-hp.jp/,内科系,
ピュア・クオーレ,204-0021,東京都,清瀬市,元町1丁目1-15,042-496-0707,042-496-0708,http://www.pure-cuore.jp/,美容・コスメ,
伊藤園,204-0003,東京都,清瀬市,中里6丁目492,042-491-0737,042-491-0737,http://www.turibori-itoen.com/,アウトドア,
円福寺,204-0004,東京都,清瀬市,野塩3丁目51,042-491-0753,N.A.,http://www.tcs-net.ne.jp/,宗教,
清瀬市／野塩老人いこいの家,204-0004,東京都,清瀬市,野塩2丁目387,042-494-0784,042-491-8679,http://www.yamamoto-hp.jp/,市区町村機関,
清瀬市／いなり台老人いこいの家,204-0012,東京都,清瀬市,中清戸5丁目89-1,042-494-0785,N.A.,http://www.city.kiyose.lg.jp/,市区町村機関,
ファミリーマート／丸萬清瀬店,204-0022,東京都,清瀬市,松山1丁目20,042-493-0803,042-493-0803,http://www.family.co.jp/,コンビニ・スーパー・デパート,
ドコモショップ清瀬店,204-0021,東京都,清瀬市,元町1丁目4-15,042-496-0805,N.A.,https://www.nttdocomo.co.jp/,電話・通信,
株式会社新倉工務店,204-0021,東京都,清瀬市,元町2-16-4,042-491-0854,N.A.,http://niikurakomuten.ps.land.to/,総合・職別工事業,
かとうデンタルケアクリニック,204-0021,東京都,清瀬市,元町1丁目8-1,042-495-0888,042-495-0881,http://kiyosekatoudental.web.fc2.com/,歯科系,
清瀬市シルバー人材センター（公益社団法人）,204-0022,東京都,清瀬市,松山3丁目13-16,042-494-0903,042-491-8692,http://www.kiyose-sc.or.jp/,求人,
介護老人保健施設ラビアンローゼ,204-0011,東京都,清瀬市,下清戸3丁目385,042-491-0922,042-491-9952,http://www.kouzenkai.com/,介護・福祉,
株式会社木村工業,204-0011,東京都,清瀬市,下清戸1-264-2,042-491-0996,042-491-1488,http://www.kimurakougyo.co.jp/,総合・職別工事業,
天狗,204-0022,東京都,清瀬市,松山1丁目18-3,042-492-1006,N.A.,http://www.teng.co.jp/,和食,
小山設計一級建築士事務所,204-0013,東京都,清瀬市,上清戸2丁目6-6,042-491-1043,042-491-1037,http://koyama-koumuten.style.coocan.jp/,リフォーム,
株式会社大林組技術研究所,204-0011,東京都,清瀬市,下清戸4丁目640,042-495-1111,042-495-0901,http://www.obayashi.co.jp/,総合・職別工事業,
尾張屋,204-0022,東京都,清瀬市,松山1丁目9-1,042-491-1126,042-453-2776,http://honke-owariya.co.jp/,そば・うどん,
ペットクリエイターズ,204-0012,東京都,清瀬市,中清戸2丁目718-80,042-491-1130,N.A.,http://www.petcreators.com/,その他ペット関連サービス,
子育てネットワーク・ピッコロ（NPO法人）,204-0021,東京都,清瀬市,元町1丁目5-16-101,042-492-1139,042-444-4546,http://www.piccolonet.org/,組合・団体,
スタジオサカタ,204-0004,東京都,清瀬市,野塩1丁目340-20,042-491-1153,042-495-1500,http://www.kiyose.or.jp/,IT・情報通信,
株式会社わかば,204-0003,東京都,清瀬市,中里3-922,042-495-1211,N.A.,http://wakaba-eco.com/,総合・職別工事業,
グローブコム株式会社,204-0001,東京都,清瀬市,下宿1丁目1番4-501号,042-492-1212,N.A.,http://www.globcomm.net/,ビルメンテナンス,
株式会社朋友社,204-0022,東京都,清瀬市,松山1-5-5,042-491-1221,N.A.,http://www.hoyu-e.co.jp/,印刷・出版,
株式会社レンタルプロモーション,204-0004,東京都,清瀬市,野塩5丁目265-2,042-494-1234,042-494-1253,http://www.tintai.jp/,不動産,
社会福祉法人東京アフターケア協会,204-0022,東京都,清瀬市,松山2-18-2,042-491-1236,042-493-4505,http://www.tac-net.or.jp/,介護・福祉,
朋友高等セミナー,204-0022,東京都,清瀬市,松山1丁目5-5,042-492-1243,042-493-2422,http://www.hoyu-e.co.jp/,塾・予備校,
きよせ保育園,204-0013,東京都,清瀬市,上清戸2丁目5-40,042-491-1301,042-491-1341,http://www.kiyosehoikuen.jp/,幼稚園・保育施設,
救世軍清瀬病院,204-0023,東京都,清瀬市,竹丘1丁目17-9,042-491-1411,042-491-3900,http://kiyosehp.salvationarmy.or.jp/,内科系,
清瀬市医師会,204-0021,東京都,清瀬市,元町1丁目1-11,042-494-1441,042-473-5661,http://med.kiyose.info/,組合・団体,
味億本舗,204-0011,東京都,清瀬市,下清戸5丁目863-1,042-494-1448,N.A.,http://ajioku.jp/,お菓子・スイーツ,
株式会社エヌ・ピー・システム東京堂本店,204-0022,東京都,清瀬市,松山2丁目5-48,042-495-1511,042-495-3412,http://www.nptrunk.com/,不動産,
オーエーサービス,204-0004,東京都,清瀬市,野塩1丁目172,042-493-1512,N.A.,http://www.o-a-sabisu.com/,その他サービス,
ますだ動物病院,204-0003,東京都,清瀬市,中里5丁目581,042-495-1515,042-495-1515,http://www.pethospital.jp/,動物病院・獣医師,
特別養護老人ホーム信愛の園,204-0024,東京都,清瀬市,梅園2丁目3-15,042-492-1551,042-494-1904,http://www.shin-ai.or.jp/sono/,介護・福祉,
清瀬市立／竹丘図書館,204-0023,東京都,清瀬市,竹丘1丁目11,042-495-1555,042-361-7430,http://www.library.kiyose.tokyo.jp/,図書館,
ミチギター教室,204-0021,東京都,清瀬市,元町1丁目1-10-403,042-492-1588,03-3368-6014,http://www.michiguitar.com/,音楽,
株式会社ムーヴ・オン,204-0003,東京都,清瀬市,中里2-1408-5,042-491-1610,042-491-1645,http://www.moveon-co.jp/,販売・卸（食料品）,
きよせ松山クリニック,204-0022,東京都,清瀬市,松山2丁目1-3,042-491-1616,042-491-1616,http://kiyosecl.com/,外科系,
清瀬内科クリニック,204-0022,東京都,清瀬市,松山1-2-26-2F,042-493-1630,N.A.,http://www.kiyosenaika.com/,医院・診療所・療養所,
リサイクルショップミドリ,204-0001,東京都,清瀬市,下宿2丁目396-105,042-492-1667,N.A.,http://www.uruhapi.com/,リサイクルショップ,
株式会社西武コーポレーション,204-0003,東京都,清瀬市,中里4-1138,042-491-1695,042-491-2955,http://www.seibu-corp.co.jp/,販売・卸（その他機械器具）,
