▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社ダ・カーポ,377-0203,群馬県,渋川市,吹屋366-1,0279-30-0001,N.A.,http://dacapo.co.jp/,IT・情報通信,
富貴の湯・金島温泉,377-0025,群馬県,渋川市,川島99-1,0279-23-0001,0279-23-0001,http://fuukinoyu.sakura.ne.jp/,観光・温泉・銭湯,
株式会社グンプン,377-0008,群馬県,渋川市,渋川2006-3,0279-60-0006,0279-60-0007,http://gunpun.com/,製造・加工（食料品）,
渋川広域消防本部／火災情報案内,377-0008,群馬県,渋川市,渋川1815-51,0279-23-0019,N.A.,http://www.sknet.or.jp/,消防・警察,
株式会社とりせん子持店,377-0203,群馬県,渋川市,吹屋660-34,0279-30-0030,N.A.,http://www.torisen.co.jp/,コンビニ・スーパー・デパート,
ほっともっと渋川阿久津店,377-0031,群馬県,渋川市,阿久津133,0279-24-0034,0279-24-0016,http://www.hottomotto.com/,弁当・宅配,
しまむら接骨院,377-0027,群馬県,渋川市,金井1063-3,0279-23-0035,0279-23-3500,http://shimamura35.com/,整体等各種療術,
有限会社大津屋商店,N.A.,群馬県,渋川市,金井南町1293-1,0279-22-0048,0279-24-7688,http://www6.wind.ne.jp/,食料品,
ホテルルートイン渋川,377-0008,群馬県,渋川市,渋川1186-1,0279-30-0055,0279-30-0022,http://www.route-inn.co.jp/,ホテル・ペンション,
株式会社オートアールズ渋川店,377-0006,群馬県,渋川市,行幸田300-1,0279-25-0055,N.A.,http://www.autors.co.jp/,車検・整備・修理,
さとり歯科クリニック,377-0008,群馬県,渋川市,渋川2447-1,0279-22-0069,0279-24-5099,http://www.satori-dc.com/,歯科系,
株式会社昴,N.A.,群馬県,渋川市,吹屋657-30,0279-60-0077,N.A.,http://www.subaru-go.com/,美容院・理容店・毛髪業,
渋川ランゲージアカデミー,377-0008,群馬県,渋川市,渋川1826-31,0279-25-0078,0279-25-1102,http://www.glc-la.jp/,語学,
ファミリーマート／渋川石原店,377-0007,群馬県,渋川市,石原1794-1,0279-30-0082,N.A.,http://www.family.co.jp/,コンビニ・スーパー・デパート,
八城建設株式会社,377-0008,群馬県,渋川市,渋川1697-10,0279-22-0099,N.A.,http://www.yashiro-kk.com/,総合・職別工事業,
株式会社トヨタレンタリース群馬渋川駅前店,377-0008,群馬県,渋川市,渋川1691-6,0279-24-0100,0279-24-0116,https://rent.toyota.co.jp/,リース・レンタル,
株式会社渋川製作所,377-0008,群馬県,渋川市,渋川折原3673,0279-22-0100,0279-23-7648,http://www6.wind.ne.jp/,製造・加工（電気機械器具）,
カーブス渋川25,377-0007,群馬県,渋川市,石原930-2,0279-30-0101,N.A.,http://www.curves.co.jp/,スポーツ,
セーブオン子持鯉沢店,377-0204,群馬県,渋川市,白井2322-1,0279-30-0105,N.A.,http://www.saveon.co.jp/,コンビニ・スーパー・デパート,
群馬県警察本部／渋川警察署,377-0027,群馬県,渋川市,金井400,0279-23-0110,N.A.,http://www.police.pref.gunma.jp/,消防・警察,
渋川広域消防本部,377-0008,群馬県,渋川市,渋川1815-51,0279-25-0119,0279-20-1203,http://www.sknet.or.jp/,消防・警察,
TSUTAYA渋川店,377-0008,群馬県,渋川市,渋川2063-22,0279-23-0131,0279-23-2429,http://store-tsutaya.tsite.jp/store_index.html?ta16x=x2,賃貸・レンタル,
株式会社叶屋食品,377-0008,群馬県,渋川市,渋川裏宿2259,0279-23-0137,N.A.,http://www.kano-ya.co.jp/,食料品,
福島歯科医院,377-0027,群馬県,渋川市,金井国742-1,0279-22-0154,0279-23-7320,http://www.fukushimadental.com/,歯科系,
カトリック渋川教会,377-0008,群馬県,渋川市,渋川1694-18,0279-22-0182,0279-22-1230,http://xaverio.blog92.fc2.com/,宗教,
100円ショップセリア渋川店,377-0007,群馬県,渋川市,石原10-1,0279-23-0185,N.A.,http://www.seria-group.com/,生活用品,
群馬三菱自動車販売株式会社渋川店,377-0004,群馬県,渋川市,半田1943,0279-25-0202,0279-23-8094,http://www.gunma-mitsubishi.co.jp/,自動車販売,
コミかる渋川店,377-0008,群馬県,渋川市,渋川1814-30,0279-25-0230,N.A.,http://www.comicaldo.com/,おもちゃ・キャラクタ,
星野歯科クリニック,377-0006,群馬県,渋川市,行幸田36-6,0279-22-0232,N.A.,http://www.hoshino-dc.jp/,歯科系,
石北歯科医院,377-0008,群馬県,渋川市,御蔭3910,0279-22-0235,N.A.,http://ishikita-dental.com/top.html,歯科系,
井上労務管理事務所,377-0204,群馬県,渋川市,白井724,0279-30-0261,0279-30-0262,http://www.inoue-roumu.com/,士業・コンサルタント,
株式会社戸塚,377-0002,群馬県,渋川市,中村600-1,0279-23-0266,0279-23-0295,http://tozuka.jp/,家具・インテリア,
株式会社シバヤギ,377-0007,群馬県,渋川市,石原1062-1,0279-25-0279,0279-23-0313,http://www.shibayagi.co.jp/,製造・加工（医療・薬関連）,
障害福祉なんでも相談室,377-0008,群馬県,渋川市,渋川1760-1,0279-30-0294,0279-30-0322,http://www.nandemo-soudan.jp/,介護・福祉,
ワークマン／渋川石原店,377-0007,群馬県,渋川市,石原878-1,0279-25-0306,0270-32-6667,http://www.workman.co.jp/,制服・作業服,
がってん寿司渋川店,377-0007,群馬県,渋川市,石原886-1,0279-30-0330,N.A.,http://www.gatten.co.jp/,中華・中国料理,
山本動物病院,377-0008,群馬県,渋川市,渋川3814-1,0279-25-0330,0279-25-0330,http://www.pethospital.jp/,動物病院・獣医師,
美容室GOD渋川店,377-0007,群馬県,渋川市,石原110-1,0279-23-0332,0274-67-4383,http://gogo-god.com/,美容院・理容店・毛髪業,
株式会社クリア・プランニング,377-0005,群馬県,渋川市,有馬2289-10,0279-25-0364,0279-25-0177,http://www.fuji8888.com/,修理,
ABCマート渋川行幸田店,377-0005,群馬県,渋川市,有馬187,0279-30-0373,N.A.,https://map.abc-mart.net/,靴・かばん・小物,
株式会社清水設計事務所,377-0008,群馬県,渋川市,渋川3841-6,0279-24-0378,0279-24-0368,http://www.shimizu-archi.jp/,リフォーム,
鶴亀庵本店,377-0008,群馬県,渋川市,渋川3670-1,0279-25-0394,0279-25-0494,http://tsurukamean.co.jp/,そば・うどん,
有限会社岸木工,377-0027,群馬県,渋川市,金井554,0279-22-0403,0279-25-0504,http://www.kishi-m.com/,家具・インテリア,
有限会社中島商店,377-0008,群馬県,渋川市,渋川734,0279-22-0406,092-661-4392,https://nakashimamentai.com/,水道・ガス・電力,
薬師堂気功指圧センター,377-0005,群馬県,渋川市,有馬234-1,0279-25-0436,N.A.,http://yakusido.cocolog-nifty.com/,あん摩・はり・きゅう,
有限会社越中屋,N.A.,群馬県,渋川市,渋川1774,0279-22-0442,0279-22-0772,http://www6.wind.ne.jp/,食料品,
吉井写真館,377-0008,群馬県,渋川市,寄居町2176,0279-22-0448,0279-24-1395,http://www.yoshii-photo.com/,写真・ビデオ・スライド,
株式会社上毛スポーツセンター,377-0008,群馬県,渋川市,渋川1638-1,0279-24-0454,N.A.,http://gsss.ojaru.jp/,スポーツ,
渋川地区広域市町村圏振興整備組合／清掃センター,377-0006,群馬県,渋川市,行幸田3153-2,0279-23-0460,0279-60-5881,http://www.sknet.or.jp/,市区町村機関,
川添工業株式会社,377-0025,群馬県,渋川市,川島2175,0279-23-0463,0279-23-8889,http://www.kawazoe-k.com/,製造・加工（化学・プラスチック）,
渋川市社会福祉協議会,377-0008,群馬県,渋川市,渋川1760-1,0279-25-0500,0279-25-1721,http://www.shibukawa-csw.or.jp/,市区町村機関,
日本共産党北毛地区委員会,377-0008,群馬県,渋川市,渋川2661,0279-22-0511,0279-23-9317,http://www.jcp.or.jp/,組合・団体,
ハイビック構造情報センター株式会社渋川CAD室,377-0027,群馬県,渋川市,金井3037-7,0279-30-0515,N.A.,http://www.hivic.co.jp/,製造・加工（建築資材）,
株式会社青沼貴金属店／本店,377-0006,群馬県,渋川市,行幸田40-8,0279-22-0520,0279-22-0564,http://aonuma.jp/,アクセサリー,
業務スーパー渋川店,377-0006,群馬県,渋川市,行幸田318-2,0279-41-0530,0279-41-0531,http://www.kobebussan.co.jp/,酒・飲料品,
