▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社ヴェリタス・インベストメント,150-0043,東京都,渋谷区,道玄坂1-12-1渋谷マークシティウェスト17F,03-4588-0001,N.A.,http://veritas-investment.co.jp/,不動産,
日本トータルテレマーケティング株式会社,150-0002,東京都,渋谷区,渋谷3-12-18,03-6730-0001,N.A.,http://www.ntm.co.jp/,ビルメンテナンス,
リゾートトラスト株式会社,151-0053,東京都,渋谷区,代々木4丁目33-10,03-6731-0001,03-5950-1091,http://www.resorttrust.co.jp/,不動産,
ZOO渋谷サロン,150-0036,東京都,渋谷区,南平台町3-5,03-3461-0002,N.A.,http://www.zoojapan.com/,ペットショップ,
ZOO／動物プロ,150-0036,東京都,渋谷区,南平台町3-5,03-3475-0002,03-3232-0004,http://www.zoojapan.com/,賃貸・レンタル,
株式会社ビックカメラ／渋谷ハチ公口店,150-0043,東京都,渋谷区,道玄坂2丁目5-9,03-3477-0002,N.A.,https://www.biccamera.co.jp/bicgroup/index.html,生活用品,
エイトアンドハーフアトリエ店,150-0033,東京都,渋谷区,猿楽町28-10,03-3770-0002,N.A.,http://www.eight-half.com/,美容院・理容店・毛髪業,
有限会社カーメイキング,150-0043,東京都,渋谷区,道玄坂2丁目15-1,03-3780-0002,03-3780-0022,http://www.carmaking.jp/,自動車販売,
株式会社梅丘寿司の美登利総本店／渋谷店,150-0043,東京都,渋谷区,道玄坂1丁目12-3,03-5458-0002,03-5458-0002,http://www.sushinomidori.co.jp/,すし,
三郎右衛門,150-0013,東京都,渋谷区,恵比寿3丁目46-12,03-6277-0002,03-6277-0015,http://www.saburouemon.com/,生活用品,
相沢京子調査室,150-0002,東京都,渋谷区,渋谷3丁目7-6,03-3409-0003,N.A.,http://www.web-chosa.com/,相談・調査,
E.S.P.TRICKSTAR,150-0041,東京都,渋谷区,神南1丁目8-17,03-3462-0003,03-3462-0003,http://esptrickstar.blog96.fc2.com/,洋服,
株式会社日本総合コミュニティー,150-0002,東京都,渋谷区,渋谷3-6-19第一矢木ビル3F,03-3486-0003,03-3486-0043,http://nsc-com.jp/,不動産・賃貸,
株式会社アーキ・ヴォイス,150-0002,東京都,渋谷区,渋谷1丁目7-1,03-3409-0004,03-3409-0143,http://www.archi-voice.co.jp/,アウトソーシング,
株式会社デザインワークスプロジェクト,150-0001,東京都,渋谷区,神宮前6-17-10原宿アールビル2階-designingannexpoint-,03-5468-0005,03-5468-0006,http://www.dwp.co.jp/,ビルメンテナンス,
原宿カウンセリングセンター,150-0001,東京都,渋谷区,神宮前6丁目24-4,03-5469-0006,03-5469-0013,http://www.hcc-web.co.jp/,整体等各種療術,
貸スペースリード,150-0043,東京都,渋谷区,道玄坂2丁目6-1,03-3461-0007,03-3461-0008,http://rentalread.web.fc2.com/,リース・レンタル,
株式会社ジェイヴィプランニング,150-0044,東京都,渋谷区,円山町10番18号マイキｬッスル渋谷jp,03-3770-0007,03-3770-8787,http://www.jvp.co.jp/,不動産,
渋谷デンタルクリニック,150-0002,東京都,渋谷区,渋谷1丁目24-14,03-5466-0007,03-5466-0007,http://dr-takumi.com/,歯科系,
株式会社ラナ,150-0012,東京都,渋谷区,広尾1丁目1番7号,03-5766-0007,N.A.,http://www.runat.co.jp/,本,
都市美装株式会社,N.A.,東京都,渋谷区,初台1丁目31番17号,03-3374-0008,03-3320-0958,http://www.kenlandgroup.co.jp/,ビルメンテナンス,
ウィンベルマンスリー代々木,151-0053,東京都,渋谷区,代々木3丁目8-2,03-3378-0008,N.A.,http://www.hatsudai-winbell.jp/,不動産,
D-LOUNGE,150-0043,東京都,渋谷区,道玄坂1丁目22-12,03-3770-0008,03-6279-9454,http://d-lounge.jp/,飲み屋,
フォーラム・エイト,150-0043,東京都,渋谷区,道玄坂2丁目10-7,03-3780-0008,03-3780-0098,http://www.forum-8.co.jp/,イベント,
砂岡事務所,150-0021,東京都,渋谷区,恵比寿西2丁目12-12,03-3476-0010,N.A.,http://sunaoka.com/,広告・マーケティング,
株式会社ネイルクラフト,150-0001,東京都,渋谷区,神宮前4-32-12ニューウェーブ原宿3F,03-3479-0010,03-3479-8225,http://www.nailcraft.co.jp/,販売・卸（医薬・化粧品）,
神南スタジオ,150-0041,東京都,渋谷区,神南1丁目5-19-503,03-3770-0010,03-3770-0519,http://www.jinnan-st.tv/,音楽,
株式会社きく屋宝石店,150-0002,東京都,渋谷区,渋谷1丁目8-7,03-3797-0010,N.A.,http://kikuya.ne.jp/,その他修理,
株式会社小田急ビルサービス,151-0053,東京都,渋谷区,代々木1-58-13小田急代々木ビル,03-5333-0010,03-5333-2115,http://www.odakyu-bs.co.jp/,ビルメンテナンス,
日本ブレーンキャピタル株式会社,150-0002,東京都,渋谷区,渋谷1丁目7-5-701,03-5464-0010,03-5464-0038,http://www.zas.co.jp/,広告・マーケティング,
信英広告株式会社,150-0031,東京都,渋谷区,桜丘町21-2池田ビル,03-5489-0010,N.A.,http://www.e-shinei.co.jp/,広告・マーケティング,
東京音楽芸術学園,151-0072,東京都,渋谷区,幡ヶ谷1丁目3-1,03-6300-0010,03-6300-0011,http://www.tokyo-music-arts.jp/,小・中・高・大学等,
ホテルメッツ渋谷,150-0002,東京都,渋谷区,渋谷3丁目29-17,03-3409-0011,03-3409-0023,http://www.hotelmets.jp/,ホテル・ペンション,
東急リバブル株式会社／住宅営業本部／事業推進部,150-0043,東京都,渋谷区,道玄坂1丁目2-2,03-3462-0011,N.A.,http://www.livable.co.jp/,不動産,
株式会社劇団ひまわり／制作営業部,150-0021,東京都,渋谷区,恵比寿西2丁目12-10,03-3476-0011,03-3476-1439,http://www.himawari.net/,娯楽,
ブランデックス株式会社,150-0002,東京都,渋谷区,渋谷4丁目2-12,03-5774-0011,03-5774-0010,http://brandex.ne.jp/,通販,
バハティ一級建築士事務所,150-0001,東京都,渋谷区,神宮前5丁目30-5-401,03-5774-0012,03-5774-0013,http://bahati68.com/,リフォーム,
株式会社ザック・プロモーション,151-0051,東京都,渋谷区,千駄ヶ谷5丁目6-5-201,03-6380-0012,N.A.,http://zack-pro.com/,音楽,
ウエストウッドアウトフィッターズ渋谷パルコ店,150-0042,東京都,渋谷区,宇田川町14-5,03-6416-0012,N.A.,http://www.westwoodoutfitters.jp/,洋服,
グリーンスポット,151-0053,東京都,渋谷区,代々木1丁目21-12,03-3379-0013,03-3379-0013,http://green-spot.jp/,レストラン,
株式会社ファーストキャリア,150-0013,東京都,渋谷区,恵比寿4-6-1,03-3440-0013,03-3440-0014,http://www.firstcareer.co.jp/,士業・コンサルタント,
アザレ東京株式会社,150-0031,東京都,渋谷区,桜丘町9-1,03-5457-0013,N.A.,http://www.azare.co.jp/,美容・コスメ,
日本パーソナルカラー協会（NPO法人）,151-0051,東京都,渋谷区,千駄ヶ谷1丁目28-8-501,03-6434-0013,03-6434-0014,http://www.p-color.jp/,組合・団体,
株式会社日本シナプス,151-0051,東京都,渋谷区,千駄ヶ谷5丁目15番5号dsビル,03-3355-0014,03-3355-0028,http://www.j-synapse.co.jp/,ビルメンテナンス,
株式会社ウッドユウライクカンパニー,150-0001,東京都,渋谷区,神宮前5-48-1,03-5468-0014,03-5468-0015,http://www.woodyoulike.co.jp/,製造・加工（生活雑貨・日用品）,
アップシーデイジー,150-0001,東京都,渋谷区,神宮前5丁目11-6,03-5485-0014,03-5485-0014,http://upsy.jp/,美容院・理容店・毛髪業,
株式会社アイエステート,150-0031,東京都,渋谷区,桜丘町12-5,03-5489-0014,03-5489-0024,http://www.iestate-tokyo.com/,不動産,
東京ソフト販売株式会社,150-0013,東京都,渋谷区,恵比寿1丁目8-3-505,03-3442-0015,03-3442-2520,http://www.tokyosoft.jp/,IT・情報通信,
天元・新宿,151-0053,東京都,渋谷区,代々木2丁目7-5,03-5388-0015,N.A.,http://www.igo-tengen.com/,囲碁・将棋・ボード,
株式会社セント・フォース,150-0013,東京都,渋谷区,恵比寿4-1-22ネオナートアネックス5F,03-5475-0015,03-5475-0018,http://www.centforce.com/,観光・温泉・銭湯,
株式会社プレゼンス,N.A.,東京都,渋谷区,千駄ヶ谷3-31-1ニｭービクトリアビル1F,03-5771-0015,03-5771-0016,http://www.presence-tour.jp/,運送・貨物・倉庫,
マスダ亭,150-0042,東京都,渋谷区,宇田川町22-1,03-3462-0016,03-3462-0017,http://home.p04.itscom.net/,たこ焼き・お好み焼き,
株式会社オーシャン・ワイド,151-0066,東京都,渋谷区,西原2丁目31-4-203,03-6407-0017,03-6407-0019,http://www.ocean-wide.co.jp/,士業・コンサルタント,
帝国興信所,150-0002,東京都,渋谷区,渋谷3丁目17-4,044-211-0018,N.A.,http://www.teikokuweb.co.jp/,相談・調査,
株式会社全労済ウィック,151-0053,東京都,渋谷区,代々木1丁目27-5,03-3299-0019,03-3299-0029,http://www.zenrosai-wic.co.jp/,証券・保険・商品先物,
株式会社ジューク,150-0043,東京都,渋谷区,道玄坂2丁目10-7,03-3461-0019,03-3461-0038,https://www.vetro.jp/,製造・加工（医療・薬関連）,
春秋文化村通り店,150-0043,東京都,渋谷区,道玄坂2丁目23-12,03-3770-0019,03-3770-0044,http://www.shunju.com/,飲み屋,
フットセラピー株式会社,N.A.,東京都,渋谷区,桜丘3-1TNビル1F,03-5728-0020,N.A.,http://www.foottherapy.jp/,医院・診療所・療養所,
東肛門科胃腸科クリニック,150-0013,東京都,渋谷区,恵比寿1丁目9-7,03-3280-0021,03-3280-6600,http://www.azumaclinic.com/,外科系,
株式会社元妹企画室,150-0021,東京都,渋谷区,恵比寿西2-7-1鈴木ビル2F,03-3476-0021,03-3476-1200,http://www.motion-plan.co.jp/,広告・マーケティング,
株式会社ヒューマンワーク,150-0043,東京都,渋谷区,道玄坂1丁目12番1号渋谷マークシティウエスト14階,03-5428-0021,N.A.,http://www.human-work.co.jp/,広告・マーケティング,
キャバレー,150-0041,東京都,渋谷区,神南1丁目14-1-201,03-3462-0022,03-6304-0838,http://cabaret.thebase.in/,洋服,
シヨツピングモール21世紀,151-0073,東京都,渋谷区,笹塚1丁目48,03-3485-0022,03-3485-5551,http://www.mall21.co.jp/,ビルメンテナンス,
ピザーラ幡ヶ谷店,151-0072,東京都,渋谷区,幡ヶ谷1丁目23-7,03-5453-0022,N.A.,http://www.pizza-la.co.jp/,弁当・宅配,
東京インターホーン株式会社,150-0002,東京都,渋谷区,渋谷3丁目8-10,03-5468-0022,03-5468-0023,http://www.tipscorp.co.jp/,製造・加工（電子・精密機械器具）,
株式会社コスメランド,150-0022,東京都,渋谷区,恵比寿南1丁目11-12-101,03-5721-0022,03-5721-0215,http://www.cosmeland.jp/,美容・コスメ,
恵比寿1丁目クリニック,150-0013,東京都,渋谷区,恵比寿1丁目18-4,03-6408-0022,03-6408-0023,http://web.clinicn.jp/,精神科・心療内科,
株式会社渡辺護三堂,150-0002,東京都,渋谷区,渋谷3丁目8-12,03-6892-0022,06-4253-3331,https://gosando.co.jp/,印刷・出版,
