▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社東京イデアフォース,105-0004,東京都,港区,新橋5丁目26-8,03-3436-0001,03-3436-6576,http://www.tokyoideaforce.co.jp/,印刷・出版,
株式会社DTJ,107-0052,東京都,港区,赤坂2丁目13-12,03-5563-0001,03-5563-0130,http://www.dtj.cc/,広告・マーケティング,
イーシステム株式会社,105-0011,東京都,港区,芝公園3-5-10,03-6811-0001,03-5408-0675,http://www.e-system.co.jp/,IT・情報通信,
日本公文教育研究会／東京本社,108-0074,東京都,港区,高輪4丁目10-18,03-6836-0001,N.A.,http://www.kumon.ne.jp/,塾・予備校,
KofaxJapan株式会社,108-0074,東京都,港区,高輪3丁目19-26,03-6853-0001,03-5944-6709,http://www.kofax.jp/,IT・情報通信,
ファミリー物産株式会社,105-0023,東京都,港区,芝浦1-8-4,03-3455-0002,03-3455-0134,http://www.family21.co.jp/,食料品,
TWOROOMS-GRILL-BAR,107-0061,東京都,港区,北青山3丁目11-7,03-3498-0002,03-3498-4002,http://www.tworooms.jp/,レストラン,
株式会社エフー,105-0003,東京都,港区,西新橋1丁目19-3,03-3503-0002,03-3503-0005,http://www.denwayanet.com/,アウトソーシング,
ABJOY,106-0032,東京都,港区,六本木3丁目1-30,03-3583-0002,03-3585-2220,http://www.abjoy.co.jp/,生活用品,
赤坂青野製菓株式会社,107-0052,東京都,港区,赤坂7-11-9,03-3585-0002,03-3589-0050,http://www.akasaka-aono.com/,食料品,
R2SUPPERCLUB,106-0032,東京都,港区,六本木7丁目14-23,03-6447-0002,03-6447-0058,https://www.r2sc.jp/ja/home-ja/,飲み屋,
株式会社キタカタ／東京統轄本部,105-0004,東京都,港区,新橋3丁目16-23,03-3431-0003,03-3434-8699,http://www.kitakata.co.jp/,ラーメン,
株式会社マル一,105-0004,東京都,港区,新橋一丁目六番七号ウエスト銀座ビル7F,03-3569-0003,03-3569-0065,http://www.maruiti.co.jp/,製造・加工（建築資材）,
あすなろ法律事務所,105-0003,東京都,港区,西新橋1丁目20番3号虎ノ門法曹ビル201号,03-5251-0003,N.A.,http://www.yamamasulaw.com/,アウトソーシング,
藤原製麺株式会社東京支店,105-0003,東京都,港区,西新橋3丁目5-8,03-6895-0003,03-6895-0003,http://www.fujiwara-seimen.co.jp/,製造・加工（食料品）,
株式会社省電舎,106-0032,東京都,港区,六本木7丁目15-10,03-3423-0004,03-3402-1677,http://shodensya.com/,水道・ガス・電力,
総合探偵事務所アーガスリサーチ,108-0074,東京都,港区,高輪4丁目24-55-703,03-3444-0004,N.A.,http://www.tantei-net.co.jp/,相談・調査,
エンプレス株式会社,106-0032,東京都,港区,六本木7-15-10,03-3746-0004,03-3746-0048,http://thankyouparty.com/,家電,
株式会社省電舎,N.A.,東京都,港区,芝大門2-2-11泉芝大門ビル1階,03-6821-0004,03-5776-0404,http://www.shodensya.com/,製造・加工（工作機械・一般機械器具）,
株式会社ワイ・ビー・シー,105-0004,東京都,港区,新橋2-16-1ニｭー新橋ビル502,03-3502-0005,03-3504-0050,http://www.ybco.co.jp/,IT・情報通信,
環太平洋文化教育交流財団,106-0032,東京都,港区,六本木7丁目17-14,03-6438-0005,03-6438-0041,http://prceef.org/,組合・団体,
祿,107-0052,東京都,港区,赤坂9丁目7-1,03-3423-0006,03-5772-5780,http://www.roku-shop.com/,美術・工芸,
レインボーホテル,105-0004,東京都,港区,新橋4丁目15-6,03-3433-0006,03-3433-0326,http://rainbowhotel.ne.jp/,ホテル・ペンション,
株式会社サトルジャパン,107-0062,東京都,港区,南青山6丁目12-1,03-3400-0007,N.A.,http://www.satorujapan.co.jp/,求人,
青野,107-0052,東京都,港区,赤坂3丁目1-11,03-3586-0007,03-3589-0050,http://www.akasaka-aono.com/,製造・加工（食料品）,
パレアロマスクール青山,107-0052,東京都,港区,赤坂8丁目5-40-514,03-3796-0007,03-5537-7108,http://www.palais-hara.co.jp/,各種学校,
有限会社ディオスエンターテイメント,106-0045,東京都,港区,麻布十番2丁目19-1-401,03-5484-0007,03-3453-8130,http://www.dios-ent.co.jp/,広告・マーケティング,
シーロム・ソイ・ガオ,105-0021,東京都,港区,東新橋1丁目9-1,03-5537-0008,03-3539-8913,http://www.tinun.jp/,レストラン,
麻布税理士法人,107-0052,東京都,港区,赤坂2丁目19-8,03-5563-0008,03-3479-4168,http://www.azh.jp/,士業・コンサルタント,
ル・ポート・ローズ,106-0046,東京都,港区,元麻布3丁目11-2,03-6406-0008,03-6434-0093,http://le-potauxroses.jp/,イタリアン・フレンチ,
フェデックスキンコーズ・ジャパン株式会社,N.A.,東京都,港区,西新橋2丁目4番2号西新橋安田ユニオンビル7階,03-3507-0009,03-3539-7229,http://www.kinkos.co.jp/,ビルメンテナンス,
インディバハウス,106-0045,東京都,港区,麻布十番3丁目3-10,03-3452-0010,03-6316-1943,http://www.indiba-house.jp/,美容・コスメ,
パナソニックリビングショウルーム東京,105-0021,東京都,港区,東新橋1丁目5-1,03-6218-0010,03-6218-0020,http://sumai.panasonic.jp/,製造・加工（建築資材）,
エルコムウォーク株式会社,105-0013,東京都,港区,浜松町1-16-4,03-6430-0010,N.A.,http://www.elcom.co.jp/,アウトソーシング,
日本公文教育研究会品川事務局,108-0074,東京都,港区,高輪4丁目10-18,03-6836-0010,011-707-1365,http://www.kumon.ne.jp/,幼児教室,
リロケーション不動産株式会社,105-0012,東京都,港区,芝大門1丁目3-10,03-3435-0011,03-3435-0016,http://www.relocation-world.co.jp/,不動産,
ブライトリング・ジャパン株式会社,105-0011,東京都,港区,芝公園2丁目2-22,03-3436-0011,03-3436-0012,http://www.breitling.co.jp/,商社・貿易,
広瀬バルブ工業株式会社／東京営業所,105-0012,東京都,港区,芝大門2丁目4-1,03-3437-0011,03-3437-0013,http://www.hirose-valves.co.jp/,製造・加工（工作機械・一般機械器具）,
須藤建設株式会社,106-0047,東京都,港区,南麻布4-5-45,03-3444-0011,03-3444-6278,http://www.sudo-kensetsu.co.jp/,不動産・賃貸,
株式会社荒木,106-0047,東京都,港区,南麻布2-2-9,03-3454-0011,03-3454-0021,http://www.arakiss.co.jp/,ガソリンスタンド,
株式会社サンリツ／本社事務所,108-0075,東京都,港区,港南2丁目12-32,03-3471-0011,03-3471-1464,http://www.srt.co.jp/,運送・貨物・倉庫,
株式会社インターナショナルスヴェンソン,107-0052,東京都,港区,赤坂1丁目9-13,03-3586-0011,03-3505-5797,http://www.svenson.co.jp/,美容院・理容店・毛髪業,
株式会社ハウフルス,106-0045,東京都,港区,麻布十番1-7-11麻布井上ビル,03-5411-0011,03-5411-1920,http://www.howfulls.com/,映画・放送・新聞,
kakimoto-arms青山店,107-0062,東京都,港区,南青山5丁目6-12,03-5464-0011,03-5464-0019,http://www.kakimoto-arms.com/,美容院・理容店・毛髪業,
ゲイロードベンチレーター・ジャパン,105-0004,東京都,港区,新橋4丁目6-8,03-5777-0011,N.A.,http://www.murako.co.jp/,製造・加工（工作機械・一般機械器具）,
株式会社ジィーアンドアール,108-0074,東京都,港区,高輪1-4-26高輪東誠ビル502,03-6408-0011,03-6408-0012,http://www.gnr.co.jp/,その他サービス,
日本クラウド証券株式会社,106-0032,東京都,港区,六本木7丁目4-4,03-6447-0011,03-6895-0431,https://crowdbank.jp/,証券・保険・商品先物,
須藤建設株式会社,106-0047,東京都,港区,南麻布4丁目5-45,03-3444-0012,N.A.,http://www.sudo-kensetsu.co.jp/,総合・職別工事業,
大野法律事務所,105-0003,東京都,港区,西新橋1丁目20-3-207,03-3503-0012,03-3503-0013,http://www.t-leo.com/,士業・コンサルタント,
ダクタリ動物病院東京医療センター,108-0071,東京都,港区,白金台5丁目14-1,03-5420-0012,03-5420-0014,https://mc.aeonpet.com/daktari/,動物病院・獣医師,
フォーディーネットワークス株式会社,108-0074,東京都,港区,高輪3丁目2番3号t323プレイスビル4階,03-5798-0012,03-5798-7055,http://www.4dn.co.jp/,IT・情報通信,
K・S・D（税理士法人）,107-0061,東京都,港区,北青山1丁目3-2,03-3478-0013,03-3478-0014,http://www.ksd01.com/,士業・コンサルタント,
株式会社アイハラ,107-0062,東京都,港区,南青山5丁目17-1-801,03-5778-0013,03-5778-5773,http://www.kk-aihara.co.jp/,商社・貿易,
株式会社サン・サービス,105-0001,東京都,港区,虎ノ門2丁目8-1,03-3503-0014,03-3503-0014,http://www.sun-service.jp/,その他サービス,
那須整形外科医院,106-0032,東京都,港区,六本木6丁目5-20,03-3470-0015,03-3470-0748,http://www.e-doctors-net.com/,外科系,
株式会社シー・ティー・エス日米,105-0004,東京都,港区,新橋2丁目1-1,03-3580-0015,03-3580-0016,http://www.cts-n.co.jp/,語学,
ル・ドンジョン,107-0062,東京都,港区,南青山5丁目8-10,03-5466-0015,03-5466-0016,http://www.donjon.jp/,飲み屋,
陳瑞東クリニック,107-0052,東京都,港区,赤坂2-13-5　赤坂会館Ｂ1F,03-5856-0015,N.A.,http://www.chin-cl.com/,医院・診療所・療養所,
株式会社グローバルコミュニケーションズ,106-0047,東京都,港区,南麻布2丁目5-14-1101,03-6435-0015,052-953-7163,http://www.skword.co.jp/,IT・情報通信,
株式会社菊島商事,105-0013,東京都,港区,浜松町2丁目2番3号,03-3437-0016,03-3437-0027,http://www.hamashiba-style.com/,不動産,
アビーロード,106-0032,東京都,港区,六本木4丁目11-5,03-3402-0017,03-3402-2711,http://www.abbeyroad.ne.jp/,音楽,
東栄技工株式会社,105-0012,東京都,港区,芝大門1丁目16-1,03-3433-0017,N.A.,http://www.toei-eng.co.jp/,製造・加工（金属製品）,
株式会社エムケイジェイ,107-0062,東京都,港区,南青山4-9-22アウラビル2F,03-3746-0017,03-3746-0019,http://www.mkjltd.co.jp/,販売・卸（衣料関連）,
株式会社ブリス,105-0013,東京都,港区,浜松町1-9-2関東ビル4F,03-5776-0017,03-5776-0018,http://bliss.co.jp/,不動産,
サチ・ジョイエッリ,107-0062,東京都,港区,南青山4丁目23-10,03-3400-0018,N.A.,http://sachi-gioielli.net/,アクセサリー,
ラトリエ・デュ・パン,106-0032,東京都,港区,六本木6丁目1-12,03-3405-0018,N.A.,http://latelier-du-pain.com/,食料品,
CACAO・SAMPAKA南青山店,107-0062,東京都,港区,南青山5丁目5-24,03-5766-0018,03-5766-0019,http://www.cacaosampaka.jp/,お菓子・スイーツ,
株式会社一休,107-0052,東京都,港区,赤坂3丁目3-3,03-6685-0019,03-5752-4271,http://www.ikyu.co.jp/,IT・情報通信,
株式会社青野総本舗,106-0032,東京都,港区,六本木3丁目15-21,03-3404-0020,03-3404-0076,http://www.azabu-aono.com/,お菓子・スイーツ,
高輪テニスセンター,108-0074,東京都,港区,高輪4丁目10-30,03-3441-0020,03-3441-1000,http://www.princehotels.co.jp/,テニス,
メディアサプライ・インターナショナル株式会社,105-0003,東京都,港区,西新橋1-5-10トウセン西新橋ビル7F,03-5532-0020,N.A.,http://www.media-si.co.jp/,家電,
株式会社マインドフィールド,105-0013,東京都,港区,浜松町1-19-9,03-6430-0020,03-6430-0024,http://www.mindfield.jp/,IT・情報通信,
スリーライン株式会社,105-0004,東京都,港区,新橋5-25-6第2ヤマトビル,03-3433-0021,03-3433-7040,http://www.threeline.co.jp/,製造・加工（建築資材）,
センチュリー21,107-0061,東京都,港区,北青山2丁目12-16,03-3497-0021,03-3497-0071,http://www.century21japan.co.jp/,不動産,
株式会社エル・エー・ソリューションズ,105-0004,東京都,港区,新橋2-13-6中井ビル5F,03-3503-0021,03-35-0322,http://las-co.jp/,不動産,
センチュリー21スカイリアルティ,106-0044,東京都,港区,東麻布1丁目3-8,03-3585-0021,03-3585-0399,http://www.Century21Japan.com/,不動産,
MOA高輪クリニック,108-0074,東京都,港区,高輪4丁目8-10,03-5421-0021,03-5421-0020,http://tokyo.moa-natural.jp/,人間ドック,
株式会社テレトップ21,105-0021,東京都,港区,東新橋1丁目3-5,03-6252-0021,03-6252-0033,https://www.teletop21.co.jp/,アウトソーシング,
クレール,106-0032,東京都,港区,六本木7丁目13-5,03-3402-0022,0745-71-0801,http://s-claire.jp/,美容院・理容店・毛髪業,
ファミリー物産株式会社／営業本部,105-0023,東京都,港区,芝浦1丁目8-4,03-3455-0022,03-3455-0134,http://www.family21.co.jp/,製造・加工（食料品）,
インターリンクスクール,107-0052,東京都,港区,赤坂6丁目10-42-208,03-3588-0022,03-3588-0055,http://www.kk-interlink.com/,語学,
株式会社春秋社／本社,108-0014,東京都,港区,芝5丁目34-7,03-5443-0022,03-5443-9280,https://www.shunju.co.jp/,証券・保険・商品先物,
スポーツ安全協会（公益財団法人）,105-0003,東京都,港区,西新橋1丁目6-11,03-5510-0022,03-5510-0020,http://www.sportsanzen.org/,組合・団体,
