▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
東北ミツワ電機株式会社,012-0051,秋田県,湯沢市,深堀字鎌切33-3,0183-78-0010,0183-78-0040,http://www.mitsuwadenki.co.jp/,製造・加工（工作機械・一般機械器具）,
株式会社ブルーウィングス,012-0857,秋田県,湯沢市,千石町3-169-5,0183-72-0012,N.A.,http://crucian.jp/,その他サービス,
湯沢市役所／本庁舎／売店,012-0824,秋田県,湯沢市,佐竹町1-1,0183-73-0017,0183-73-2117,http://www.city-yuzawa.jp/,市区町村機関,
株式会社東北ビルテック湯沢事業所,012-0845,秋田県,湯沢市,材木町2丁目1-18-2F,0183-73-0053,0183-73-0053,http://www.t-biltec.com/,防犯・防火,
イオンスーパーセンター湯沢店,012-0000,秋田県,湯沢市,字上荻生田162,0183-78-0088,0183-78-0089,http://www.aeonsupercenter.co.jp/,コンビニ・スーパー・デパート,
株式会社トヨタレンタリース秋田湯沢店,012-0844,秋田県,湯沢市,田町2丁目13-8,0183-72-0100,0183-72-4055,https://rent.toyota.co.jp/,リース・レンタル,
池田産婦人科クリニック,012-0036,秋田県,湯沢市,字両神142-3,0183-73-0100,0183-72-0625,http://www.yutopia.or.jp/,産科・婦人科系,
株式会社チバ・テクノ,012-0051,秋田県,湯沢市,深堀字中川原116-7,0183-73-0106,0183-73-0199,http://www.chb.co.jp/,製造・加工（電子・精密機械器具）,
秋田木工株式会社,012-0862,秋田県,湯沢市,関口字川前117,0183-73-0123,0183-72-2019,http://www.akitamokko.jp/,家具・インテリア,
ゆざわ温泉,012-0823,秋田県,湯沢市,湯ノ原2丁目4-64,0183-73-0135,0183-72-0723,http://www.yuzawa-onsen.com/,旅館・民宿,
くらた／湯沢店,012-0841,秋田県,湯沢市,大町1丁目3-55,0183-73-0141,0183-73-5187,http://www.okashinokurata.com/,お菓子・スイーツ,
ロイヤルネットワーク株式会社,N.A.,秋田県,湯沢市,元清水4-3-7,0183-73-0155,N.A.,http://www.usachan.co.jp/,その他サービス,
株式会社日敷本社,012-0813,秋田県,湯沢市,前森1丁目2-6,0183-73-0160,0183-73-0162,http://nisshiki.com/,家具・インテリア,
雄勝糧穀株式会社,012-0827,秋田県,湯沢市,表町4-1-18,0183-73-0185,0183-73-0186,http://ogachiryoukoku.web.fc2.com/,販売・卸（食料品）,
雄勝糧穀株式会社,012-0827,秋田県,湯沢市,表町4丁目1-18,0183-73-0186,0183-73-0186,http://ogachiryoukoku.web.fc2.com/,販売・卸（食料品）,
株式会社松田,012-0031,秋田県,湯沢市,鶴館39-4,0183-73-0188,0183-72-0118,http://www.matsuda-group.jp/,製造・加工（窯業・土石）,
ロイヤルネットワーク株式会社,N.A.,秋田県,湯沢市,万石24-2,0183-72-0330,N.A.,http://www.usachan.co.jp/,その他サービス,
湯沢市観光物産協会,012-0826,秋田県,湯沢市,柳町1丁目1-13,0183-73-0415,0183-78-2323,http://akitayuzawa.jp/,観光・温泉・銭湯,
ツルハドラッグ湯沢店,012-0036,秋田県,湯沢市,字両神28-1,0183-78-0466,0183-78-0466,http://www.tsuruha.co.jp/,薬,
アキタアルペンスポーツ,012-0804,秋田県,湯沢市,杉沢字戸石崎37-3,0183-72-0468,0183-72-5468,http://alpinesp.s70.xrea.com/,スポーツ用品,
よねやスーパーマーケット千石大橋店,012-0043,秋田県,湯沢市,字万石242,0183-78-0505,0183-78-0520,http://www.yoneyahimawari.com/,コンビニ・スーパー・デパート,
