▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社あじまん,N.A.,秋田県,潟上市,天王字追分9-3,018-838-0117,N.A.,http://ajiman.co.jp/,食料品,
愛犬美容室犬のとこやさん,010-0101,秋田県,潟上市,天王字追分101-23,018-853-0194,018-853-0194,http://satotrimming.com/,ペット美容室,
うさちゃんクリーニングナイス追分店,010-0101,秋田県,潟上市,天王字追分9-3,018-853-0951,N.A.,http://www.usachan.co.jp/,クリーニング,
日野興業株式会社,010-0101,秋田県,潟上市,天王字追分西27-16,018-872-1060,018-872-1098,http://www.hinokogyo.co.jp/,リース・レンタル,
わかばデンタルクリニック,010-0101,秋田県,潟上市,天王字上北野60-1,018-872-1181,018-872-1182,http://wakaba.nanshu.jp/,歯科系,
勅使川原産業株式会社,010-0101,秋田県,潟上市,天王字追分西51番地の4,018-872-1247,018-872-1248,http://www.teshi.co.jp/,運送・貨物・倉庫,
北都銀行／飯塚支店,018-1504,秋田県,潟上市,飯田川飯塚字飯塚61-3,018-877-2008,018-877-4419,http://www.hokutobank.co.jp/,金融・郵貯・貸金,
むつみ造園土木株式会社／天王事業所,010-0201,秋田県,潟上市,天王字棒沼台306,018-878-2011,018-864-1316,http://www.mutsumi-l.co.jp/,総合・職別工事業,
三浦醤油店,010-0201,秋田県,潟上市,天王字上江川47-502,018-878-2015,018-878-4091,http://www.chuokai-akita.or.jp/,食料品,
株式会社菅英佃煮本舗,018-1402,秋田県,潟上市,昭和乱橋字古開119,018-877-2024,018-877-6368,http://www.sugae.co.jp/,食料品,
小玉医院,018-1401,秋田県,潟上市,昭和大久保字街道下96-8,018-877-2040,018-877-2300,http://www.seiwakai-net.com/,医院・診療所・療養所,
自性院,010-0201,秋田県,潟上市,天王字天王71,018-878-2049,018-878-5488,http://www.jishoin.org/,宗教,
佐藤食品株式会社,018-1401,秋田県,潟上市,昭和大久保字片田千刈田26,018-877-2054,018-877-4077,http://www.satousyokuhin.co.jp/,製造・加工（食料品）,
太平山,018-1504,秋田県,潟上市,飯田川飯塚字飯塚34-1,018-877-2100,018-877-2104,http://www.kodamajozo.co.jp/,酒・飲料品,
秋田みなみ農業協同組合／天王総合支所,010-0201,秋田県,潟上市,天王字上江川47-73,018-878-2111,018-878-5551,http://ja-akita-namahage.or.jp/,組合・団体,
秋田銀行／大久保支店,018-1401,秋田県,潟上市,昭和大久保字虻川境3-10,018-877-2122,N.A.,http://www.akita-bank.co.jp/,金融・郵貯・貸金,
ニチレキ株式会社秋田営業所,018-1502,秋田県,潟上市,飯田川下虻川字道心谷地38,018-877-2125,018-877-2126,http://www.nichireki.co.jp/,製造・加工（建築資材）,
東湖八坂神社,010-0201,秋田県,潟上市,天王字天王106,018-878-2143,018-853-5280,http://www.city.katagami.lg.jp/,宗教,
あきた湖東農業協同組合／野村農業倉庫,018-1401,秋田県,潟上市,昭和大久保字後谷地47,018-877-2196,018-855-1501,http://www.ja-akita-kotoh.or.jp/,組合・団体,
