▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
冨美通信興業株式会社,311-2415,茨城県,潮来市,延方3730-1,0299-67-0011,0299-67-0012,http://www.fumitsushin.co.jp/,商社・貿易,
岩本税務会計事務所,311-2425,茨城県,潮来市,あやめ2丁目23-31,0299-63-0055,0299-63-0056,http://www.tax-itako.com/,士業・コンサルタント,
内職市場潮来店,311-2423,茨城県,潮来市,日の出6丁目13-5,0299-66-0114,N.A.,http://www.naisyoku-ichiba.co.jp/,求人,
鹿行広域事務組合消防本部／潮来消防署,311-2426,茨城県,潮来市,大塚野1丁目13-2,0299-63-0119,N.A.,http://rokkou-kouiki.jp/wp/,消防・警察,
荒接骨院,311-2423,茨城県,潮来市,日の出1丁目16-27,0299-66-0262,N.A.,http://ara-bonesettin.sakura.ne.jp/,整体等各種療術,
松本産業株式会社,311-2422,茨城県,潮来市,大洲1402,0299-63-0311,0299-63-1417,http://www.sopia.or.jp/,製造・加工（化学・プラスチック）,
日建ハウジング,311-2425,茨城県,潮来市,あやめ1丁目4-1,0299-63-0358,0299-63-3685,http://www.nikkenhousing.jp/,不動産,
山本葬祭潮来ホール,311-2423,茨城県,潮来市,日の出7丁目20-1,0299-66-0511,0299-63-3236,http://www.sougi-yamamoto.jp/,葬儀,
ワークマン潮来店,311-2448,茨城県,潮来市,須賀2873-3,0299-66-0521,0270-32-6667,http://www.workman.co.jp/,制服・作業服,
慈母保育園,311-2423,茨城県,潮来市,日の出4丁目7-15,0299-66-0624,0299-94-5885,http://www.jibo.jp/,幼稚園・保育施設,
潮来市役所／中央公民館,311-2423,茨城県,潮来市,日の出3丁目11,0299-66-0660,0299-80-1100,http://www.city.itako.lg.jp/,市区町村機関,
有限会社エフワン,311-2424,茨城県,潮来市,潮来1086-19,0299-63-0670,N.A.,http://www.zennichi.net/,不動産,
川口北薬局,311-2424,茨城県,潮来市,潮来8,0299-63-0682,0299-63-0682,http://kawaguchikita.web.fc2.com/,薬,
合同会社ウィルフェアー,311-2444,茨城県,潮来市,小泉南1430-1,0299-66-0861,N.A.,http://www.willfair.com/,販売・卸（その他）,
茂木林業不動産部,311-2425,茨城県,潮来市,あやめ1丁目13-13,0299-63-0896,0299-63-2872,http://mogiringyou-fudousan.co.jp/,不動産,
今泉建築,311-2424,茨城県,潮来市,潮来965-8,0299-63-1041,0299-63-1041,http://www.imaizumi-house.com/,総合・職別工事業,
潮来市役所,311-2421,茨城県,潮来市,辻626,0299-63-1111,0299-80-1100,http://www.city.itako.lg.jp/,市区町村機関,
全国農業協同組合連合会茨城県本部生活部潮来食材センター,311-2403,茨城県,潮来市,釜谷1211,0299-67-1120,N.A.,http://www.zennoh.or.jp/,組合・団体,
すぎのや本陣潮来店,311-2421,茨城県,潮来市,辻313-2,0299-80-1121,0297-35-8412,http://www.suginoya.com/,そば・うどん,
ローソン潮来須賀南店,311-2446,茨城県,潮来市,須賀南158-1,0299-80-1122,N.A.,http://www.lawson.co.jp/,コンビニ・スーパー・デパート,
トータルファッションノブス,311-2447,茨城県,潮来市,曲松2808-1,0299-66-1128,N.A.,http://www.nobusu.com/,洋服,
PSプロテクト株式会社,311-2423,茨城県,潮来市,日の出7丁目1-40,0299-67-1131,0299-67-1132,http://psprotect.co.jp/,おもちゃ・キャラクタ,
椎名会計（税理士法人）,311-2425,茨城県,潮来市,あやめ2丁目26-19,0299-63-1151,0299-63-3144,http://www.tkcnf.com/,士業・コンサルタント,
セイミヤ／本部,311-2424,茨城県,潮来市,潮来617,0299-63-1161,0299-63-1166,http://www.super-seimiya.co.jp/,コンビニ・スーパー・デパート,
道の駅いたこ,311-2416,茨城県,潮来市,前川1326-1,0299-67-1161,0299-67-1162,http://www.michinoeki-itako.jp/,道の駅,
あやめ祭大会本部,311-2425,茨城県,潮来市,あやめ1丁目5,0299-63-1187,0299-80-1100,http://www.city.itako.lg.jp/,観光・温泉・銭湯,
東亜電気株式会社,311-2412,茨城県,潮来市,宮前1丁目19-3,0299-66-1191,N.A.,http://www.toadenki.ecnet.jp/,販売・卸（その他）,
潮来市社会福祉協議会／介護保険事業所,311-2421,茨城県,潮来市,辻765,0299-63-1216,0299-63-1216,http://www.itakoshakyo.or.jp/,市区町村機関,
トヨタカローラ南茨城株式会社潮来店,311-2424,茨城県,潮来市,潮来7125-2,0299-80-1220,0299-80-1228,http://www.cmibaraki.jp/,自動車販売,
株式会社潮来工機,311-2424,茨城県,潮来市,潮来143-4,0299-63-1221,0299-82-3774,http://www.scrap.co.jp/,製造・加工（金属製品）,
有限会社ノブスハウジング,311-2447,茨城県,潮来市,曲松2808-10,0299-66-1234,0299-66-4511,http://www.nobusu.com/,不動産,
潮来市社会福祉協議会,311-2421,茨城県,潮来市,辻765,0299-63-1296,0299-63-1265,http://www.itakoshakyo.or.jp/,市区町村機関,
キッチン春風,311-2425,茨城県,潮来市,あやめ1丁目6-4,0299-63-1312,0299-94-7112,http://k-harukaze.jimdo.com/,レストラン,
潮来市立／津知小学校,311-2421,茨城県,潮来市,辻829-1,0299-63-1383,N.A.,http://tsuchi-el.com/,小・中・高・大学等,
日本瓦斯株式会社,311-2423,茨城県,潮来市,日の出8丁目26-1,0299-66-1421,0299-66-6537,http://www.nichigas.co.jp/,水道・ガス・電力,
潮来バプテスト教会,311-2423,茨城県,潮来市,日の出7丁目11-1,0299-66-1436,0299-66-1436,http://www.itako-baptist.com/,宗教,
有限会社イマジンコーポレーション,311-2423,茨城県,潮来市,日の出7丁目8-27,0299-66-1542,0299-66-5788,http://step.sopia.or.jp/,販売・卸（食料品）,
村さ来潮来アイモア店,311-2424,茨城県,潮来市,潮来6065,0299-80-1552,0299-80-1552,http://村さ来.sblo.jp/,飲み屋,
リーヴス,311-2424,茨城県,潮来市,潮来638,0299-63-1578,0299-63-1578,http://www.leaves-hair.com/,趣味,
くるまやラーメン潮来店,311-2448,茨城県,潮来市,須賀2950-3,0299-66-1598,N.A.,http://www.kurumayaramen.co.jp/,ラーメン,
イタコモータースポーツパーク,311-2402,茨城県,潮来市,大生804-352,0299-66-1725,0299-66-5151,http://www.itako-msp.co.jp/,モータースポーツ,
人間禅坂東道場,311-2403,茨城県,潮来市,釜谷375-1,0299-66-1766,N.A.,http://www.ningenzen.jp/,武道・格闘技,
大関,311-2424,茨城県,潮来市,潮来144,0299-63-1852,N.A.,http://www.ozeki.co.jp/,飲み屋,
潮来つり具センター,311-2425,茨城県,潮来市,あやめ1丁目14-1,0299-63-1864,0299-63-3124,http://www.lure.jp/,釣り,
JA祭典なめがた潮来ホール,311-2424,茨城県,潮来市,潮来6064-4,0299-80-1889,0299-80-1899,http://www.i-ks.jp/,葬儀,
元気寿司潮来店,311-2448,茨城県,潮来市,須賀2779-1,0299-66-1961,0299-66-1961,http://www.genkisushi.co.jp/,中華・中国料理,
潮来富士屋ホテル,311-2424,茨城県,潮来市,潮来102,0299-62-2000,0299-63-0801,http://www.fujiya-hotel.co.jp/,ホテル・ペンション,
鹿島物流株式会社／潮来営業所,311-2415,茨城県,潮来市,延方3726,0299-67-2011,0299-67-2022,http://www.kb-k.co.jp/,引越,
清水屋,311-2437,茨城県,潮来市,永山2651,0299-64-2011,N.A.,http://www.kappo-shimizuya.com/,魚料理,
潮来市立／日の出小学校,311-2423,茨城県,潮来市,日の出3丁目12-1,0299-66-2020,0299-66-4691,http://www.itako.ed.jp/,小・中・高・大学等,
マクドナルド／51号潮来店,311-2448,茨城県,潮来市,須賀2837-1,0299-80-2021,0299-80-2021,http://www.mcdonalds.co.jp/,ファーストフード,
株式会社宮本電業社,311-2424,茨城県,潮来市,潮来1086-15,0299-62-2022,0299-62-2043,http://www.sopia.or.jp/,家電,
若槙米穀店,311-2424,茨城県,潮来市,潮来282,0299-62-2036,N.A.,http://wakamaki.com/,食料品,
茨城県漬物工業協同組合,311-2424,茨城県,潮来市,潮来291-1,0299-62-2062,N.A.,http://www.ibaraki-tsukemono.jp/,組合・団体,
