▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
境町立／境第一中学校,306-0404,茨城県,猿島郡境町,大字長井戸1682,0280-87-0016,0280-87-3116,http://sakai1-jh.sakura.ne.jp/modules/xpress/,小・中・高・大学等,
さしま食品加工協同組合,306-0415,茨城県,猿島郡境町,大字大歩1551-1,0280-87-0023,0280-81-1414,http://www.sakai-syokuchou.co.jp/,製造・加工（食料品）,
株式会社境食鳥,306-0414,茨城県,猿島郡境町,内門651,0280-87-0038,0280-86-7038,http://sakai-syokuchou.co.jp/,製造・加工（食料品）,
茨城菱農株式会社／境営業所,306-0400,茨城県,猿島郡境町,新吉町1407,0280-87-0045,N.A.,http://www.ibaryou.jp/,農業,
茨城県警察本部／境警察署,306-0404,茨城県,猿島郡境町,大字長井戸51-27,0280-86-0110,N.A.,http://www.pref.ibaraki.jp/,消防・警察,
株式会社野口徳太郎商店,306-0400,茨城県,猿島郡境町,山神町1144,0280-87-0128,N.A.,http://www.greentea.co.jp/,製造・加工（食料品）,
松本文具店,306-0400,茨城県,猿島郡境町,住吉町299-1,0280-87-0170,0280-87-0170,http://matsubun.blog27.fc2.com/,文房具,
池田産婦人科医院,306-0400,茨城県,猿島郡境町,松岡町2174-100,0280-87-0171,0280-87-0327,http://w3.dreams.ne.jp/,産科・婦人科系,
結城信用金庫／境支店,306-0400,茨城県,猿島郡境町,住吉町1900,0280-87-0235,0296-33-0414,http://www.shinkin.co.jp/,金融・郵貯・貸金,
境町商工会,306-0400,茨城県,猿島郡境町,坂花町965-29,0280-87-0380,0280-87-4247,http://sakaishoko.blog123.fc2.com/,組合・団体,
茨城県自動車学校境校,306-0400,茨城県,猿島郡境町,松岡町1,0280-87-0454,0280-87-4831,http://www.ibarakiken-ds.com/,資格,
茨城県出先機関／土木部／境工事事務所／道路管理課,306-0431,茨城県,猿島郡境町,大字西泉田1293,0280-87-0458,0280-87-5517,http://www.pref.ibaraki.jp/,都道府県機関,
荒井川魚店,306-0400,茨城県,猿島郡境町,本船町1559,0280-87-0465,N.A.,http://araikawazakanaten.web.fc2.com/,食料品,
株式会社積水化成品茨城,306-0405,茨城県,猿島郡境町,大字塚崎1370,0280-87-0515,0280-87-2217,http://www.ne.jp/,製造・加工（化学・プラスチック）,
株式会社飯田製作所,306-0403,茨城県,猿島郡境町,蛇池525-4,0280-87-0524,0280-87-0804,http://www.iida-stn.co.jp/,製造・加工（鉄鋼製品）,
すばる接骨院,306-0434,茨城県,猿島郡境町,大字上小橋278-2,0280-87-0555,N.A.,http://www.subaru-bs.com/,あん摩・はり・きゅう,
株式会社エヌエスシー,306-0412,茨城県,猿島郡境町,大字栗山493,0280-87-0560,0280-86-5373,http://www.nittan-sakae.co.jp/,製造・加工（金属製品）,
中央通運株式会社,306-0402,茨城県,猿島郡境町,猿山48-2,0280-87-0650,0280-81-3421,http://www.chuoexp.co.jp/,運送・貨物・倉庫,
茨城むつみ農業協同組合／長田支店,306-0403,茨城県,猿島郡境町,大字蛇池635,0280-87-0680,N.A.,http://www.jamutsumi.com/,組合・団体,
徳正宗,306-0400,茨城県,猿島郡境町,旭町565-1,0280-87-0746,0280-87-0893,http://www.tokumasamune.com/,酒・飲料品,
朝日自動車株式会社境営業所,306-0404,茨城県,猿島郡境町,大字長井戸276,0280-87-0780,N.A.,http://www.asahibus.jp/,交通機関,
bodyshop-HIRAI,306-0400,茨城県,猿島郡境町,旭町649-1,0280-87-0833,0280-87-0982,http://www.carcon.co.jp/,車検・整備・修理,
日之出工業株式会社,306-0400,茨城県,猿島郡境町,旭町553,0280-87-0837,0280-87-7384,http://www.hinode-k.net/,製造・加工（建築資材）,
長沼工務店,306-0413,茨城県,猿島郡境町,大字山崎1245-1,0280-87-0861,0280-87-7788,http://www.naganuma-k.com/,総合・職別工事業,
ザ・ダイソーT-PLACE境店,306-0400,茨城県,猿島郡境町,松岡町122,0280-81-1006,N.A.,http://www.daiso-sangyo.co.jp/,生活用品,
ココス／茨城境町店,306-0400,茨城県,猿島郡境町,山神町811-1,0280-81-1013,N.A.,http://www.cocos-jpn.co.jp/,レストラン,
auショップ境,306-0433,茨城県,猿島郡境町,213-5,0280-87-1051,N.A.,https://www.au.com/,電話・通信,
介護老人保健施設境町メディカルピクニック,306-0405,茨城県,猿島郡境町,大字塚崎2555-1,0280-81-1055,0280-81-1195,http://www.sowa-chuo.com/,介護・福祉,
茨城西南医療センター／訪問看護ステーション,306-0400,茨城県,猿島郡境町,松岡町2190,0280-81-1065,0280-81-1066,http://www.seinan-mch.or.jp/,介護・福祉,
蕎楽,306-0400,茨城県,猿島郡境町,住吉町293-5,0280-81-1133,N.A.,http://www.kyouraku.jp/,そば・うどん,
ミスタードーナツサカイモールショップ,306-0400,茨城県,猿島郡境町,山神町1327-1,0280-81-1135,N.A.,https://www.misterdonut.jp/noscript.html,ファーストフード,
茨城むつみ農業協同組合,306-0404,茨城県,猿島郡境町,大字長井戸23,0280-87-1161,0280-87-6630,http://www.jamutsumi.com/,組合・団体,
開倫塾境校,306-0404,茨城県,猿島郡境町,大字長井戸216-3,0280-81-1175,0280-87-5373,http://www.kairin.co.jp/,塾・予備校,
東武観光株式会社境営業所,306-0404,茨城県,猿島郡境町,大字長井戸338-3,0280-87-1200,0280-87-7101,http://www.tobukanko.com/,旅行業・代理店,
茨城県出先機関／土木部／境工事事務所,306-0431,茨城県,猿島郡境町,大字西泉田1293,0280-87-1231,0280-87-5517,http://www.pref.ibaraki.jp/,都道府県機関,
ガスト茨城境町店,306-0400,茨城県,猿島郡境町,旭町354,0280-81-1266,N.A.,http://www.skylark.co.jp/,レストラン,
ケイ・ディー・エス（合同会社）,306-0400,茨城県,猿島郡境町,上仲町1539-3,0280-81-1275,0280-87-0912,http://www.kds-network.com/,アウトソーシング,
実台寺,306-0400,茨城県,猿島郡境町,住吉町2102,0280-87-1297,N.A.,http://wwg.dreams.ne.jp/,宗教,
境町役場／総合案内,306-0433,茨城県,猿島郡境町,391-1,0280-81-1300,0280-86-7521,http://www.town.sakai.ibaraki.jp/,市区町村機関,
