▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社MARUWAQUARTZ三春工場,963-7704,福島県,田村郡三春町,大字熊耳字大平7-1,0247-62-0012,0247-62-0020,http://www.maruwa-g.com/,販売・卸（建設資材）,
株式会社湘南ユニテック福島工場,963-7700,福島県,田村郡三春町,字深作20,0247-62-0050,0247-62-0054,http://www.shonan-unitec.co.jp/,製造・加工（輸送機械器具）,
株式会社MARUWA,963-7704,福島県,田村郡三春町,大字熊耳字大平7番地1,0247-62-0841,0247-62-0840,http://www.maruwa-g.com/,製造・加工（その他）,
トーフカフェおおはたや,963-7722,福島県,田村郡三春町,大字西方字石畑253,0247-62-1113,0247-62-1512,http://www.oohataya.com/,レストラン,
株式会社川崎シール製作所,N.A.,福島県,田村郡三春町,大字熊耳字大平1-4,0247-62-1121,0247-62-1124,http://www.kawasaki-seal.co.jp/,印刷・出版,
斎藤の湯・元湯下の湯,963-7723,福島県,田村郡三春町,大字斎藤字惣角地83-1,024-944-1158,024-944-1145,http://www.saitounoyusimonoyu.jp/,旅館・民宿,
三春の里ジンギスカンさくら,963-7722,福島県,田村郡三春町,大字西方字石畑487-1,0247-62-1214,0247-62-4151,http://sakurafarm.net/,肉料理,
株式会社ドリーム・オオウチ,N.A.,福島県,田村郡三春町,字中町56番地,0247-61-1222,0247-61-1221,http://lina-dreamoouchi.ftw.jp/,洋服,
株式会社フガク工機東北工場,963-7704,福島県,田村郡三春町,大字熊耳字大平2-1,0247-62-1234,N.A.,http://www.fugaku-koki.co.jp/,製造・加工（金属製品）,
田村青年会議所,963-7759,福島県,田村郡三春町,字大町178,0247-62-1250,0247-62-8320,http://www.tamurajc.com/,組合・団体,
郡山聖書バプテスト教会,963-7731,福島県,田村郡三春町,大字下舞木字虫内152,024-942-1332,024-942-1332,http://lifeline-fukushima.com/,宗教,
みはる調剤薬局,963-7759,福島県,田村郡三春町,字大町32-1,0247-61-1616,0247-61-1617,http://www.e-classa.net/,薬,
応用地質株式会社,963-7722,福島県,田村郡三春町,大字西方字石畑275,0247-62-1756,0247-62-3856,http://www.oyo.co.jp/,印刷・出版,
ヨークベニマル三春店,963-7766,福島県,田村郡三春町,字中町86,0247-62-2002,0247-62-3879,http://www.yorkbeni.co.jp/,コンビニ・スーパー・デパート,
馬場の湯・若松屋,963-7745,福島県,田村郡三春町,字尼ケ谷127,0247-62-2027,0247-61-1040,http://www.naf.co.jp/Default.htm,旅館・民宿,
福島県理工専門学校,963-7731,福島県,田村郡三春町,大字下舞木字石崎157,024-956-2031,024-956-2032,http://www.rikou.ac.jp/,専修学校,
田村広域行政組合,963-7704,福島県,田村郡三春町,大字熊耳字下荒井176-1,0247-62-2038,0247-62-2035,http://www.tamura-fukushima.jp/,市区町村機関,
郡山信用金庫／三春支店,963-7759,福島県,田村郡三春町,字大町110,0247-62-2105,0247-62-6075,http://www.gunshin.co.jp/,金融・郵貯・貸金,
三春町役場／総務課／庶務グループ,963-7759,福島県,田村郡三春町,字大町1-2,0247-62-2111,0247-61-1110,http://www.town.miharu.fukushima.jp/,市区町村機関,
株式会社東邦銀行三春支店,963-7766,福島県,田村郡三春町,字中町2,0247-62-2141,024-522-5624,http://www.tohobank.co.jp/,金融・郵貯・貸金,
みちのく霊泉やわらぎの湯,963-7746,福島県,田村郡三春町,字馬場224,0247-62-2153,0247-62-8688,http://www.yawaragi-no-yu.jp/,旅館・民宿,
福島県立田村高等学校,963-7763,福島県,田村郡三春町,字持合畑135,0247-62-2185,0247-62-7785,https://tamura-h.fcs.ed.jp/,小・中・高・大学等,
大島工業株式会社,963-7704,福島県,田村郡三春町,大字熊耳字大平11,0247-62-2188,0247-62-7279,http://www.ohshima-m.co.jp/,製造・加工（鉄鋼製品）,
新井ハガネ株式会社郡山営業所,963-7731,福島県,田村郡三春町,大字下舞木字間明田24-1,024-956-2321,03-3635-1188,http://araihagane.co.jp/,販売・卸（その他）,
三春新生教会,963-7725,福島県,田村郡三春町,大字鷹巣字浜井場20-1,0247-62-2350,0247-62-2350,http://mypistis.info/,宗教,
ヤマダイ酒店,963-7765,福島県,田村郡三春町,荒町60,0247-62-2410,0247-62-2410,https://miharu-yamadai.com/wp/,酒・飲料品,
馬場の湯・三ツ美屋旅館,963-7745,福島県,田村郡三春町,字尼ケ谷126,0247-62-2504,0247-62-2080,http://www.mituyoshiya.com/,旅館・民宿,
三春南東北リハビリテーション・ケアセンター,963-7733,福島県,田村郡三春町,大字山田字クルミヤツ3-3,0247-61-2511,0247-61-2522,http://www.kaigo-miharu.com/,介護・福祉,
三春学園光の子保育園,963-7719,福島県,田村郡三春町,大字貝山字岩田100,0247-62-2548,0247-62-2548,http://www.miharuyouchien.com/,幼稚園・保育施設,
株式会社ベルアビエ三春営業所,963-7733,福島県,田村郡三春町,大字山田字戸之内100,0247-61-2560,0247-61-2566,http://www.bellehabiller.com/,製造・加工（衣料関連）,
法蔵寺,963-7765,福島県,田村郡三春町,字荒町169,0247-62-2637,0247-62-8626,http://houzouji.com/,宗教,
株式会社福島民報社田村支局,963-7766,福島県,田村郡三春町,字中町61-2,0247-62-2658,0247-62-1542,https://www.minpo.jp/,映画・放送・新聞,
福島民友新聞社田村支局,963-7744,福島県,田村郡三春町,字八幡町20,0247-62-2662,0247-62-2901,http://www.minyu-net.com/,映画・放送・新聞,
株式会社オールスター観光,963-7712,福島県,田村郡三春町,大字楽内字孝戸69-2,0247-61-2701,0247-61-2704,http://allstar-kanko.co.jp/,旅行業・代理店,
社団法人福島県建設業協会田村支部,963-7711,福島県,田村郡三春町,桜ケ丘2丁目1-1,0247-62-2729,0247-62-2777,http://www.e-fukuken.or.jp/,総合・職別工事業,
有限会社ワタショウ,963-7731,福島県,田村郡三春町,下舞木字石田250-1,024-956-2775,024-944-9878,https://yu-watashou.com/,リフォーム,
せんざき医院,963-7759,福島県,田村郡三春町,字大町32-1-104,0247-61-2777,0247-61-2788,http://www.senzaki-clinic.jp/,医院・診療所・療養所,
郵便事業株式会社,963-7799,福島県,田村郡三春町,大町3,0247-62-2800,N.A.,http://map.japanpost.jp/,その他サービス,
ソーゴサービス株式会社,963-7732,福島県,田村郡三春町,上舞木字明部作4-1,024-956-2805,024-943-8011,http://ユニック車.com/,運送・貨物・倉庫,
橋本孝一,963-7709,福島県,田村郡三春町,字小滝18-1,0247-62-2811,0247-62-2899,http://www.hashijyu.com/,総合・職別工事業,
ボーキ佐藤酒造株式会社,963-7766,福島県,田村郡三春町,字中町67,0247-62-2816,0247-62-2881,http://www.boki.co.jp/,酒・飲料品,
有限会社岩崎ラジオ店,963-7766,福島県,田村郡三春町,字中町70,0247-62-2857,0247-62-3183,http://iwasaki-radio.jimdo.com/,家電,
株式会社長谷川製作所福島工場,963-7772,福島県,田村郡三春町,大字御祭字深田和126-7,0247-61-2888,0247-62-4531,http://www.hasegawa-ss.co.jp/,製造・加工（電子・精密機械器具）,
三春タクシー株式会社,963-7744,福島県,田村郡三春町,字八幡町72,0247-62-3000,024-945-1324,http://yamaguchi-gr.co.jp/,タクシー,
株式会社渡伝組,963-7711,福島県,田村郡三春町,桜ヶ丘三丁目1-3,0247-62-3018,0247-62-3110,http://watadengumi.co.jp/,建設業・工務店,
フジデンキ,963-7765,福島県,田村郡三春町,字荒町56,0247-62-3061,0247-62-3704,http://fujidenki.org/,電話・通信,
和久屋,963-7759,福島県,田村郡三春町,字大町115-6,0247-62-3065,024-922-1250,http://waku-8.com/,魚料理,
三春タクシー株式会社／事務所,963-7744,福島県,田村郡三春町,字八幡町72,0247-62-3117,024-945-1324,http://yamaguchi-gr.co.jp/,タクシー,
石橋ハマプラス株式会社,963-7704,福島県,田村郡三春町,熊耳字平道内138,0247-62-3121,0247-62-3129,https://ih-k.co.jp/,販売・卸（その他）,
