▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
大北産業株式会社,020-0015,岩手県,盛岡市,本町通2丁目10-13,019-652-0000,019-625-0011,http://daihokusangyo.on.omisenomikata.jp/,不動産,
消費者信用生活協同組合,020-0874,岩手県,盛岡市,南大通1丁目8-7,019-653-0001,019-653-6699,http://www.cfc-ss.coop/,組合・団体,
Cafe&Bar高橋亭,020-0022,岩手県,盛岡市,大通2丁目5-3,019-654-0002,N.A.,http://www.rak1.jp/,飲み屋,
株式会社熊谷興産,020-0835,岩手県,盛岡市,津志田26地割3,019-634-0002,019-634-0003,http://www.k-kousan.com/,不動産,
有限会社きょうさいライフ,020-0821,岩手県,盛岡市,山王町10-6山王ハイツ2F,019-626-0002,019-626-3901,http://www.kyosai-life.co.jp/,不動産,
株式会社クーシー,020-0066,岩手県,盛岡市,上田4丁目3-5,019-656-0003,019-656-0004,http://www.coosy.co.jp/,IT・情報通信,
南ホンダ自動車株式会社,020-0816,岩手県,盛岡市,中野1-1-1,019-622-0004,019-622-0007,http://www.hondacars-iwatechuo.co.jp/,製造・加工（輸送機械器具）,
MCS進学研究会／松園校,020-0105,岩手県,盛岡市,北松園4丁目4-3,019-664-0005,019-623-3381,http://www.mcs2u.com/,塾・予備校,
UniLife盛岡店,020-0034,岩手県,盛岡市,盛岡駅前通9-10,019-652-0005,019-652-0006,http://www.unilife.co.jp/,不動産,
サムライ・串焼,020-0866,岩手県,盛岡市,本宮1丁目2-5,019-634-0005,N.A.,http://kushiyakisamurai.on.omisenomikata.jp/,肉料理,
みどり保育園,020-0853,岩手県,盛岡市,下飯岡2地割319-1,019-614-0007,019-614-0006,http://www.eins.rnac.ne.jp/,幼稚園・保育施設,
山田美容院,020-0015,岩手県,盛岡市,本町通2丁目4-34,019-654-0007,019-652-0694,http://www.yb-formal.jp/,美容院・理容店・毛髪業,
八角医院,028-4125,岩手県,盛岡市,玉山区好摩字夏間木101-2,019-682-0007,019-682-0760,http://yasumi-clinic.nisshindo-g.com/,内科系,
ワイビーフォーマル,020-0015,岩手県,盛岡市,本町通2丁目4-34,019-654-0008,019-652-0694,http://www.yb-formal.jp/,貸衣裳,
愛グループ,N.A.,岩手県,盛岡市,みたけ5丁目3-37,019-648-0008,N.A.,http://www.aigroup.co.jp/,その他サービス,
盛岡カーリング協会,020-0866,岩手県,盛岡市,本宮字大宮48,019-635-0008,019-635-0030,http://www.morioka-curling.info/,組合・団体,
