▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
豊国酒造合資会社,963-8305,福島県,石川郡古殿町,大字竹貫字竹貫114,0247-53-2001,0247-53-2070,http://azuma-toyokuni.com/,酒・飲料品,
郵便局株式会社,963-8304,福島県,石川郡古殿町,松川大原122,0247-53-2106,N.A.,http://map.japanpost.jp/,その他サービス,
マルマン醸造株式会社,N.A.,福島県,石川郡古殿町,竹貫竹貫57,0247-53-2121,N.A.,http://www.47club.jp/,食料品,
古殿製材所,963-8304,福島県,石川郡古殿町,大字松川字和久46,0247-53-2181,0247-53-2850,http://www.furudonoseizaisho.com/,製造・加工（建築資材）,
アクツコンニャク株式会社,963-8305,福島県,石川郡古殿町,竹貫字千足52,0247-53-2212,0247-53-3213,http://www.akutsu-konnyaku.com/,製造・加工（食料品）,
株式会社アスター工業,963-8306,福島県,石川郡古殿町,大字田口字寺前130-1,0247-53-2517,0247-53-2548,http://www.asterkk.co.jp/,製造・加工（電子・精密機械器具）,
ジェーピーシー株式会社,963-8305,福島県,石川郡古殿町,竹貫字千足1番地,0247-53-2571,0247-53-2598,http://www.jpc-inc.co.jp/,製造・加工（電子・精密機械器具）,
大東銀行古殿支店,963-8305,福島県,石川郡古殿町,大字竹貫字竹貫122,0247-53-3151,0247-53-3151,http://www.daitobank.co.jp/,金融・郵貯・貸金,
株式会社中井住宅木販,963-8307,福島県,石川郡古殿町,大字鎌田字田中田30,0247-53-3162,0247-49-3162,http://www.njm-precut.co.jp/,製造・加工（建築資材）,
株式会社大崎,963-8304,福島県,石川郡古殿町,大字松川字大作113,0247-53-3526,0247-53-3527,http://www.oosaki.co.jp/,運送・貨物・倉庫,
イセ食品株式会社,963-8307,福島県,石川郡古殿町,大字鎌田字田中田151,0247-53-3577,0247-53-3675,http://www.ise-egg.co.jp/,食料品,
日本パルス工業株式会社,963-8302,福島県,石川郡古殿町,大字山上宮前350-2,0247-53-3782,N.A.,http://www.nihon-pulse.co.jp/,製造・加工（工作機械・一般機械器具）,
古殿町役場／道の駅ふるどのおふくろの駅,963-8306,福島県,石川郡古殿町,大字田口字平舘25,0247-53-4070,0247-53-4070,http://ofukuro-eki.com/,贈り物・みやげ,
富士通テレコムネットワークス株式会社,963-8304,福島県,石川郡古殿町,松川大作50,0247-53-4111,0247-53-4918,https://www.fujitsu.com/jp/,製造・加工（電子・精密機械器具）,
古殿町社会福祉協議会,963-8304,福島県,石川郡古殿町,大字松川字横川101,0247-53-4394,0247-53-4860,http://www.fukushimakenshakyo.or.jp/,組合・団体,
古殿町社会福祉協議会／地域包括支援センター,963-8304,福島県,石川郡古殿町,大字松川字横川101,0247-53-4403,024-523-4477,http://www.fukushimakenshakyo.or.jp/,組合・団体,
古殿町役場／総務課,963-8304,福島県,石川郡古殿町,大字松川字新桑原31,0247-53-4611,0247-53-3154,http://www.town.furudono.fukushima.jp/,市区町村機関,
