▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社ドリームリンク,N.A.,秋田県,秋田市,広面字堤敷61-5,018-834-0000,N.A.,http://www.dreamlink.co.jp/,士業・コンサルタント,
やさしい手秋田／居宅介護支援事業所,010-0946,秋田県,秋田市,川尻総社町7-6,018-896-0001,018-864-1118,http://www.8341te.com/,介護・福祉,
やすおか小児科医院／予約専用,010-0914,秋田県,秋田市,保戸野千代田町14-9,018-866-0001,018-874-7046,http://www.yasuokaiin.jp/,小児科系,
株式会社ラッキー恒産,010-0917,秋田県,秋田市,泉中央1-2-5ラッキービル,018-863-0001,018-864-0199,http://www.nihonkai-ticket.com/,その他生活関連サービス,
株式会社ヰセキ東北,N.A.,秋田県,秋田市,寺内字大小路207-49,018-845-0001,N.A.,http://www.iseki-touhoku.co.jp/,製造・加工（工作機械・一般機械器具）,
株式会社秋田住宅流通センター／本社,010-0952,秋田県,秋田市,山王新町1-29,018-824-0001,018-863-3187,http://www.ajrc.co.jp/,不動産,
天然温泉ホテルこまち,010-0061,秋田県,秋田市,卸町1丁目2-3,018-865-0001,018-865-0002,http://www.spa-komachi.jp/,観光・温泉・銭湯,
光琳・ケータリングセンター,010-0951,秋田県,秋田市,山王3丁目7-1,018-863-0002,018-866-8599,http://www.kourin.net/,弁当・宅配,
日本海チケット／秋田駅前店,010-0874,秋田県,秋田市,千秋久保田町3-18,018-832-0002,018-837-0001,http://www.nihonkai-ticket.com/,コレクション,
日本海チケット／新国道店,010-0917,秋田県,秋田市,泉中央1丁目2-5,018-864-0002,018-864-0002,http://www.nihonkai-ticket.com/,コレクション,
インターフェイス株式会社,N.A.,秋田県,秋田市,旭北寺町1番1号,018-863-0003,018-863-0237,http://clinical-testing.jp/,IT・情報通信,
株式会社こすもす秋田／こすもすロイヤルホール,010-0003,秋田県,秋田市,東通4丁目5-10,018-832-0004,018-832-8666,http://www.kosmos.co.jp/,映画・劇場・会館,
