▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
笠間稲荷神社,309-1611,茨城県,笠間市,笠間1,0296-73-0001,0296-73-0002,http://www.kasama.or.jp/,宗教,
笠間市立／友部小学校,309-1704,茨城県,笠間市,美原3丁目3-1,0296-77-0009,0296-78-0612,http://www.city.kasama.lg.jp/,小・中・高・大学等,
こたに動物病院,309-1626,茨城県,笠間市,下市毛1381-5,0296-73-0010,N.A.,http://www.pethospital.jp/,動物病院・獣医師,
茨城県陶芸美術館,309-1611,茨城県,笠間市,笠間2345,0296-70-0011,0296-70-0012,http://www.tougei.museum.ibk.ed.jp/,博物館・美術館,
特別養護老人ホームヴィレッジかさま,309-1626,茨城県,笠間市,下市毛1301,0296-73-0015,0296-73-0013,http://www.koujuukai.or.jp/,介護・福祉,
モン・ラパン,309-1611,茨城県,笠間市,笠間1150,0296-73-0020,0296-73-0020,http://www9.plala.or.jp/,イタリアン・フレンチ,
幸楽苑笠間店,309-1614,茨城県,笠間市,寺崎1-1,0296-70-0020,0296-70-0020,http://www.kourakuen.co.jp/,ラーメン,
株式会社笹目宗兵衛商店,309-1611,茨城県,笠間市,笠間1339,0296-72-0021,0296-72-1633,http://www.matsumidori.com/,酒・飲料品,
鳳台院,309-1631,茨城県,笠間市,箱田2458,0296-72-0024,N.A.,http://www.kasama-kankou.jp/,宗教,
EWA笠間ポレポレターミナル,309-1616,茨城県,笠間市,赤坂8,0296-71-0027,029-297-9882,http://www.lily-ewa.com/,語学,
笠間市役所／市立病院,309-1737,茨城県,笠間市,中央1丁目2-24,0296-77-0034,0296-78-0612,http://www.city.kasama.lg.jp/,市区町村機関,
株式会社三洋堂書店,N.A.,茨城県,笠間市,笠間字下田1593-1,0296-70-0034,N.A.,http://www.sanyodo.co.jp/,本,
介護老人保健施設すみれ,309-1613,茨城県,笠間市,石井2045,0296-70-0035,0296-72-0151,http://www.seihoukai.jp/,介護・福祉,
株式会社テンダーハウス／デリバリーセンター,309-1613,茨城県,笠間市,石井140-4,0296-87-0037,N.A.,http://www.tender-house.com/instanthp/page04.html,洋服,
株式会社かまげん,309-1611,茨城県,笠間市,笠間2255-3,0296-72-0039,0296-72-7504,http://www15.plala.or.jp/,美術・工芸,
かどや,309-1736,茨城県,笠間市,八雲1丁目2-20,0296-77-0041,N.A.,http://www.kadoya.com/,文房具,
ゲオアクロスプラザ笠間店,309-1614,茨城県,笠間市,寺崎1-1,0296-71-0052,0296-71-0053,http://geo-online.co.jp/,賃貸・レンタル,
片岡歯科医院,309-1705,茨城県,笠間市,東平2丁目7-2,0296-77-0054,N.A.,http://www.sunshine.ne.jp/,歯科系,
カーブスイオン笠間,309-1616,茨城県,笠間市,赤坂8,0296-72-0063,N.A.,http://www.curves.co.jp/,スポーツ,
日本パイオニア株式会社,309-1613,茨城県,笠間市,石井1562-1,029-671-0067,N.A.,http://www.nippon-pioneer.co.jp/,リース・レンタル,
日本パイオニア株式会社笠間営業所,309-1613,茨城県,笠間市,石井1562-1,0296-71-0067,03-5836-3100,http://www.nippon-pioneer.co.jp/,リース・レンタル,
ウエルシア笠間南店,309-1613,茨城県,笠間市,石井2104,0296-70-0073,0296-70-0073,http://www.welcia-yakkyoku.co.jp/,薬,
茨城新聞／塩田新聞店,309-1704,茨城県,笠間市,美原2丁目2-19,0296-77-0076,029-301-0362,http://ibarakinews.jp/top.php,映画・放送・新聞,
株式会社ジャパンビバレッジホールディングス,N.A.,茨城県,笠間市,下郷992-208,0299-45-0091,0299-45-8501,http://www.jbinc.co.jp/,食料品,
株式会社ナショナル消防化学笠間営業所,309-1611,茨城県,笠間市,笠間1826-52,0296-73-0099,N.A.,http://www.fireman.co.jp/,防犯・防火,
株式会社シティーホテル友部,309-1717,茨城県,笠間市,旭町303-3,0296-78-0101,0296-78-0111,http://www.green-group.jp/,ホテル・ペンション,
有限会社松島製菓,309-1611,茨城県,笠間市,笠間1335,0296-72-0101,0296-72-0101,http://www.inariyubeshi.com/,製造・加工（食料品）,
有限会社鶴屋,309-1737,茨城県,笠間市,中央1丁目2-20,0296-77-0106,0296-77-0107,http://www.tsuruya-ibaraki.com/,生活用品,
ハーバー珈琲笠間店,309-1616,茨城県,笠間市,赤坂8,0296-70-0107,027-372-2296,http://www.harborcoffee.co.jp/,販売・卸（食料品）,
茨城県警察本部／笠間警察署,309-1614,茨城県,笠間市,寺崎79-1,0296-73-0110,N.A.,http://www.pref.ibaraki.jp/,消防・警察,
イーアイコート笠間,309-1611,茨城県,笠間市,笠間3981-1,0296-73-0118,0296-73-0188,http://www.ei-hotel.jp/,ホテル・ペンション,
笠間市消防本部／笠間消防署,309-1631,茨城県,笠間市,箱田2564,0296-73-0119,0296-78-0612,http://www.city.kasama.lg.jp/,消防・警察,
キラクヤ,309-1611,茨城県,笠間市,笠間1340,0296-72-0138,N.A.,http://kirakuyafruits.web.fc2.com/,食料品,
柏屋,309-1611,茨城県,笠間市,笠間1273,0296-72-0139,0296-72-0139,http://www.usukawa.co.jp/,レストラン,
茨城交通株式会社笠間営業所,309-1611,茨城県,笠間市,笠間1698-17,0296-72-0141,029-253-1613,http://www.ibako.co.jp/,交通機関,
株式会社笠間ソフトメン橋本屋,309-1613,茨城県,笠間市,石井1350-2,0296-72-0146,0296-72-1970,http://www.menfudoki.com/,製造・加工（食料品）,
いがり産業株式会社,309-1737,茨城県,笠間市,中央1-7-25,0296-77-0151,0296-77-6693,http://www.igari-inc.co.jp/,製造・加工（化学・プラスチック）,
郷乃誉醸造元,309-1701,茨城県,笠間市,小原2125,0296-77-0152,0296-77-4628,http://www.sudohonke.co.jp/,酒・飲料品,
日綜ゴンドラ株式会社,319-0206,茨城県,笠間市,安居3133-1,0299-45-0171,0299-45-0173,http://www.nsgon.com/,リース・レンタル,
神里医院,309-1611,茨城県,笠間市,笠間1256-1,0296-72-0177,0296-72-9185,http://kamisato-clinic.jimdo.com/,医院・診療所・療養所,
