▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
米沢信用金庫／御廟支店,992-0055,山形県,米沢市,御廟2丁目7-88,0238-22-0001,0238-22-0002,http://www.shinkin.co.jp/,金融・郵貯・貸金,
サクサプロアシスト株式会社／ロジスティクス部・配送2G,992-0023,山形県,米沢市,下花沢3丁目8-50,0238-24-0002,0238-23-6078,http://www.saxa.co.jp/,電話・通信,
東北警備保障株式会社,992-0119,山形県,米沢市,アルカディア1丁目808-17,0238-29-0005,0238-29-0015,http://www.next-alert.co.jp/,ビルメンテナンス,
米沢市役所／総合公園／市営人工芝サッカーフィールド,992-0042,山形県,米沢市,塩井町塩野1350,0238-22-0007,0238-22-0007,http://www.city.yonezawa.yamagata.jp/,サッカー,
トナン輸送株式会社山形営業所,992-1128,山形県,米沢市,八幡原5丁目3948-9,0238-29-0009,0238-29-1911,http://www.tonan-gr.co.jp/,運送・貨物・倉庫,
三重重工業株式会社米沢工場,992-1446,山形県,米沢市,直江石堤3770,0238-39-0013,0238-39-0021,http://www.miegure.co.jp/,総合・職別工事業,
米沢平野土地改良区／総務課・財務課,992-0012,山形県,米沢市,金池5丁目9-5,0238-23-0015,0238-21-7257,http://www.yonezawa-heiya.or.jp/,組合・団体,
味噌屋三男坊,992-0047,山形県,米沢市,徳町170-2,0238-22-0019,N.A.,http://www.sannanbou.jp/,ラーメン,
株式会社米沢食肉公社,992-1125,山形県,米沢市,万世町片子5379-15,0238-22-0025,0238-24-5561,http://www.yonesyoku.com/,食料品,
有限会社ネクスト環境コンサルタント,992-0119,山形県,米沢市,アルカディア1丁目808-17,0238-29-0025,0238-29-0015,http://next-enviro.co.jp/,環境,
ベストウェスタンザジャポナイズ米沢,992-0023,山形県,米沢市,下花沢2丁目5-22-1,0238-24-0026,0238-24-0037,https://bwhotels.jp/yonezawa,ホテル・ペンション,
日本水道サービス,992-1123,山形県,米沢市,万世町桑山1549-7,0238-28-0028,N.A.,http://www.water-service.co.jp/,水道・ガス・電力,
オーガニック川口株式会社,992-1128,山形県,米沢市,八幡原1丁目1-1,0238-28-0029,0238-28-0033,http://www.kawaguchichemical.co.jp/,製造・加工（化学・プラスチック）,
