▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
根本石油株式会社／磐梯SA上り線給油所,969-3302,福島県,耶麻郡磐梯町,大字更科字遠平2502-47,0242-63-0808,N.A.,http://www.driveplaza.com/,ガソリンスタンド,
庄建技術株式会社磐梯営業所,969-3301,福島県,耶麻郡磐梯町,大字磐梯字東松山1332,0242-74-1060,0244-22-6889,http://www.syoken.co.jp/,総合・職別工事業,
磐梯町役場／政策課／政策・秘書グループ,969-3301,福島県,耶麻郡磐梯町,大字磐梯字中ノ橋1855,0242-74-1211,0242-73-2115,http://www.town.bandai.fukushima.jp/,市区町村機関,
株式会社佐川磐梯山製氷工場,969-3302,福島県,耶麻郡磐梯町,大字更科字高清水909,0242-74-1266,0242-73-2423,http://www.kksagawa.co.jp/,生活用品,
磐梯町保健医療福祉センター・介護老人保健施設りんどう,969-3301,福島県,耶麻郡磐梯町,大字磐梯字諏訪山2926,0242-74-1660,0242-74-1665,http://www.bandai.gr.jp/,介護・福祉,
磐梯町保健医療福祉センター・瑠璃の里／医療センター,969-3301,福島県,耶麻郡磐梯町,大字磐梯字諏訪山2926,0242-73-2110,0242-73-3564,http://www.bandai.gr.jp/,医院・診療所・療養所,
本社荒川産業株式会社,969-3301,福島県,耶麻郡磐梯町,磐梯1372,0242-73-2112,N.A.,http://www.amarc.co.jp/,その他サービス,
日曹金属化学株式会社,N.A.,福島県,耶麻郡磐梯町,大字磐梯1372番地,0242-73-2121,0242-73-2668,http://www.nmcc.co.jp/,製造・加工（鉄鋼製品）,
日曹金属化学株式会社,N.A.,福島県,耶麻郡磐梯町,大字磐梯1372番地,0242-73-2123,0242-73-2688,http://www.nmcc.co.jp/,製造・加工（鉄鋼製品）,
あいづ農業協同組合／JAあいづ燃料株式会社磐梯SS,969-3301,福島県,耶麻郡磐梯町,大字磐梯字山道346-1,0242-73-2210,0242-73-2021,http://www.ja-aizu.jp/,組合・団体,
日泉化学株式会社会津営業所,969-3302,福島県,耶麻郡磐梯町,大字更科字瀬々川4709,0242-73-2226,0242-73-2512,http://www.nissen-chem.jp/,製造・加工（化学・プラスチック）,
榮川酒造株式会社,969-3302,福島県,耶麻郡磐梯町,大字更科字中曽根平6841-11,0242-73-2300,0242-73-2586,http://www.eisen.jp/website/index.html,酒・飲料品,
あいづ農業協同組合／磐梯支店,969-3301,福島県,耶麻郡磐梯町,大字磐梯字辻堂1761,0242-73-2323,0242-73-3459,http://www.ja-aizu.jp/,組合・団体,
日本曹達株式会社,969-3302,福島県,耶麻郡磐梯町,大字更科字比丘尼山3967,0242-73-2525,N.A.,http://www.nippon-soda.co.jp/,製造・加工（化学・プラスチック）,
磐梯陶房,969-3301,福島県,耶麻郡磐梯町,大字磐梯字七ツ森7423-17,0242-73-2575,0242-73-2575,http://bandai-tobo.com/,製造・加工（生活雑貨・日用品）,
道の駅ばんだいレストラン,969-3301,福島県,耶麻郡磐梯町,大字磐梯字十王堂38,0242-73-2633,0242-73-2633,http://www.michinoekibandai.com/,レストラン,
株式会社シグマ,969-3304,福島県,耶麻郡磐梯町,大字大谷字日知坂6594,0242-73-2771,0242-73-3382,https://www.sigma-photo.co.jp/,製造・加工（電子・精密機械器具）,
磐梯荘園管理株式会社,969-3301,福島県,耶麻郡磐梯町,磐梯字七ツ森7066-5,0242-73-2835,0242-93-8601,http://www.bandai-7forest.jp/,不動産・賃貸,
磐梯養蜂場,969-3301,福島県,耶麻郡磐梯町,大字磐梯字本寺上4942,0242-73-2868,0242-73-2868,http://www.bandai-hatimitu.com/,食料品,
ペンションパイプのけむり,969-3301,福島県,耶麻郡磐梯町,大字磐梯字七ツ森7422-15,0242-73-2919,0242-73-2919,http://www.matsu21.net/,ホテル・ペンション,
ペンション・こりす,969-3301,福島県,耶麻郡磐梯町,大字磐梯字七ツ森7085-4,0242-73-2946,0242-73-2946,http://www.ht-net21.ne.jp/,ホテル・ペンション,
磐梯山慧日寺資料館,969-3301,福島県,耶麻郡磐梯町,大字磐梯字寺西38,0242-73-3000,0242-73-3480,http://www.bandaimuse.jp/,組合・団体,
株式会社アトム,969-3304,福島県,耶麻郡磐梯町,大谷字新橋山4646-2,0242-73-3030,0242-73-3390,http://atom-aizu.com/,製造・加工（非鉄金属製品）,
ペンション・ペルメル,969-3301,福島県,耶麻郡磐梯町,大字磐梯字七ツ森7423-43,0242-73-3501,0242-73-2948,http://www16.plala.or.jp/,ホテル・ペンション,
磐梯そば道場,969-3301,福島県,耶麻郡磐梯町,大字磐梯字十王堂2038,0242-73-3558,0242-73-3558,http://www.aizu-soba.com/,そば・うどん,
ガストホフモンターニャ,969-3301,福島県,耶麻郡磐梯町,大字磐梯字七ツ森7351-2,0242-73-3733,0242-73-3735,http://aizu-montana.com/,ホテル・ペンション,
アルツ磐梯,969-3302,福島県,耶麻郡磐梯町,大字更科字清水平6838-68,0242-74-5000,0242-74-5009,http://www.alts.co.jp/,ウィンタースポーツ,
アルツ磐梯メローウッドゴルフクラブ,969-3302,福島県,耶麻郡磐梯町,大字更科字清水平6838-68,0242-74-5050,0242-74-5159,http://www.bandaisan.co.jp/,ゴルフ,
磐梯山温泉ホテル,969-3302,福島県,耶麻郡磐梯町,大字更科字清水平6838-68,0242-74-5100,0242-74-5139,http://www.bandaisan.co.jp/,ホテル・ペンション,
磐梯山温泉ホテル／予約,969-3302,福島県,耶麻郡磐梯町,大字更科字清水平6838-68,0242-74-5111,0242-74-5109,http://www.bandaisan.co.jp/,テニス,
リゾートイン磐梯,969-3302,福島県,耶麻郡磐梯町,大字更科字清水平6838-68,0242-74-5181,0242-74-5189,http://www.bandaisan.co.jp/,ホテル・ペンション,
ゆらぎの宿SHUBOU,969-3301,福島県,耶麻郡磐梯町,大字磐梯字七ツ森7085-3,0242-85-6988,0242-85-6988,http://www.shubou.jp/,ホテル・ペンション,
