▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
有限会社塚原製作所,N.A.,福島県,耶麻郡西会津町,野沢字浦道添甲86,0241-48-1461,0241-48-1462,http://www.tsukahara-ss.co.jp/,製造・加工（鉄鋼製品）,
株式会社キノコハウス,969-4736,福島県,耶麻郡西会津町,奥川大字元島字上家ノ前2216,0241-49-2011,0241-49-2011,http://kinokohouse.jp/,販売・卸（食料品）,
株式会社西会津町振興公社,969-4401,福島県,耶麻郡西会津町,登世島字西林乙2529-10,0241-45-2025,0241-45-2025,http://www.lotosinn.com/,不動産・賃貸,
鳥追観音如法寺,969-4406,福島県,耶麻郡西会津町,野沢字如法寺乙3533,0241-45-2061,0241-45-4190,http://www.torioi.com/,宗教,
西会津町役場／総務課-総務係・行政管理係・財政係,969-4406,福島県,耶麻郡西会津町,野沢字下小屋上乙3261,0241-45-2211,0241-45-4199,http://www.town.nishiaizu.fukushima.jp/,市区町村機関,
福島県立西会津高等学校,969-4406,福島県,耶麻郡西会津町,野沢字上條道東甲256,0241-45-2231,0241-45-2931,https://nishiaizu-h.fcs.ed.jp/,小・中・高・大学等,
株式会社リオン・ドールコーポレーション,N.A.,福島県,耶麻郡西会津町,野沢字下条乙2068,0241-45-2311,N.A.,http://www.liondor.jp/,コンビニ・スーパー・デパート,
大山祇神社,969-4406,福島県,耶麻郡西会津町,野沢字大久保甲1445-2,0241-45-2323,0241-45-2199,http://www.ooyamazumi.net/,宗教,
株式会社アラスカ,969-4406,福島県,耶麻郡西会津町,野沢字腰王原甲871-2,0241-45-2401,N.A.,http://www.arasuka.co.jp/,リフォーム,
株式会社会津技研／本社・工場,969-4512,福島県,耶麻郡西会津町,上野尻字下沖ノ原2673-10,0241-47-2611,0241-47-3033,http://www.aizugiken.co.jp/,製造・加工（金属製品）,
大山ドライブイン,969-4406,福島県,耶麻郡西会津町,野沢浦道添甲34-1,0241-45-2702,N.A.,http://www.nozawa-miso.com/,レストラン,
青友ホールやわらぎ,969-4406,福島県,耶麻郡西会津町,野沢字上原乙2431,0241-45-2754,0241-45-2757,http://www.aokiyasyouten.co.jp/,葬儀,
トヨタカローラ福島株式会社西会津店,969-4406,福島県,耶麻郡西会津町,野沢字原町616,0241-45-2816,0241-45-2427,http://www.corolla-fukushima.jp/,自動車販売,
有限会社サン・マート西会津店青木屋,969-4406,福島県,耶麻郡西会津町,野沢字原町乙2125,0241-45-2848,0241-45-4288,http://www.aokiyasyouten.co.jp/,コンビニ・スーパー・デパート,
しなのきホーム西会津,969-4406,福島県,耶麻郡西会津町,野沢字南松原甲1028-69,0241-45-2866,0242-85-6704,http://www.sinanoki.co.jp/,介護・福祉,
ロータスイン,969-4401,福島県,耶麻郡西会津町,登世島下小島187,0241-45-2900,0241-45-4393,http://www.lotosinn.com/,観光・温泉・銭湯,
野沢民芸品製作企業組合,969-4406,福島県,耶麻郡西会津町,野沢字上原下乙2704-2,0241-45-3129,0241-45-4335,http://www.nozawa-mingei.com/,おみやげ,
会津乗合自動車株式会社野沢営業所,969-4406,福島県,耶麻郡西会津町,野沢字下小屋乙3178-5,0241-45-3130,0241-45-3130,https://www.aizubus.com/,交通機関,
西会津国際芸術村,969-4622,福島県,耶麻郡西会津町,新郷大字笹川字上ノ原道上5752,0241-47-3200,0241-47-3200,http://nishiaizu-artvillage.com/,組合・団体,
川崎自動車工業株式会社福島工場,969-4406,福島県,耶麻郡西会津町,野沢字北松原甲1031-4,0241-45-3232,0241-45-3280,http://k-jk.co.jp/,製造・加工（輸送機械器具）,
西会津町商工会,969-4406,福島県,耶麻郡西会津町,野沢字下條乙1969-26,0241-45-3235,0241-45-3617,http://www.nishiaizu-shokokai.net/,組合・団体,
セブンイレブン／西会津野沢店,969-4406,福島県,耶麻郡西会津町,野沢字芝草後乙1771,0241-45-3335,0241-45-3335,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
株式会社渡部住建,969-4406,福島県,耶麻郡西会津町,野沢字諏訪西甲1061,0241-45-3526,0241-45-4139,http://www.e-house.co.jp/,販売・卸（建設資材）,
奥多摩工業株式会社,969-4406,福島県,耶麻郡西会津町,野沢字西ノ原乙34,0241-45-4221,0241-45-4222,http://www.okutama.co.jp/,鉱業,
西会津町社会福祉協議会,969-4406,福島県,耶麻郡西会津町,野沢字如法寺乙3590-2,0241-45-4259,0241-45-4259,http://www.fukushimakenshakyo.or.jp/,組合・団体,
