▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
関本眼科医院,321-3423,栃木県,芳賀郡市貝町,大字市塙1763-1,0285-68-0005,N.A.,http://www.sekimoto-eyeclinic.com/,眼科,
魚喜,321-3423,栃木県,芳賀郡市貝町,大字市塙1609,0285-68-0052,0466-45-3348,http://www.uoki.co.jp/,レストラン,
市貝町商工会,321-3423,栃木県,芳賀郡市貝町,大字市塙4117-12,0285-68-0071,0285-68-0485,http://ichikai.shokokai-tochigi.or.jp/,組合・団体,
市貝町立市貝中学校,321-3424,栃木県,芳賀郡市貝町,大字上根1577,0285-68-0104,0285-68-4614,http://schit.net/,小・中・高・大学等,
有限会社武者絵の里大畑,321-3412,栃木県,芳賀郡市貝町,田野辺723,0285-68-0108,0285-68-2958,http://www.musyae.net/,製造・加工（化学・プラスチック）,
山田建設株式会社,321-3415,栃木県,芳賀郡市貝町,杉山772,0285-68-0114,0285-68-2957,http://www.yamada-kensetsu.co.jp/,総合・職別工事業,
ファミリーマート市貝下赤羽店,321-3426,栃木県,芳賀郡市貝町,大字赤羽2227-1,0285-67-0130,N.A.,http://www.family.co.jp/,コンビニ・スーパー・デパート,
柚木精機株式会社,321-3424,栃木県,芳賀郡市貝町,大字上根215,0285-68-0141,0285-68-1342,http://www.yuzukiseiki.co.jp/,製造・加工（電子・精密機械器具）,
有限会社ジェイイーティファーム,321-3411,栃木県,芳賀郡市貝町,大字刈生田851-1,0285-68-0168,0285-68-3214,http://www.jetfarm.co.jp/,農業,
市貝町立／赤羽小学校,321-3426,栃木県,芳賀郡市貝町,大字赤羽2711,0285-68-0265,0285-68-4663,http://schit.net/,小・中・高・大学等,
有限会社高徳花火工場,321-3426,栃木県,芳賀郡市貝町,大字赤羽4069,0285-68-0346,0286-72-6743,http://www.taka-toku.co.jp/,おもちゃ・キャラクタ,
宮本中華食彩,321-3426,栃木県,芳賀郡市貝町,大字赤羽3674-32,0285-67-0357,0285-67-0358,http://www17.plala.or.jp/,中華・中国料理,
インテリアヤマカワ,321-3415,栃木県,芳賀郡市貝町,大字杉山157,0285-68-0516,0285-68-4766,http://kuro-to.com/,家具・インテリア,
株式会社三和電機,321-3423,栃木県,芳賀郡市貝町,市塙1382-2,0285-67-0707,0285-68-5207,http://www.sanwadenki.co.jp/,製造・加工（装置・設備）,
新宇都宮カントリークラブ,321-3405,栃木県,芳賀郡市貝町,大字大谷津1180,0285-68-0811,0285-68-1195,http://www.shinutsu.com/,ゴルフ,
セレモニーホール雲上はがの,321-3426,栃木県,芳賀郡市貝町,大字赤羽3443-1,0285-67-0880,0285-67-0881,http://www.unjyo.com/,葬儀,
市貝たいよう幼稚園,321-3423,栃木県,芳賀郡市貝町,大字市塙1096,0285-67-1101,0285-67-1103,http://nanai.ed.jp/ichikai/,幼稚園・保育施設,
市貝町役場／総務企画課,321-3423,栃木県,芳賀郡市貝町,大字市塙1280,0285-68-1111,0285-68-3227,https://www.town.ichikai.tochigi.jp/forms/top/top.aspx,市区町村機関,
芳賀カントリークラブ,321-3423,栃木県,芳賀郡市貝町,大字市塙4933,0285-68-1131,0285-68-1265,http://www.haga-cc.co.jp/,ゴルフ,
惣誉酒造株式会社,321-3424,栃木県,芳賀郡市貝町,大字上根539,0285-68-1141,0285-68-1142,http://www.sohomare.co.jp/,酒・飲料品,
ドラッグてらしま市貝店,321-3426,栃木県,芳賀郡市貝町,大字赤羽355-4,0285-67-1147,03-5209-1407,http://www.welcia-yakkyoku.co.jp/,薬,
株式会社小野運送店栃木営業所,321-3424,栃木県,芳賀郡市貝町,大字上根1303,0285-68-1623,0285-68-1623,http://www.ono-unso.co.jp/,運送・貨物・倉庫,
高徳菓子店,321-3404,栃木県,芳賀郡市貝町,大字続谷193,0285-68-1931,0285-68-4748,http://www.inaka-wagashi.jp/,製造・加工（食料品）,
かましん／市貝店,321-3423,栃木県,芳賀郡市貝町,大字市塙1515,0285-68-2155,N.A.,http://www.kamashin.co.jp/,コンビニ・スーパー・デパート,
公文式／市貝教室,321-3423,栃木県,芳賀郡市貝町,大字市塙2826,0285-68-2466,0285-68-2466,http://www.kumon.ne.jp/,塾・予備校,
有限会社川堀工務店,321-3412,栃木県,芳賀郡市貝町,田野辺498,0285-68-2618,0285-68-3124,http://www.kawahori.com/,リフォーム,
株式会社共栄デザイン栃木事業所,321-3423,栃木県,芳賀郡市貝町,大字市塙1320-1,0285-68-2769,0426-51-9622,http://www.kyoeidesign.co.jp/,建設業・工務店,
株式会社三和運送事業／栃木営業所,321-3426,栃木県,芳賀郡市貝町,大字赤羽437-2,0285-68-2880,0285-68-3035,http://www.sanwaunsou.com/,運送・貨物・倉庫,
有限会社高田畳店／工場,321-3423,栃木県,芳賀郡市貝町,大字市塙1318-3,0285-68-2910,0285-68-2911,http://www.takada-tatamiten.com/,製造・加工（建築資材）,
小松幸一税理士事務所,321-3424,栃木県,芳賀郡市貝町,大字上根670-1,0285-68-3111,N.A.,http://www.kmc-office.com/,アウトソーシング,
有限会社石川建商,321-3426,栃木県,芳賀郡市貝町,赤羽3585-3,0285-68-3231,0285-68-2927,http://www5.plala.or.jp/,リフォーム,
アットホームたたら,321-3425,栃木県,芳賀郡市貝町,大字多田羅736-1,0285-68-3232,0285-68-3393,http://www.at-home-tatara.com/,介護・福祉,
ホームセンターカンセキ市貝店,321-3426,栃木県,芳賀郡市貝町,大字赤羽3651-1,0285-68-3355,0285-67-1100,http://www.kanseki.co.jp/,生活用品,
株式会社マイコマサービス,321-3426,栃木県,芳賀郡市貝町,赤羽4101番地,0285-68-3660,0285-68-4370,http://www.mykoma-service.com/,製造・加工（その他）,
市貝町シルバー人材センター（公益社団法人）,321-3423,栃木県,芳賀郡市貝町,大字市塙1675-1,0285-68-3722,0285-68-3983,http://www.ichikai-sc.org/,介護・福祉,
かましん／市貝西店,321-3426,栃木県,芳賀郡市貝町,大字赤羽355-54,0285-68-3744,0285-68-3724,http://www.kamashin.co.jp/,コンビニ・スーパー・デパート,
株式会社ユニバース,321-3405,栃木県,芳賀郡市貝町,大字大谷津1180,0285-68-3880,0178-21-1811,http://www.universe.co.jp/,ゴルフ,
ミーツ市貝かましん店,321-3426,栃木県,芳賀郡市貝町,大字赤羽355-5,0285-68-3909,06-4792-3290,http://www.watts-jp.com/,生活用品,
有限会社天昇堂／芳賀店・芳賀式場,321-3426,栃木県,芳賀郡市貝町,大字赤羽3654-2,0285-68-3988,0285-68-3777,http://park21.wakwak.com/,葬儀,
心身統一合氣道会,321-3426,栃木県,芳賀郡市貝町,大字赤羽3515,0285-68-4000,0285-68-4001,http://www.shinshintoitsuaikido.org/,武道,
株式会社みのり,321-3426,栃木県,芳賀郡市貝町,赤羽3589-2,0285-67-4141,0285-67-4142,http://www.noukanomiseminori.com/,販売・卸（その他）,
小峰歯科医院,321-3413,栃木県,芳賀郡市貝町,文谷370,0285-68-4182,N.A.,http://www.komine-dental.com/,歯科系,
株式会社リ・プラ,321-3426,栃木県,芳賀郡市貝町,大字赤羽2885-1,0285-67-4303,0285-67-4304,http://re-cycle.jp/,その他サービス,
不二エムアンドシー株式会社技術開発センター,321-3414,栃木県,芳賀郡市貝町,大字椎谷37-1,0285-68-4425,044-587-3181,http://fujimc.com/,製造・加工（工作機械・一般機械器具）,
ビジネスホテル豊田,321-3423,栃木県,芳賀郡市貝町,大字市塙293-1,0285-68-4500,0565-36-4512,http://www.route-inn.co.jp/,ホテル・ペンション,
うさちゃんクリーニング芳賀工場店,321-3426,栃木県,芳賀郡市貝町,大字赤羽355-54,0285-68-5002,N.A.,http://www.usachan.co.jp/,クリーニング,
ビルト鋼業株式会社,321-3426,栃木県,芳賀郡市貝町,赤羽1794,0285-68-5145,0285-68-5147,http://buildh.org/,製造・加工（金属製品）,
アットホームあかばね,321-3426,栃木県,芳賀郡市貝町,大字赤羽3647-1,0285-81-5410,0285-81-5412,http://www.at-home-tatara.com/,介護・福祉,
かみねの森保育園,321-3424,栃木県,芳賀郡市貝町,大字上根449-7,0285-68-5788,0285-68-5788,http://www.nanai.ed.jp/,幼稚園・保育施設,
