▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
芳賀町立／芳賀東小学校,321-3304,栃木県,芳賀郡芳賀町,大字祖母井388,028-677-0025,028-677-0082,http://schit.net/,小・中・高・大学等,
芳賀町／B&G海洋センター,321-3316,栃木県,芳賀郡芳賀町,大字与能1140,028-677-0030,028-677-5506,http://hagapool.jp/,スポーツ施設,
ビューロマン観光株式会社,321-3304,栃木県,芳賀郡芳賀町,大字祖母井1050-4,028-687-0031,028-687-0032,http://www.tochigi-bus.com/,交通機関,
富士古河E&C株式会社,321-3321,栃木県,芳賀郡芳賀町,大字下高根沢字土堂3952-24,028-687-0050,028-687-0052,http://www.ffec.co.jp/,建設業・工務店,
株式会社今仙電機製作所,321-3325,栃木県,芳賀郡芳賀町,芳賀台108,028-687-0070,028-687-0070,http://www.imasen.co.jp/,製造・加工（輸送機械器具）,
JAはが野／芳賀支店,321-3304,栃木県,芳賀郡芳賀町,大字祖母井1075,028-677-0080,N.A.,http://www.ja-hagano.or.jp/,組合・団体,
パイオニアエコサイエンス株式会社,321-3325,栃木県,芳賀郡芳賀町,芳賀台106,028-687-0087,028-687-0086,http://p-e-s.co.jp/feed-seeds,販売・卸（その他）,
株式会社芳賀精機,321-3303,栃木県,芳賀郡芳賀町,大字稲毛田1451,028-677-0093,028-677-2817,http://www.hagaseiki.co.jp/,製造・加工（電子・精密機械器具）,
子育てひろばぴよぴよ,321-3304,栃木県,芳賀郡芳賀町,大字祖母井1134,028-677-0110,N.A.,http://sien677.blog99.fc2.com/,幼稚園・保育施設,
芳賀町商工会,321-3304,栃木県,芳賀郡芳賀町,大字祖母井1080,028-677-0144,028-677-2909,http://haga.shokokai-tochigi.or.jp/,組合・団体,
清水屋菓子店,321-3305,栃木県,芳賀郡芳賀町,大字芳志戸2660,028-677-0160,028-677-0160,http://shimizuyakashiten.com/,製造・加工（食料品）,
ホイテクノ物流株式会社宇都宮営業所,321-3325,栃木県,芳賀郡芳賀町,芳賀台77-2,028-677-0192,0533-68-1534,http://www.hoitechno.co.jp/,運送・貨物・倉庫,
竹石建設株式会社,321-3304,栃木県,芳賀郡芳賀町,祖母井500,028-677-0195,028-677-0305,http://www.takeishi-nb.com/,総合・職別工事業,
富士セイラ株式会社,321-3304,栃木県,芳賀郡芳賀町,祖母井1497,028-677-0201,028-677-0754,http://www.fujiseira.co.jp/,製造・加工（鉄鋼製品）,
芳賀地区広域行政事務組合消防本部／真岡消防署／芳賀分署,321-3304,栃木県,芳賀郡芳賀町,大字祖母井1064,028-677-0212,N.A.,http://hagakouiki.jp/,消防・警察,
ヘイコーパック株式会社,321-3304,栃木県,芳賀郡芳賀町,大字祖母井1702-1,028-677-0214,028-677-3628,http://heikopac.co.jp/,生活用品,
株式会社マルイワ,321-3325,栃木県,芳賀郡芳賀町,芳賀台14,028-677-0234,028-677-3615,http://www.8018maruiwa.co.jp/,運送・貨物・倉庫,
有限会社吉永自動車整備工場,321-3304,栃木県,芳賀郡芳賀町,大字祖母井365,028-677-0240,028-677-1297,http://www.yoshinaga-car.co.jp/,車検・整備・修理,
芳賀町役場／芳賀町シルバー人材センター,321-3303,栃木県,芳賀郡芳賀町,大字稲毛田1532,028-677-0246,028-687-4880,http://www.haga-sc.or.jp/,市区町村機関,
小玉産業株式会社,321-3304,栃木県,芳賀郡芳賀町,祖母井56,028-677-0262,028-677-0217,http://kodama-sangyo.co.jp/,製造・加工（非鉄金属製品）,
東陽物流株式会社,321-3325,栃木県,芳賀郡芳賀町,芳賀台38,028-687-0270,028-687-0273,http://www.toyo-butsuryu.co.jp/,運送・貨物・倉庫,
芳賀町立／芳賀北小学校,321-3305,栃木県,芳賀郡芳賀町,大字芳志戸1030,028-677-0272,028-677-0755,http://schit.net/,小・中・高・大学等,
株式会社小金建設,321-3304,栃木県,芳賀郡芳賀町,祖母井2520-8,028-677-0293,028-677-0518,http://www.kogane8.jp/,総合・職別工事業,
株式会社足利銀行／芳賀支店,321-3304,栃木県,芳賀郡芳賀町,大字祖母井531,028-677-0311,N.A.,http://www.ashikagabank.co.jp/,金融・郵貯・貸金,
南高根沢簡易郵便局,321-3306,栃木県,芳賀郡芳賀町,大字八ツ木503-5,028-677-0322,N.A.,http://map.japanpost.jp/,金融・郵貯・貸金,
のぶ幼稚園,321-3312,栃木県,芳賀郡芳賀町,大字下延生1641,028-678-0385,028-622-2816,http://youchien.or.jp/,幼稚園・保育施設,
旭食品株式会社,321-3325,栃木県,芳賀郡芳賀町,芳賀台72-1,028-687-0400,N.A.,http://www.asask.co.jp/asahi/index.htm,食料品,
延生地蔵尊,321-3312,栃木県,芳賀郡芳賀町,大字下延生1641,028-678-0422,028-678-0389,http://www.nobujizouson.jp/,宗教,
株式会社荒川建設,321-3304,栃木県,芳賀郡芳賀町,大字祖母井1089番地1,028-677-0488,028-677-0765,http://www.araken.net/,建設業・工務店,
株式会社大津屋呉服店,321-3312,栃木県,芳賀郡芳賀町,下延生1687,028-678-0540,028-678-0708,http://ohtsuya.net/,和服,
株式会社ホリウチ石材,321-3312,栃木県,芳賀郡芳賀町,下延生127-7,028-678-0544,028-678-1097,http://horiuchisekizai.com/,造園,
