▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
温泉旅館鹿の湯,041-1402,北海道,茅部郡鹿部町,字鹿部58,01372-7-2001,01372-7-2002,http://shikabe.net/,旅館・民宿,
函館バス株式会社鹿部出張所,041-1402,北海道,茅部郡鹿部町,字鹿部134-1,01372-7-2044,N.A.,http://www.hotweb.or.jp/,交通機関,
株式会社道南冷蔵,041-1403,北海道,茅部郡鹿部町,字宮浜321番地,0137-7-2121,0137-7-3935,http://www.ajino-dounan.jp/,食料品,
株式会社道南冷蔵／本社第一工場,041-1403,北海道,茅部郡鹿部町,字宮浜321,01372-7-2121,01372-7-3935,http://www.ajino-dounan.jp/,製造・加工（食料品）,
郵便局株式会社,041-1404,北海道,茅部郡鹿部町,本別136,0137-7-2162,N.A.,http://map.japanpost.jp/,その他サービス,
吉の湯温泉旅館,041-1402,北海道,茅部郡鹿部町,字鹿部45,01372-7-2211,01372-7-3325,http://www.shikabe.com/,旅館・民宿,
郵便局株式会社,041-1499,北海道,茅部郡鹿部町,宮浜2-1,0137-7-2260,0137-7-3516,http://map.japanpost.jp/,その他サービス,
公文式鹿部教室,041-1402,北海道,茅部郡鹿部町,字鹿部27-3,01372-7-2274,N.A.,http://www.kumon.ne.jp/,塾・予備校,
渡島信用金庫鹿部支店,041-1402,北海道,茅部郡鹿部町,字鹿部80-3,01372-7-2334,01372-7-2119,http://www.oshima-shinkin.jp/,金融・郵貯・貸金,
高田幸忠,041-1404,北海道,茅部郡鹿部町,字本別261,01372-7-2714,01372-7-3292,http://www.gekiuma.com/,水産業,
鹿部カントリー倶楽部,041-1404,北海道,茅部郡鹿部町,字本別530-125,01372-7-3131,01372-7-3134,http://www.daiwaroyalgolf.jp/,ゴルフ,
社会福祉法人渡島福祉会渡島リハビリテーションセンター／更生部・身体障害者更生施設,041-1402,北海道,茅部郡鹿部町,字鹿部258-7,01372-7-3321,01372-7-2219,http://www.oshima-rehabili.com/,介護・福祉,
南渡島消防事務組合鹿部消防署,041-1403,北海道,茅部郡鹿部町,字宮浜286-1,01372-7-3331,01372-7-3379,http://www.minamioshima-syoubou.jp/,消防・警察,
鹿部商工会,041-1402,北海道,茅部郡鹿部町,字鹿部130-1,01372-7-3344,01372-7-3514,http://shikabe.net/,組合・団体,
医療法人社団法人しかべ内科診療所鹿苑会,041-1402,北海道,茅部郡鹿部町,字鹿部100,01372-7-3399,01372-7-3600,http://www3.ncv.ne.jp/,内科系,
有限会社嘉楽,041-1404,北海道,茅部郡鹿部町,字本別529-651,01372-7-3489,01372-7-5110,http://www.sakanadamart.net/,販売・卸（食料品）,
鹿部温泉観光協会,041-1402,北海道,茅部郡鹿部町,字鹿部130-1,01372-7-3500,01372-7-3514,http://shikabe.jp/,観光・温泉・銭湯,
株式会社道南冷蔵／第二工場,041-1403,北海道,茅部郡鹿部町,字宮浜371,01372-7-3941,0138-49-8834,http://www.ajino-dounan.jp/,製造・加工（食料品）,
株式会社道南冷蔵／シーフードショップ,041-1403,北海道,茅部郡鹿部町,字宮浜371,01372-7-3942,0138-49-8834,http://www.ajino-dounan.jp/,製造・加工（食料品）,
カールス君,041-1402,北海道,茅部郡鹿部町,字鹿部30-1,01372-7-5162,01372-7-5162,http://www.shikabe.jp/,レストラン,
ローソン鹿部町店,041-1403,北海道,茅部郡鹿部町,字宮浜252-8,01372-7-5515,N.A.,http://www.lawson.co.jp/,コンビニ・スーパー・デパート,
株式会社北海道スカラップ,041-1403,北海道,茅部郡鹿部町,字宮浜408,01372-7-5566,01372-7-5577,http://www.hokkaido-scallop.com/,ガーデニング,
