▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
有限会社三ツ橋運送店,116-0012,東京都,荒川区,東尾久8-3-22,03-3819-0001,03-3895-9559,http://www.alfa-st.co.jp/,運送・貨物・倉庫,
有限会社桐山製作所,116-0014,東京都,荒川区,東日暮里2-31-11,03-3802-0005,03-3801-1170,http://www.kiriyama.co.jp/,製造・加工（医療・薬関連）,
冨岡潤一税理士事務所,116-0013,東京都,荒川区,西日暮里2丁目21-6-602,03-3806-0006,03-3806-8965,http://www.tomioka-tax.com/,士業・コンサルタント,
ティースサロンリメイクエス,116-0001,東京都,荒川区,町屋1-2-13　床井ビル1F,03-3894-0008,N.A.,http://www.remake-s.com/,歯科系,
大多福,116-0002,東京都,荒川区,荒川7丁目50-9,03-3895-0008,03-3895-0964,http://www.otafuku.ne.jp/,魚料理,
鉢の木,116-0001,東京都,荒川区,町屋1丁目7-3,03-3809-0009,N.A.,http://www.hachinoki.com/,飲み屋,
株式会社ハウスプラザ,116-0014,東京都,荒川区,東日暮里5丁目40-1,03-3807-0011,03-3802-7711,http://www.h-plaza.co.jp/,不動産,
荒原行政書士事務所,116-0003,東京都,荒川区,南千住1丁目55-9,03-3802-0012,03-3802-0012,http://arahara-gyousho.info/,士業・コンサルタント,
テスコ株式会社,116-0013,東京都,荒川区,西日暮里5-4-6,03-3805-0012,03-3805-0330,http://www.tesco-ndt.co.jp/,製造・加工（工作機械・一般機械器具）,
株式会社小藤屋／日暮里店,116-0014,東京都,荒川区,東日暮里5丁目23-7,03-3803-0015,03-3805-2025,http://www.kofujiya.com/,お菓子・スイーツ,
株式会社安藤設計,116-0002,東京都,荒川区,荒川6-70-12ベルシティオ町屋,03-3895-0017,03-3895-1705,http://www.arakawa-andou.com/,リフォーム,
三和アドダイレクト株式会社,116-0014,東京都,荒川区,東日暮里2丁目18-10-401,03-5615-0017,N.A.,http://sanwa-ad.co.jp/,IT・情報通信,
つじ田,116-0003,東京都,荒川区,南千住5丁目43-7,03-3807-0020,03-3261-1137,https://tsukemen-tsujita.com/top-tjt/,レストラン,
株式会社コミュニケーションオフィス57,116-0014,東京都,荒川区,東日暮里3丁目9-15,03-5604-0020,03-5604-0019,http://www.co57.jp/,士業・コンサルタント,
ホームウェルモノリス・モノリス秀建,116-0011,東京都,荒川区,西尾久8丁目48-5,03-3810-0021,03-3810-7337,http://monolithsyuken.co.jp/,リフォーム,
のがみ動物病院,116-0012,東京都,荒川区,東尾久4丁目11-7,03-3895-0027,03-3809-5335,http://www.nogami-ah.jp/,動物病院・獣医師,
運輸新聞株式会社,N.A.,東京都,荒川区,西日暮里3-6-10佐々木ビル3F,03-5685-0035,03-5685-0038,http://www.unyu.co.jp/,映画・放送・新聞,
かどや,116-0012,東京都,荒川区,東尾久1丁目15-20,03-3895-0039,N.A.,http://www.kadoya.com/,お菓子・スイーツ,
東京ガスライフバル荒川株式会社日暮里店,116-0014,東京都,荒川区,東日暮里3丁目45-2,03-3806-0044,03-3801-7730,http://www.tg-lifeval-arakawa.com/,水道・ガス・電力,
シティベア／日暮里店,116-0014,東京都,荒川区,東日暮里5丁目51-7,03-3806-0051,N.A.,http://city-bear.com/,プレイスポット,
ミニストップ町屋4丁目店,116-0001,東京都,荒川区,町屋4丁目35-8,03-3894-0053,N.A.,http://www.ministop.co.jp/,コンビニ・スーパー・デパート,
トコイ歯科クリニック,116-0001,東京都,荒川区,町屋1丁目2-13,03-3894-0058,03-3894-0547,http://www.tokoi-dental.jp/,歯科系,
株式会社東宝不動産／賃貸部,116-0013,東京都,荒川区,西日暮里5丁目34-2,03-3805-0071,03-3805-0067,http://www.tohofudosan.jp/,不動産,
株式会社若林自動車,116-0003,東京都,荒川区,南千住6丁目9-1,03-3806-0081,N.A.,http://wakabayashi-motors.com/,車検・整備・修理,
大昭産業株式会社,116-0001,東京都,荒川区,町屋3-22-4h･e･dビル2F,03-3809-0081,03-3809-0083,http://taisho-sangyo.com/,建設業・工務店,
福龍,116-0003,東京都,荒川区,南千住2丁目32-3,03-3806-0087,N.A.,http://www.fukuryu.com/,中華・中国料理,
株式会社メガネドラッグ／日暮里店,116-0013,東京都,荒川区,西日暮里2丁目25-1-105,03-3891-0091,N.A.,http://www.meganedrug.com/,生活用品,
日栄インテック株式会社,116-0011,東京都,荒川区,西尾久7-57-8,03-3894-0092,03-3810-4784,http://www.nichieiintec.jp/,製造・加工（建築資材）,
株式会社折原製作所,116-0013,東京都,荒川区,西日暮里1-3-3プレジア西日暮里2F,03-3805-0101,03-3805-0109,http://www.orihara.co.jp/,リフォーム,
株式会社写光商会／本社,116-0014,東京都,荒川区,東日暮里6丁目30-6,03-3891-0101,03-5708-5212,http://www.shakou.co.jp/,OA機器,
町屋五丁目整形外科クリニック,116-0001,東京都,荒川区,町屋5丁目1-1,03-3895-0102,03-3895-2514,http://www.machiya5chome.com/,外科系,
株式会社折原製作所,116-0013,東京都,荒川区,西日暮里1丁目3-3,03-3805-0105,03-5604-0304,http://www.orihara.co.jp/,製造・加工（建築資材）,
