▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
関東穀粉株式会社,311-3801,茨城県,行方市,行方1618,0299-77-0013,0299-77-0701,http://www.kantokokufun.co.jp/,製造・加工（食料品）,
株式会社フルウチ,311-3803,茨城県,行方市,井貝353-10,0299-77-0026,0299-77-0168,http://www.f-feed.co.jp/,農業,
有限会社荒木田材木店,311-3515,茨城県,行方市,井上1539-2,0299-56-0032,0299-56-0213,http://www.e-tombo.com/,販売・卸（建設資材）,
霞ヶ浦漁業協同組合,311-3512,茨城県,行方市,玉造甲1560,0299-55-0057,0299-55-0881,http://jf-kasumigaura.jp/,組合・団体,
高野義一,311-3512,茨城県,行方市,玉造甲411-3,0299-55-0074,N.A.,http://p0299550074.miteyo.jp/,タクシー,
しんしん玉造店,311-3514,茨城県,行方市,西蓮寺1360,0299-56-0090,0299-56-0091,http://www.sinsingr.co.jp/,農業,
裁判所／水戸家庭裁判所麻生支部,311-3832,茨城県,行方市,麻生143,0299-72-0091,N.A.,http://www.courts.go.jp/,裁判所,
茨城新聞／小沼新聞店,311-3832,茨城県,行方市,麻生1231-3,0299-72-0103,029-301-0362,http://ibarakinews.jp/top.php,映画・放送・新聞,
茨城県警察本部／行方警察署,311-3832,茨城県,行方市,麻生1723,0299-72-0110,N.A.,http://www.pref.ibaraki.jp/,消防・警察,
吉田精工株式会社,311-3506,茨城県,行方市,八木蒔660,0299-57-0111,0299-57-0711,http://yoshidaseiko.co.jp/,製造・加工（医療・薬関連）,
行方市役所／居宅介護支援事業所,311-3512,茨城県,行方市,玉造甲404,0299-55-0111,0299-36-2610,http://www.city.namegata.ibaraki.jp/,市区町村機関,
水戸地方検察庁／麻生支部・麻生区検察庁,311-3832,茨城県,行方市,麻生143,0299-72-0114,N.A.,http://www.kensatsu.go.jp/,官公署,
鹿行広域事務組合消防本部／行方消防署,311-1715,茨城県,行方市,小幡1101-38,0291-35-0119,N.A.,http://rokkou-kouiki.jp/wp/,消防・警察,
介護老人保健施設かすみがうら,311-3502,茨城県,行方市,若海793-5,0299-55-0122,0299-55-1147,http://www.s-kasumigaura.com/,介護・福祉,
大盛電機商会,311-3832,茨城県,行方市,麻生1076-21,0299-72-0137,0299-72-0446,http://www.nameshoko.com/,家電,
株式会社松本,311-3515,茨城県,行方市,井上2273,0299-56-0156,0299-56-0733,http://www.matsumoto-lfg.co.jp/,製造・加工（食料品）,
行方市／玉造公民館,311-3511,茨城県,行方市,玉造乙1179,0299-55-0171,0299-55-0172,http://www.city.namegata.ibaraki.jp/,市区町村機関,
株式会社末広商店,311-3832,茨城県,行方市,麻生1757,0299-72-0192,0299-72-0254,http://www.recycle-suehiro.com/,コレクション,
有限会社中村畜産,N.A.,茨城県,行方市,麻生133-4,0299-72-0234,0299-72-0538,http://www.kokusaig.co.jp/,農業,
丸和繊維工業株式会社,311-3834,茨城県,行方市,粗毛6,0299-72-0251,0299-72-0474,http://www.maruwa-tex-ind.co.jp/,製造・加工（衣料関連）,
かすみウェルフェアサービス,311-3826,茨城県,行方市,矢幡1881-12,0299-73-0300,0299-73-0133,http://www.mito.ne.jp/,介護・福祉,
萬福寺,311-3507,茨城県,行方市,羽生745,0299-57-0308,0299-57-0078,http://www.obakusan.or.jp/,宗教,
株式会社A-1建築事務所,311-3505,茨城県,行方市,浜370-1,0299-55-0321,0299-55-3902,http://www.a-1group.net/,リフォーム,
茨城県漬物工業協同組合,311-3832,茨城県,行方市,麻生1594,0299-72-0335,N.A.,http://www.ibaraki-tsukemono.jp/,組合・団体,
ハシモト,311-3832,茨城県,行方市,麻生3290-64,0299-72-0364,0299-72-2859,http://www.hashimoto-tane.net/,ガーデニング,
トムソーヤ,311-3505,茨城県,行方市,浜370-1,0299-55-0404,0299-55-3902,http://www.a-1group.net/,イタリアン・フレンチ,
リヒトハウス北浦,311-1712,茨城県,行方市,繁昌1712-1,0291-35-0471,0291-35-0470,http://care-net.biz/,介護・福祉,
有限会社塙農機具店,311-3505,茨城県,行方市,浜1972-1,0299-55-0503,0299-55-2866,http://noukiguya.com/,農業,
