▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
ギャラリーぽっぽ,198-0106,東京都,西多摩郡奥多摩町,棚澤662,0428-85-1164,0428-85-1164,http://www.gallerypoppo.com/,喫茶店・カフェ,
社会福祉法人青梅白寿会シルバーコート丹三郎,198-0104,東京都,西多摩郡奥多摩町,丹三郎56,0428-85-1171,0428-85-1174,http://www.hakujyu.or.jp/,介護・福祉,
釜めしなかい,198-0101,東京都,西多摩郡奥多摩町,大丹波175,0428-85-1345,0428-85-1345,http://www.okutama.gr.jp/,和食,
有限会社カネバン,198-0104,東京都,西多摩郡奥多摩町,丹三郎15-2,0428-85-1553,0428-85-1575,http://www.kaneban.jp/,製造・加工（化学・プラスチック）,
セブンイレブン／奥多摩古里店,198-0105,東京都,西多摩郡奥多摩町,小丹波33,0428-85-1670,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
鳩の巣釜めし,198-0106,東京都,西多摩郡奥多摩町,棚澤375,0428-85-1970,0428-78-2215,http://www.hatonosukamameshi.com/,和食,
山鳩山荘,198-0106,東京都,西多摩郡奥多摩町,棚澤776-イ,0428-85-2100,0428-85-2160,http://yamabatonosu.com/,旅館・民宿,
奥多摩町役場,198-0212,東京都,西多摩郡奥多摩町,氷川215-6,0428-83-2111,0428-83-2344,http://www.town.okutama.tokyo.jp/,市区町村機関,
佐久間建設株式会社,198-0105,東京都,西多摩郡奥多摩町,小丹波45,0428-85-2121,0428-85-2124,http://www.sakumanet.co.jp/,総合・職別工事業,
西東京バス株式会社／氷川車庫,198-0212,東京都,西多摩郡奥多摩町,氷川213,0428-83-2126,0428-83-3464,http://www.nisitokyobus.co.jp/,交通機関,
氷川キャンプ場,198-0212,東京都,西多摩郡奥多摩町,氷川702,0428-83-2134,0428-83-3538,http://www.okutamas.co.jp/,キャンプ,
奥多摩町国民健康保険奥多摩病院,198-0212,東京都,西多摩郡奥多摩町,氷川1111,0428-83-2145,0428-83-8318,http://www.okutama-hospital.jp/,外科系,
氷川国際ます釣場,198-0212,東京都,西多摩郡奥多摩町,氷川397-1,0428-83-2147,0428-83-2384,http://www.okutamas.co.jp/,アウトドア,
奥多摩町観光案内所,198-0212,東京都,西多摩郡奥多摩町,氷川210,0428-83-2152,0428-83-2789,http://www.okutama.gr.jp/,観光・温泉・銭湯,
山鳩,198-0106,東京都,西多摩郡奥多摩町,棚澤380,0428-85-2158,0428-85-2160,http://yamabatonosu.com/,喫茶店・カフェ,
川井キャンプ場,198-0103,東京都,西多摩郡奥多摩町,梅澤187,0428-85-2206,0428-85-2212,http://www.okutamas.co.jp/,キャンプ,
有限会社佐久間製作所,198-0104,東京都,西多摩郡奥多摩町,丹三郎159-2,0428-85-2210,0428-85-1094,http://www.sakuma-ss.com/,製造・加工（金属製品）,
青梅信用金庫／奥多摩支店,198-0212,東京都,西多摩郡奥多摩町,氷川194,0428-83-2211,N.A.,http://www.aosyn.co.jp/,金融・郵貯・貸金,
東京都／水道局／水源管理事務所／小河内貯水池管理事務所,198-0223,東京都,西多摩郡奥多摩町,原5,0428-86-2211,0428-86-2738,http://www.waterworks.metro.tokyo.jp/,都道府県機関,
医療法人皆成会古里診療所,198-0105,東京都,西多摩郡奥多摩町,小丹波82,0428-85-2226,N.A.,http://www.korishin.com/,医院・診療所・療養所,
大丹波川国際虹ます釣場,198-0101,東京都,西多摩郡奥多摩町,大丹波114,0428-85-2235,0428-85-1510,http://www.ohtabaturiba.com/,アウトドア,
小河内振興財団（一般財団法人）,198-0221,東京都,西多摩郡奥多摩町,留浦1200,0428-86-2256,0428-86-2231,http://ogouchi.com/,組合・団体,
東京消防庁／奥多摩消防署,198-0212,東京都,西多摩郡奥多摩町,氷川952,0428-83-2299,N.A.,http://www.tfd.metro.tokyo.jp/,消防・警察,
奥多摩工業株式会社,198-0212,東京都,西多摩郡奥多摩町,氷川243-2,0428-83-2311,0428-83-8402,http://www.okutama.co.jp/,鉱業,
株式会社昭和石材工業所,198-0105,東京都,西多摩郡奥多摩町,小丹波580番地,0428-85-2311,N.A.,http://showseki.co.jp/,製造・加工（その他）,
奥多摩町／山のふるさと村／キャンプ場,198-0225,東京都,西多摩郡奥多摩町,川野1740,0428-86-2324,0428-86-2554,http://www.yamafuru.com/,キャンプ,
古里保育園,198-0105,東京都,西多摩郡奥多摩町,小丹波528,0428-85-2328,0428-85-2328,http://www.dab.hi-ho.ne.jp/,幼稚園・保育施設,
寿楽荘,198-0213,東京都,西多摩郡奥多摩町,海澤497,0428-83-2338,0428-83-3705,http://www.futabakai.or.jp/,介護・福祉,
玉翠荘,198-0212,東京都,西多摩郡奥多摩町,氷川160,0428-83-2363,0428-83-2915,http://www.gyokusuisou.com/,旅館・民宿,
株式会社山城屋,198-0212,東京都,西多摩郡奥多摩町,氷川717-3,0428-83-2368,0428-83-2666,http://www.yamashiroya.co.jp/,食料品,
株式会社古里精機製作所,198-0105,東京都,西多摩郡奥多摩町,小丹波37,0428-85-2421,0428-85-2770,http://www.koriseiki.co.jp/,製造・加工（工作機械・一般機械器具）,
速洗舎クリーニング,198-0212,東京都,西多摩郡奥多摩町,氷川718-3,0428-83-2434,03-3813-4258,http://www.tokyo929.or.jp/,クリーニング,
鉢の木,198-0212,東京都,西多摩郡奥多摩町,氷川1411,0428-83-2440,0428-83-3144,http://www.okutama-hachinoki.jp/,旅館・民宿,
有限会社原島石油店古里給油所,198-0102,東京都,西多摩郡奥多摩町,川井787,0428-85-2527,N.A.,http://eneos-ss.com/,ガソリンスタンド,
百軒茶屋キャンプ場,198-0101,東京都,西多摩郡奥多摩町,大丹波488,0428-85-2532,0428-85-2532,http://hyakkenjyaya.com/,キャンプ,
のんきや,198-0223,東京都,西多摩郡奥多摩町,原368,0428-86-2533,0428-86-2533,http://www.okutama.gr.jp/,ラーメン,
株式会社泰伸,198-0222,東京都,西多摩郡奥多摩町,境852,0428-86-2535,0428-23-6606,http://tai-sin.jp/,防犯・防火,
有限会社榎木工業,198-0212,東京都,西多摩郡奥多摩町,氷川1165,0428-83-2544,0428-83-3167,http://enokikougyou.co.jp/,総合・職別工事業,
小河内荘,198-0223,東京都,西多摩郡奥多摩町,原160,0428-86-2550,0428-86-2439,http://www.ogoutiso.co.jp/,旅館・民宿,
奥多摩町山のふるさと村ビジターセンター,198-0225,東京都,西多摩郡奥多摩町,川野1740,0428-86-2551,0428-86-2316,http://www.yamafuru.com/,アウトドア,
