▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社大江町産業振興公社,990-1121,山形県,西村山郡大江町,大字藤田831-40,0237-85-1126,0237-62-4096,http://oeterume4126.web.fc2.com/,観光・温泉・銭湯,
大江町役場,990-1101,山形県,西村山郡大江町,大字左沢882-1,0237-62-2111,0237-62-4736,http://www.town.oe.yamagata.jp/,市区町村機関,
大江町役場／奥おおえ柳川温泉,990-1274,山形県,西村山郡大江町,大字柳川1502-3,0237-64-2151,0237-64-2156,http://oeterume4126.web.fc2.com/,観光・温泉・銭湯,
山形県立左沢高等学校,990-1121,山形県,西村山郡大江町,大字藤田字山中816-3,0237-62-2169,0237-62-4959,http://www.aterazawa-h.ed.jp/htdocs/,小・中・高・大学等,
大江町役場／総務課,990-1101,山形県,西村山郡大江町,大字左沢882-1,0237-62-2187,0237-62-4736,http://www.town.oe.yamagata.jp/,市区町村機関,
株式会社クレンズ興産リサイクルセンター,990-1122,山形県,西村山郡大江町,大字小見535-164,0237-62-2188,0237-62-3391,http://www.cleanse.co.jp/,廃棄物処理,
医王寺,990-1101,山形県,西村山郡大江町,大字左沢461,0237-62-2247,0237-62-2666,http://www.yakusigaoka.com/,宗教,
有限会社大沼タクシー,990-1101,山形県,西村山郡大江町,左沢1013,0237-62-2248,0237-62-2367,http://www.oonuma-taxi.jp/,運送・貨物・倉庫,
らーめん小屋コロポックル,990-1122,山形県,西村山郡大江町,大字小見80-1,0237-62-2332,N.A.,http://coropokuruwanwan.com/,ラーメン,
カイノ電器大江店,990-1101,山形県,西村山郡大江町,大字左沢198,0237-62-2564,0237-62-2565,http://www.kaino-denki.co.jp/,家電,
郵便局株式会社,990-1274,山形県,西村山郡大江町,柳川1193,0237-64-2706,0237-64-2005,http://map.japanpost.jp/,その他サービス,
鴨田こけし製作所,990-1101,山形県,西村山郡大江町,大字左沢16-1,0237-62-2726,0237-62-2166,http://www13.plala.or.jp/,製造・加工（その他）,
あてらざわ温泉湯元旅館,990-1101,山形県,西村山郡大江町,大字左沢10-2,0237-62-3052,0237-62-3052,http://aterazawa.com/,旅館・民宿,
西村山広域行政事務組合消防署大江分署,990-1163,山形県,西村山郡大江町,大字本郷丁373-1,0237-62-3120,0237-62-4119,http://www.nishimurayama-koiki.jp/,消防・警察,
株式会社山形銀行左沢支店,990-1101,山形県,西村山郡大江町,大字左沢388,0237-62-3131,N.A.,http://www.yamagatabank.co.jp/,金融・郵貯・貸金,
有限会社オクヤマ,990-1121,山形県,西村山郡大江町,藤田字前田48-6,0237-62-3133,0237-62-5430,http://www.oku-den.com/,建設業・工務店,
社会福祉法人あゆみこども園,990-1121,山形県,西村山郡大江町,大字藤田402-4,0237-62-3220,0237-62-3260,http://www.ayumi-kodomo.jp/,幼稚園・保育施設,
佐藤内科,990-1101,山形県,西村山郡大江町,大字左沢1700,0237-62-3277,0237-83-4004,http://www.ic-net.or.jp/,医院・診療所・療養所,
郵便局株式会社,990-1111,山形県,西村山郡大江町,三郷丙400,0237-62-3596,N.A.,http://map.japanpost.jp/,その他サービス,
大江町役場／柏陵荘,990-1121,山形県,西村山郡大江町,大字藤田270-3,0237-62-4096,N.A.,http://oeterume4126.web.fc2.com/,市区町村機関,
大江町社会福祉協議会,990-1101,山形県,西村山郡大江町,大字左沢887-2,0237-83-4122,0237-83-4123,https://www.ymgt-shakyo.or.jp/,組合・団体,
山形県朝日少年自然の家,990-1101,山形県,西村山郡大江町,大字左沢字楯山2523-5,0237-62-4125,0237-62-4126,http://www.pref.yamagata.jp/,市区町村機関,
グループホームあじさい,990-1163,山形県,西村山郡大江町,大字本郷丁10-1,0237-83-4177,0237-83-4178,http://www.npo-ajisai.jp/,介護・福祉,
大寿荘特別養護老人ホーム,990-1121,山形県,西村山郡大江町,大字藤田字藤田山839-1,0237-62-4328,0237-62-4329,http://www.ysj.or.jp/,介護・福祉,
大江町シニアセンター,990-1121,山形県,西村山郡大江町,大字藤田831-40,0237-83-4338,0237-83-4339,http://oeterume4126.web.fc2.com/,観光・温泉・銭湯,
清野仙之助くだもの直売所,990-1165,山形県,西村山郡大江町,大字本郷戊字黒保峯494,0237-62-4709,0237-62-4709,http://www.se-no.com/,食料品,
らふらんす大江,990-1101,山形県,西村山郡大江町,大字左沢1277,0237-83-4800,0237-62-5580,http://care-net.biz/06/lafrance-ooe/,介護・福祉,
源八,990-1101,山形県,西村山郡大江町,大字左沢字山田原756-34,0237-62-5157,0237-71-0690,http://sake-genpachi.com/,飲み屋,
大江町役場／大山自然公園,990-1122,山形県,西村山郡大江町,大字小見820,0237-62-5421,0237-62-5431,http://oeterume4126.web.fc2.com/,市区町村機関,
須川工業株式会社／山形工場,990-1121,山形県,西村山郡大江町,大字藤田字西原503-8,0237-62-5521,03-3888-6741,http://www.skk-sugawa.co.jp/,製造・加工（工作機械・一般機械器具）,
株式会社エアボーリング,990-1162,山形県,西村山郡大江町,大字本郷己313-1,0237-62-5558,0237-62-3323,http://www.dewa.or.jp/,エクステリア,
ファミリーマート寒河江柴橋店,990-1101,山形県,西村山郡大江町,大字左沢字木の沢2132,0237-77-6577,N.A.,http://www.family.co.jp/,コンビニ・スーパー・デパート,
