▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社設楽酒造店,990-0701,山形県,西村山郡西川町,大字睦合丙674-2,0237-74-2020,0237-74-2068,http://www.shitara-syuzou.com/,酒・飲料品,
朝日山の家,990-0721,山形県,西村山郡西川町,大字大井沢1807-1,0237-76-2031,0237-76-2032,http://www.asahiyamanoie.com/,ホテル・ペンション,
弓張平公園パークプラザ,990-0734,山形県,西村山郡西川町,大字志津172-3,0237-75-2040,0237-75-2301,http://yumiharidaira.net/,アウトドア,
レストイン花笠,990-0733,山形県,西村山郡西川町,大字月山沢110,0237-75-2045,0237-75-2828,http://www.hanagasa.info/,旅館・民宿,
荒木時計店,990-0701,山形県,西村山郡西川町,大字睦合丙140-1,0237-74-2052,0237-74-2052,http://arakitokei.com/,アクセサリー,
まいづるや,990-0734,山形県,西村山郡西川町,志津11,0237-75-2063,0237-75-2150,http://www.gassan-maiduruya.com/,旅館・民宿,
月山／西川町総合開発株式会社,990-0742,山形県,西村山郡西川町,大字水沢2304,0237-74-2100,0237-74-3270,http://www.gassan-shop.com/,観光・温泉・銭湯,
西村山広域行政事務組合消防署西川分署,990-0702,山形県,西村山郡西川町,大字海味521-1,0237-74-2101,0237-74-2110,http://www.nishimurayama-koiki.jp/,消防・警察,
西川町役場,990-0702,山形県,西村山郡西川町,大字海味510,0237-74-2111,0237-74-2601,http://www.town.nishikawa.yamagata.jp/,市区町村機関,
西川町役場／大井沢支所,990-0721,山形県,西村山郡西川町,大字大井沢822-1,0237-76-2111,0237-76-2030,http://www.town.nishikawa.yamagata.jp/,市区町村機関,
有限会社月山漬物,N.A.,山形県,西村山郡西川町,大字大井沢3955-2,0237-76-2155,0237-76-2160,http://gassan.ftw.jp/,食料品,
株式会社山形銀行西川支店,990-0703,山形県,西村山郡西川町,大字間沢9-11,0237-74-2161,N.A.,http://www.yamagatabank.co.jp/,金融・郵貯・貸金,
有限会社オクヤマ電気工事,990-0703,山形県,西村山郡西川町,間沢306-1,0237-74-2166,0237-74-2665,http://www.oku-den.com/,家電,
清水屋旅館,990-0734,山形県,西村山郡西川町,大字志津20,0237-75-2211,0237-75-2212,http://www.gassannoyado.com/,旅館・民宿,
西川町役場／町立病院,990-0702,山形県,西村山郡西川町,大字海味581,0237-74-2211,0237-74-2213,http://www.snma.or.jp/,医院・診療所・療養所,
月山観光開発株式会社,990-0703,山形県,西村山郡西川町,間沢59,0237-74-2218,0237-74-2218,http://www.gassankanko.jp/,設備工事業,
おちみずの湯つたや（変若水の湯）,990-0734,山形県,西村山郡西川町,大字志津10,0237-75-2222,0237-75-2208,http://www.gassan-tsutaya.co.jp/,旅館・民宿,
まるろく,990-0701,山形県,西村山郡西川町,大字睦合乙185-2,0237-74-2225,0237-74-3054,http://maruroku2225.web.fc2.com/,弁当・宅配,
株式会社月山ポレポレファーム,990-0733,山形県,西村山郡西川町,月山沢大平347-3,0237-75-2240,0237-75-2255,http://www.polepole.co.jp/,旅館・民宿,
美どり亭,990-0703,山形県,西村山郡西川町,大字間沢53-1,0237-74-2273,N.A.,http://midoritei.wordpress.com/,ラーメン,
佐藤建設工業株式会社,990-0702,山形県,西村山郡西川町,大字海味211-1,0237-74-2276,0237-84-3512,http://www.sato-kkk.co.jp/,製造・加工（その他）,
孝庵,990-0721,山形県,西村山郡西川町,大字大井沢1003,0237-76-2307,0237-76-2307,http://www.sakaenet.jp/,旅館・民宿,
最上川ダム統合管理事務所,990-0732,山形県,西村山郡西川町,大字砂子関158,0237-75-2311,0237-75-2048,http://www.thr.mlit.go.jp/,官公署,
月山リゾートイン,990-0733,山形県,西村山郡西川町,大字月山沢115-ホ,0237-75-2316,0237-75-2208,http://www.gassan-tsutaya.co.jp/,旅館・民宿,
西川町立西川中学校,990-0711,山形県,西村山郡西川町,大字吉川227-28,0237-74-2317,0237-74-2596,http://www.town.nishikawa.yamagata.jp/,小・中・高・大学等,
山菜料理出羽屋,990-0703,山形県,西村山郡西川町,大字間沢58,0237-74-2323,0237-74-3222,http://www.dewaya.com/,和食,
寒河江ダムドライブイン,990-0733,山形県,西村山郡西川町,大字月山沢241-227,0237-75-2339,0237-75-2829,http://www14.plala.or.jp/,道の駅,
橋本荘,990-0721,山形県,西村山郡西川町,大字大井沢1181-3,0237-76-2353,0237-85-0160,http://www.gas3.net/,旅館・民宿,
月山湖売店,990-0732,山形県,西村山郡西川町,大字砂子関158-130,0237-75-2354,N.A.,http://www.gassan.co.jp/,道の駅,
玉貴,990-0703,山形県,西村山郡西川町,大字間沢80-1,0237-74-2364,0237-74-3726,http://www.sansai-tamaki.com/,和食,
株式会社佐藤建設,990-0714,山形県,西村山郡西川町,入間334-1乙地,0237-74-2378,0237-74-2765,http://www.yamaka-satokensetsu.co.jp/,リフォーム,
西川塗装,990-0711,山形県,西村山郡西川町,大字吉川719-2,0237-74-2406,0237-74-2404,http://nishikawa-paint.com/,リフォーム,
ほていや山の家,990-0733,山形県,西村山郡西川町,姥沢月山国有林115-ニ,0237-75-2431,023-694-9356,http://www.lodge-sugano.com/,旅館・民宿,
ピュアコーポレーション,990-0721,山形県,西村山郡西川町,大字大井沢116,0237-76-2453,0237-76-2453,http://www.web-i.ne.jp/,バス・トイレ・キッチン,
さくらんぼペンション,990-0741,山形県,西村山郡西川町,大字綱取362-6,0237-74-2454,0237-74-2454,http://yu-shin.net/,ホテル・ペンション,
千成興業株式会社,990-0703,山形県,西村山郡西川町,間沢200-1,0237-74-2455,0237-74-3336,http://www.sennari-k.co.jp/,総合・職別工事業,
ロッヂやつなみ,990-0733,山形県,西村山郡西川町,大字月山沢月山国有林115-ニ,0237-75-2533,0237-75-2533,http://www.community-i.com/,その他宿泊施設,
有限会社玉谷製麺所,990-0701,山形県,西村山郡西川町,睦合甲242,0237-74-2817,0237-74-2598,https://www.tamayaseimen.co.jp/wp/,製造・加工（食料品）,
有限会社ブナの森,990-0702,山形県,西村山郡西川町,海味475,0237-74-3128,0237-74-3137,https://meron-net.shop/ds/takatori,薬,
西川企業株式会社,990-0701,山形県,西村山郡西川町,睦合丙107,0237-74-3168,0237-74-2057,http://nishi-kigyo.com/,販売・卸（建設資材）,
山形県企業局南部総合事務所,990-0711,山形県,西村山郡西川町,大字吉川10-5,0237-74-3207,0237-74-2144,http://www.pref.yamagata.jp/,都道府県機関,
あらき精肉店,990-0703,山形県,西村山郡西川町,大字間沢272-5,0237-74-3218,0237-74-3267,http://www.arakinikuya.com/,食料品,
西川町役場／老人福祉センター・海味温泉,990-0702,山形県,西村山郡西川町,大字海味437-2,0237-74-3232,0237-74-3220,http://kinspa.com/,市区町村機関,
西川町役場／大井沢温泉,990-0721,山形県,西村山郡西川町,大字大井沢1177,0237-77-3536,0237-77-3537,http://www.gassan.co.jp/,観光・温泉・銭湯,
西川町役場／ケアハイツ西川,990-0702,山形県,西村山郡西川町,大字海味548,0237-74-4065,0237-74-4085,http://care-net.biz/,市区町村機関,
株式会社米月山,N.A.,山形県,西村山郡西川町,大字吉川461番地1,0237-74-4145,0237-74-2773,http://mygassan.co.jp/,食料品,
合資会社虎屋西川工場,990-0711,山形県,西村山郡西川町,大字吉川79,0237-74-4315,0237-74-4316,http://wine.chiyokotobuki.com/,酒・飲料品,
月山／水沢温泉館,990-0742,山形県,西村山郡西川町,大字水沢2304,0237-74-4433,0237-74-3270,http://www.gassan.co.jp/,観光・温泉・銭湯,
西川町社会福祉協議会,990-0702,山形県,西村山郡西川町,大字海味543-8,0237-74-5677,0237-74-3220,https://www.ymgt-shakyo.or.jp/,組合・団体,
