▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社エービーシステム,969-0101,福島県,西白河郡泉崎村,泉崎字上狐山2-1,0248-54-1010,0248-53-4005,http://ab-led.jp/,ソフトウェア,
日精株式会社福島工場,969-0101,福島県,西白河郡泉崎村,大字泉崎地内,0248-54-1021,0248-53-4655,http://www.nissei.co.jp/,製造・加工（工作機械・一般機械器具）,
社会福祉法人こころん,969-0101,福島県,西白河郡泉崎村,大字泉崎字下根岸9,0248-54-1115,0248-53-3063,http://www.cocoron.or.jp/,介護・福祉,
株式会社フジ機工,N.A.,福島県,西白河郡泉崎村,大字泉崎字中核工業団地16-7,0248-54-1123,0248-54-1125,http://www.fujikiko.net/,印刷・出版,
株式会社大野運輸,N.A.,福島県,西白河郡泉崎村,大字泉崎中核工業団地16-6,0248-54-1150,N.A.,http://www.ohno-unyu.com/,運送・貨物・倉庫,
株式会社新栄製作所,N.A.,福島県,西白河郡泉崎村,大字太田川字原山31-1,0248-54-1225,0248-54-1226,http://www.shinei-ksf.co.jp/,製造・加工（鉄鋼製品）,
ファミリーマート泉崎関和久店,969-0102,福島県,西白河郡泉崎村,大字関和久字中宿182-2,0248-54-1301,N.A.,http://www.family.co.jp/,コンビニ・スーパー・デパート,
泉崎村役場／保健福祉課,969-0101,福島県,西白河郡泉崎村,大字泉崎字山ケ入101,0248-54-1333,0248-54-1353,http://www.vill.izumizaki.fukushima.jp/,市区町村機関,
有限会社藤製作所,969-0101,福島県,西白河郡泉崎村,大字泉崎字外ノ内9番1,0248-54-1370,0248-54-1371,http://www.fuji-bta.co.jp/,製造・加工（鉄鋼製品）,
泉崎村役場／学校教育課,969-0101,福島県,西白河郡泉崎村,大字泉崎字舘24-9,0248-54-1533,0248-53-2958,http://www.vill.izumizaki.fukushima.jp/,市区町村機関,
泉崎村役場／社会福祉協議会,969-0101,福島県,西白河郡泉崎村,大字泉崎字山ケ入101,0248-54-1555,0248-53-2958,http://www.vill.izumizaki.fukushima.jp/,市区町村機関,
秋山錠剤株式会社,969-0101,福島県,西白河郡泉崎村,泉崎中核工業団地12,0248-54-1611,0248-54-1633,http://www.akiyama.co.jp/,製造・加工（医療・薬関連）,
株式会社朝日ラバー,969-0101,福島県,西白河郡泉崎村,大字泉崎字山崎山1番地3,0248-54-1618,0248-54-1619,http://www.asahi-rubber.co.jp/,製造・加工（化学・プラスチック）,
泉崎村役場／泉崎村地域包括支援センター,969-0101,福島県,西白河郡泉崎村,大字泉崎字山ケ入101,0248-54-1777,0248-53-2958,http://www.vill.izumizaki.fukushima.jp/,市区町村機関,
福島環境整備株式会社白河事業所,969-0105,福島県,西白河郡泉崎村,大字踏瀬字長峯71,0248-54-1798,0248-54-1790,http://www.fukushima-g.co.jp/,不動産,
いずみざき薬局,969-0101,福島県,西白河郡泉崎村,大字泉崎字山ケ入69-6,0248-54-1840,0248-54-1841,http://www.izumizaki-tsyakuhin.com/,薬,
泉崎村役場／泉崎南東北訪問看護ステーション・居宅介護支援事業所,969-0101,福島県,西白河郡泉崎村,大字泉崎字山ケ入101,0248-54-1888,0248-53-2958,http://www.vill.izumizaki.fukushima.jp/,市区町村機関,
株式会社エービー白河工場,969-0101,福島県,西白河郡泉崎村,大字泉崎字上狐山2-1,0248-53-2043,0248-53-2594,http://www.ab-mold.com/,製造・加工（金属製品）,
株式会社NIPPO,969-0101,福島県,西白河郡泉崎村,大字泉崎山崎山28-3,0248-53-2101,0248-53-3467,http://www.nippo-c.co.jp/,建設業・工務店,
泉崎村役場／総務課,969-0101,福島県,西白河郡泉崎村,大字泉崎字新宿2,0248-53-2111,0248-53-2958,http://www.vill.izumizaki.fukushima.jp/,市区町村機関,
泉崎村役場／住民生活課,969-0101,福島県,西白河郡泉崎村,大字泉崎字新宿2,0248-53-2112,0248-53-2958,http://www.vill.izumizaki.fukushima.jp/,市区町村機関,
泉崎村役場／税務課,969-0101,福島県,西白河郡泉崎村,大字泉崎字新宿2,0248-53-2113,0248-53-2958,http://www.vill.izumizaki.fukushima.jp/,市区町村機関,
泉崎村役場／建設水道課,969-0101,福島県,西白河郡泉崎村,大字泉崎字新宿2,0248-53-2114,0248-53-2958,http://www.vill.izumizaki.fukushima.jp/,市区町村機関,
泉崎村役場／除染対策室,969-0101,福島県,西白河郡泉崎村,大字泉崎字新宿2,0248-53-2236,0248-53-2958,http://www.vill.izumizaki.fukushima.jp/,市区町村機関,
泉崎村役場／土地販売促進課,969-0101,福島県,西白河郡泉崎村,大字泉崎字新宿2,0248-53-2238,0248-53-2958,http://www.vill.izumizaki.fukushima.jp/,市区町村機関,
