▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
柳之御所資料館,029-4102,岩手県,西磐井郡平泉町,平泉字伽羅楽108-1,0191-34-1001,0191-34-1001,http://hiraizumi.or.jp/,組合・団体,
あすか薬局,029-4102,岩手県,西磐井郡平泉町,平泉字志羅山7-10,0191-34-1150,0191-34-1151,http://www.aska-p.jp/,薬,
コメリハード&グリーン平泉店,029-4102,岩手県,西磐井郡平泉町,平泉字樋渡53-2,0191-34-1155,0191-34-1156,http://www.komeri.bit.or.jp/,生活用品,
株式会社フタバ平泉,029-4102,岩手県,西磐井郡平泉町,平泉字上徳沢65,0191-34-1211,0191-34-1212,http://www.futabasangyo.com/,製造・加工（輸送機械器具）,
株式会社松栄堂,029-4102,岩手県,西磐井郡平泉町,平泉字宿122-4,0191-34-1333,0191-34-1334,http://www.shoeidoh.co.jp/,食料品,
平泉文化史館,029-4102,岩手県,西磐井郡平泉町,平泉字坂下10-7,0191-46-2011,0191-46-2088,http://www.hiraizumi2011.jp/,博物館・美術館,
株式会社岩手いすゞ自動車一関支店,029-4102,岩手県,西磐井郡平泉町,平泉字三日町77-3,0191-46-2021,0191-46-2493,http://www.isuzu.co.jp/,自動車販売,
株式会社松栄堂,029-4102,岩手県,西磐井郡平泉町,平泉坂下10-7,0191-46-2057,N.A.,http://www.shoeidoh.co.jp/,食料品,
大沢温泉旅館,029-4102,岩手県,西磐井郡平泉町,平泉字大沢94-1,0191-46-2059,0191-46-3146,http://www.oosawaonsenryokan.com/,旅館・民宿,
平泉町観光案内所,029-4102,岩手県,西磐井郡平泉町,平泉字泉屋61-7,0191-46-2110,0191-46-2117,http://hiraizumi.or.jp/,観光・温泉・銭湯,
平泉町役場,029-4102,岩手県,西磐井郡平泉町,平泉字志羅山45-2,0191-46-2111,0191-46-3080,http://www.town.hiraizumi.iwate.jp/,市区町村機関,
日本美術工芸社,029-4102,岩手県,西磐井郡平泉町,平泉字花立86,0191-46-2153,0191-46-3543,http://nihonbijyutu.ftw.jp/,製造・加工（木製品・紙・パルプ関連）,
有限会社一関タクシー／中尊寺営業所,029-4102,岩手県,西磐井郡平泉町,平泉字坂下9,0191-34-2155,0191-34-2177,http://ichitax.co.jp/,タクシー,
平泉町立／平泉小学校,029-4102,岩手県,西磐井郡平泉町,平泉字倉町155,0191-46-2202,N.A.,http://www.town.hiraizumi.iwate.jp/,小・中・高・大学等,
平泉町立／長島小学校,029-4101,岩手県,西磐井郡平泉町,長島字砂子沢33,0191-46-2203,0191-46-3080,http://www.town.hiraizumi.iwate.jp/,小・中・高・大学等,
しづか亭,029-4102,岩手県,西磐井郡平泉町,平泉字長倉10-5,0191-34-2211,0191-34-2210,http://www.shizukatei.com/,旅館・民宿,
中尊寺,029-4102,岩手県,西磐井郡平泉町,平泉字衣関202,0191-46-2211,0191-46-2216,http://www.chusonji.or.jp/,宗教,
岩手ダイハツ販売株式会社一関店,029-4102,岩手県,西磐井郡平泉町,平泉字樋の沢18-1,0191-46-2221,0191-46-2778,http://map.daihatsu.co.jp/,車検・整備・修理,
ホテル武蔵坊,029-4102,岩手県,西磐井郡平泉町,平泉字大沢15,0191-46-2241,0191-46-2250,http://www.musasibou.co.jp/,旅館・民宿,
岩手トヨタ自動車株式会社,029-4102,岩手県,西磐井郡平泉町,平泉字正法1-5,0191-46-2246,N.A.,http://toyota-dealers.jp/,その他サービス,
有限会社翁知屋,029-4102,岩手県,西磐井郡平泉町,平泉字衣関1-7,0191-46-2306,0191-46-2315,https://www.ochiya.jp/,製造・加工（その他）,
毛越寺,029-4102,岩手県,西磐井郡平泉町,平泉字大沢58,0191-46-2331,0191-46-4184,http://www.motsuji.or.jp/,宗教,
花みずき,029-4102,岩手県,西磐井郡平泉町,平泉字花立13-1,0191-46-2348,0191-46-2117,http://hanamizuki-hiraizumi.jp/,レストラン,
特殊資源砿業株式会社,029-4102,岩手県,西磐井郡平泉町,平泉字善阿弥82-5,0191-46-2562,0191-46-2532,http://www.mineking.jp/,製造・加工（医療・薬関連）,
夢乃風,029-4102,岩手県,西磐井郡平泉町,平泉字花立11-2,0191-46-2641,0191-46-2861,http://www.dream-wind.info/,食料品,
株式会社北都高速運輸倉庫,029-4102,岩手県,西磐井郡平泉町,平泉字佐野原32-4,0191-34-2666,076-238-0515,http://hokuto1.jp/,運送・貨物・倉庫,
高橋幸喜建築設計事務所,029-4102,岩手県,西磐井郡平泉町,平泉字樋渡12-4,0191-46-2716,0191-46-2746,http://www.t-koumu.jp/,リフォーム,
くるまや,029-4101,岩手県,西磐井郡平泉町,長島字生江田91,0191-34-2777,0191-34-2778,http://www.kurumayaramen.co.jp/,自動車販売,
有限会社千葉恵製菓,029-4102,岩手県,西磐井郡平泉町,平泉字佐野原59-3,0191-46-2791,0191-46-4110,http://chibakei.co.jp/,食料品,
ほっかほっか亭平泉店,029-4102,岩手県,西磐井郡平泉町,平泉字衣関1-5,0191-34-2800,N.A.,http://www.hhtmj.com/,弁当・宅配,
株式会社東北銀行／平泉支店,029-4102,岩手県,西磐井郡平泉町,平泉字志羅山136-3,0191-46-2923,N.A.,http://www.tohoku-bank.co.jp/,金融・郵貯・貸金,
株式会社岩手銀行,N.A.,岩手県,西磐井郡平泉町,平泉字志羅山153番地1,0191-46-2941,N.A.,http://www.iwatebank.co.jp/,金融・郵貯・貸金,
東亜リース株式会社,029-4100,岩手県,西磐井郡平泉町,平泉字塩沢107番地1,0191-46-3222,0191-46-3227,http://www.toa-lease.com/,リース・レンタル,
義経堂,029-4102,岩手県,西磐井郡平泉町,平泉字柳御所14,0191-46-3300,N.A.,http://www.motsuji.or.jp/,宗教,
三光化成株式会社,029-4102,岩手県,西磐井郡平泉町,平泉字更ノ上111,0191-46-3301,0191-46-2020,http://www.sanko-kasei.co.jp/,製造・加工（化学・プラスチック）,
ネッツトヨタ岩手株式会社一関店／サービス部,029-4102,岩手県,西磐井郡平泉町,平泉字塩沢132-1,0191-46-3312,0191-46-3319,http://www.netz-i.co.jp/,自動車販売,
舞鶴荘,029-4102,岩手県,西磐井郡平泉町,平泉字志羅山123-1,0191-46-3375,0191-46-3786,http://www.ichinoseki-net.jp/,旅館・民宿,
有限会社平泉観光写真社,029-4102,岩手県,西磐井郡平泉町,平泉字坂下27-3,0191-46-3554,0191-46-3054,http://hiraizumiphoto.com/,写真・ビデオ・スライド,
平泉商工会,029-4102,岩手県,西磐井郡平泉町,平泉字志羅山152-2,0191-46-3560,0191-46-3568,http://www.shokokai.com/,組合・団体,
らら・いわて平泉店,029-4102,岩手県,西磐井郡平泉町,平泉字衣関39,0191-48-3637,0191-48-3627,http://www.iwatekensan.co.jp/,おみやげ,
株式会社湘南ブックセンター,029-4100,岩手県,西磐井郡平泉町,佐野字佐野36-5,0191-46-4096,N.A.,http://www.shonanbook.co.jp/,本,
平泉土地開発,029-4102,岩手県,西磐井郡平泉町,平泉字樋渡12-4,0191-46-4123,0191-46-2746,http://www.t-koumu.jp/,不動産,
川嶋印刷株式会社,029-4102,岩手県,西磐井郡平泉町,平泉字佐野原21,0191-46-4161,0191-46-4165,http://www.kpc.co.jp/,印刷・出版,
有限会社平泉観光写真社／カラー現像所,029-4102,岩手県,西磐井郡平泉町,平泉字坂下9,0191-46-4214,0191-46-3054,http://hiraizumiphoto.com/,写真・ビデオ・スライド,
有限会社チバインテリア,029-4102,岩手県,西磐井郡平泉町,平泉佐野原134-3,0191-46-4234,0191-46-4888,http://www.interior-c.com/,総合・職別工事業,
トヨタカローラ南岩手株式会社平泉店,029-4102,岩手県,西磐井郡平泉町,平泉字高田101-1,0191-46-4330,0191-46-4332,http://www.iwate373.com/,車検・整備・修理,
セブンイレブン／平泉バイパス店,029-4102,岩手県,西磐井郡平泉町,平泉字三日町102-1,0191-46-4707,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
公文式ひらいずみ教室,029-4102,岩手県,西磐井郡平泉町,平泉字志羅山77-21,0191-46-4774,N.A.,http://www.kumon.ne.jp/,塾・予備校,
シーエステート,029-4102,岩手県,西磐井郡平泉町,平泉字高田前90-3,0191-46-4788,0191-46-4329,http://www.c-estate.jp/,不動産,
小野寺設計室,029-4102,岩手県,西磐井郡平泉町,平泉字倉町42-2,0191-46-4885,0191-46-4885,http://www.kura42.com/,リフォーム,
大森工業株式会社,N.A.,岩手県,西磐井郡平泉町,平泉字塩沢125-1,0191-46-4915,0191-46-4910,http://www.oomori-k.co.jp/,建設業・工務店,
達谷西光寺,029-4102,岩手県,西磐井郡平泉町,平泉字北沢16,0191-46-4931,0191-46-4931,http://www.iwayabetto.com/,宗教,
株式会社岩手日日新聞社平泉支局,029-4102,岩手県,西磐井郡平泉町,平泉字志羅山8-13,0191-46-5104,N.A.,http://www.iwanichi.co.jp/,映画・放送・新聞,
暖欒工房CHIJO,029-4102,岩手県,西磐井郡平泉町,平泉字新井田45-5,0191-46-5115,0191-46-2337,http://www.stove-chijo.com/,製造・加工（工作機械・一般機械器具）,
日産チェリー岩手販売株式会社一関店,029-4102,岩手県,西磐井郡平泉町,平泉字宿10-1,0191-46-5137,0191-46-5139,http://www.nissan.co.jp/,車検・整備・修理,
和田商店,029-4101,岩手県,西磐井郡平泉町,長島山王106,0191-46-5144,0191-46-3609,http://contrabass.ftw.jp/,酒・飲料品,
芭蕉館,029-4102,岩手県,西磐井郡平泉町,平泉字鈴沢3-1,0191-46-5155,0191-46-5176,http://www.bashokan.co.jp/,そば・うどん,
株式会社岩城ピーシー,029-4102,岩手県,西磐井郡平泉町,平泉字上野台280-4,0191-46-5296,0191-34-1035,http://iwakipc.1seki.com/,総合・職別工事業,
株式会社ヰセキ東北,N.A.,岩手県,西磐井郡平泉町,平泉宿8-1,0191-46-5308,0191-46-2586,http://www.iseki-touhoku.co.jp/,製造・加工（工作機械・一般機械器具）,
株式会社ほくとう,029-4102,岩手県,西磐井郡平泉町,平泉字樋渡13-4,0191-46-5500,0191-46-5501,http://www.hokutoh.com/,リース・レンタル,
駅前芭蕉館,029-4102,岩手県,西磐井郡平泉町,平泉字泉屋82,0191-46-5555,0191-46-5550,http://www.wankosoba.com/,レストラン,
株式会社新東,029-4102,岩手県,西磐井郡平泉町,平泉字祇園161番地1,0191-46-5577,0191-46-5310,http://www.shinto.co.jp/,製造・加工（電子・精密機械器具）,
高齢者総合相談センターひらいずみ,029-4102,岩手県,西磐井郡平泉町,平泉字志羅山12-6,0191-46-5653,0191-46-5654,http://www8.plala.or.jp/,介護・福祉,
デイリーヤマザキ平泉店,029-4102,岩手県,西磐井郡平泉町,平泉字宿94-1,0191-46-5666,N.A.,http://www.daily-yamazaki.jp/,コンビニ・スーパー・デパート,
なのはな整体院,029-4102,岩手県,西磐井郡平泉町,平泉字志羅山8-9,0191-46-5757,0191-46-5757,http://nanohanachiro.web.fc2.com/,整体等各種療術,
