▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
西出興業株式会社プロパン,079-1143,北海道,赤平市,字赤平533,0125-32-0011,0125-32-6060,http://24de.jp/,水道・ガス・電力,
丸宮建材株式会社,079-1151,北海道,赤平市,宮下町3-1,0125-32-0104,0125-32-3520,http://marumiya-kenzai.com/,リフォーム,
みなみケアセンター,079-1155,北海道,赤平市,昭和町3丁目37-3,0125-32-0217,0125-32-0218,http://www9.plala.or.jp/,介護・福祉,
株式会社いたがき,079-1102,北海道,赤平市,幌岡町113番地,0125-32-0525,0125-33-7737,http://www.itagaki.co.jp/,洋服,
赤平市社会福祉協議会,079-1142,北海道,赤平市,東大町3丁目4,0125-32-1015,0125-32-1025,http://www.akabira-shakyo.hs.plala.or.jp/,組合・団体,
株式会社ニッショウ・プレカット,079-1143,北海道,赤平市,字赤平581,0125-32-1236,0125-32-2333,http://www.nissyoprecut.jp/,製造・加工（木製品・紙・パルプ関連）,
コープさっぽろ／あかびら店,079-1141,北海道,赤平市,大町3丁目1-1,0125-32-1501,0125-32-1502,https://www.sapporo.coop/,コンビニ・スーパー・デパート,
つぼ八赤平店,079-1135,北海道,赤平市,錦町2丁目4-5,0125-32-1697,0125-32-3159,http://www.tsubohachi.co.jp/,レストラン,
赤平市役所／建設課／住宅係,079-1134,北海道,赤平市,泉町4丁目1-1,0125-32-1820,N.A.,http://www.city.akabira.hokkaido.jp/,市区町村機関,
赤平市役所／建設課／土木係,079-1134,北海道,赤平市,泉町4丁目1-1,0125-32-1821,0125-32-5033,http://www.city.akabira.hokkaido.jp/,市区町村機関,
赤平市役所／商工労政観光課,079-1134,北海道,赤平市,泉町4丁目1-1,0125-32-1841,0125-32-5033,http://www.city.akabira.hokkaido.jp/,市区町村機関,
赤平市役所／建設課／建築係,079-1134,北海道,赤平市,泉町4丁目1-1,0125-32-1844,0125-32-0045,http://www.city.akabira.hokkaido.jp/,市区町村機関,
老人保健施設博寿苑,079-1281,北海道,赤平市,平岸新光町2丁目4,0125-37-2001,0125-38-8382,http://www.hakuyukai.or.jp/,介護・福祉,
JR北海道赤平駅,079-1134,北海道,赤平市,泉町1丁目1,0125-32-2017,0125-32-2017,http://www.jrhokkaido.co.jp/,交通機関,
有限会社赤平太田葬儀社,079-1141,北海道,赤平市,大町1-3-9,0125-32-2042,0125-32-2379,http://www.e-sogi.com/,その他サービス,
豊里小学校,079-1153,北海道,赤平市,豊栄町5丁目18,0125-32-2079,0125-32-2079,http://www.city.akabira.hokkaido.jp/,小・中・高・大学等,
株式会社空知ウッドテープ,079-1283,北海道,赤平市,平岸東町2-19,0125-37-2101,N.A.,http://www.sorachitanpan.com/,製造・加工（木製品・紙・パルプ関連）,
北海道銀行赤平支店,079-1143,北海道,赤平市,字赤平563-4,0125-32-2111,N.A.,http://www.hokkaidobank.co.jp/,金融・郵貯・貸金,
空知単板工業株式会社／第二工場,079-1281,北海道,赤平市,平岸新光町1丁目7,0125-37-2121,0125-38-8038,http://www.sorachitanpan.com/,販売・卸（建設資材）,
北海道赤平高等学校,079-1121,北海道,赤平市,北文京町1丁目2-7,0125-32-2141,0125-32-2141,http://best.kakyo.info/,小・中・高・大学等,
社団法人赤平市身体障害者福祉協会,079-1135,北海道,赤平市,錦町3丁目3-11,0125-32-2152,011-251-0858,http://www.hokusinkyo.or.jp/,組合・団体,
武藤工業株式会社,079-1102,北海道,赤平市,幌岡町51-1,0125-32-2161,0125-32-2162,http://www14.plala.or.jp/,家具・インテリア,
エルム高原オートキャンプ場,079-1102,北海道,赤平市,幌岡町392-1,0125-34-2164,0125-34-2166,http://www.akabira.net/,キャンプ,
赤平市役所／ケビン村・虹の山荘,079-1102,北海道,赤平市,幌岡町377-1,0125-34-2177,0125-32-7611,http://www.akabira.net/,市区町村機関,
赤平市役所／総務課,079-1134,北海道,赤平市,泉町4丁目1-1,0125-32-2211,0125-32-5033,http://www.city.akabira.hokkaido.jp/,市区町村機関,
赤平市役所／企画財政課／財政係,079-1134,北海道,赤平市,泉町4丁目1-1,0125-32-2212,N.A.,http://www.city.akabira.hokkaido.jp/,市区町村機関,
赤平市役所／社会福祉課,079-1134,北海道,赤平市,泉町4丁目1-1,0125-32-2216,0125-32-5033,http://www.city.akabira.hokkaido.jp/,市区町村機関,
