▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
ベルヴィギャザホール,343-0805,埼玉県,越谷市,神明町2丁目170,048-977-0000,048-975-2200,http://www.gazahall.com/,映画・劇場・会館,
auショップ新越谷店,343-0851,埼玉県,越谷市,七左町2丁目15-1,048-990-0001,N.A.,https://www.au.com/,電話・通信,
アイメガネ越谷大里店コンタクトレンズセンター,343-0031,埼玉県,越谷市,大字大里138-1,048-970-0001,048-973-1427,http://www.aimegane.com/,生活用品,
アイメガネ東越谷店コンタクトレンズセンター,343-0023,埼玉県,越谷市,東越谷6丁目13,048-965-0001,048-960-5013,http://www.aimegane.com/,生活用品,
吉野電化工業株式会社,343-0024,埼玉県,越谷市,越ケ谷2849,048-969-0001,048-962-2111,http://www.yoshinodenka.com/,製造・加工（鉄鋼製品）,
ドコモショップ越谷店,343-0023,埼玉県,越谷市,東越谷6丁目13-1,048-965-0002,N.A.,http://www.docomoshop-koshigaya.jp/,電話・通信,
ドコモショップ南越谷店,343-0851,埼玉県,越谷市,七左町2丁目15-1,048-990-0002,N.A.,http://www.docomoshop-minamikoshigaya.jp/,電話・通信,
越谷市医師会立訪問看護ステーション,343-0011,埼玉県,越谷市,増林3丁目2-2,048-967-0005,048-992-6610,http://www.koshigaya-med.or.jp/,介護・福祉,
南越谷内科クリニック,343-0845,埼玉県,越谷市,南越谷1丁目6-62,048-989-0006,048-989-0019,http://www.myclinic.ne.jp/,小児科系,
アニメイト南越谷,343-0845,埼玉県,越谷市,南越谷1丁目15-1,048-990-0008,N.A.,http://www.animate.co.jp/,おもちゃ・キャラクタ,
中嶋自動車工業株式会社,N.A.,埼玉県,越谷市,神明町2-140,048-965-0008,N.A.,http://www.nac-town.co.jp/,その他サービス,
ステージクラブ・トレビアン,343-0845,埼玉県,越谷市,南越谷4丁目8-3,048-987-0010,N.A.,http://tresbien.jp/,飲み屋,
社団法人越谷市歯科医師会,343-0022,埼玉県,越谷市,東大沢1丁目12-1,048-978-0011,N.A.,http://www.yoiha.or.jp/,組合・団体,
東埼玉自動車教習所,343-0045,埼玉県,越谷市,大字下間久里174-1,048-977-0011,048-977-0013,http://taihei-g.co.jp/,資格,
株式会社西村鐵工所,343-0855,埼玉県,越谷市,大字西新井627-1,048-966-0020,048-964-4551,http://www.nishimura-bolt.com/,製造・加工（工作機械・一般機械器具）,
センチュリー21マルヨシ,343-0025,埼玉県,越谷市,大沢3丁目19-11,048-970-0021,048-970-0031,http://0021.to/,不動産・賃貸,
センチュリー21丸吉住宅センター,343-0042,埼玉県,越谷市,千間台東1丁目1-12,048-977-0021,048-977-0020,http://www.maruyoshi-j.com/,不動産,
クラブツーリズムカフェせんげん台店,343-0042,埼玉県,越谷市,千間台東2丁目707,048-970-0022,048-970-0033,http://www.club-t.com/,旅行業・代理店,
クリーンシステム株式会社,343-0822,埼玉県,越谷市,西方2-9-9,048-965-0022,048-965-0022,http://www.i-ll-group.co.jp/,その他サービス,
アイル・コーポレーション株式会社,343-0015,埼玉県,越谷市,西方2-9-9,048-965-0023,048-965-0022,http://www.i-ll-group.co.jp/,ビルメンテナンス,
越谷駅東口再開発準備組合,343-0816,埼玉県,越谷市,弥生町16-1,048-964-0030,048-964-0090,http://koshigaya-twincity.com/,組合・団体,
株式会社三和建物,343-0816,埼玉県,越谷市,弥生町16-1,048-966-0030,048-965-8085,http://www.sanwa-tatemono.com/,不動産,
株式会社保険見直し本舗セブンタウンせんげん台店,343-0042,埼玉県,越谷市,千間台東2丁目707,048-973-0033,048-975-5353,http://www.hokepon.com/,証券・保険・商品先物,
慶和病院,343-0041,埼玉県,越谷市,千間台西2丁目12-8,048-978-0033,048-977-4158,http://www.keiwa-hospital.com/,医院・診療所・療養所,
画廊ルルド,343-0041,埼玉県,越谷市,千間台西1丁目8-10,048-978-0036,048-978-0036,http://www.aa-net.co.jp/,美術・工芸,
セブンイレブン／新越谷駅前通り店,343-0845,埼玉県,越谷市,南越谷1丁目19-7,048-989-0038,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
ビジネスホテル雷鳥,343-0816,埼玉県,越谷市,弥生町3-36,048-965-0039,048-965-0036,http://www.raicho.net/,ホテル・ペンション,
東冠メモリアル／プラザ越谷,343-0845,埼玉県,越谷市,南越谷2丁目5-6,048-969-0044,048-969-0009,http://www.tokansousai.co.jp/,葬儀,
東冠メモリアル／蒲生,343-0836,埼玉県,越谷市,蒲生寿町4-15,048-987-0044,048-987-0099,http://www.tokangroup.co.jp/,葬儀,
東冠メモリアルせんげん台駅前,343-0041,埼玉県,越谷市,千間台西1丁目3-1,048-974-0044,048-974-0199,http://www.tokansousai.co.jp/,葬儀,
染谷木工株式会社,343-0002,埼玉県,越谷市,大字平方185,048-974-0046,048-974-0049,http://www.someyamokkou.jp/,家具・インテリア,
東京靴流通センターせんげん台店,343-0042,埼玉県,越谷市,千間台東2丁目6-8,048-973-0051,N.A.,http://www.chiyodagrp.co.jp/,靴・かばん・小物,
筑波進研スクール／越谷教室,343-0808,埼玉県,越谷市,赤山本町14-6,048-962-0056,N.A.,http://www.tsukuba-shinken.com/,塾・予備校,
ビストロ北越谷店,343-0022,埼玉県,越谷市,東大沢5丁目16-5,048-965-0062,N.A.,http://www.bistroda.com/,喫茶店・カフェ,
株式会社炭八,343-0804,埼玉県,越谷市,南荻島1749,048-978-0063,N.A.,http://www.saitama-design-planning.com/,リフォーム,
株式会社スズキペイント,343-0032,埼玉県,越谷市,大字袋山1865-1,048-973-0065,048-973-0083,http://suzuki-paint.com/,建材,
株式会社ジェイ・プラン,343-0042,埼玉県,越谷市,千間台東1丁目11-15,048-978-0066,048-978-0062,http://www.jayplan.co.jp/,リフォーム,
株式会社メガネ工房,N.A.,埼玉県,越谷市,袋山1403-1,048-979-0068,N.A.,http://megane-square.com/,製造・加工（電子・精密機械器具）,
東京木材市場株式会社／東木越谷センター,343-0844,埼玉県,越谷市,大間野町1丁目130,048-988-0069,048-988-0069,http://www.tomoku-ichiba.co.jp/,販売・卸（建設資材）,
株式会社エイブル／新越谷駅前店,343-0845,埼玉県,越谷市,南越谷1丁目11-8,048-987-0071,048-987-0177,http://shop.able.co.jp/,不動産,
質ハラダ,343-0841,埼玉県,越谷市,蒲生東町16-29,048-985-0071,N.A.,http://www.7harada.jp/,中古品売買,
サンクス浦越バイパス店,343-0804,埼玉県,越谷市,大字南荻島1135-1,048-970-0077,N.A.,http://www.circleksunkus.jp/,コンビニ・スーパー・デパート,
株式会社池田屋質店,343-0836,埼玉県,越谷市,蒲生寿町13-45,048-987-0078,048-987-0079,http://www.ikedaya78.jp/,中古品売買,
有限会社オオタニハウジング,N.A.,埼玉県,越谷市,千間台西3丁目1-30,048-973-0080,048-973-0081,http://www.ot-ootani.com/,不動産,
くいしんぼう,343-0805,埼玉県,越谷市,神明町2丁目231-1,048-971-0082,03-5458-3705,http://www.kuishinbo.jp/,肉料理,
パレットプラザ東急ストア北越谷店,343-0025,埼玉県,越谷市,大沢3丁目6-1,048-971-0084,N.A.,http://www.80210.com/,写真・ビデオ・スライド,
デイホーム喜左衛門,343-0823,埼玉県,越谷市,相模町6丁目442-28,048-985-0086,048-985-0086,http://www.koshigaya-syakyo.com/,介護・福祉,
備長扇屋北越谷駅前店,343-0026,埼玉県,越谷市,北越谷4丁目21-5,048-970-0088,N.A.,http://www.via-hd.co.jp/,肉料理,
北越谷スキンケアクリニック,343-0026,埼玉県,越谷市,北越谷2丁目18-7-101,048-971-0088,048-971-2999,http://www.photo-skincare.com/,外科系,
建デポプロ越谷店,343-0047,埼玉県,越谷市,大字弥十郎125-1,048-973-0091,N.A.,http://www.kendepot-pro.jp/,製造・加工（建築資材）,
ローソンストア100北越谷店,343-0026,埼玉県,越谷市,北越谷4丁目21-7,048-970-0099,N.A.,http://www.lawson.co.jp/,コンビニ・スーパー・デパート,
あおぞら整骨院,343-0042,埼玉県,越谷市,千間台東1丁目15-5,048-973-0100,048-973-0100,http://www.aozora-seikotsuin.net/,整体等各種療術,
株式会社トヨタレンタリース埼玉越谷店,343-0816,埼玉県,越谷市,弥生町6-3,048-965-0100,048-966-7540,http://saitama.rl-toyota.co.jp/,リース・レンタル,
株式会社トヨタレンタリース新埼玉／せんげん台駅前店,343-0042,埼玉県,越谷市,千間台東1丁目1-11,048-978-0100,048-978-0102,http://www.toyota-rlss.co.jp/,リース・レンタル,
株式会社トヨタレンタリース新埼玉／北越谷駅前店,343-0025,埼玉県,越谷市,大沢3丁目10-46,048-972-0100,048-972-0109,http://www.toyota-rlss.co.jp/,リース・レンタル,
都市再生機構（独立行政法人）／埼玉地域支社／埼玉東部開発事務所,343-0822,埼玉県,越谷市,西方1丁目3340-1,048-967-0100,N.A.,http://www.ur-net.go.jp/,公庫・公社・事業団,
越谷市消防本部,343-0025,埼玉県,越谷市,大沢2丁目10-15,048-974-0101,N.A.,http://www.city.koshigaya.saitama.jp/,消防・警察,
有限会社鶴丸商事,343-0025,埼玉県,越谷市,大沢3-10-43ワールドマンション越谷802,048-976-0101,N.A.,http://tsurumaru-logistics.com/,運送・貨物・倉庫,
成田歯科医院,343-0814,埼玉県,越谷市,東柳田町9-17,048-964-0102,N.A.,http://www.narita-shika.com/,歯科系,
美容室フォルムヘアー,343-0845,埼玉県,越谷市,南越谷4丁目19-31,048-987-0102,N.A.,http://www.ensen-ado.com/,美容院・理容店・毛髪業,
アトミハウス,343-0025,埼玉県,越谷市,大沢3丁目19-11,048-971-0103,048-978-6617,http://atomihouse.co.jp/,不動産,
オンサイト株式会社,343-0026,埼玉県,越谷市,北越谷4丁目23-5,048-940-0105,03-5511-6600,http://www.onsight-japan.com/,販売・卸（建設資材）,
株式会社トヨタレンタリース新埼玉,343-0025,埼玉県,越谷市,大沢3-10-46,048-972-0105,048-972-0109,http://toyota-rlss.co.jp/,リース・レンタル,
マツモトキヨシ越谷大袋店,343-0035,埼玉県,越谷市,大字大道715,048-970-0110,N.A.,https://www.matsukiyo.co.jp/store/online,薬,
アピカ協販株式会社,343-0025,埼玉県,越谷市,大沢3174,048-963-0111,048-963-1191,http://www.apica.co.jp/,販売・卸（日用品）,
フォルクスワーゲン越谷,343-0044,埼玉県,越谷市,大字大泊435-1,048-974-0111,048-974-0002,https://www.vw-dealer.jp/top.do?dlr=vw_koshigaya,自動車販売,
ポラス株式会社,343-0808,埼玉県,越谷市,赤山本町2-14trビル1F,048-969-0111,N.A.,http://www.polus.co.jp/,士業・コンサルタント,
株式会社東武園芸,N.A.,埼玉県,越谷市,谷中町二丁目105番地,048-965-0111,048-964-3046,http://www.tobu-engei.com/,建設業・工務店,
日本エレベーター製造株式会社,343-0844,埼玉県,越谷市,大間野町1丁目7,048-987-0111,048-987-6338,http://www.nichiele.co.jp/,製造・加工（装置・設備）,
マツモトキヨシ／越谷東大沢店,343-0022,埼玉県,越谷市,東大沢5丁目8-10,048-964-0115,N.A.,https://www.matsukiyo.co.jp/store/online,薬,
