▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
有限会社とんたろう,989-4203,宮城県,遠田郡美里町,練牛字六号12,0229-58-0092,0229-58-0592,http://www.misato-f.co.jp/,製造・加工（食料品）,
三和工業株式会社,989-4203,宮城県,遠田郡美里町,練牛字二十六号36,0229-58-0214,0229-58-0244,http://www.sanwa-kg.com/,製造・加工（金属製品）,
遠田商工会／南郷事業所,989-4205,宮城県,遠田郡美里町,木間塚字夫婦沼東25,0229-58-0314,0229-58-2151,http://www.tooda.miyagi-fsci.or.jp/,組合・団体,
横山商店,989-4206,宮城県,遠田郡美里町,二郷字佐野四号905-1,0229-58-0772,N.A.,http://4580syo10.on.omisenomikata.jp/,食料品,
社会福祉法人南郷福祉会／なんごう在宅介護支援センター,989-4205,宮城県,遠田郡美里町,木間塚字原田7,0229-58-0990,0229-58-0998,http://inahonosato.com/,介護・福祉,
いなほの里,989-4205,宮城県,遠田郡美里町,木間塚字原田7,0229-58-0996,0229-58-0998,http://inahonosato.com/,介護・福祉,
社会福祉法人南郷福祉会／なんごうデイサービスセンター,989-4205,宮城県,遠田郡美里町,木間塚字原田7,0229-58-0997,0229-58-0998,http://inahonosato.com/,介護・福祉,
株式会社東北テレコム南郷工場,989-4206,宮城県,遠田郡美里町,二郷字清右衛門3-1,0229-59-1000,0229-59-1005,http://www.tel-ktt.co.jp/,電話・通信,
かみ寺不動尊・松景院,987-0024,宮城県,遠田郡美里町,中埣字町80,0229-34-1010,0229-34-1007,http://www.acala.jp/,宗教,
株式会社エーコープ宮城,987-0012,宮城県,遠田郡美里町,字素山町12-9,0229-31-1077,N.A.,http://www.acoop-miyagi.jp/,コンビニ・スーパー・デパート,
コメリハード&グリーン小牛田店,987-0005,宮城県,遠田郡美里町,北浦字北田18,0229-31-1112,N.A.,http://www.komeri.bit.or.jp/,生活用品,
石川俊雄,989-4204,宮城県,遠田郡美里町,大柳字高出10,0229-58-1114,0229-58-1113,http://www.nangou.com/,印刷・出版,
ドラッグストアポピー小牛田店,987-0005,宮城県,遠田郡美里町,北浦字新苗代下9,0229-34-1122,0229-34-1129,http://ds-popy.jp/,薬,
宮城県南郷高等学校,989-4204,宮城県,遠田郡美里町,大柳字天神原7,0229-58-1122,0229-58-1123,https://nango-h.myswan.ed.jp/,小・中・高・大学等,
