▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
雷電神社,374-0132,群馬県,邑楽郡板倉町,大字板倉2334,0276-82-0007,0276-82-4268,http://www.raiden.or.jp/,宗教,
有限会社原田製麺,374-0132,群馬県,邑楽郡板倉町,板倉1640,0276-82-0063,N.A.,http://www.haradaseimen.biz-web.jp/,製造・加工（食料品）,
林精鋼株式会社,374-0133,群馬県,邑楽郡板倉町,大字岩田2415-1,0276-82-0118,N.A.,http://www.hsk-web.jp/,製造・加工（鉄鋼製品）,
高鳥天満宮,374-0122,群馬県,邑楽郡板倉町,大字大高嶋1665,0276-82-0122,0276-73-7858,http://tenjin.ohuda.com/,宗教,
株式会社石川工務店,374-0132,群馬県,邑楽郡板倉町,板倉2796,0276-82-0187,0276-82-0610,https://ishikawa-k.jp/,総合・職別工事業,
板倉町商工会,374-0132,群馬県,邑楽郡板倉町,大字板倉1691-1,0276-82-0224,0276-82-1247,http://itakura-s.jp/,組合・団体,
増田建設,374-0133,群馬県,邑楽郡板倉町,岩田1758-3,0276-82-0228,0276-82-0228,http://masuda-k.jp/,リフォーム,
ベーカリー長安,374-0133,群馬県,邑楽郡板倉町,大字岩田1333,0276-82-0368,N.A.,http://cc9.easymyweb.jp/,製造・加工（食料品）,
おぎの屋,374-0133,群馬県,邑楽郡板倉町,大字岩田1912-5,0276-82-0395,0276-82-0395,http://www.oginoya.jp/,食料品,
有限会社岡田瓦店,N.A.,群馬県,邑楽郡板倉町,大字下五箇47番地,0276-82-0406,0276-82-0913,http://k3-okada.com/,建設業・工務店,
有限会社岡田瓦店,374-0121,群馬県,邑楽郡板倉町,下五箇47,0276-82-0407,N.A.,http://k3-okada.com/,リフォーム,
邑楽館林農業協同組合／板倉西給油所,374-0133,群馬県,邑楽郡板倉町,大字岩田1003,0276-82-0465,0276-82-0465,http://www.ja-ouratatebayashi.or.jp/,ガソリンスタンド,
郵便局株式会社,374-0111,群馬県,邑楽郡板倉町,海老瀬8480,0276-82-0515,N.A.,http://map.japanpost.jp/,その他サービス,
さくら整骨院,374-0106,群馬県,邑楽郡板倉町,大字西岡新田163-2,0276-77-0540,0276-82-0857,http://www9.plala.or.jp/,整体等各種療術,
山栄食品,374-0111,群馬県,邑楽郡板倉町,大字海老瀬5852,0276-82-0559,0586-87-7510,http://www.yamaei.co.jp/,製造・加工（食料品）,
実相寺,374-0132,群馬県,邑楽郡板倉町,大字板倉1678,0276-82-0560,0276-82-0560,http://www.jissoji.com/,宗教,
群馬県警察本部／館林警察署／西岡駐在所,374-0107,群馬県,邑楽郡板倉町,大字西岡407,0276-77-0626,027-223-7950,http://www.pref.gunma.jp/,消防・警察,
長谷川香料株式会社／板倉工場,374-0131,群馬県,邑楽郡板倉町,大字大蔵10-3,0276-82-0661,03-3241-2835,http://www.t-hasegawa.co.jp/,製造・加工（化学・プラスチック）,
有限会社宇治川石材,374-0103,群馬県,邑楽郡板倉町,大字細谷790,0276-77-0673,0276-77-2191,http://www.ujigawasekizai.com/,販売・卸（その他）,
板倉町役場,374-0132,群馬県,邑楽郡板倉町,大字板倉2067,0276-82-1111,0276-82-1300,http://www.town.itakura.gunma.jp/,市区町村機関,
群馬銀行／板倉支店,374-0132,群馬県,邑楽郡板倉町,大字板倉1686-1,0276-82-1121,N.A.,http://www.gunmabank.co.jp/,金融・郵貯・貸金,
邑楽館林農業協同組合／板倉農機センター,374-0132,群馬県,邑楽郡板倉町,大字板倉3415,0276-82-1171,0276-82-4431,http://www.ja-ouratatebayashi.or.jp/,組合・団体,
有限会社野口不動産,374-0112,群馬県,邑楽郡板倉町,朝日野1-14-5,0276-82-1185,0276-82-1454,http://noguchif.com/,不動産,
邑楽館林農業協同組合／板倉西支所,374-0133,群馬県,邑楽郡板倉町,大字岩田1003,0276-82-1253,0276-82-4188,http://www.ja-ouratatebayashi.or.jp/,組合・団体,
群馬県立板倉高等学校,374-0132,群馬県,邑楽郡板倉町,大字板倉2406-2,0276-82-1258,0276-82-4341,http://www.itakura-hs.gsn.ed.jp/,小・中・高・大学等,
ゾーンケミカル株式会社,374-0111,群馬県,邑楽郡板倉町,海老瀬2082-1,0276-82-1278,0276-82-1279,http://park21.wakwak.com/,販売・卸（その他）,
邑楽館林農業協同組合／板倉野菜集荷センター,374-0133,群馬県,邑楽郡板倉町,大字岩田1003,0276-82-1281,0276-82-4414,http://www.ja-ouratatebayashi.or.jp/,組合・団体,
アイ・アカデミー／板倉学習塾,374-0133,群馬県,邑楽郡板倉町,大字岩田967-7,0276-82-1515,0276-86-5313,http://www.aiacademy.com/,塾・予備校,
群馬県警察本部／館林警察署／朝日野交番,374-0112,群馬県,邑楽郡板倉町,朝日野1丁目5-6,0276-82-1586,N.A.,http://www.police.pref.gunma.jp/,消防・警察,
