▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社グルービー,319-1116,茨城県,那珂郡東海村,舟石川駅西4-10-6,029-306-0001,029-306-0006,http://www.pasta-groovy.co.jp/,レストラン,
新菱冷熱工業株式会社東海センター,319-1112,茨城県,那珂郡東海村,大字村松377-1,029-284-0001,029-284-0002,http://www.shinryo.com/,空調,
中央進学会／東海校,319-1116,茨城県,那珂郡東海村,舟石川駅西1丁目2-1,029-287-0009,029-306-1118,http://chuou-shingakukai.jp/,塾・予備校,
東海ロイヤルホテル／別館,319-1106,茨城県,那珂郡東海村,大字白方1752-36,029-287-0011,029-824-4119,http://www.tokai-royal-hotel.co.jp/,ホテル・ペンション,
茨城新聞／鈴木新聞店,319-1116,茨城県,那珂郡東海村,舟石川駅西1丁目5-22,029-282-0028,029-301-0362,http://ibarakinews.jp/top.php,映画・放送・新聞,
株式会社伊藤鋳造鉄工所,319-1112,茨城県,那珂郡東海村,大字村松3129-43,029-306-0030,029-306-0051,http://www.itofound.co.jp/,製造・加工（金属製品）,
株式会社伊藤鋳造鉄工所,319-1112,茨城県,那珂郡東海村,村松3129-43,0293-06-0030,0293-06-0051,http://www.itofound.co.jp/,製造・加工（金属製品）,
元気寿司／東海店,319-1111,茨城県,那珂郡東海村,大字舟石川577-1,029-306-0035,N.A.,http://g.genkisushi.jp/b/index,中華・中国料理,
有限会社お茶の国井屋,319-1108,茨城県,那珂郡東海村,村松北1丁目12-1,029-284-0038,N.A.,http://www.kuniiya.co.jp/,酒・飲料品,
デイリーヤマザキ東海村動燃通り店,319-1112,茨城県,那珂郡東海村,大字村松2602-1,029-287-0063,N.A.,http://www.daily-yamazaki.jp/,コンビニ・スーパー・デパート,
検査開発株式会社,N.A.,茨城県,那珂郡東海村,村松字平原3129-37,029-282-0066,029-282-2688,http://www.kensakaihatsu.co.jp/,ビルメンテナンス,
株式会社システムゼロワン,319-1118,茨城県,那珂郡東海村,舟石川駅東3丁目2-27,029-287-0088,0294-73-2424,http://www.system-01.com/,IT・情報通信,
株式会社ユーエム,319-1106,茨城県,那珂郡東海村,大字白方2064-2,029-287-0100,029-287-0390,http://www.yu-emu.co.jp/,販売・卸（工作機械・一般機械器具）,
日本原子力発電株式会社,319-1117,茨城県,那珂郡東海村,東海3-4-1,029-287-0111,N.A.,http://www.japc.co.jp/,水道・ガス・電力,
グルヌイユ,319-1108,茨城県,那珂郡東海村,村松北1丁目13-1,029-284-0127,029-282-8789,http://www.grenouille.jp/,レストラン,
城東進学会,319-1118,茨城県,那珂郡東海村,舟石川駅東2丁目23-8,029-284-0154,029-284-0154,http://www.joto-juku.com/,塾・予備校,
有限会社ムラマツ,319-1112,茨城県,那珂郡東海村,村松1292-3,029-306-0170,N.A.,http://dentalmuramatsu.web.fc2.com/,その他サービス,
合格道場,319-1118,茨城県,那珂郡東海村,舟石川駅東1丁目18-21,029-229-0183,N.A.,http://goukaku-dojo.com/,塾・予備校,
環境保全事業株式会社,319-1114,茨城県,那珂郡東海村,須和間部原1194-10,029-284-0192,029-284-0019,http://www.kankyouhozen.jp/,建設業・工務店,
香陵住販株式会社東海店,319-1116,茨城県,那珂郡東海村,舟石川駅西2丁目6-11,029-306-0200,029-306-0203,http://www.koryo-j.co.jp/,不動産,
東海村社会福祉協議会／福祉後見サポートセンター,319-1112,茨城県,那珂郡東海村,大字村松2005,029-283-0205,029-283-4535,http://www.t-shakyo.or.jp/,市区町村機関,
あくつ酒店,319-1115,茨城県,那珂郡東海村,大字船場290,029-284-0221,029-282-0770,http://www.baryu.com/,酒・飲料品,
積水メディカル株式会社薬物動態研究所,319-1112,茨城県,那珂郡東海村,大字村松2117,029-282-0232,029-282-0182,http://www.sekisuimedical.jp/,製造・加工（化学・プラスチック）,
積水メディカル株式会社,319-1182,茨城県,那珂郡東海村,村松2117,029-282-0234,029-287-2030,http://www.sekisuimedical.jp/,製造・加工（医療・薬関連）,
東和インターナショナルサービス,319-1114,茨城県,那珂郡東海村,大字須和間640-169,029-284-0268,029-284-0271,http://www.towa-is.jp/,住まいのクリーニング,
株式会社巴商会,319-1111,茨城県,那珂郡東海村,字舟石川919-1,029-282-0275,029-282-1886,http://www.tomoeshokai.co.jp/,ガソリンスタンド,
トヨタカローラ新茨城株式会社東海店,319-1107,茨城県,那珂郡東海村,豊白1丁目3-30,029-306-0303,N.A.,https://www.corolla-si.com/index.php,自動車販売,
茨城県信用組合／東海支店,319-1116,茨城県,那珂郡東海村,舟石川駅西2丁目16-16,029-284-0321,029-282-2280,http://www.kenshinbank.co.jp/,金融・郵貯・貸金,
いばらき印刷株式会社本社,319-1112,茨城県,那珂郡東海村,大字村松3115-3,029-282-0370,029-224-5658,http://www.i-printing.co.jp/,印刷・出版,
株式会社グルービー／東海本店,319-1116,茨城県,那珂郡東海村,舟石川駅西4丁目10-6,029-283-0458,029-283-0459,http://www.pasta-groovy.co.jp/,イタリアン・フレンチ,
ねもと薬局,319-1111,茨城県,那珂郡東海村,大字舟石川587-2,029-287-0465,029-282-2730,http://www.nemoto-drug.com/,薬,
ベル・エポック東海店,319-1118,茨城県,那珂郡東海村,舟石川駅東4丁目1-1,029-287-0547,028-639-0947,http://www.bellepoc.com/,美容・コスメ,
アナザースペース,319-1116,茨城県,那珂郡東海村,舟石川駅西2丁目2-26,029-284-0550,029-284-0550,http://www.another-space.jp/,飲み屋,
進学塾EXE,319-1118,茨城県,那珂郡東海村,舟石川駅東4丁目8-9,029-284-0614,029-287-3568,http://www.exe-ac.jp/,塾・予備校,
株式会社照沼商事／東海シティ給油所,319-1106,茨城県,那珂郡東海村,大字白方239-1,029-284-0625,029-282-2944,http://www.terunumasyouji.com/,ガソリンスタンド,
株式会社クリハラント／東海作業所,319-1117,茨城県,那珂郡東海村,東海1丁目20-24,029-284-0630,029-283-2590,http://www.kurihalant.co.jp/,家電,
幸の実園,319-1102,茨城県,那珂郡東海村,大字石神内宿1213,029-282-0644,029-282-0433,http://www.aishinkai.jp/,介護・福祉,
うみえさ本舗釣侍,319-1105,茨城県,那珂郡東海村,大字豊岡419-3,029-287-0657,N.A.,http://www.turizamurai.com/app/,釣り,
東海村役場／総合体育館,319-1115,茨城県,那珂郡東海村,大字船場768,029-283-0673,029-287-1905,http://www.mito-kouiki.com/,市区町村機関,
株式会社照沼商事／本社,319-1101,茨城県,那珂郡東海村,大字石神外宿2531-3,029-284-0707,029-282-2944,http://www.terunumasyouji.com/,ガソリンスタンド,
茨城新聞／縣新聞店,319-1116,茨城県,那珂郡東海村,舟石川駅西2丁目12-1,029-282-0709,029-301-0362,http://ibarakinews.jp/top.php,映画・放送・新聞,
東成プランニング株式会社,319-1111,茨城県,那珂郡東海村,大字舟石川764-1,029-287-0727,029-282-1830,http://www.tousei-planning.com/,不動産,
株式会社シーエックスアール,319-1116,茨城県,那珂郡東海村,舟石川駅西3丁目1-3-202,029-287-0741,0823-24-4467,http://www.cxr.co.jp/,その他サービス,
パリの下町,319-1115,茨城県,那珂郡東海村,大字船場616-7,029-283-0771,N.A.,http://parishita.jimdo.com/,イタリアン・フレンチ,
株式会社アクティオ,319-1115,茨城県,那珂郡東海村,船場680-15,029-282-0788,029-282-0544,http://www.aktio.co.jp/,リース・レンタル,
モスバーガー東海村店,319-1116,茨城県,那珂郡東海村,舟石川駅西3丁目13-25,029-306-0806,N.A.,http://mos.jp/,ファーストフード,
林栄精器株式会社,319-1112,茨城県,那珂郡東海村,村松418-1イシガミビル2F,029-287-0818,029-287-7660,http://www.repic.co.jp/,製造・加工（電子・精密機械器具）,
フォルモント,319-1118,茨城県,那珂郡東海村,舟石川駅東1丁目7-6,029-282-0880,029-282-0880,http://www.east-house.jp/,ガーデニング,
VerveHairFoundation,319-1106,茨城県,那珂郡東海村,大字白方1749-31-101,029-229-0895,N.A.,http://verve-hair-foundation.net/,美容院・理容店・毛髪業,
サブリナ・フェア東海店,319-1108,茨城県,那珂郡東海村,村松北1丁目1-25,029-287-0911,0296-28-7923,http://www.sabrinafair.jp/,美容院・理容店・毛髪業,
株式会社NESI,319-1112,茨城県,那珂郡東海村,村松4-33,029-284-0990,029-283-2466,http://www.nesi.co.jp/,IT・情報通信,
橋本機工金物株式会社,319-1116,茨城県,那珂郡東海村,舟石川駅西2丁目15-21,029-282-1010,029-282-1149,http://www.spullenmarkt.com/,生活用品,
東海村社会福祉協議会／児童センター,319-1112,茨城県,那珂郡東海村,大字村松2005,029-306-1017,029-283-4535,http://www.t-shakyo.or.jp/,市区町村機関,
有限会社ライズアレンジメント三井住友海上火災保険代理店,319-1114,茨城県,那珂郡東海村,大字須和間174-11,029-306-1056,029-306-1057,http://www.dairitenhp.com/,証券・保険・商品先物,
三国屋建設株式会社,319-1112,茨城県,那珂郡東海村,大字村松3135-94,029-282-1078,0299-96-5098,https://www.mikuniya-web.jp/,総合・職別工事業,
日本原子力研究開発機構（独立行政法人）／東海研究開発センター原子力科学研究所／核燃料サイクル工学研究所,319-1112,茨城県,那珂郡東海村,大字村松4-33,029-282-1111,029-282-2321,http://www.jaea.go.jp/,公庫・公社・事業団,
日本原子力研究開発機構（独立行政法人）／本部,319-1112,茨城県,那珂郡東海村,大字村松4-49,029-282-1122,029-282-4934,http://www.jaea.go.jp/,公庫・公社・事業団,
ケンタッキー・フライド・チキン／ジャスコ東海店,319-1118,茨城県,那珂郡東海村,舟石川駅東4丁目1-1,029-306-1129,029-306-1130,https://www.kfc.co.jp/top.html,ファーストフード,
いずみ建設,319-1106,茨城県,那珂郡東海村,大字白方1752-36,029-282-1144,N.A.,http://www.tokai-royal-hotel.co.jp/,総合・職別工事業,
常陽産業株式会社,319-1112,茨城県,那珂郡東海村,村松1141-4,029-282-1145,029-282-8947,http://www.ascend.co.jp/,その他サービス,
株式会社佐藤精機,319-1112,茨城県,那珂郡東海村,大字村松3135-20,029-287-1147,029-287-1138,http://www.artkagaku.co.jp/,製造・加工（化学・プラスチック）,
リコッティ,319-1118,茨城県,那珂郡東海村,舟石川駅東3丁目1-1,029-306-1155,029-282-1166,http://www.jaea.go.jp/,博物館・美術館,
株式会社オーヌキ,319-1100,茨城県,那珂郡東海村,村松3115-14,029-282-1162,N.A.,http://www.onuki-wood.com/,製造・加工（その他）,
有限会社アイエスアイ,319-1116,茨城県,那珂郡東海村,舟石川駅西1丁目2-1,029-306-1175,029-306-1176,http://isi-mail.co.jp/,IT・情報通信,
日本原子力発電株式会社／東海・東海第二発電所,319-1106,茨城県,那珂郡東海村,大字白方1-1,029-282-1211,N.A.,http://www.japc.co.jp/,水道・ガス・電力,
