▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
郵便局株式会社,270-0213,千葉県,野田市,桐ケ作846-1,04-7196-0001,04-7196-4311,http://map.japanpost.jp/,その他サービス,
櫻木神社,N.A.,千葉県,野田市,桜台210,04-7121-0001,04-7121-0002,http://www.sakuragi.info/,宗教,
JAちば東葛／二川支店,N.A.,千葉県,野田市,柏寺296,04-7196-0003,04-7140-2216,http://www.ja-chibatoukatu.or.jp/,組合・団体,
トラットリアフルゴーレ,278-0004,千葉県,野田市,横内55-2,04-7125-0004,04-7125-0004,http://fulgore.info/,イタリアン・フレンチ,
野田市立／二川中学校,N.A.,千葉県,野田市,桐ケ作418,04-7196-0004,04-7196-4665,http://schit.net/,小・中・高・大学等,
かわま動物病院,N.A.,千葉県,野田市,岩名1丁目19-1,04-7127-0011,N.A.,http://www.pethospital.jp/,動物病院・獣医師,
ミントコンディション,278-0042,千葉県,野田市,吉春903-5,04-7170-0011,04-7170-0012,http://www.mint-condition.jp/,中古車・買取,
株式会社堀建設,N.A.,千葉県,野田市,宮崎126-4,04-7123-0015,04-7123-0016,http://www.horikensetsu.co.jp/,総合・職別工事業,
有限会社亀や石材店,N.A.,千葉県,野田市,山崎1396-9,04-7123-0017,04-7122-1109,http://www.kameya-sekizai.com/,その他サービス,
野田市役所／関宿クリーンセンター,N.A.,千葉県,野田市,古布内1940-1,04-7196-0022,N.A.,http://www.city.noda.chiba.jp/,市区町村機関,
びっくりドンキー野田店,N.A.,千葉県,野田市,堤根24-2,04-7120-0031,04-7120-0032,http://www.bikkuri-donkey.com/,レストラン,
有限会社ハートランド,278-0026,千葉県,野田市,花井194-1,04-7123-0038,04-7123-0037,http://0471230038.web.fc2.com/,酒・飲料品,
ドミノ・ピザ野田運河店,N.A.,千葉県,野田市,山崎2626-3,04-7125-0044,N.A.,http://www.dominos.jp/,弁当・宅配,
株式会社東海住宅建設／川間南口駅前店,270-0235,千葉県,野田市,尾崎837-55,04-7127-0050,04-7127-1192,http://www.osumai.co.jp/,不動産,
野田セントラルロータリークラブ,N.A.,千葉県,野田市,中野台168-1,04-7125-0061,04-7125-0055,http://noda-rc.com/,組合・団体,
ミスターパチンコ,N.A.,千葉県,野田市,蕃昌新田字こめかみ266-9,04-7129-0066,N.A.,http://www.p-world.co.jp/,観光・温泉・銭湯,
野田市立／二川小学校,N.A.,千葉県,野田市,桐ケ作464,04-7196-0074,04-7196-4871,http://noda.ed.jp/,小・中・高・大学等,
エバーペット野田店,N.A.,千葉県,野田市,七光台4-2,04-7127-0075,048-858-1011,http://www.ever-pet.com/,ペットショップ,
コメスタ野田市本店,N.A.,千葉県,野田市,堤根238,04-7123-0077,04-7125-0078,http://comestadome.jp/,イタリアン・フレンチ,
有限会社コスモス環境サービス,N.A.,千葉県,野田市,目吹二ツ塚1529-1,04-7121-0077,04-7121-0686,http://www.cosmos1992.co.jp/,ゴミ収集・資源回収,
株式会社ピアノプラザ,278-0003,千葉県,野田市,鶴奉336-3,04-7124-0080,N.A.,http://www.pianoplaza.co.jp/,本,
石井接骨院,N.A.,千葉県,野田市,上花輪1395,04-7123-0080,04-7123-0080,http://www.honeya.com/,整体等各種療術,
株式会社スタック,N.A.,千葉県,野田市,谷吉14-1,04-7128-0091,04-7128-1715,http://www.stack-net.com/,建設業・工務店,
ネッツトヨタ東都株式会社,N.A.,千葉県,野田市,下三ケ尾448-1,04-7123-0100,N.A.,http://toyota-dealers.jp/,製造・加工（輸送機械器具）,
喜久屋クリーニング／中野台店,N.A.,千葉県,野田市,中野台839,04-7124-0101,03-3850-3132,http://www.kikuya-cl.co.jp/,クリーニング,
野田ガス株式会社,278-0005,千葉県,野田市,宮崎36番地,04-7125-0101,04-7125-3343,http://www.nodagas.co.jp/,水道・ガス・電力,
郵便局株式会社,N.A.,千葉県,野田市,関宿台町315-1,04-7196-0101,04-7196-4299,http://map.japanpost.jp/,その他サービス,
野田市役所／関宿学校給食センター,N.A.,千葉県,野田市,柏寺480-1,04-7196-0104,N.A.,http://www.city.noda.chiba.jp/,市区町村機関,
有限会社オート・ミッション針ケ谷,270-0235,千葉県,野田市,尾崎95,04-7129-0108,04-7129-0112,http://amh.ame-zaiku.com/,車検・整備・修理,
野田市役所／議会事務局,N.A.,千葉県,野田市,鶴奉7-1,04-7124-0109,04-7123-1778,http://www.city.noda.chiba.jp/,市区町村機関,
千葉県／警察本部／野田警察署,N.A.,千葉県,野田市,宮崎147-4,04-7125-0110,04-7125-0110,http://www.police.pref.chiba.jp/,消防・警察,
タイヤショップキムラ,270-0222,千葉県,野田市,木間ケ瀬5042-2,04-7197-0111,N.A.,http://tire-shop.jp/,カー用品,
株式会社富山鉄工所,N.A.,千葉県,野田市,柳沢1番地,04-7125-0111,04-7125-0119,http://www.tomi-iw.co.jp/,製造・加工（鉄鋼製品）,
松葉園特別養護老人ホーム,N.A.,千葉県,野田市,中里43-3,04-7128-0111,04-7128-0112,http://matsubaen.or.jp/,介護・福祉,
渡辺農事株式会社,278-0006,千葉県,野田市,柳沢13,04-7124-0111,04-7124-0115,http://www.watanabenoji.com/,農業,
東京ベイ信用金庫／関宿支店,N.A.,千葉県,野田市,東宝珠花233,04-7198-0111,N.A.,https://www.bayshin.co.jp/,金融・郵貯・貸金,
関東運輸局千葉運輸支局／野田自動車検査登録事務所／自動車検査担当,N.A.,千葉県,野田市,上三ケ尾207-22,04-7121-0112,04-7120-2030,http://www.mlit.go.jp/,官公署,
野田市立／関宿小学校,270-0202,千葉県,野田市,関宿台町171,04-7196-0112,N.A.,http://www.city.noda.chiba.jp/,小・中・高・大学等,
野田市立／関宿中学校,N.A.,千葉県,野田市,関宿台町2150,04-7196-0113,04-7196-1612,http://www.city.noda.chiba.jp/,小・中・高・大学等,
野田市消防署／消防本部／予防課,N.A.,千葉県,野田市,宮崎126-2,04-7124-0114,N.A.,http://www.city.noda.chiba.jp/,消防・警察,
コビープリスクールのだ,278-0035,千葉県,野田市,中野台564-2,04-7121-0115,04-7120-1666,http://www.coby.jp/,幼稚園・保育施設,
株式会社ケイオー,N.A.,千葉県,野田市,関宿台町1995-2,04-7196-0116,04-7196-4105,http://www.keio-inc.co.jp/,製造・加工（その他）,
野田市／谷吉子ども館,N.A.,千葉県,野田市,谷津1148-3,04-7127-0117,N.A.,http://www.city.noda.chiba.jp/,介護・福祉,
野田市消防署,278-0005,千葉県,野田市,宮崎126-2,04-7124-0119,N.A.,http://www.city.noda.chiba.jp/,消防・警察,
野田市消防署／関宿分署,N.A.,千葉県,野田市,東宝珠花435-1,04-7198-0119,N.A.,http://www.city.noda.chiba.jp/,消防・警察,
有限会社斉藤商店,N.A.,千葉県,野田市,関宿台町2588,04-7196-0120,04-7196-0252,http://pv-tec.jp/,ガソリンスタンド,
野田市消防署／南分署,278-0016,千葉県,野田市,二ツ塚139-91,04-7122-0123,N.A.,http://www.city.noda.chiba.jp/,消防・警察,
かんざ,N.A.,千葉県,野田市,目吹658,04-7121-0131,N.A.,http://www.kanza.jp/,レストラン,
醤香,N.A.,千葉県,野田市,堤根238,04-7123-0131,04-7125-0078,http://comestadome.jp/,中華・中国料理,
野田市／岩木小学校老人デイサービスセンター,278-0055,千葉県,野田市,岩名2丁目12-1,04-7129-0137,04-7129-0137,http://www.city.noda.chiba.jp/,介護・福祉,
リード,N.A.,千葉県,野田市,山崎2638-10,04-7124-0138,N.A.,http://www.lead.co.jp/,美容院・理容店・毛髪業,
山石金属株式会社,N.A.,千葉県,野田市,木間ケ瀬791,04-7198-0151,04-7198-0152,http://www.yamaishimetal.co.jp/,製造・加工（金属製品）,
葵総業株式会社,270-0222,千葉県,野田市,木間ケ瀬2753番地11,04-7198-0154,04-7198-8522,http://www.aoisougyou.co.jp/,リース・レンタル,
野田市関宿商工会,N.A.,千葉県,野田市,東宝珠花237-1,04-7198-0161,04-7198-0174,http://www.city.noda.chiba.jp/,組合・団体,
野田南部診療所,N.A.,千葉県,野田市,山崎1737-2,04-7121-0171,04-7121-0172,http://www.tokyo-kinikai.com/,医院・診療所・療養所,
トナミ運輸株式会社／柏インター流通センター,278-0016,千葉県,野田市,二ツ塚192-1,04-7124-0176,N.A.,http://www.tonami.co.jp/,運送・貨物・倉庫,
カプリチョーザロックタウン七光台店,N.A.,千葉県,野田市,七光台4-2,04-7128-0177,04-7128-0178,http://www.capricciosa.com/,イタリアン・フレンチ,
野田南部歯科,278-0022,千葉県,野田市,山崎1737-2,04-7120-0182,04-7120-0183,http://www.nodananbushika.jp/,歯科系,
ちょいはな野田店,N.A.,千葉県,野田市,中野台840-1,04-7123-0187,04-7123-0187,http://www.hanazen.ne.jp/,レストラン,
郵便局株式会社,N.A.,千葉県,野田市,木間ケ瀬3171-5,04-7198-0201,04-7198-6019,http://map.japanpost.jp/,その他サービス,
共栄建材工業株式会社千葉工場,278-0041,千葉県,野田市,蕃昌223-2,04-7128-0202,N.A.,http://www.kyoei-kenzai.com/,製造・加工（建築資材）,
野田市立／木間ケ瀬小学校,N.A.,千葉県,野田市,木間ケ瀬3640,04-7198-0204,N.A.,http://www.city.noda.chiba.jp/,小・中・高・大学等,
ミニストップ／野田鶴奉店,N.A.,千葉県,野田市,目吹1361-1,04-7123-0205,04-7123-0205,http://www.ministop.co.jp/,コンビニ・スーパー・デパート,
オークシャツ株式会社,278-0022,千葉県,野田市,山崎1740-8,04-7125-0211,04-7125-0213,http://oakshirts.com/,製造・加工（衣料関連）,
有限会社清水台工務店,N.A.,千葉県,野田市,清水660-2,04-7122-0213,04-7123-8355,http://shimizudai.com/,リフォーム,
野田市立／木間ケ瀬中学校,N.A.,千葉県,野田市,木間ケ瀬3393-1,04-7198-0218,04-7198-7705,http://schit.net/,小・中・高・大学等,
セブンイレブン／野田三ツ堀店,278-0011,千葉県,野田市,三ツ堀1157,04-7138-0255,N.A.,http://www.sej.co.jp/,コンビニ・スーパー・デパート,
株式会社新生都市設計,N.A.,千葉県,野田市,横内131-1,04-7121-0256,04-7121-0257,http://www.dvlp.jp/,リフォーム,
カメラのキタムラ／山崎店,N.A.,千葉県,野田市,山崎2258-1,04-7123-0266,04-7120-1288,http://www.kitamura.jp/,生活用品,
江戸川電子株式会社,N.A.,千葉県,野田市,木間ヶ瀬2115-1,04-7198-0267,04-7198-5712,http://edogawadenshi.jimdo.com/,製造・加工（金属製品）,
HamiltonR,N.A.,千葉県,野田市,みずき1丁目16-2,04-7170-0273,N.A.,http://hamiltonr.jp/,レストラン,
株式会社ザ・フォウルビ,N.A.,千葉県,野田市,七光台4-2,04-7128-0281,N.A.,http://www.j-esthe.com/,製造・加工（医療・薬関連）,
薬局野田,N.A.,千葉県,野田市,中里1564-5,04-7129-0300,03-5413-8930,http://www.yakuju.co.jp/,薬,
丸三証券株式会社,N.A.,千葉県,野田市,野田670,04-7121-0303,N.A.,http://www.marusan-sec.co.jp/,証券・保険・商品先物,
プライムワーク,278-0052,千葉県,野田市,春日町48-5,04-7127-0307,N.A.,http://www.prime-work.jp/,家電,
執行工業株式会社,N.A.,千葉県,野田市,瀬戸930,04-7138-0311,04-7138-0313,http://www.shigyokk.com/,製造・加工（工作機械・一般機械器具）,
木野崎病院,N.A.,千葉県,野田市,木野崎1561-1,04-7138-0321,04-7138-0322,http://kinosaki.net/,精神科・心療内科,
株式会社タカハシテクノ,270-0213,千葉県,野田市,桐ケ作1234,04-7196-0331,04-7196-0342,http://www.takatech.net/,製造・加工（鉄鋼製品）,
株式会社大黒ヂーゼル工業所,N.A.,千葉県,野田市,西三ケ尾144-6,04-7125-0333,04-7125-0336,http://www.ohguro.co.jp/,その他サービス,
郵便局株式会社,N.A.,千葉県,野田市,岩名2-8-20,04-7127-0337,04-7127-2821,http://map.japanpost.jp/,その他サービス,
オリックスレンタカー／ウェストカウンター,N.A.,千葉県,野田市,山崎1594-43,04-7121-0355,04-7121-0355,http://car.orix.co.jp/,リース・レンタル,
