▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
株式会社マイヤ／野田店,026-0054,岩手県,釜石市,野田町2丁目3-1,0193-25-0011,N.A.,http://www.maiya.co.jp/,コンビニ・スーパー・デパート,
セントラルパチンコ,026-0043,岩手県,釜石市,新町6-40,0193-25-0023,N.A.,http://www.centralgroup.jp/,屋内遊戯,
工藤動物病院,026-0025,岩手県,釜石市,大渡町2丁目1-8,0193-22-0031,N.A.,http://www.pethospital.jp/,動物病院・獣医師,
株式会社テレビ岩手,026-0013,岩手県,釜石市,浜町1-1-213,0193-22-0077,N.A.,http://www.tvi.jp/index.html,映画・放送・新聞,
株式会社セントラルオートガラス釜石営業所,026-0055,岩手県,釜石市,甲子町第9地割125-6,0193-23-0099,019-638-3601,http://central-autoglass.com/,建材,
公文式中妻教室,026-0034,岩手県,釜石市,中妻町1丁目16-15,0193-23-0105,N.A.,http://www.kumon.ne.jp/,塾・予備校,
100円ショップセリアジョイス釜石店,026-0043,岩手県,釜石市,新町14-48,0193-25-0112,0193-25-0112,http://www.seria-group.com/,生活用品,
株式会社セントラル,026-0055,岩手県,釜石市,甲子町第9地割267-1,0193-25-0134,0193-25-0135,http://central3939.co.jp/,製造・加工（工作機械・一般機械器具）,
株式会社トーホー,026-0054,岩手県,釜石市,野田町3-6-11,0193-23-0145,N.A.,http://www.to-ho.co.jp/,販売・卸（日用品）,
釜石市役所／農業委員会,026-0031,岩手県,釜石市,鈴子町15-2,0193-22-0166,0193-22-3688,http://www.city.kamaishi.iwate.jp/,市区町村機関,
岩手スバル自動車株式会社釜石松倉店,026-0055,岩手県,釜石市,甲子町第10地割160-17,0193-23-0171,0193-23-0974,http://www.iwate-subaru.com/,自動車販売,
釜石市役所／地域福祉課,026-0025,岩手県,釜石市,大渡町3丁目15-26,0193-22-0177,0193-22-2686,http://www.city.kamaishi.iwate.jp/,市区町村機関,
釜石市役所／高齢介護福祉課,026-0025,岩手県,釜石市,大渡町3丁目15-26,0193-22-0178,0193-22-2686,http://www.city.kamaishi.iwate.jp/,市区町村機関,
釜石市役所／健康推進課,026-0025,岩手県,釜石市,大渡町3丁目15-26,0193-22-0179,0193-22-2686,http://www.city.kamaishi.iwate.jp/,市区町村機関,
釜石市役所／釜石市少年センター,026-0025,岩手県,釜石市,大渡町3丁目15-26,0193-22-0190,0193-22-2686,http://www.city.kamaishi.iwate.jp/,市区町村機関,
きくち宅建企画,026-0041,岩手県,釜石市,上中島町1丁目1-26,0193-23-0203,0193-23-0205,http://kikuchitaxtuken.web.fc2.com/,不動産,
